リムサ・ロミンサの下甲板層にいるナシュメラは、冒険者の成長を喜んでいるようだ。			リムサ・ロミンサの下甲板層にいるナシュメラは、冒険者の成長を喜んでいるようだ。			新天地へと舞い挑め							
前回までの冒険録：死の舞踏「トーテンタンツ」を封じるため、ファルシャム一座の踊り子である冒険者とラナー・ミーゴは、各地で武の舞踏「クリークタンツ」による公演を行っていく。エオルゼア五ヶ国での公演を終えた一座は、「トーテンタンツ」の発生に備えつつ、各地で純粋に公演を行うべく、リムサ・ロミンサを拠点に活動していくことになった。　　　　　　　　　　　　*　*　*互いの近況を語り合っていたところ、ナシュメラが何かを思いついたと言い出した。中央ラノシアのサマーフォードで「ナシュメラ」と話そう。			前回までの冒険録：死の舞踏「トーテンタンツ」を封じるため、ファルシャム一座の踊り子である冒険者とラナー・ミーゴは、各地で武の舞踏「クリークタンツ」による公演を行っていく。エオルゼア五ヶ国での公演を終えた一座は、「トーテンタンツ」の発生に備えつつ、各地で純粋に公演を行うべく、リムサ・ロミンサを拠点に活動していくことになった。　　　　　　　　　　　　*　*　*互いの近況を語り合っていたところ、ナシュメラが何かを思いついたと言い出した。中央ラノシアのサマーフォードで「ナシュメラ」と話そう。			新天地へと舞い挑め							
ナシュメラは、ラナー・ミーゴに座長を譲りたいと言い去っていった。悩んでいたラナー・ミーゴだが、踊りを通じて自分を見つめ直したいという。サマーフォードの「ラナー・ミーゴ」と話そう。			ナシュメラは、ラナー・ミーゴに座長を譲りたいと言い去っていった。悩んでいたラナー・ミーゴだが、踊りを通じて自分を見つめ直したいという。サマーフォードの「ラナー・ミーゴ」と話そう。			新天地へと舞い挑め							
ラナー・ミーゴと向かい合い、完全におなじ振りで舞を踊った。サマーフォードの「ラナー・ミーゴ」と話そう。			ラナー・ミーゴと向かい合い、完全におなじ振りで舞を踊った。サマーフォードの「ラナー・ミーゴ」と話そう。			新天地へと舞い挑め							
冒険者との舞をとおして、ラナー・ミーゴは覚悟が決まったらしい。リムサ・ロミンサの下甲板層で「ナシュメラ」と話そう。			冒険者との舞をとおして、ラナー・ミーゴは覚悟が決まったらしい。リムサ・ロミンサの下甲板層で「ナシュメラ」と話そう。			新天地へと舞い挑め							
ラナー・ミーゴの決意をナシュメラも励まし送り出した。リムサ・ロミンサの下甲板層で「ラナー・ミーゴ」と話そう。			ラナー・ミーゴの決意をナシュメラも励まし送り出した。リムサ・ロミンサの下甲板層で「ラナー・ミーゴ」と話そう。			新天地へと舞い挑め							
ファルシャム一座の座員たちもラナー・ミーゴの座長就任を歓迎した。ナシュメラ、ファルシャム一座、それぞれが新たな道を歩みだした。頼もしく成長した彼らとの共演を待ちわびながら、冒険の中で「クリークタンツ」を極めていこう。			ファルシャム一座の座員たちもラナー・ミーゴの座長就任を歓迎した。ナシュメラ、ファルシャム一座、それぞれが新たな道を歩みだした。頼もしく成長した彼らとの共演を待ちわびながら、冒険の中で「クリークタンツ」を極めていこう。			新天地へと舞い挑め							
サマーフォードのナシュメラと話す			サマーフォードのナシュメラと話す			新天地へと舞い挑め							
ラナー・ミーゴと話す			ラナー・ミーゴと話す			新天地へと舞い挑め							
ラナー・ミーゴと再度話す			ラナー・ミーゴと再度話す			新天地へと舞い挑め							
リムサ・ロミンサのナシュメラと話す			リムサ・ロミンサのナシュメラと話す			新天地へと舞い挑め							
ラナー・ミーゴと話す			ラナー・ミーゴと話す			新天地へと舞い挑め							
Forename、息災だったかしら！その逞しくしなやかな肉体……また腕を上げたみたいね。			Forename、息災だったかしら！その逞しくしなやかな肉体……また腕を上げたみたいね。			新天地へと舞い挑め							
私たち一座は、変わらずエオルゼアでの巡業中。死の舞踏「トーテンタンツ」の兆候も、何度か見つけたんだけど、その都度、私たち一座の力で対処してきたわ。			私たち一座は、変わらずエオルゼアでの巡業中。死の舞踏「トーテンタンツ」の兆候も、何度か見つけたんだけど、その都度、私たち一座の力で対処してきたわ。			新天地へと舞い挑め							
そんな中、私も後進の発掘と育成に取り掛かっていてね。ラミンの力も借りながら、将来有望そうな子を見つけて、踊り子への道に導いているのよ。			そんな中、私も後進の発掘と育成に取り掛かっていてね。ラミンの力も借りながら、将来有望そうな子を見つけて、踊り子への道に導いているのよ。			新天地へと舞い挑め							
ラナーが力を付けたおかげで、私も楽をさせてもらっているわ。それで、あなたはどんな冒険をしてきたの？			ラナーが力を付けたおかげで、私も楽をさせてもらっているわ。それで、あなたはどんな冒険をしてきたの？			新天地へと舞い挑め							
何と答える？			何と答える？			新天地へと舞い挑め							
異なる世界で狩人と旅してきた			異なる世界で狩人と旅してきた			新天地へと舞い挑め							
かつての英雄を追う旅をしてきた			かつての英雄を追う旅をしてきた			新天地へと舞い挑め							
はるか遠い地で冒険を……！まったく壮大な話すぎて、理解が追いつかないほどよ。			はるか遠い地で冒険を……！まったく壮大な話すぎて、理解が追いつかないほどよ。			新天地へと舞い挑め							
それにしても、冒険のなか出会ったという賞金稼ぎさん……。独りよがりな行動で、あなたに迷惑をかけるなんて、うふふ……まるで昔のラナーみたいね。			それにしても、冒険のなか出会ったという賞金稼ぎさん……。独りよがりな行動で、あなたに迷惑をかけるなんて、うふふ……まるで昔のラナーみたいね。			新天地へと舞い挑め							
そ、そんな！　私は、Forenameと、喧嘩になるほど無謀なことはしませんでしたよ！　……多分。それに、その賞金稼ぎも、最後には改心したんでしょう？			そ、そんな！　私は、Forenameと、喧嘩になるほど無謀なことはしませんでしたよ！　……多分。それに、その賞金稼ぎも、最後には改心したんでしょう？			新天地へと舞い挑め							
きっと、あなたには特別な才があるのよ。寄り添う人に、己を見つめ直させる……鏡のような性質がね。ラナーも、それで心を入れ替えて……。			きっと、あなたには特別な才があるのよ。寄り添う人に、己を見つめ直させる……鏡のような性質がね。ラナーも、それで心を入れ替えて……。			新天地へと舞い挑め							
……そうよね、Forenameとの出会いを通じ、今やラナーも踊り子として、一人前の存在になったわ。それならば……。			……そうよね、Forenameとの出会いを通じ、今やラナーも踊り子として、一人前の存在になったわ。それならば……。			新天地へと舞い挑め							
