八分儀広場の生真面目な警備兵は、冒険者に頼みたいことがあるようだ。			八分儀広場の生真面目な警備兵は、冒険者に頼みたいことがあるようだ。			青魔道士と名乗る男							
生真面目な警備兵から、青魔道士と名乗る男について聞き、捜査の協力をすることになった。中央ラノシアのサマーフォードで「生真面目な警備兵」と話そう。			生真面目な警備兵から、青魔道士と名乗る男について聞き、捜査の協力をすることになった。中央ラノシアのサマーフォードで「生真面目な警備兵」と話そう。			青魔道士と名乗る男							
生真面目な警備兵と話し、マーティンという男が、青魔道士のソウルクリスタルの実演販売をしているところを見た。怪しい点のあるマーティンを尾行することになった。中央ラノシアのゼファードリフトで「生真面目な警備兵」と話そう。			生真面目な警備兵と話し、マーティンという男が、青魔道士のソウルクリスタルの実演販売をしているところを見た。怪しい点のあるマーティンを尾行することになった。中央ラノシアのゼファードリフトで「生真面目な警備兵」と話そう。			青魔道士と名乗る男							
生真面目な警備兵と話した。マーティンは低地ラノシアに向かったようだ。低地ラノシアのモラビー造船廠で「生真面目な警備兵」と話そう。			生真面目な警備兵と話した。マーティンは低地ラノシアに向かったようだ。低地ラノシアのモラビー造船廠で「生真面目な警備兵」と話そう。			青魔道士と名乗る男							
生真面目な警備兵と話した。さらにマーティンの尾行を続けることになった。低地ラノシアのゴッズグリップで「生真面目な警備兵」と話そう。			生真面目な警備兵と話した。さらにマーティンの尾行を続けることになった。低地ラノシアのゴッズグリップで「生真面目な警備兵」と話そう。			青魔道士と名乗る男							
生真面目な警備兵と話し、マーティンを追及したところ、冒険者が青魔道士となって、青魔法をラーニングすることになった。クラーケンの幼体を斃し、青魔法「水鉄砲」をラーニングできたというが……。ゴッズグリップの「マーティン」と話そう。			生真面目な警備兵と話し、マーティンを追及したところ、冒険者が青魔道士となって、青魔法をラーニングすることになった。クラーケンの幼体を斃し、青魔法「水鉄砲」をラーニングできたというが……。ゴッズグリップの「マーティン」と話そう。			青魔道士と名乗る男							
マーティンと話したところ、青魔道士のカンタン入門セットを渡された。「レインメーカー」を装備し、さらに「マーティン」と話そう。			マーティンと話したところ、青魔道士のカンタン入門セットを渡された。「レインメーカー」を装備し、さらに「マーティン」と話そう。			青魔道士と名乗る男							
サマーフォードの生真面目な警備兵と話す			サマーフォードの生真面目な警備兵と話す			青魔道士と名乗る男							
生真面目な警備兵と話す			生真面目な警備兵と話す			青魔道士と名乗る男							
モラビー造船廠の生真面目な警備兵と話す			モラビー造船廠の生真面目な警備兵と話す			青魔道士と名乗る男							
ゴッズグリップの生真面目な警備兵と話す			ゴッズグリップの生真面目な警備兵と話す			青魔道士と名乗る男							
マーティンと話す			マーティンと話す			青魔道士と名乗る男							
折り入って頼みたいことがあるのだが……話だけでも聞いてもらえるだろうか？			折り入って頼みたいことがあるのだが……話だけでも聞いてもらえるだろうか？			青魔道士と名乗る男							
実は最近、「青魔道士」と名乗る男が、「青魔法」なる術を修得できるという触れ込みで、怪しげなクリスタルを、冒険者相手に高値で販売しているらしい。			実は最近、「青魔道士」と名乗る男が、「青魔法」なる術を修得できるという触れ込みで、怪しげなクリスタルを、冒険者相手に高値で販売しているらしい。			青魔道士と名乗る男							
それが本物であれば問題ないのだが……購入した冒険者たちから、何ひとつ修得できなかったと、何件もの被害届けが寄せられているのだ。			それが本物であれば問題ないのだが……購入した冒険者たちから、何ひとつ修得できなかったと、何件もの被害届けが寄せられているのだ。			青魔道士と名乗る男							
そこで、これから事件の捜査に向かうのだが、私は冒険者界隈のことには、いまいち疎くてね。冒険者である君に、商品の真贋を確かめてもらいたいのだ。			そこで、これから事件の捜査に向かうのだが、私は冒険者界隈のことには、いまいち疎くてね。冒険者である君に、商品の真贋を確かめてもらいたいのだ。			青魔道士と名乗る男							
届け出どおり、男が売るクリスタルが、何ら効果のない偽物ならば、すぐさま私が逮捕する。逆に本物なら、君は新たな術を修得できるわけで損はないはずだ。			届け出どおり、男が売るクリスタルが、何ら効果のない偽物ならば、すぐさま私が逮捕する。逆に本物なら、君は新たな術を修得できるわけで損はないはずだ。			青魔道士と名乗る男							
協力してくれるんだね、感謝する。それではさっそく、「青魔道士と名乗る男」が出没するという、中央ラノシアの「サマーフォード」へ向かおう。			協力してくれるんだね、感謝する。それではさっそく、「青魔道士と名乗る男」が出没するという、中央ラノシアの「サマーフォード」へ向かおう。			青魔道士と名乗る男							
どうやら、この先で「青魔道士と名乗る男」が商売しているようだ。まずは、隠れてその手口をうかがうことにしよう。			どうやら、この先で「青魔道士と名乗る男」が商売しているようだ。まずは、隠れてその手口をうかがうことにしよう。			青魔道士と名乗る男							
(-青魔道士と名乗る男-)親愛なる冒険者諸君！前途有望なる君たちに、この青魔道士マーティンから、まったく新しい魔法体系「青魔法」を紹介しよう。			(-青魔道士と名乗る男-)親愛なる冒険者諸君！前途有望なる君たちに、この青魔道士マーティンから、まったく新しい魔法体系「青魔法」を紹介しよう。			青魔道士と名乗る男							
その起源は、蒼茫洋を越えた海の向こう、遥かなる新大陸に住む、少数部族「ワラキ族」の魔法にある。彼らの魔法は、我々のそれとは違う独自のものだった。			その起源は、蒼茫洋を越えた海の向こう、遥かなる新大陸に住む、少数部族「ワラキ族」の魔法にある。彼らの魔法は、我々のそれとは違う独自のものだった。			青魔道士と名乗る男							
そもそも魔法とは術者が祈りや願い、つまり意思の力で、エーテルを操作し、超常の現象を引き起こす技術の総称だ。			そもそも魔法とは術者が祈りや願い、つまり意思の力で、エーテルを操作し、超常の現象を引き起こす技術の総称だ。			青魔道士と名乗る男							
ある種の獣や魔物は、本能的に火や水のエーテルを操り、狩りや身を守る手段として用いることがあるが、これも原理的には魔法の一種といえる。			ある種の獣や魔物は、本能的に火や水のエーテルを操り、狩りや身を守る手段として用いることがあるが、これも原理的には魔法の一種といえる。			青魔道士と名乗る男							
ワラキ族のシャーマンは、ここに目をつけた！あらゆる自然を崇拝していた彼らは、信仰対象に近付こうと、獣や魔物が用いる魔法を己のものとする術を編み出していたのだ！			ワラキ族のシャーマンは、ここに目をつけた！あらゆる自然を崇拝していた彼らは、信仰対象に近付こうと、獣や魔物が用いる魔法を己のものとする術を編み出していたのだ！			青魔道士と名乗る男							
魔法発動の鍵となる意思の力……すなわち獣や魔物の敵意を身に受け、魔法現象を引き起こさせ、その上で相手を斃し、命の源たるエーテルを吸収する！			魔法発動の鍵となる意思の力……すなわち獣や魔物の敵意を身に受け、魔法現象を引き起こさせ、その上で相手を斃し、命の源たるエーテルを吸収する！			青魔道士と名乗る男							
かくして、己を獣や魔物へと近づけ、その魔法を修得する……ワラキ族から、この秘技を学ぶことに成功した私は、これを「ラーニング」と名付けた！			かくして、己を獣や魔物へと近づけ、その魔法を修得する……ワラキ族から、この秘技を学ぶことに成功した私は、これを「ラーニング」と名付けた！			青魔道士と名乗る男							
見よ、これがラーニングによって修得できる、魔物たちの魔法だッ！			見よ、これがラーニングによって修得できる、魔物たちの魔法だッ！			青魔道士と名乗る男							
な、なんだいまのは！？あんな魔法は見たこともないぞ……！！			な、なんだいまのは！？あんな魔法は見たこともないぞ……！！			青魔道士と名乗る男							
私はこの魔法を、白魔法でも黒魔法でもない新たな魔法体系として、ワラキ族が神聖とする色からとり、青魔法と名付けた。			私はこの魔法を、白魔法でも黒魔法でもない新たな魔法体系として、ワラキ族が神聖とする色からとり、青魔法と名付けた。			青魔道士と名乗る男							
さあ、青魔法を操る青魔道士になりたければ、君たちがすべきことはただひとつ……。			さあ、青魔法を操る青魔道士になりたければ、君たちがすべきことはただひとつ……。			青魔道士と名乗る男							
この、青魔道士の証であるソウルクリスタルと、特製の武具が入った「カンタン入門セット」を買うだけ！			この、青魔道士の証であるソウルクリスタルと、特製の武具が入った「カンタン入門セット」を買うだけ！			青魔道士と名乗る男							
さらに、いまなら数量限定の青魔道書も付いてくる！さあさあ、早い者勝ちだ、買った買った！			さらに、いまなら数量限定の青魔道書も付いてくる！さあさあ、早い者勝ちだ、買った買った！			青魔道士と名乗る男							
(-？？？？-)ちょっと待った。本当にそれで青魔法が修得できるのか……？			(-？？？？-)ちょっと待った。本当にそれで青魔法が修得できるのか……？			青魔道士と名乗る男							
冒険者仲間から詐欺の噂を聞いたぞ。そもそも魔物の敵意を受けることが、修得の条件だってのも怪しい。買った者が魔物に殺されれば、詐欺をうやむやにできるからな……。			冒険者仲間から詐欺の噂を聞いたぞ。そもそも魔物の敵意を受けることが、修得の条件だってのも怪しい。買った者が魔物に殺されれば、詐欺をうやむやにできるからな……。			青魔道士と名乗る男							
(-猛るマムージャ族-)ウガーーー！うま、そうな、ヒトども！取って、食ってくれる、わーー！！			(-猛るマムージャ族-)ウガーーー！うま、そうな、ヒトども！取って、食ってくれる、わーー！！			青魔道士と名乗る男							
心配ない！いまこそ、青魔法の力を見せてくれるッ！			心配ない！いまこそ、青魔法の力を見せてくれるッ！			青魔道士と名乗る男							
(-猛るマムージャ族-)グワーーー！こりゃ、たま、らん！！			(-猛るマムージャ族-)グワーーー！こりゃ、たま、らん！！			青魔道士と名乗る男							
す、すごい……！！お、俺はあんたを信じるぞ。カンタン入門セット、ひとつ売ってくれ！			す、すごい……！！お、俺はあんたを信じるぞ。カンタン入門セット、ひとつ売ってくれ！			青魔道士と名乗る男							
うーむ、やはり詐欺の臭いがプンプンする。それに、都合よく登場したマムージャ族も怪しい……。こっそり尾行して、尻尾を掴んでやろう。			うーむ、やはり詐欺の臭いがプンプンする。それに、都合よく登場したマムージャ族も怪しい……。こっそり尾行して、尻尾を掴んでやろう。			青魔道士と名乗る男							
マーティンとかいう男は、低地ラノシアの方へ向かったようだ。このまま、尾行を続けよう……。			マーティンとかいう男は、低地ラノシアの方へ向かったようだ。このまま、尾行を続けよう……。			青魔道士と名乗る男							
くだんの、マーティンとかいう男は、ここモラビー造船廠に寄って、腹ごしらえしていたようだ。			くだんの、マーティンとかいう男は、ここモラビー造船廠に寄って、腹ごしらえしていたようだ。			青魔道士と名乗る男							
それも、造船師に余った弁当をせびって、恵んでもらっていた。稼いだギルがあるはずだが、よっぽど金に汚い男とみえる。ともかく、さらに尾行を続けるとしよう……。			それも、造船師に余った弁当をせびって、恵んでもらっていた。稼いだギルがあるはずだが、よっぽど金に汚い男とみえる。ともかく、さらに尾行を続けるとしよう……。			青魔道士と名乗る男							
こんなひとけのないところで、いったい何を……？怪しい、怪しすぎる……。			こんなひとけのないところで、いったい何を……？怪しい、怪しすぎる……。			青魔道士と名乗る男							
