ミーン工芸館のイオラは、何かに悩んでいるようだ。			ミーン工芸館のイオラは、何かに悩んでいるようだ。			若き経営者、イオラ							
イオラと話した。ミーン工芸館の錬鉄科に所属する職人、イオラは、私設工房「黒鉄工房」の経営者でもあるという。かつてはクリスタリウムでも指折りの職人が集まる工房だったというが、先代であるイオラの父が亡くなる直前から、経営が悪化しているようだ。一発逆転を目論むイオラから、新たな顧客を開拓するための新商品開発に協力してほしいと頼まれた。クリスタリウムのアマロ桟橋付近にいる「ズン族の調教師」と話そう。			イオラと話した。ミーン工芸館の錬鉄科に所属する職人、イオラは、私設工房「黒鉄工房」の経営者でもあるという。かつてはクリスタリウムでも指折りの職人が集まる工房だったというが、先代であるイオラの父が亡くなる直前から、経営が悪化しているようだ。一発逆転を目論むイオラから、新たな顧客を開拓するための新商品開発に協力してほしいと頼まれた。クリスタリウムのアマロ桟橋付近にいる「ズン族の調教師」と話そう。			若き経営者、イオラ							
ズン族の調教師と話した。アマロの飼育を生業にしているズン族は、身ごもって気が立っている雌のアマロに噛まれて怪我をすることも少なくないようだ。ミーン工芸館に戻って「イオラ」と話そう。			ズン族の調教師と話した。アマロの飼育を生業にしているズン族は、身ごもって気が立っている雌のアマロに噛まれて怪我をすることも少なくないようだ。ミーン工芸館に戻って「イオラ」と話そう。			若き経営者、イオラ							
イオラと話した。イオラは、黒鉄工房の経営を立て直して、かつて所属していた職人であるコラーナとスー・レンドに戻ってきてもらいたいという。さらに、借金のカタとして金貸しに奪われた、両親の形見の指輪を取り返すことができたら、という願いがあるようだ。イオラの願いが叶うように、新商品の開発に協力しよう。			イオラと話した。イオラは、黒鉄工房の経営を立て直して、かつて所属していた職人であるコラーナとスー・レンドに戻ってきてもらいたいという。さらに、借金のカタとして金貸しに奪われた、両親の形見の指輪を取り返すことができたら、という願いがあるようだ。イオラの願いが叶うように、新商品の開発に協力しよう。			若き経営者、イオラ							
アマロ桟橋付近にいるズン族の調教師と話す			アマロ桟橋付近にいるズン族の調教師と話す			若き経営者、イオラ							
ミーン工芸館のイオラと話す			ミーン工芸館のイオラと話す			若き経営者、イオラ							
本クエストは、「錬鉄科」の「ミーン工芸館取引」開放クエストです。「鍛冶師／甲冑師／彫金師」のいずれかのクラスが、レベル70以上の場合、進行することができます。			本クエストは、「錬鉄科」の「ミーン工芸館取引」開放クエストです。「鍛冶師／甲冑師／彫金師」のいずれかのクラスが、レベル70以上の場合、進行することができます。			若き経営者、イオラ							
うーん……悪くはないんだけど……なんかこう……目新しさが足りないんだよねぇ……。			うーん……悪くはないんだけど……なんかこう……目新しさが足りないんだよねぇ……。			若き経営者、イオラ							
目新しさ……ですか。			目新しさ……ですか。			若き経営者、イオラ							
新たな顧客に向けた新商品開発なんだから、まだ誰も作ったことがない革新的な物じゃないと……って、ん？			新たな顧客に向けた新商品開発なんだから、まだ誰も作ったことがない革新的な物じゃないと……って、ん？			若き経営者、イオラ							
あまり見かけない顔だけど、クリスタリウムに来たばかりの職人さん？			あまり見かけない顔だけど、クリスタリウムに来たばかりの職人さん？			若き経営者、イオラ							
私の名前はイオラ。このミーン工芸館の錬鉄科に属す職人で、私設工房「黒鉄工房(くろがねこうぼう)」の経営者でもあるわ。			私の名前はイオラ。このミーン工芸館の錬鉄科に属す職人で、私設工房「黒鉄工房(くろがねこうぼう)」の経営者でもあるわ。			若き経営者、イオラ							
ただ、かつてはクリスタリウムでも、指折りの職人が集まっていた黒鉄工房も、先代である私の親父が亡くなる直前くらいから、経営が悪化してね。			ただ、かつてはクリスタリウムでも、指折りの職人が集まっていた黒鉄工房も、先代である私の親父が亡くなる直前くらいから、経営が悪化してね。			若き経営者、イオラ							
