ミーン工芸館の実録システムは、調子が悪そうだ。			ミーン工芸館の実録システムは、調子が悪そうだ。			実録データ001「熟練の新入り職人」							
実録システムと話した。しかし、音声に雑音が混ざっていてよく聞き取れない。故障したアラグ風の機械が市民に危害を加えては大変だ。実録システムを追いかけ、クリスタリウムのミーン工芸館付近で「困った様子の市民」がいたら話を聞こう。			実録システムと話した。しかし、音声に雑音が混ざっていてよく聞き取れない。故障したアラグ風の機械が市民に危害を加えては大変だ。実録システムを追いかけ、クリスタリウムのミーン工芸館付近で「困った様子の市民」がいたら話を聞こう。			実録データ001「熟練の新入り職人」							
トゥナと話した。アラグの機械を叩いて直してしまった彼女は、ミーン工芸館の手工科に所属している「保存修復師」であり、「時の工房」の主でもあるという。保存修復師としての技術を磨きたいトゥナは、冒険者に取引を持ち掛けてきた。冒険者が「時の工房」の仕事を手伝うことで、彼女は冒険者から技術を学び、その対価として報酬を用意するそうだ。ミーン工芸館に戻って「トゥナ」と話そう。			トゥナと話した。アラグの機械を叩いて直してしまった彼女は、ミーン工芸館の手工科に所属している「保存修復師」であり、「時の工房」の主でもあるという。保存修復師としての技術を磨きたいトゥナは、冒険者に取引を持ち掛けてきた。冒険者が「時の工房」の仕事を手伝うことで、彼女は冒険者から技術を学び、その対価として報酬を用意するそうだ。ミーン工芸館に戻って「トゥナ」と話そう。			実録データ001「熟練の新入り職人」							
トゥナと話した。彼女の師匠兼仕事仲間として、ミーン工芸館で保存修復の仕事を手伝っていこう。			トゥナと話した。彼女の師匠兼仕事仲間として、ミーン工芸館で保存修復の仕事を手伝っていこう。			実録データ001「熟練の新入り職人」							
困った様子の市民がいないか探す			困った様子の市民がいないか探す			実録データ001「熟練の新入り職人」							
トゥナと話す			トゥナと話す			実録データ001「熟練の新入り職人」							
本クエストは、「手工科」の「ミーン工芸館取引」開放クエストです。「木工師／革細工師／裁縫師」のいずれかのクラスが、レベル70以上の場合、進行することができます。			本クエストは、「手工科」の「ミーン工芸館取引」開放クエストです。「木工師／革細工師／裁縫師」のいずれかのクラスが、レベル70以上の場合、進行することができます。			実録データ001「熟練の新入り職人」							
ザ……ザザ……エーテル……詰まっ……ザ……故障……			ザ……ザザ……エーテル……詰まっ……ザ……故障……			実録データ001「熟練の新入り職人」							
タタイテ……			タタイテ……			実録データ001「熟練の新入り職人」							
ザ……トゥナ……タスケテ……ザザ……ザ……			ザ……トゥナ……タスケテ……ザザ……ザ……			実録データ001「熟練の新入り職人」							
調子が悪そうなアラグ風の球体が、去っていった。暴走して市民に危害を加えてしまうかもしれない。追いかけて、「困った様子の市民」がいないか確認してみよう。			調子が悪そうなアラグ風の球体が、去っていった。暴走して市民に危害を加えてしまうかもしれない。追いかけて、「困った様子の市民」がいないか確認してみよう。			実録データ001「熟練の新入り職人」							
ザ……トゥナ……タスケテ……ザザ……ザ……			ザ……トゥナ……タスケテ……ザザ……ザ……			実録データ001「熟練の新入り職人」							
わっ？もしかして、修復の依頼ですか！？			わっ？もしかして、修復の依頼ですか！？			実録データ001「熟練の新入り職人」							
…………ではなさそうか。			…………ではなさそうか。			実録データ001「熟練の新入り職人」							
ごめんなさい、少しだけ待ってもらえますか？この子、調子悪いみたいで……。			ごめんなさい、少しだけ待ってもらえますか？この子、調子悪いみたいで……。			実録データ001「熟練の新入り職人」							
トゥナ……ザザ……タタイテ……ナオシテ……！			トゥナ……ザザ……タタイテ……ナオシテ……！			実録データ001「熟練の新入り職人」							
なぁに？またエーテル詰まらせたの？			なぁに？またエーテル詰まらせたの？			実録データ001「熟練の新入り職人」							
もう……仕方ないなぁ。すぐ直してあげるから待っててね！			もう……仕方ないなぁ。すぐ直してあげるから待っててね！			実録データ001「熟練の新入り職人」							
何と言う？			何と言う？			実録データ001「熟練の新入り職人」							
修理にはアラグの知識が必要だ			修理にはアラグの知識が必要だ			実録データ001「熟練の新入り職人」							
修理には高度な技術が必要だ			修理には高度な技術が必要だ			実録データ001「熟練の新入り職人」							
あら……もしかして、この手の機械に詳しいの？でも、大丈夫、大丈夫！この子にはよくあることなのよ。			あら……もしかして、この手の機械に詳しいの？でも、大丈夫、大丈夫！この子にはよくあることなのよ。			実録データ001「熟練の新入り職人」							
…………えい！			…………えい！			実録データ001「熟練の新入り職人」							
……ピピ……ピ……問題が発生したため、システムを再起動する必要があります。エラー情報を収集、自動的に再起動します。			……ピピ……ピ……問題が発生したため、システムを再起動する必要があります。エラー情報を収集、自動的に再起動します。			実録データ001「熟練の新入り職人」							
ピピ……実録システム、正常起動……。ユーザー「トゥナ」を認証……ログインしました。トゥナ、もっとタタイテー！			ピピ……実録システム、正常起動……。ユーザー「トゥナ」を認証……ログインしました。トゥナ、もっとタタイテー！			実録データ001「熟練の新入り職人」							
(-トゥナ-)もう……変な癖がついちゃったのよね。昔はもっと、喋り方も機械らしかった気がするんだけどなぁ。叩きすぎたのがいけないのかしら？			(-トゥナ-)もう……変な癖がついちゃったのよね。昔はもっと、喋り方も機械らしかった気がするんだけどなぁ。叩きすぎたのがいけないのかしら？			実録データ001「熟練の新入り職人」							
(-トゥナ-)お待たせしてごめんなさい！見ない顔だけど……もしかして、クリスタリウムの外から来た人？			(-トゥナ-)お待たせしてごめんなさい！見ない顔だけど……もしかして、クリスタリウムの外から来た人？			実録データ001「熟練の新入り職人」							
(-トゥナ-)そうそう、思い出したわ！水晶公と同郷の、凄腕職人だっていう……！ええっと……名前はたしか……？			(-トゥナ-)そうそう、思い出したわ！水晶公と同郷の、凄腕職人だっていう……！ええっと……名前はたしか……？			実録データ001「熟練の新入り職人」							
(-トゥナ-)そうだ、Forenameさん！			(-トゥナ-)そうだ、Forenameさん！			実録データ001「熟練の新入り職人」							
(-トゥナ-)私はミーン工芸館、手工科所属の「保存修復師」で、「時の工房」の主でもある、トゥナよ。職人同士、仲良くしてね！			(-トゥナ-)私はミーン工芸館、手工科所属の「保存修復師」で、「時の工房」の主でもある、トゥナよ。職人同士、仲良くしてね！			実録データ001「熟練の新入り職人」							
(-トゥナ-)「修理」で生計を立てている職人は他にもいるんだけど、うちのお店が扱っているものは、美術品や工芸品、玩具など……。保存修復には、木工や革細工、裁縫の総合的な技術が必要となるわ。			(-トゥナ-)「修理」で生計を立てている職人は他にもいるんだけど、うちのお店が扱っているものは、美術品や工芸品、玩具など……。保存修復には、木工や革細工、裁縫の総合的な技術が必要となるわ。			実録データ001「熟練の新入り職人」							
(-トゥナ-)生活の役に立たない物ばかりだ、なんて言われることもあるけど、どうしても直したい物があって……この個人工房を始めたの。			(-トゥナ-)生活の役に立たない物ばかりだ、なんて言われることもあるけど、どうしても直したい物があって……この個人工房を始めたの。			実録データ001「熟練の新入り職人」							
(-トゥナ-)「助手」のこの子と一緒にね！			(-トゥナ-)「助手」のこの子と一緒にね！			実録データ001「熟練の新入り職人」							
(-トゥナ-)ふふっ、可愛いでしょ？昔、水晶公がクリスタリウムに連れてきたみたいなんだけど、壊れて捨てられてたから、拾って私なりに直してみたの！			(-トゥナ-)ふふっ、可愛いでしょ？昔、水晶公がクリスタリウムに連れてきたみたいなんだけど、壊れて捨てられてたから、拾って私なりに直してみたの！			実録データ001「熟練の新入り職人」							
イイ、システム？			イイ、システム？			実録データ001「熟練の新入り職人」							
(-トゥナ-)はいはい、イイコ、イイコ♪仕事の資料から帳簿まで、なんでも記録してくれるから重宝してるわ！			(-トゥナ-)はいはい、イイコ、イイコ♪仕事の資料から帳簿まで、なんでも記録してくれるから重宝してるわ！			実録データ001「熟練の新入り職人」							
(-トゥナ-)ところで、物は相談なんだけど……。			(-トゥナ-)ところで、物は相談なんだけど……。			実録データ001「熟練の新入り職人」							
(-トゥナ-)異邦の職人のForenameさん、よかったら、私と取引しない？			(-トゥナ-)異邦の職人のForenameさん、よかったら、私と取引しない？			実録データ001「熟練の新入り職人」							
(-トゥナ-)私の職人としての技術は、昔から得意だった錬金術に偏っていて……保存修復師としての腕はまだまだ半人前……。だから、[Job]のあなたから、専門技術を学ばせてほしいの。			(-トゥナ-)私の職人としての技術は、昔から得意だった錬金術に偏っていて……保存修復師としての腕はまだまだ半人前……。だから、[Job]のあなたから、専門技術を学ばせてほしいの。			実録データ001「熟練の新入り職人」							
(-トゥナ-)具体的には、保存修復に必要な素材をあなたに製作してもらって、それを活かして仕事をしながら、技術を学んでいく……。あなたには対価として、きちんと報酬を支払うわ。			(-トゥナ-)具体的には、保存修復に必要な素材をあなたに製作してもらって、それを活かして仕事をしながら、技術を学んでいく……。あなたには対価として、きちんと報酬を支払うわ。			実録データ001「熟練の新入り職人」							
(-トゥナ-)それに、あなたから学ぶ技術は、いずれちゃんと、工芸館のみんなに還元すると約束する。いつかあなたの名前がノルヴラント中に広まることも……あるかも？			(-トゥナ-)それに、あなたから学ぶ技術は、いずれちゃんと、工芸館のみんなに還元すると約束する。いつかあなたの名前がノルヴラント中に広まることも……あるかも？			実録データ001「熟練の新入り職人」							
(-トゥナ-)どうかな？悪い話ではないと思うんだけど……。			(-トゥナ-)どうかな？悪い話ではないと思うんだけど……。			実録データ001「熟練の新入り職人」							
トゥナはマダマダ未熟者。タタキあげて、ビシバシと！			トゥナはマダマダ未熟者。タタキあげて、ビシバシと！			実録データ001「熟練の新入り職人」							
