ミーン工芸館のベスリクは、何かの匂いを感じ取ったようだ。			ミーン工芸館のベスリクは、何かの匂いを感じ取ったようだ。			獣医師ベスリク							
ベスリクと話した。彼はミーン工芸館の食薬科に所属しており、クリスタリウムの「獣医師」でもあるという。ちょうど、アマロの回診に行くというベスリクに、興味があれば見学に来るよう促された。クリスタリウムのアマロ桟橋にいる「ベスリク」と話そう。			ベスリクと話した。彼はミーン工芸館の食薬科に所属しており、クリスタリウムの「獣医師」でもあるという。ちょうど、アマロの回診に行くというベスリクに、興味があれば見学に来るよう促された。クリスタリウムのアマロ桟橋にいる「ベスリク」と話そう。			獣医師ベスリク							
ベスリクと話した。冒険者がアマロに興味がありそうだとみたベスリクは、強引にアマロと触れ合うように勧めてきた。アマロ桟橋にいる「治療中を受けたアマロ」に、エモート「なでる」をしよう。			ベスリクと話した。冒険者がアマロに興味がありそうだとみたベスリクは、強引にアマロと触れ合うように勧めてきた。アマロ桟橋にいる「治療中を受けたアマロ」に、エモート「なでる」をしよう。			獣医師ベスリク							
治療を受けたアマロをなでた。ベスリクは、冒険者にはアマロの心を開かせる才能があるのかもしれないという。アマロへの愛が抑えきれないベスリクの元に、衛兵のリサーナが緊急の報せを持ってきた。負傷して毒に侵されたアマロを保護したのだという。テメノスルカリー牧場の「ベスリク」と話そう。			治療を受けたアマロをなでた。ベスリクは、冒険者にはアマロの心を開かせる才能があるのかもしれないという。アマロへの愛が抑えきれないベスリクの元に、衛兵のリサーナが緊急の報せを持ってきた。負傷して毒に侵されたアマロを保護したのだという。テメノスルカリー牧場の「ベスリク」と話そう。			獣医師ベスリク							
ベスリクと話した。負傷したアマロは、「アマロの舌」を狙った襲撃事件に巻き込まれてしまったようだ。苦しむアマロのために、協力できることがあるかもしれない。ミーン工芸館に戻って「ベスリク」と話そう。			ベスリクと話した。負傷したアマロは、「アマロの舌」を狙った襲撃事件に巻き込まれてしまったようだ。苦しむアマロのために、協力できることがあるかもしれない。ミーン工芸館に戻って「ベスリク」と話そう。			獣医師ベスリク							
ベスリクと話した。負傷したアマロは、「光の氾濫」で消滅したベルベ地方原産の、とても珍しい品種なのだという。品種が異なれば、与える薬餌は体質に合わせて慎重に調合する必要があるようだ。負傷したアマロを救うため、ベスリクに協力しよう。			ベスリクと話した。負傷したアマロは、「光の氾濫」で消滅したベルベ地方原産の、とても珍しい品種なのだという。品種が異なれば、与える薬餌は体質に合わせて慎重に調合する必要があるようだ。負傷したアマロを救うため、ベスリクに協力しよう。			獣医師ベスリク							
アマロ桟橋のベスリクと話す			アマロ桟橋のベスリクと話す			獣医師ベスリク							
治療を受けたアマロに「なでる」をする			治療を受けたアマロに「なでる」をする			獣医師ベスリク							
テメノスルカリー牧場のベスリクと話す			テメノスルカリー牧場のベスリクと話す			獣医師ベスリク							
ミーン工芸館のベスリクと話す			ミーン工芸館のベスリクと話す			獣医師ベスリク							
本クエストは、「食薬科」の「ミーン工芸館取引」開放クエストです。「錬金術師／調理師」のいずれかのクラスが、レベル70以上の場合、進行することができます。			本クエストは、「食薬科」の「ミーン工芸館取引」開放クエストです。「錬金術師／調理師」のいずれかのクラスが、レベル70以上の場合、進行することができます。			獣医師ベスリク							
