ミーン工芸館のケシ・レイは、調達科の受付をしているようだ。			ミーン工芸館のケシ・レイは、調達科の受付をしているようだ。			幻の巨大生物を追え！							
ケシ・レイと話した。シムーンという謎の生物を探すために、クリスタリウムの外へ向かおうと飛び出していってしまった。ホルトリウム園芸館のヤラーナは、そんなケシ・レイを引き留めたいようだ。アマロ桟橋付近で「ケシ・レイ」を探そう。			ケシ・レイと話した。シムーンという謎の生物を探すために、クリスタリウムの外へ向かおうと飛び出していってしまった。ホルトリウム園芸館のヤラーナは、そんなケシ・レイを引き留めたいようだ。アマロ桟橋付近で「ケシ・レイ」を探そう。			幻の巨大生物を追え！							
発見したケシ・レイと話した。ヤラーナが自分のことを探していたと知り、観念したようだ。ホルトリウム園芸館の「ヤラーナ」と話そう。			発見したケシ・レイと話した。ヤラーナが自分のことを探していたと知り、観念したようだ。ホルトリウム園芸館の「ヤラーナ」と話そう。			幻の巨大生物を追え！							
ヤラーナと話した。ミーン工芸館の調達科に集められた珍しい資材は、ホルトリウム園芸館で分析されているらしい。ケシ・レイはヤラーナの小言が煩わしいようだ。ミーン工芸館へ逃げた「ケシ・レイ」と話そう。			ヤラーナと話した。ミーン工芸館の調達科に集められた珍しい資材は、ホルトリウム園芸館で分析されているらしい。ケシ・レイはヤラーナの小言が煩わしいようだ。ミーン工芸館へ逃げた「ケシ・レイ」と話そう。			幻の巨大生物を追え！							
ケシ・レイと話した。押しの強いケシ・レイに依頼され、幻の古代生物シムーンの捜索を手伝うことになった。依頼品を納品し、シムーンの手がかりを探してみよう。			ケシ・レイと話した。押しの強いケシ・レイに依頼され、幻の古代生物シムーンの捜索を手伝うことになった。依頼品を納品し、シムーンの手がかりを探してみよう。			幻の巨大生物を追え！							
ケシ・レイと話す			ケシ・レイと話す			幻の巨大生物を追え！							
ヤラーナと話す			ヤラーナと話す			幻の巨大生物を追え！							
ケシ・レイと話す			ケシ・レイと話す			幻の巨大生物を追え！							
本クエストは、「調達科」の「ミーン工芸館取引」開放クエストです。「採掘師／園芸師」のいずれかのクラスが、レベル70以上の場合、進行することができます。			本クエストは、「調達科」の「ミーン工芸館取引」開放クエストです。「採掘師／園芸師」のいずれかのクラスが、レベル70以上の場合、進行することができます。			幻の巨大生物を追え！							
なんだい？　君も資材の出納依頼にきた人？イオラといい、トゥナといい、今日は多いなぁ……。まあいいけど、何が必要なの？			なんだい？　君も資材の出納依頼にきた人？イオラといい、トゥナといい、今日は多いなぁ……。まあいいけど、何が必要なの？			幻の巨大生物を追え！							
えっ、違うの？じゃあ君、何者……？			えっ、違うの？じゃあ君、何者……？			幻の巨大生物を追え！							
Forenameか、聞いたことない名前だなぁ。もしかして、最近クリスタリウムへ来た人？出身は？			Forenameか、聞いたことない名前だなぁ。もしかして、最近クリスタリウムへ来た人？出身は？			幻の巨大生物を追え！							
何と答える？			何と答える？			幻の巨大生物を追え！							
水晶公と同郷だ			水晶公と同郷だ			幻の巨大生物を追え！							
エオルゼアだ			エオルゼアだ			幻の巨大生物を追え！							
へぇ！　あの水晶公と同郷か！水晶公は、市井にはあまり顔を出さないお方だけど……いつか故郷について、話を聞いてみたかったんだよねぇ！			へぇ！　あの水晶公と同郷か！水晶公は、市井にはあまり顔を出さないお方だけど……いつか故郷について、話を聞いてみたかったんだよねぇ！			幻の巨大生物を追え！							
へぇ？　町の名前も初めて聞くなぁ！どこかの都市の、訛った呼び方だったりするのかな？ま、いいんだけど！			へぇ？　町の名前も初めて聞くなぁ！どこかの都市の、訛った呼び方だったりするのかな？ま、いいんだけど！			幻の巨大生物を追え！							
じゃあさ、君のいたところには、珍しい動植物や鉱石はあったかい！？あと、「シムーン」って生物に心当たりはある！？			じゃあさ、君のいたところには、珍しい動植物や鉱石はあったかい！？あと、「シムーン」って生物に心当たりはある！？			幻の巨大生物を追え！							
そっか……。それは残念だ…………。愛しのシムーンよ……君はどこにいるんだい……。			そっか……。それは残念だ…………。愛しのシムーンよ……君はどこにいるんだい……。			幻の巨大生物を追え！							
かくなる上は……やっぱり自分の足で探すしかないな！よーし、フィールドワークに出発だー！			かくなる上は……やっぱり自分の足で探すしかないな！よーし、フィールドワークに出発だー！			幻の巨大生物を追え！							
(-？？？？-)あーーーーーー！そこの人ーーーーーー！ケシ・レイ科長を止めてくださああああああい！！			(-？？？？-)あーーーーーー！そこの人ーーーーーー！ケシ・レイ科長を止めてくださああああああい！！			幻の巨大生物を追え！							
(-小柄な女性-)はあ、はあ……ゴホッ……！す、すみません、初対面でぶしつけに……。あの人、もしかして外へ行こうとしてませんでした……？			(-小柄な女性-)はあ、はあ……ゴホッ……！す、すみません、初対面でぶしつけに……。あの人、もしかして外へ行こうとしてませんでした……？			幻の巨大生物を追え！							
(-小柄な女性-)やっぱり……！け、ケシ・レイ科長ったら、またサボって……！あの人が仕事を放り出すと、困る人がいっぱいいるのに……！			(-小柄な女性-)やっぱり……！け、ケシ・レイ科長ったら、またサボって……！あの人が仕事を放り出すと、困る人がいっぱいいるのに……！			幻の巨大生物を追え！							
ごめんなさい、ご挨拶が遅れてしまいましたね。私はヤラーナといって、あのケシ・レイ科長とともに、ホルトリウム園芸館で研究員をしている者です。			ごめんなさい、ご挨拶が遅れてしまいましたね。私はヤラーナといって、あのケシ・レイ科長とともに、ホルトリウム園芸館で研究員をしている者です。			幻の巨大生物を追え！							
科長がご迷惑をおかけした上、申し訳ないのですが……「ケシ・レイ」科長を追ってくれませんか……！私では、とても追いつけなくて……。			科長がご迷惑をおかけした上、申し訳ないのですが……「ケシ・レイ」科長を追ってくれませんか……！私では、とても追いつけなくて……。			幻の巨大生物を追え！							
わ、私より体力のありそうなあなたならきっと、科長が「アマロ桟橋」から外に出る前に、追いつけるはずです……！			わ、私より体力のありそうなあなたならきっと、科長が「アマロ桟橋」から外に出る前に、追いつけるはずです……！			幻の巨大生物を追え！							
ありがとうございます……！見つけたら、ホルトリウム園芸館に連れてきてください。私も、他の場所に向かってないか見てまわりますので……！			ありがとうございます……！見つけたら、ホルトリウム園芸館に連れてきてください。私も、他の場所に向かってないか見てまわりますので……！			幻の巨大生物を追え！							
わぁ！　まだなにか用なの！？それとも、フィールドワークについてきたくなっちゃった？それなら大歓迎だよ、ついてきて！			わぁ！　まだなにか用なの！？それとも、フィールドワークについてきたくなっちゃった？それなら大歓迎だよ、ついてきて！			幻の巨大生物を追え！							
あー……ヤラーナに見つかっちゃったかぁ。仕方ない、「ホルトリウム園芸館」へ向かうよ。まったく、ちょーっと仕事を抜け出そうとしただけなのに……。			あー……ヤラーナに見つかっちゃったかぁ。仕方ない、「ホルトリウム園芸館」へ向かうよ。まったく、ちょーっと仕事を抜け出そうとしただけなのに……。			幻の巨大生物を追え！							
そうだ、よければ君もちょっと寄っていきなよ！「ヤラーナ」に声をかければ、お茶の一杯でもいれてくれるはずさ。			そうだ、よければ君もちょっと寄っていきなよ！「ヤラーナ」に声をかければ、お茶の一杯でもいれてくれるはずさ。			幻の巨大生物を追え！							
ヤラーナってば、ずっとこっちを睨んでるんだ……。もう逃げたりしないって言ってるのに……。			ヤラーナってば、ずっとこっちを睨んでるんだ……。もう逃げたりしないって言ってるのに……。			幻の巨大生物を追え！							
あぁ！　あなたはさっきの！科長を捕まえてくださって、ありがとうございます！			あぁ！　あなたはさっきの！科長を捕まえてくださって、ありがとうございます！			幻の巨大生物を追え！							
こんなところで、なんのお構いもできませんが……よければ、施設内を案内させてくれませんか？			こんなところで、なんのお構いもできませんが……よければ、施設内を案内させてくれませんか？			幻の巨大生物を追え！							
ここでは主に、貴重な植物を育てたり、効率的に食料を得るための肥料や栽培の研究をしています。			ここでは主に、貴重な植物を育てたり、効率的に食料を得るための肥料や栽培の研究をしています。			幻の巨大生物を追え！							
研究の結果、種苗や肥料の改良が成功したら、スウィートシーヴ果樹園で活用してもらっています。食料供給の一端も、担っているんですよ！			研究の結果、種苗や肥料の改良が成功したら、スウィートシーヴ果樹園で活用してもらっています。食料供給の一端も、担っているんですよ！			幻の巨大生物を追え！							
そして、ケシ・レイ科長率いる「調達科」から依頼があれば、ノルヴラントの資源の分析と研究もしています。生活のためというよりは、学問的な分野ですけど。			そして、ケシ・レイ科長率いる「調達科」から依頼があれば、ノルヴラントの資源の分析と研究もしています。生活のためというよりは、学問的な分野ですけど。			幻の巨大生物を追え！							
そうそう、採掘師や園芸師が採ってきた資源の中に、珍しい物があった場合、ここに分析を依頼しているんだ。			そうそう、採掘師や園芸師が採ってきた資源の中に、珍しい物があった場合、ここに分析を依頼しているんだ。			幻の巨大生物を追え！							
