イシュガルド上層の不安げな商人は、飛空艇が帰還しないことを心配しているようだ。			イシュガルド上層の不安げな商人は、飛空艇が帰還しないことを心配しているようだ。			空賊たち							
不安げな商人は、所有する飛空艇と連絡が取れなくなってしまったらしい。飛空艇が向かったアバラシア雲海のキャンプ・クラウドトップに向かい、現地の騎兵から話を聞こう。			不安げな商人は、所有する飛空艇と連絡が取れなくなってしまったらしい。飛空艇が向かったアバラシア雲海のキャンプ・クラウドトップに向かい、現地の騎兵から話を聞こう。			空賊たち							
騎兵ロントルモンは、北に向かう飛空艇を見たという。キャンプ・クラウドトップの北方に向かい、「貨物飛空艇の操舵手」を探そう。			騎兵ロントルモンは、北に向かう飛空艇を見たという。キャンプ・クラウドトップの北方に向かい、「貨物飛空艇の操舵手」を探そう。			空賊たち							
貨物飛空艇の操舵手とともに冒険者は空賊に囲まれてしまう。しかし、そこに駆けつけた空賊団「レッドビル」の頭レオファードの手により、空賊たちは倒された。レオファードは冒険者に興味をもち、彼が率いる空賊団の目印を探すように告げると去っていった。アバラシア雲海北方の高空層で、空賊団「レッドビル」の目印を探そう。			貨物飛空艇の操舵手とともに冒険者は空賊に囲まれてしまう。しかし、そこに駆けつけた空賊団「レッドビル」の頭レオファードの手により、空賊たちは倒された。レオファードは冒険者に興味をもち、彼が率いる空賊団の目印を探すように告げると去っていった。アバラシア雲海北方の高空層で、空賊団「レッドビル」の目印を探そう。			空賊たち							
空賊団「レッドビル」の旗の横にいたスタシアの導きで、冒険者は、彼らのアジトに案内された。レオファードたちは、雲海を漂う幽霊船への突入を目論んでいるらしい。アバラシア雲海のガントレット諸島で、幽霊船の航路を探っている「レッドビル」の一員と話そう。			空賊団「レッドビル」の旗の横にいたスタシアの導きで、冒険者は、彼らのアジトに案内された。レオファードたちは、雲海を漂う幽霊船への突入を目論んでいるらしい。アバラシア雲海のガントレット諸島で、幽霊船の航路を探っている「レッドビル」の一員と話そう。			空賊たち							
「レッドビル」の技術担当であるウタタと話した。彼女は、飛空艇に関わる技術全般に精通しているようだ。			「レッドビル」の技術担当であるウタタと話した。彼女は、飛空艇に関わる技術全般に精通しているようだ。			空賊たち							
キャンプ・クラウドトップの騎兵と話す			キャンプ・クラウドトップの騎兵と話す			空賊たち							
貨物飛空艇の操舵手を探す			貨物飛空艇の操舵手を探す			空賊たち							
「レッドビル」の目印を探す			「レッドビル」の目印を探す			空賊たち							
ウタタと話す			ウタタと話す			空賊たち							
……その佇まい、さては冒険者だな！急ですまぬが、そなた、アバラシア雲海へ行ってはもらえぬか！行方不明になったワシの飛空艇を、探してきてもらいたい！			……その佇まい、さては冒険者だな！急ですまぬが、そなた、アバラシア雲海へ行ってはもらえぬか！行方不明になったワシの飛空艇を、探してきてもらいたい！			空賊たち							
借金をこさえて、飛空艇を建造し、騎兵団への物資輸送を請け負ったまでは良かったのだが……。定刻を過ぎても、飛空艇がランディングに戻ってこん！			借金をこさえて、飛空艇を建造し、騎兵団への物資輸送を請け負ったまでは良かったのだが……。定刻を過ぎても、飛空艇がランディングに戻ってこん！			空賊たち							
もしや、悪名高い「空賊」にでも、出くわしたのではないかと心配で心配で……！			もしや、悪名高い「空賊」にでも、出くわしたのではないかと心配で心配で……！			空賊たち							
……むむっ、その顔、空賊を知らんようだな？昨今の飛空艇建造ラッシュで「大飛空時代」の到来が叫ばれとるが、そんな新時代に現れた、厄介者のことだ！			……むむっ、その顔、空賊を知らんようだな？昨今の飛空艇建造ラッシュで「大飛空時代」の到来が叫ばれとるが、そんな新時代に現れた、厄介者のことだ！			空賊たち							
雲海を駆ける「空の冒険者」と言えば聞こえは良いものの、奴らの中には飛空艇を襲撃するような、まさに「賊」もおる！あれが襲われでもしていたら、ワシは破産してしまうぞ！			雲海を駆ける「空の冒険者」と言えば聞こえは良いものの、奴らの中には飛空艇を襲撃するような、まさに「賊」もおる！あれが襲われでもしていたら、ワシは破産してしまうぞ！			空賊たち							
飛空艇の目的地は「キャンプ・クラウドトップ」……現地の騎兵に尋ねれば、何か手がかりが得られるかもしれん。どうか、ワシの飛空艇と、その操舵手を見つけ出してくれ！			飛空艇の目的地は「キャンプ・クラウドトップ」……現地の騎兵に尋ねれば、何か手がかりが得られるかもしれん。どうか、ワシの飛空艇と、その操舵手を見つけ出してくれ！			空賊たち							
飛空艇の目的地は「キャンプ・クラウドトップ」……現地の騎兵に尋ねれば、何か手がかりが得られるかもしれん。どうか、ワシの飛空艇と、その操舵手を見つけ出してくれ！			飛空艇の目的地は「キャンプ・クラウドトップ」……現地の騎兵に尋ねれば、何か手がかりが得られるかもしれん。どうか、ワシの飛空艇と、その操舵手を見つけ出してくれ！			空賊たち							
……物資を積んだ貨物飛空艇が行方不明になっているだと？確かに、補給物資がいつまで経っても到着しないので、気を揉んでいたところだ……。			……物資を積んだ貨物飛空艇が行方不明になっているだと？確かに、補給物資がいつまで経っても到着しないので、気を揉んでいたところだ……。			空賊たち							
そういえば、先ほど、妙にフラフラした飛空艇が、北へと飛んでいくのを見たな。ここに降りる様子もなかったので、気にかけなかったが……。			そういえば、先ほど、妙にフラフラした飛空艇が、北へと飛んでいくのを見たな。ここに降りる様子もなかったので、気にかけなかったが……。			空賊たち							
曖昧な情報ですまないが、私が目撃したのはそのくらいだ。こちらでも、周囲の空域をより注視しておこう。君は、北の方角を調べてみてはどうだ？			曖昧な情報ですまないが、私が目撃したのはそのくらいだ。こちらでも、周囲の空域をより注視しておこう。君は、北の方角を調べてみてはどうだ？			空賊たち							
先ほど、北へと向かって飛んで行く飛空艇を見たな。この周囲の空域は、こちらでも注視しておこう。君は、北の方角を調べてみてはどうだ？			先ほど、北へと向かって飛んで行く飛空艇を見たな。この周囲の空域は、こちらでも注視しておこう。君は、北の方角を調べてみてはどうだ？			空賊たち							
飛空艇の積み荷は、俺たちがもらっていくぜ～！その後は、こいつを人質にして……ぬふふふふ……。			飛空艇の積み荷は、俺たちがもらっていくぜ～！その後は、こいつを人質にして……ぬふふふふ……。			空賊たち							
たた、助けてくれ！こいつら、船の積み荷を奪おうとしてるんだ！			たた、助けてくれ！こいつら、船の積み荷を奪おうとしてるんだ！			空賊たち							
あんだ、お前……。俺たち「空賊」の邪魔をしようってかぁ！？			あんだ、お前……。俺たち「空賊」の邪魔をしようってかぁ！？			空賊たち							
フン、ずいぶんといい度胸だが、たったひとりで、そいつを守り切れるとでも～！？そんな無謀なヤツにゃ、教訓を教えてやらんとなぁ！			フン、ずいぶんといい度胸だが、たったひとりで、そいつを守り切れるとでも～！？そんな無謀なヤツにゃ、教訓を教えてやらんとなぁ！			空賊たち							
……あ、あの飛空艇は！			……あ、あの飛空艇は！			空賊たち							
(-？？？？-)空賊の名を汚してやがる輩ってのは、貴様らか……。			(-？？？？-)空賊の名を汚してやがる輩ってのは、貴様らか……。			空賊たち							
黒い飛行服に、紅のスカーフ……お、お前は……「乱鴉のレオファード」！空賊団「レッドビル」の頭が、な、何故こんなところに！			黒い飛行服に、紅のスカーフ……お、お前は……「乱鴉のレオファード」！空賊団「レッドビル」の頭が、な、何故こんなところに！			空賊たち							
貴様らみてえな下衆が、空賊をかたって悪さしねえよう、その手の情報を聞き逃さねえようにしてんのさ……。オイタしたからには、相応のオシオキを覚悟してもらうぜ？			貴様らみてえな下衆が、空賊をかたって悪さしねえよう、その手の情報を聞き逃さねえようにしてんのさ……。オイタしたからには、相応のオシオキを覚悟してもらうぜ？			空賊たち							
あ、危ないところを、ありがとうございました！あの、お礼を……！			あ、危ないところを、ありがとうございました！あの、お礼を……！			空賊たち							
そうだな……イシュガルドで荷を扱っているんなら、裏で空賊と繋がりのある商人も知っているだろう？「レオファードへ」と伝えりゃあ、届けてくれる。			そうだな……イシュガルドで荷を扱っているんなら、裏で空賊と繋がりのある商人も知っているだろう？「レオファードへ」と伝えりゃあ、届けてくれる。			空賊たち							
俺より先に現場に駆けつけるとは、やるじゃねえか。さすがは、皇都で話題の「英雄」様だ……。			俺より先に現場に駆けつけるとは、やるじゃねえか。さすがは、皇都で話題の「英雄」様だ……。			空賊たち							
……お前だろう？ガーロンド・アイアンワークス社製のマナカッターを駆り、この空を飛び回っている冒険者ってのは。			……お前だろう？ガーロンド・アイアンワークス社製のマナカッターを駆り、この空を飛び回っている冒険者ってのは。			空賊たち							
俺が探し求めていた人材に、まさか、こんなところで巡り会えるとはな。			俺が探し求めていた人材に、まさか、こんなところで巡り会えるとはな。			空賊たち							
実はある仕事のために、凄腕の冒険者を探している。もちろん、ケチな件じゃねえ。あの連中みてぇな、下衆なやり方は嫌いなんでね。			実はある仕事のために、凄腕の冒険者を探している。もちろん、ケチな件じゃねえ。あの連中みてぇな、下衆なやり方は嫌いなんでね。			空賊たち							
俺が「空賊」として求めているのは、「自由」と「冒険」だ。きっと、お前も満足してくれるはずさ。			俺が「空賊」として求めているのは、「自由」と「冒険」だ。きっと、お前も満足してくれるはずさ。			空賊たち							
アバラシア雲海の高空層に、俺が率いる空賊団の目印が立ってる。極上の冒険がしたいなら、そこに来な……。			アバラシア雲海の高空層に、俺が率いる空賊団の目印が立ってる。極上の冒険がしたいなら、そこに来な……。			空賊たち							
……あなた、ここに来たのは偶然？それとも、レオファードって男に誘われて、彼が率いる空賊団「レッドビル」の旗を探していた、とか？			……あなた、ここに来たのは偶然？それとも、レオファードって男に誘われて、彼が率いる空賊団「レッドビル」の旗を探していた、とか？			空賊たち							
旗を目指してきた？			旗を目指してきた？			空賊たち							
はい			はい			空賊たち							
いいえ			いいえ			空賊たち							
では、あなたが、レオファードが見込んだ冒険者……。ふふふ、歓迎するわ。			では、あなたが、レオファードが見込んだ冒険者……。ふふふ、歓迎するわ。			空賊たち							
私は、スタシア。レオファードの相方、というより尻拭い役ってとこね。			私は、スタシア。レオファードの相方、というより尻拭い役ってとこね。			空賊たち							
あいつの誘いに、興味を示してくれてありがとう。それじゃあ、私たち「レッドビル」のアジトに招待するわ！			あいつの誘いに、興味を示してくれてありがとう。それじゃあ、私たち「レッドビル」のアジトに招待するわ！			空賊たち							
じゃあ、すぐ立ち去りなさいな。この辺りには、危険な空賊がたくさんいるのよ……？			じゃあ、すぐ立ち去りなさいな。この辺りには、危険な空賊がたくさんいるのよ……？			空賊たち							
(-？？？？-)……頑固な男だね。このアタイ自ら、話を持ちかけてるっていうのに。			(-？？？？-)……頑固な男だね。このアタイ自ら、話を持ちかけてるっていうのに。			空賊たち							
お前こそしつこいぜ、ラドリア。俺は、自由を愛しているんでね。誰かに隷属する気なんぞ、毛頭ないのさ。			お前こそしつこいぜ、ラドリア。俺は、自由を愛しているんでね。誰かに隷属する気なんぞ、毛頭ないのさ。			空賊たち							
だが、アンタが狙っている「幽霊船」の探索には、腕利きの力が必要なんじゃないかい？アンタの抱えている部下だけじゃ、心もとないだろう。			だが、アンタが狙っている「幽霊船」の探索には、腕利きの力が必要なんじゃないかい？アンタの抱えている部下だけじゃ、心もとないだろう。			空賊たち							
あいにくだが、誰に命を預けるかは、俺自身で決める。お前の部下じゃ、俺の背中を預ける気にはならねぇんだよ。			あいにくだが、誰に命を預けるかは、俺自身で決める。お前の部下じゃ、俺の背中を預ける気にはならねぇんだよ。			空賊たち							
……もっと賢い男だと思っていたよ。覚えときな、アタイは欲しいモノは必ず手に入れるんだ。どんな「強引な」手段を使うことになってもね……。			……もっと賢い男だと思っていたよ。覚えときな、アタイは欲しいモノは必ず手に入れるんだ。どんな「強引な」手段を使うことになってもね……。			空賊たち							
見ない顔だ……。ここの一味じゃないようだが？			見ない顔だ……。ここの一味じゃないようだが？			空賊たち							
レオファードが呼んだの。急に押しかけてきた「どこかの誰か」とは違って、彼が自分で招いた、正統なお客様……。			レオファードが呼んだの。急に押しかけてきた「どこかの誰か」とは違って、彼が自分で招いた、正統なお客様……。			空賊たち							
彼女は、「大鷲連合」って空賊団を率いるラドリア。どうやら、空賊としてピカイチの腕前を持つレオファードが、自分の傘下に加わらなくて、ガマンならないみたい。			彼女は、「大鷲連合」って空賊団を率いるラドリア。どうやら、空賊としてピカイチの腕前を持つレオファードが、自分の傘下に加わらなくて、ガマンならないみたい。			空賊たち							
姐さん、なめられっぱなしでいいんすか？このままじゃ、あいつら……。			姐さん、なめられっぱなしでいいんすか？このままじゃ、あいつら……。			空賊たち							
好きにさせてやりゃあいい……今は、ね。最後には、こっちが美味しい思いをさせてもらうさ。			好きにさせてやりゃあいい……今は、ね。最後には、こっちが美味しい思いをさせてもらうさ。			空賊たち							
よう、歓迎するぜ。お前に極上の冒険と、そして危険を約束しよう。……なにせ、相手は「雲海の幽霊船」だからな。			よう、歓迎するぜ。お前に極上の冒険と、そして危険を約束しよう。……なにせ、相手は「雲海の幽霊船」だからな。			空賊たち							
最近、雲海を飛び回る私たち空賊の間で、異様な姿をした、巨大飛空艇の目撃情報が相次いでいるの。			最近、雲海を飛び回る私たち空賊の間で、異様な姿をした、巨大飛空艇の目撃情報が相次いでいるの。			空賊たち							
興味を抱いて、乗り込もうとした連中も多かったけど、誰一人として戻ってきた者はいなかった……。あのフネは呪われてるんだ、なんて言う者も多いわ。			興味を抱いて、乗り込もうとした連中も多かったけど、誰一人として戻ってきた者はいなかった……。あのフネは呪われてるんだ、なんて言う者も多いわ。			空賊たち							
……いつしか付いた渾名が「雲海の幽霊船」ってわけだ。			……いつしか付いた渾名が「雲海の幽霊船」ってわけだ。			空賊たち							
俺は、あれを古代アラグ文明の遺産だと睨んでいる。ヤツに乗り込み、この目でその正体を突き止めたくてな。もちろん、古の遺物には「お宝」も付きものだぜ。			俺は、あれを古代アラグ文明の遺産だと睨んでいる。ヤツに乗り込み、この目でその正体を突き止めたくてな。もちろん、古の遺物には「お宝」も付きものだぜ。			空賊たち							
でも、そのためには、幽霊船が雲海の何処を飛行しているのか、正確に知る必要がある……。そこで、私たちは「ある装置」を開発したの。			でも、そのためには、幽霊船が雲海の何処を飛行しているのか、正確に知る必要がある……。そこで、私たちは「ある装置」を開発したの。			空賊たち							
まぁ、理屈はともかく、目標の捕捉はできそうだ。あとは「雲海の幽霊船」に乗り込み、ともに探索してくれる、命知らずの腕利き冒険者を探すだけ。			まぁ、理屈はともかく、目標の捕捉はできそうだ。あとは「雲海の幽霊船」に乗り込み、ともに探索してくれる、命知らずの腕利き冒険者を探すだけ。			空賊たち							
お前が、噂の英雄様だってことは知っている。だが、「英雄」である前に、ひとりの冒険者だ……。どうだい、俺たちと一世一代の大冒険に挑まねぇか？			お前が、噂の英雄様だってことは知っている。だが、「英雄」である前に、ひとりの冒険者だ……。どうだい、俺たちと一世一代の大冒険に挑まねぇか？			空賊たち							
そうと決まれば、さっそく準備開始ね。アバラシア雲海の高空層で、仲間たちと合流しましょう。今も、幽霊船の航路を探っているはずだわ。			そうと決まれば、さっそく準備開始ね。アバラシア雲海の高空層で、仲間たちと合流しましょう。今も、幽霊船の航路を探っているはずだわ。			空賊たち							
この子はウタタ。「レッドビル」の一員で、優秀な技術屋よ。			この子はウタタ。「レッドビル」の一員で、優秀な技術屋よ。			空賊たち							
未知の領域に挑むときは、いつも心の音が激しくなる。もちろん、今もそうさ……。この感覚は、一度味わうとやみつきになるぜ。			未知の領域に挑むときは、いつも心の音が激しくなる。もちろん、今もそうさ……。この感覚は、一度味わうとやみつきになるぜ。			空賊たち							
ウタタより腕のいい職人は世界中にいるだろう。でも俺は、ウタタより閃きの鋭いヤツは知らねえ。このガキを仲間と認める理由は、それだけで十分さ。			ウタタより腕のいい職人は世界中にいるだろう。でも俺は、ウタタより閃きの鋭いヤツは知らねえ。このガキを仲間と認める理由は、それだけで十分さ。			空賊たち							
あたしはウタタ！　空賊団「レッドビル」の技術担当さ！板金、木工、魔導技術……飛空艇のことなら任せときな！			あたしはウタタ！　空賊団「レッドビル」の技術担当さ！板金、木工、魔導技術……飛空艇のことなら任せときな！			空賊たち							
だけど、ケンカの方はさっぱりでね。……ヤバいヤツが出てきた時には、期待してるぜ？			だけど、ケンカの方はさっぱりでね。……ヤバいヤツが出てきた時には、期待してるぜ？			空賊たち							
ガントレット諸島のウタタは、幽霊船の観測結果を報告したいようだ。			ガントレット諸島のウタタは、幽霊船の観測結果を報告したいようだ。			魔航船ヴォイドアーク							
ウタタは、幽霊船のエーテルを感知する装置「霊風の羅針盤」を使用して、幽霊船の航路を特定することに成功したらしい。どの空賊も踏み入ったことのない未知の幽霊船を踏破しよう。  ※コンテンツファインダーから攻略に参加できます。			ウタタは、幽霊船のエーテルを感知する装置「霊風の羅針盤」を使用して、幽霊船の航路を特定することに成功したらしい。どの空賊も踏み入ったことのない未知の幽霊船を踏破しよう。  ※コンテンツファインダーから攻略に参加できます。			魔航船ヴォイドアーク							
「魔航船ヴォイドアーク」を攻略した。アバラシア雲海に戻ろう。			「魔航船ヴォイドアーク」を攻略した。アバラシア雲海に戻ろう。			魔航船ヴォイドアーク							
幽霊船に潜んでいた妖異ディアボロスにより、最奥に配置されていた棺が何処かへ転送されてしまった。内部で出会った謎めいた黒猫に導かれ、脱出することができた。ガントレット諸島の「レオファード」と話そう。			幽霊船に潜んでいた妖異ディアボロスにより、最奥に配置されていた棺が何処かへ転送されてしまった。内部で出会った謎めいた黒猫に導かれ、脱出することができた。ガントレット諸島の「レオファード」と話そう。			魔航船ヴォイドアーク							
「レッドビル」の前に、突如現れた「大鷲連合」に、「霊風の羅針盤」を奪われてしまった。彼女たちの企みも気にかかるが、レオファードはまずケット・シーから話を聞く。ケット・シーは、古代の都市「マハ」時代の魔道士クェーサルの使い魔だと正体を明かす。第六霊災を生き延びるために出航した浮遊船「魔航船」は、動力に使っていた妖異スカアハの暴走により、死の船となって1500年の間雲海を彷徨っていたという。ディアボロスが落とした棺に眠るスカアハを探しだすため、ケット・シーに協力することを決めるレオファード。「レッドビル」が棺を捜索する間、冒険者はしばしの自由を手にするのだった。			「レッドビル」の前に、突如現れた「大鷲連合」に、「霊風の羅針盤」を奪われてしまった。彼女たちの企みも気にかかるが、レオファードはまずケット・シーから話を聞く。ケット・シーは、古代の都市「マハ」時代の魔道士クェーサルの使い魔だと正体を明かす。第六霊災を生き延びるために出航した浮遊船「魔航船」は、動力に使っていた妖異スカアハの暴走により、死の船となって1500年の間雲海を彷徨っていたという。ディアボロスが落とした棺に眠るスカアハを探しだすため、ケット・シーに協力することを決めるレオファード。「レッドビル」が棺を捜索する間、冒険者はしばしの自由を手にするのだった。			魔航船ヴォイドアーク							
「魔航船ヴォイドアーク」を攻略			「魔航船ヴォイドアーク」を攻略			魔航船ヴォイドアーク							
レオファードと話す			レオファードと話す			魔航船ヴォイドアーク							
この子はウタタ。「レッドビル」の一員で、優秀な技術屋よ。			この子はウタタ。「レッドビル」の一員で、優秀な技術屋よ。			魔航船ヴォイドアーク							
未知の領域へ挑もうってときは、いつも心の音が激しくなる。この感覚は、一度味わうとやみつきになるぜ。もちろん、今もそうさ……。			未知の領域へ挑もうってときは、いつも心の音が激しくなる。この感覚は、一度味わうとやみつきになるぜ。もちろん、今もそうさ……。			魔航船ヴォイドアーク							
ウタタより腕のいい職人は世界中にいるだろう。でも俺は、ウタタより閃きの鋭いヤツは知らねえ。このガキを仲間と認める理由は、それだけで十分さ。			ウタタより腕のいい職人は世界中にいるだろう。でも俺は、ウタタより閃きの鋭いヤツは知らねえ。このガキを仲間と認める理由は、それだけで十分さ。			魔航船ヴォイドアーク							
腕利きの冒険者も仲間に加わったことだし、これで、突入の憂いはなくなったな！			腕利きの冒険者も仲間に加わったことだし、これで、突入の憂いはなくなったな！			魔航船ヴォイドアーク							
ウタタ、そっちの調査は上手くいったのか？			ウタタ、そっちの調査は上手くいったのか？			魔航船ヴォイドアーク							
ああ、この場所を選んで正解だったぜ！ほかの属性のエーテルに紛らわされることなく、幽霊船のエーテルを観測することができた。			ああ、この場所を選んで正解だったぜ！ほかの属性のエーテルに紛らわされることなく、幽霊船のエーテルを観測することができた。			魔航船ヴォイドアーク							
幽霊船は、かなり特殊なエーテルを纏っているらしいの。そのエーテルを感知して、位置を探る装置を造り上げたのが、このウタタってわけ。			幽霊船は、かなり特殊なエーテルを纏っているらしいの。そのエーテルを感知して、位置を探る装置を造り上げたのが、このウタタってわけ。			魔航船ヴォイドアーク							
名付けて、「霊風の羅針盤」さ！エーテル波形記録も集まったから、航路の特定もバッチリ！いつでも幽霊船を追えるぜ！			名付けて、「霊風の羅針盤」さ！エーテル波形記録も集まったから、航路の特定もバッチリ！いつでも幽霊船を追えるぜ！			魔航船ヴォイドアーク							
レオファード、全飛空艇の整備は万全よ。あなたたちが望むなら、今すぐにだって飛べるわ。			レオファード、全飛空艇の整備は万全よ。あなたたちが望むなら、今すぐにだって飛べるわ。			魔航船ヴォイドアーク							
ウタタは、ここで俺たちの帰りを待て。ヤツをロストしないよう、引き続きエーテル観測を頼むぜ。			ウタタは、ここで俺たちの帰りを待て。ヤツをロストしないよう、引き続きエーテル観測を頼むぜ。			魔航船ヴォイドアーク							
任せとけ！ギルになりそうな「お宝」を、がっぽり頼むな！			任せとけ！ギルになりそうな「お宝」を、がっぽり頼むな！			魔航船ヴォイドアーク							
お前は冒険者たちで部隊を結成し、先鋒をつとめてほしい。俺らは、ラドリアたち「大鷲連合」や、ほかの空賊を牽制する。突入を邪魔されないよう、背後を警戒しながら後に続くさ。			お前は冒険者たちで部隊を結成し、先鋒をつとめてほしい。俺らは、ラドリアたち「大鷲連合」や、ほかの空賊を牽制する。突入を邪魔されないよう、背後を警戒しながら後に続くさ。			魔航船ヴォイドアーク							
どんな脅威が待ち受けているかもわからん幽霊船が相手だ。お前の冒険者としての腕を期待してるぜ！			どんな脅威が待ち受けているかもわからん幽霊船が相手だ。お前の冒険者としての腕を期待してるぜ！			魔航船ヴォイドアーク							
さぁて……いよいよ、雲海の幽霊船に突入だ。何が待ち受けているのか、いっちょ拝みに行きますか。			さぁて……いよいよ、雲海の幽霊船に突入だ。何が待ち受けているのか、いっちょ拝みに行きますか。			魔航船ヴォイドアーク							
レオファードが無茶をしないよう見張るのも私の仕事。あいつは私に任せて、あなたは内部の踏破に集中してね。			レオファードが無茶をしないよう見張るのも私の仕事。あいつは私に任せて、あなたは内部の踏破に集中してね。			魔航船ヴォイドアーク							
俺たちは、殿(しんがり)を務める。無粋な邪魔者どもは、俺たちで排除しておくさ。お前は協力者を集めて、思い切り暴れてくれ。			俺たちは、殿(しんがり)を務める。無粋な邪魔者どもは、俺たちで排除しておくさ。お前は協力者を集めて、思い切り暴れてくれ。			魔航船ヴォイドアーク							
