ミーン工芸館のフリスリックは、協力者を探しているようだ。			ミーン工芸館のフリスリックは、協力者を探しているようだ。			孤独な漁師							
フリスリックと話した。ミーン工芸館の漁業科では、漁師の納品した魚介類をクリスタリウムの住人に卸しているようだ。彼らの漁を見学するため、レイクランドのサレン郷の「指定地点」で待機しよう。			フリスリックと話した。ミーン工芸館の漁業科では、漁師の納品した魚介類をクリスタリウムの住人に卸しているようだ。彼らの漁を見学するため、レイクランドのサレン郷の「指定地点」で待機しよう。			孤独な漁師							
サレン郷で、漁業科の漁を見学した。漁業科内には確執があり、漁師のマーヴィルたちはフリスリックを漁業科の代表だと認めていないようだ。フリスリックは現状を説明するために、あるものを見せたいらしい。クリスタリウムの博物陳列館に向かった「フリスリック」に声をかけよう。			サレン郷で、漁業科の漁を見学した。漁業科内には確執があり、漁師のマーヴィルたちはフリスリックを漁業科の代表だと認めていないようだ。フリスリックは現状を説明するために、あるものを見せたいらしい。クリスタリウムの博物陳列館に向かった「フリスリック」に声をかけよう。			孤独な漁師							
フリスリックと話した。クリスタリウムの人々の栄養失調を改善するために食事療法を提案したところ、熟練漁師たちの猛反発にあってしまったようだ。彼に協力し、依頼を正式に受注するためにミーン工芸館の「フリスリック」のもとへ向かおう。			フリスリックと話した。クリスタリウムの人々の栄養失調を改善するために食事療法を提案したところ、熟練漁師たちの猛反発にあってしまったようだ。彼に協力し、依頼を正式に受注するためにミーン工芸館の「フリスリック」のもとへ向かおう。			孤独な漁師							
フリスリックと話した。臨時の漁師として、漁業科に所属することになった。食事療法のための依頼品を納品し、クリスタリウムの栄養失調改善に貢献していこう。			フリスリックと話した。臨時の漁師として、漁業科に所属することになった。食事療法のための依頼品を納品し、クリスタリウムの栄養失調改善に貢献していこう。			孤独な漁師							
サレン郷の指定地点で待機する			サレン郷の指定地点で待機する			孤独な漁師							
博物陳列館のフリスリックと話す			博物陳列館のフリスリックと話す			孤独な漁師							
ミーン工芸館のフリスリックと話す			ミーン工芸館のフリスリックと話す			孤独な漁師							
本クエストは、「漁業科」の「ミーン工芸館取引」開放クエストです。「漁師」のクラスがレベル70以上の場合、進行することができます。			本クエストは、「漁業科」の「ミーン工芸館取引」開放クエストです。「漁師」のクラスがレベル70以上の場合、進行することができます。			孤独な漁師							
は、初めまして……ですよね……？もしかして、漁業科へ参加希望の漁師さんですか……！？			は、初めまして……ですよね……？もしかして、漁業科へ参加希望の漁師さんですか……！？			孤独な漁師							
ごっ、ごめんなさい、そうとは限らないですよね……！新しい漁師の方って珍しいので、つい……！			ごっ、ごめんなさい、そうとは限らないですよね……！新しい漁師の方って珍しいので、つい……！			孤独な漁師							
僕はフリスリックといいます……！クリスタリウムや近隣の漁村に住んでいる漁師が所属する、ミーン工芸館の「漁業科」の代表をさせてもらってます……！			僕はフリスリックといいます……！クリスタリウムや近隣の漁村に住んでいる漁師が所属する、ミーン工芸館の「漁業科」の代表をさせてもらってます……！			孤独な漁師							
ここは窓口で……漁業科に所属している漁師さんが納品した魚介類を預かり、住人の皆さんや各組織に卸すための場所です。			ここは窓口で……漁業科に所属している漁師さんが納品した魚介類を預かり、住人の皆さんや各組織に卸すための場所です。			孤独な漁師							
このクリスタリウム内でも、ホルトリウム園芸館や果樹園などで作物を栽培していますが、やっぱり肉や魚を食べないと、元気がでないですから……！			このクリスタリウム内でも、ホルトリウム園芸館や果樹園などで作物を栽培していますが、やっぱり肉や魚を食べないと、元気がでないですから……！			孤独な漁師							
もしよかったら、僕たちが普段している漁を見てみませんか？それで「漁業科」へ興味を持ってくれたら、とても嬉しいです……！			もしよかったら、僕たちが普段している漁を見てみませんか？それで「漁業科」へ興味を持ってくれたら、とても嬉しいです……！			孤独な漁師							
僕もちょうど漁師の方々に用があったので、ぜひご一緒させてください……！レイクランドの「サレン郷」へ行きましょう！			僕もちょうど漁師の方々に用があったので、ぜひご一緒させてください……！レイクランドの「サレン郷」へ行きましょう！			孤独な漁師							
お待たせしました、もう湖をご覧でしたか。クリスタリウムで取引されている魚は、この、「始まりの湖」で獲れるものがほとんどなんですよ。			お待たせしました、もう湖をご覧でしたか。クリスタリウムで取引されている魚は、この、「始まりの湖」で獲れるものがほとんどなんですよ。			孤独な漁師							
僕もついこの間までは、ここで漁をしていたのですが……いまは統括する立場になってしまって、満足に釣りすらできない日が多くて……残念です。			僕もついこの間までは、ここで漁をしていたのですが……いまは統括する立場になってしまって、満足に釣りすらできない日が多くて……残念です。			孤独な漁師							
おうおう、漁業科の代表様じゃねえか、お偉い方が、こんなところで油を売っていていいのか？それとも、また俺たちのやり方に文句をつけにきたのかよ？			おうおう、漁業科の代表様じゃねえか、お偉い方が、こんなところで油を売っていていいのか？それとも、また俺たちのやり方に文句をつけにきたのかよ？			孤独な漁師							
