ミーン工芸館のカットリスは、腕の良い職人を探しているようだ。			ミーン工芸館のカットリスは、腕の良い職人を探しているようだ。			ミーン工芸館							
カットリスと話した。ミーン工芸館は腕利きの職人を求めているらしい。興味があるなら、再度「カットリス」に話しかけて詳しい話を聞いてみよう。			カットリスと話した。ミーン工芸館は腕利きの職人を求めているらしい。興味があるなら、再度「カットリス」に話しかけて詳しい話を聞いてみよう。			ミーン工芸館							
カットリスと再度話した。ミーン工芸館とは、クリスタリウムの市民のために、日用品から軍需品に至るまで、あらゆる品を収集、製造する巨大工房、兼、巨大倉庫のようなものであるという。ミーン工芸館には大きく5つの科が存在しており、その内訳は、金属を扱う職人が集う「錬鉄科」、革、布、木のような非金属系の素材を扱う「手工科」、薬や食料を扱う「食薬科」、植物や鉱物などの採集活動を担う「調達科」、魚介類の捕獲や養殖を行う「漁業科」であるという。腕に自信があるのなら、それぞれの科の門戸を叩いてみるのもいいかもしれない。			カットリスと再度話した。ミーン工芸館とは、クリスタリウムの市民のために、日用品から軍需品に至るまで、あらゆる品を収集、製造する巨大工房、兼、巨大倉庫のようなものであるという。ミーン工芸館には大きく5つの科が存在しており、その内訳は、金属を扱う職人が集う「錬鉄科」、革、布、木のような非金属系の素材を扱う「手工科」、薬や食料を扱う「食薬科」、植物や鉱物などの採集活動を担う「調達科」、魚介類の捕獲や養殖を行う「漁業科」であるという。腕に自信があるのなら、それぞれの科の門戸を叩いてみるのもいいかもしれない。			ミーン工芸館							
カットリスと話す			カットリスと話す			ミーン工芸館							
本クエストを進行するためには、サブクエスト「職人の新たなお仕事」を完了する必要があります。			本クエストを進行するためには、サブクエスト「職人の新たなお仕事」を完了する必要があります。			ミーン工芸館							
ねえ、あんた。ミーン工芸館の仕事に興味はあるかい？			ねえ、あんた。ミーン工芸館の仕事に興味はあるかい？			ミーン工芸館							
嬉しいじゃないか。ここは、いつだって腕利きの職人を求めているからね。あんたも腕には自信のあるクチと見たが……さて、どうかな。			嬉しいじゃないか。ここは、いつだって腕利きの職人を求めているからね。あんたも腕には自信のあるクチと見たが……さて、どうかな。			ミーン工芸館							
もしも、ここでの仕事を探しているっていうのなら、工芸館のあれこれを、詳しく説明してあげようじゃないか。			もしも、ここでの仕事を探しているっていうのなら、工芸館のあれこれを、詳しく説明してあげようじゃないか。			ミーン工芸館							
ただし、ちょっとばかり長話になるからね。それでも聞きたければ、時間があるときに声をかけておくれ！			ただし、ちょっとばかり長話になるからね。それでも聞きたければ、時間があるときに声をかけておくれ！			ミーン工芸館							
それじゃ、ミーン工芸館について詳しく説明しようじゃないか。			それじゃ、ミーン工芸館について詳しく説明しようじゃないか。			ミーン工芸館							
ここでは、クリスタリウムの市民のために、日用品から軍需品に至るまで、あらゆる品を収集、製造している。言ってみれば、巨大工房、兼、巨大倉庫ってとこさ。			ここでは、クリスタリウムの市民のために、日用品から軍需品に至るまで、あらゆる品を収集、製造している。言ってみれば、巨大工房、兼、巨大倉庫ってとこさ。			ミーン工芸館							
