選者殿のデブロイは、どこか気分が悪そうだ。			選者殿のデブロイは、どこか気分が悪そうだ。			激マズ完全食							
デブロイはある食品の試作品を食べて気分が悪くなったそうだ。冒険者も試作品を食べることになった。オールド・シャーレアンの工匠殿にいる「デブロイ」と話そう。			デブロイはある食品の試作品を食べて気分が悪くなったそうだ。冒険者も試作品を食べることになった。オールド・シャーレアンの工匠殿にいる「デブロイ」と話そう。			激マズ完全食							
デブロイが出した試作品を食べたところ、掛け値なしに不味かった。彼女が口直しにご馳走してくれるという。オールド・シャーレアンのラストスタンドにいる「デブロイ」と話そう。			デブロイが出した試作品を食べたところ、掛け値なしに不味かった。彼女が口直しにご馳走してくれるという。オールド・シャーレアンのラストスタンドにいる「デブロイ」と話そう。			激マズ完全食							
デブロイから料理をご馳走になった。彼女は不味い完全食を美味しく改善しようとしていて、冒険者はその協力を頼まれた。工匠殿に戻り「デブロイ」と話そう。			デブロイから料理をご馳走になった。彼女は不味い完全食を美味しく改善しようとしていて、冒険者はその協力を頼まれた。工匠殿に戻り「デブロイ」と話そう。			激マズ完全食							
デブロイと話した。冒険者は彼女に協力することになった。シャーレアンの食文化を救うためにも、同志デブロイに力を貸していこう。			デブロイと話した。冒険者は彼女に協力することになった。シャーレアンの食文化を救うためにも、同志デブロイに力を貸していこう。			激マズ完全食							
デブロイと話す			デブロイと話す			激マズ完全食							
デブロイと再度話す			デブロイと再度話す			激マズ完全食							
デブロイとさらに話す			デブロイとさらに話す			激マズ完全食							
ど、どうも……はじめまして。私は医学部のガルヴロッシュ教授が主催する研究室で、栄養学を学んでいるデブロイという者です……。			ど、どうも……はじめまして。私は医学部のガルヴロッシュ教授が主催する研究室で、栄養学を学んでいるデブロイという者です……。			激マズ完全食							
あなた、見たところ[Job]のようですが……キィ・アリアポーさんの紹介で来てくれた方ですよね？			あなた、見たところ[Job]のようですが……キィ・アリアポーさんの紹介で来てくれた方ですよね？			激マズ完全食							
よかった、ぜひ協力してほしいことが……あ、ありまして……			よかった、ぜひ協力してほしいことが……あ、ありまして……			激マズ完全食							
う、ううう……うっぷ……。			う、ううう……うっぷ……。			激マズ完全食							
す、すみません、さっきから気分が悪くて……。というのも、私が師事する「ガルヴロッシュ」教授が作った、ある食品の試作品を食べたからなんです。			す、すみません、さっきから気分が悪くて……。というのも、私が師事する「ガルヴロッシュ」教授が作った、ある食品の試作品を食べたからなんです。			激マズ完全食							
それはあまりに……			それはあまりに……			激マズ完全食							
いえ、百聞は一食にしかず。まずは、あなたにも食べてもらった方が早い。			いえ、百聞は一食にしかず。まずは、あなたにも食べてもらった方が早い。			激マズ完全食							
よろしければ、私が研究に使わせてもらっている「工匠殿」まで、ご足労のほどお願いします。			よろしければ、私が研究に使わせてもらっている「工匠殿」まで、ご足労のほどお願いします。			激マズ完全食							
わざわざ、ありがとうございます。さっそく、例の試作品をお持ちしますね。			わざわざ、ありがとうございます。さっそく、例の試作品をお持ちしますね。			激マズ完全食							
ご覧のとおり、見た目は普通のパンですが、その味ときたら……どうか試食してみてください。			ご覧のとおり、見た目は普通のパンですが、その味ときたら……どうか試食してみてください。			激マズ完全食							
最初に感じたのは、生ごみのような風味この世のものとは思えぬえぐみ雑多な風味舌先の痺れ口の中の違和感得も言われぬ嫌悪感人生の理不尽さ神々を呪いたくなる雑味、最後に残ったのは、ひどい吐き気ひたすら後悔のみ不快なだけの後味虚無ただの異物名状しがたい絶望感運命への無力感混沌とした後味。つまるところ、掛け値なしに不味い……。			最初に感じたのは、生ごみのような風味この世のものとは思えぬえぐみ雑多な風味舌先の痺れ口の中の違和感得も言われぬ嫌悪感人生の理不尽さ神々を呪いたくなる雑味、最後に残ったのは、ひどい吐き気ひたすら後悔のみ不快なだけの後味虚無ただの異物名状しがたい絶望感運命への無力感混沌とした後味。つまるところ、掛け値なしに不味い……。			激マズ完全食							
とにかく激マズでしょう……？			とにかく激マズでしょう……？			激マズ完全食							
(-？？？？-)「完全食」に美味いも不味いもあるものか……！			(-？？？？-)「完全食」に美味いも不味いもあるものか……！			激マズ完全食							
こ、これは、ガルヴロッシュ教授……。			こ、これは、ガルヴロッシュ教授……。			激マズ完全食							
そもそも、「美食」なる概念が諸悪の根源なのだ！味にこだわるあまり、塩分、糖分、脂肪分が過多となり、健康を損なうなど言語道断ッ！			そもそも、「美食」なる概念が諸悪の根源なのだ！味にこだわるあまり、塩分、糖分、脂肪分が過多となり、健康を損なうなど言語道断ッ！			激マズ完全食							
我々が開発する「ヘルスブレッド」は、健康維持に必要な栄養素を、効率的に摂取することを可能とする、まさに一片の無駄なき「完全食」なのであるッ！			我々が開発する「ヘルスブレッド」は、健康維持に必要な栄養素を、効率的に摂取することを可能とする、まさに一片の無駄なき「完全食」なのであるッ！			激マズ完全食							
教授、こちらの方は……			教授、こちらの方は……			激マズ完全食							
しまった、無駄話にふけるなど、まさに非効率！さらに完成度を高めるべく、効率的に研究を続けねば……！			しまった、無駄話にふけるなど、まさに非効率！さらに完成度を高めるべく、効率的に研究を続けねば……！			激マズ完全食							
君も、指示していたとおり、ヘルスブレッドの「消化効率の改善」を急ぐのだ！よいか、一時たりとも無駄にするなよッ！			君も、指示していたとおり、ヘルスブレッドの「消化効率の改善」を急ぐのだ！よいか、一時たりとも無駄にするなよッ！			激マズ完全食							
申し訳ありません。ガルヴロッシュ教授の非礼をお詫びします……。			申し訳ありません。ガルヴロッシュ教授の非礼をお詫びします……。			激マズ完全食							
ああ見えて、医学部の教授として、栄養学の確立に貢献した偉大な研究者でして……かの有名な「賢人パン」を考案した方でもあるのです。			ああ見えて、医学部の教授として、栄養学の確立に貢献した偉大な研究者でして……かの有名な「賢人パン」を考案した方でもあるのです。			激マズ完全食							
そして、不味いものを食べさせてごめんなさい。どうしても、ことの深刻さを知ってもらいたかったのです。			そして、不味いものを食べさせてごめんなさい。どうしても、ことの深刻さを知ってもらいたかったのです。			激マズ完全食							
口直しに、「ラストスタンド」で美味しいものをご馳走しますので、詳しいことはそこでお話しさせてください。			口直しに、「ラストスタンド」で美味しいものをご馳走しますので、詳しいことはそこでお話しさせてください。			激マズ完全食							
それでは、先に席について待っていてください。			それでは、先に席について待っていてください。			激マズ完全食							
お待たせいたしました！			お待たせいたしました！			激マズ完全食							
実は私、大学で学ぶ傍ら、このお店で働かせてもらっているんです。こちらの料理も、私が丹精込めて作った品ですので、どうぞお召し上がりください！			実は私、大学で学ぶ傍ら、このお店で働かせてもらっているんです。こちらの料理も、私が丹精込めて作った品ですので、どうぞお召し上がりください！			激マズ完全食							
何と言う？			何と言う？			激マズ完全食							
美味い、美味すぎる……！			美味い、美味すぎる……！			激マズ完全食							
口の中に清らかな風が吹き抜け、穢れが浄化されたようだ！			口の中に清らかな風が吹き抜け、穢れが浄化されたようだ！			激マズ完全食							
よかった！ロブスターのオーブン焼き、お口に合ったようで何よりです……！			よかった！ロブスターのオーブン焼き、お口に合ったようで何よりです……！			激マズ完全食							
この料理は、蒼茫洋で獲れた新鮮なロブスターの身を取り出し、バターとオリーヴオイルでソテーして、白ワインで蒸すのですが、ここで気をつけるのは火を通し過ぎないこと……			この料理は、蒼茫洋で獲れた新鮮なロブスターの身を取り出し、バターとオリーヴオイルでソテーして、白ワインで蒸すのですが、ここで気をつけるのは火を通し過ぎないこと……			激マズ完全食							
それをまた殻に詰めてから、タイム、オレガノ、ローズマリー、といった香草を散らして、オーブンでじっくり焼いて、ああ、このときにも火加減に注意して一定の温度で……			それをまた殻に詰めてから、タイム、オレガノ、ローズマリー、といった香草を散らして、オーブンでじっくり焼いて、ああ、このときにも火加減に注意して一定の温度で……			激マズ完全食							
何と言う？			何と言う？			激マズ完全食							
もういい、わかった！			もういい、わかった！			激マズ完全食							
とにかく、美味かったよ！			とにかく、美味かったよ！			激マズ完全食							
す、すみません、私、料理のことになると、つい夢中になってしまうもので……。			す、すみません、私、料理のことになると、つい夢中になってしまうもので……。			激マズ完全食							
では、遅くなりましたが、いま私が直面している事態と、あなたに協力してほしいことを説明します。			では、遅くなりましたが、いま私が直面している事態と、あなたに協力してほしいことを説明します。			激マズ完全食							
始まりは、栄養学を研究しているガルヴロッシュ研究室に、哲学者議会からひとつの依頼が舞い込んだことでした。			始まりは、栄養学を研究しているガルヴロッシュ研究室に、哲学者議会からひとつの依頼が舞い込んだことでした。			激マズ完全食							
それは、人が生きていくために必要な栄養素をすべて補える、「完全食」を開発してほしいというもの。			それは、人が生きていくために必要な栄養素をすべて補える、「完全食」を開発してほしいというもの。			激マズ完全食							
何でも有事に備えるためらしく、ラヴィリンソスで生産可能な食材のみで作れるように、という条件も付けられていました。			何でも有事に備えるためらしく、ラヴィリンソスで生産可能な食材のみで作れるように、という条件も付けられていました。			激マズ完全食							
ガルヴロッシュ教授は、大張り切りで、賢人パンをベースとした「ヘルスブレッド」の開発に着手。その試作品が、先ほどあなたに試食してもらったものです。			ガルヴロッシュ教授は、大張り切りで、賢人パンをベースとした「ヘルスブレッド」の開発に着手。その試作品が、先ほどあなたに試食してもらったものです。			激マズ完全食							
もとより評判の良くなかった賢人パンの味が、栄養価を高めるほどに、みるみると悪化……試食した人の中には、気分が悪くなり嘔吐した人もいるほどです。			もとより評判の良くなかった賢人パンの味が、栄養価を高めるほどに、みるみると悪化……試食した人の中には、気分が悪くなり嘔吐した人もいるほどです。			激マズ完全食							
それを教授は、消化しにくかったからだと決めつけ、私に「消化効率の改善」を命じてきました。単に激マズなだけなのに……。			それを教授は、消化しにくかったからだと決めつけ、私に「消化効率の改善」を命じてきました。単に激マズなだけなのに……。			激マズ完全食							
もし本当に有事となって、ヘルスブレッドばかり食べることになったら大変です。栄養失調にはならずとも、それは地獄のような日々でしょう。			もし本当に有事となって、ヘルスブレッドばかり食べることになったら大変です。栄養失調にはならずとも、それは地獄のような日々でしょう。			激マズ完全食							
さらには、教授は美食を不要なものとして、目の敵にしています。ヘルスブレッドが哲学者議会で採用されたら、非常食ではなく、国民食にしようと言い出す恐れも……。			さらには、教授は美食を不要なものとして、目の敵にしています。ヘルスブレッドが哲学者議会で採用されたら、非常食ではなく、国民食にしようと言い出す恐れも……。			激マズ完全食							
もともと、シャーレアン人は美食に時間をかけることよりも、手早く、効率的に、栄養を摂取することを選びがちです。実際、研究で忙しくなると、サンドイッチだけで済ませてしまう。			もともと、シャーレアン人は美食に時間をかけることよりも、手早く、効率的に、栄養を摂取することを選びがちです。実際、研究で忙しくなると、サンドイッチだけで済ませてしまう。			激マズ完全食							
そんな国民性なので、不味いヘルスブレッドが、国民食となってしまうことも、十分あり得るんですよ……！			そんな国民性なので、不味いヘルスブレッドが、国民食となってしまうことも、十分あり得るんですよ……！			激マズ完全食							
かくいう私もシャーレアンの生まれ。美食には特に興味を持っておりませんでしたが、このラストスタンドの料理を食べて虜になりました。			かくいう私もシャーレアンの生まれ。美食には特に興味を持っておりませんでしたが、このラストスタンドの料理を食べて虜になりました。			激マズ完全食							
そして、魔法大学の医学部には栄養学の一環として、膨大なレシピや食材の情報があると知って進学したのです。			そして、魔法大学の医学部には栄養学の一環として、膨大なレシピや食材の情報があると知って進学したのです。			激マズ完全食							
しかし、それらは学術的な興味で収集しているだけであって、栄養学の授業は美食とは無縁のものでした。仕方なくこの店で働かせてもらい、調理を学んでいます。			しかし、それらは学術的な興味で収集しているだけであって、栄養学の授業は美食とは無縁のものでした。仕方なくこの店で働かせてもらい、調理を学んでいます。			激マズ完全食							
もはや、大学にいることに意義を見出せず、辞めようと考えていたところ、完全食の件が舞い込みました。			もはや、大学にいることに意義を見出せず、辞めようと考えていたところ、完全食の件が舞い込みました。			激マズ完全食							
