選者殿のヒナゲシは、協力者を探しているようだ。			選者殿のヒナゲシは、協力者を探しているようだ。			甘い文化体験							
ヒナゲシと話し、文化学部の依頼を引き受けることにした。オールド・シャーレアンのヌーメノン大書院の「タンキン」を探そう。			ヒナゲシと話し、文化学部の依頼を引き受けることにした。オールド・シャーレアンのヌーメノン大書院の「タンキン」を探そう。			甘い文化体験							
タンキンを見つけ、「賢人パン」を渡した。依頼の詳細を聞くため、オールド・シャーレアンの選者殿の「タンキン」と話そう。			タンキンを見つけ、「賢人パン」を渡した。依頼の詳細を聞くため、オールド・シャーレアンの選者殿の「タンキン」と話そう。			甘い文化体験							
タンキンと話した。文化学部の次の研究テーマは、未来に受け継ぐべき最良の生活を模索するため、他の文化の生活様式を再現することだという。冒険者は、そのために必要な素材集めを引き受けることになった。選者殿の「ヒナゲシ」と話そう。			タンキンと話した。文化学部の次の研究テーマは、未来に受け継ぐべき最良の生活を模索するため、他の文化の生活様式を再現することだという。冒険者は、そのために必要な素材集めを引き受けることになった。選者殿の「ヒナゲシ」と話そう。			甘い文化体験							
ヒナゲシと話した。彼女は、タンキンに恋心を抱いているようだ。文化学部の研究に協力するかたわら、彼女の恋も応援しよう。			ヒナゲシと話した。彼女は、タンキンに恋心を抱いているようだ。文化学部の研究に協力するかたわら、彼女の恋も応援しよう。			甘い文化体験							
タンキンを探す			タンキンを探す			甘い文化体験							
タンキンと話す			タンキンと話す			甘い文化体験							
ヒナゲシと話す			ヒナゲシと話す			甘い文化体験							
あのぉ、ちょっとよろしいですか～？			あのぉ、ちょっとよろしいですか～？			甘い文化体験							
私、文化学部のタンキン研究室に所属しているヒナゲシです。実は今、タンキン教授の研究を手伝ってくれる、グリーナーを探してまして……。			私、文化学部のタンキン研究室に所属しているヒナゲシです。実は今、タンキン教授の研究を手伝ってくれる、グリーナーを探してまして……。			甘い文化体験							
見たところ熟練の[Job]さんのようですから、ちょっと、お話だけでも聞いてもらえませんか～？			見たところ熟練の[Job]さんのようですから、ちょっと、お話だけでも聞いてもらえませんか～？			甘い文化体験							
ありがとうございます！			ありがとうございます！			甘い文化体験							
