選者殿のチャ・ラカ・ティアは、協力者を探しているようだ。			選者殿のチャ・ラカ・ティアは、協力者を探しているようだ。			崖っぷち准教授の論文							
チャ・ラカ・ティアと話し、エーテル学部の研究と水脈に関する論文ついて聞いた。彼のエーテル酔いの酷さを知るため、オールド・シャーレアンのエーテライト・プラザの「チャ・ラカ・ティア」と話そう。			チャ・ラカ・ティアと話し、エーテル学部の研究と水脈に関する論文ついて聞いた。彼のエーテル酔いの酷さを知るため、オールド・シャーレアンのエーテライト・プラザの「チャ・ラカ・ティア」と話そう。			崖っぷち准教授の論文							
チャ・ラカ・ティアと話した。師として目を掛けてくれているネレーのためにも、論文を次の学会に絶対に間に合わせなければならないという。冒険者は、論文に必要なデータ採集を引き受けることになった。依頼の詳細を聞くため、オールド・シャーレアンの選者殿の「チャ・ラカ・ティア」と話そう。			チャ・ラカ・ティアと話した。師として目を掛けてくれているネレーのためにも、論文を次の学会に絶対に間に合わせなければならないという。冒険者は、論文に必要なデータ採集を引き受けることになった。依頼の詳細を聞くため、オールド・シャーレアンの選者殿の「チャ・ラカ・ティア」と話そう。			崖っぷち准教授の論文							
チャ・ラカ・ティアと話した。環境エーテル研究室と、そして彼の研究者としての将来のため、論文の完成を目指し、これから協力していこう。			チャ・ラカ・ティアと話した。環境エーテル研究室と、そして彼の研究者としての将来のため、論文の完成を目指し、これから協力していこう。			崖っぷち准教授の論文							
チャ・ラカ・ティアと話す			チャ・ラカ・ティアと話す			崖っぷち准教授の論文							
チャ・ラカ・ティアと再度話す			チャ・ラカ・ティアと再度話す			崖っぷち准教授の論文							
もしかして、お前か！？頼もしいグリーナーに会えるって聞いてきたんだ。さっそく詳しい話をさせてほしいんだけど、ええとまず……			もしかして、お前か！？頼もしいグリーナーに会えるって聞いてきたんだ。さっそく詳しい話をさせてほしいんだけど、ええとまず……			崖っぷち准教授の論文							
おっと……悪い、自己紹介もまだだったな。俺の名は、チャ・ラカ・ティア……エーテル学部の准教授だ。			おっと……悪い、自己紹介もまだだったな。俺の名は、チャ・ラカ・ティア……エーテル学部の准教授だ。			崖っぷち准教授の論文							
実は、次の学会での研究発表が迫ってきててさ。しっかし、論文に使うデータ採集が全然進んでなくってなぁ……！			実は、次の学会での研究発表が迫ってきててさ。しっかし、論文に使うデータ採集が全然進んでなくってなぁ……！			崖っぷち准教授の論文							
今度の学会でちゃんと結果を出さないと……俺が主催する「環境エーテル研究室」がマズいことになりそうでさ。まさに存亡の危機ってやつなんだよぉ！			今度の学会でちゃんと結果を出さないと……俺が主催する「環境エーテル研究室」がマズいことになりそうでさ。まさに存亡の危機ってやつなんだよぉ！			崖っぷち准教授の論文							
お前、腕利きの漁師なんだろ？ここ選者殿の一角をウチの研究のために間借りしてるから、よかったら向こうで、改めて相談させてくれないか！？			お前、腕利きの漁師なんだろ？ここ選者殿の一角をウチの研究のために間借りしてるから、よかったら向こうで、改めて相談させてくれないか！？			崖っぷち准教授の論文							
