ワチュメキメキ万貨街のラルソジは、冒険者の到来に胸を撫でおろしているようだ。			ワチュメキメキ万貨街のラルソジは、冒険者の到来に胸を撫でおろしているようだ。			街の金荒物屋さん							
金荒物を扱う店の店主ラルソジと話し、大口注文の対応に苦慮していることを知った。協力するにあたり、トライヨラのベイサイド・ベヴィー付近で仕入れをしてるらしい「パパーニ」という従業員と話そう。			金荒物を扱う店の店主ラルソジと話し、大口注文の対応に苦慮していることを知った。協力するにあたり、トライヨラのベイサイド・ベヴィー付近で仕入れをしてるらしい「パパーニ」という従業員と話そう。			街の金荒物屋さん							
金荒物屋ラルソジの従業員パパーニは、以前に見かけた元壺匠の女性であったことを知った。ワチュメキメキ万貨街の「ラルソジ」のもとへ戻ろう。			金荒物屋ラルソジの従業員パパーニは、以前に見かけた元壺匠の女性であったことを知った。ワチュメキメキ万貨街の「ラルソジ」のもとへ戻ろう。			街の金荒物屋さん							
ラルソジと話し、店の大口注文を手伝っていくことになった。世間知らずのパパーニを抱える金荒物屋ラルソジは、これからどうなっていくのだろうか。			ラルソジと話し、店の大口注文を手伝っていくことになった。世間知らずのパパーニを抱える金荒物屋ラルソジは、これからどうなっていくのだろうか。			街の金荒物屋さん							
パパーニと話す			パパーニと話す			街の金荒物屋さん							
ラルソジと話す			ラルソジと話す			街の金荒物屋さん							
ん、ローペリの紹介で来てくれた金属加工の職人か？いやあ、助かった……！			ん、ローペリの紹介で来てくれた金属加工の職人か？いやあ、助かった……！			街の金荒物屋さん							
俺はラルソジ、この「金荒物屋(かなあらものや)ラルソジ」の店主だ。鍋やら包丁やら、とにかく金属製の日用品なら、なんでも作る街の鍛冶屋と思ってもらえればいい。			俺はラルソジ、この「金荒物屋(かなあらものや)ラルソジ」の店主だ。鍋やら包丁やら、とにかく金属製の日用品なら、なんでも作る街の鍛冶屋と思ってもらえればいい。			街の金荒物屋さん							
それも、日々の暮らしに支障が出ないように、頼まれたら、できるだけ「早く」仕上げるのがうちの信条だ。			それも、日々の暮らしに支障が出ないように、頼まれたら、できるだけ「早く」仕上げるのがうちの信条だ。			街の金荒物屋さん							
まぁ、その分、品質重視の高級志向とは縁遠いがね。			まぁ、その分、品質重視の高級志向とは縁遠いがね。			街の金荒物屋さん							
俺も昔はこの分野で、王宮の御用達になりたいと思っていたこともあったが……それは、若気の至りってやつだな。			俺も昔はこの分野で、王宮の御用達になりたいと思っていたこともあったが……それは、若気の至りってやつだな。			街の金荒物屋さん							
繊細で豪華な金銀細工なんかは、もっぱらモブリン族たちの領分さ。だが、日用品で民の暮らしを支えることだって立派な仕事だろ？			繊細で豪華な金銀細工なんかは、もっぱらモブリン族たちの領分さ。だが、日用品で民の暮らしを支えることだって立派な仕事だろ？			街の金荒物屋さん							
とにかく、うちは「仕事の早さ」を売りにしてるってわけだ。			とにかく、うちは「仕事の早さ」を売りにしてるってわけだ。			街の金荒物屋さん							
とにかく、うちは「仕事の早さ」を売りにしてるってわけだ。街が襲われたせいで、今は生活必需品が足りてないお客も多いから、なおさらな。			とにかく、うちは「仕事の早さ」を売りにしてるってわけだ。街が襲われたせいで、今は生活必需品が足りてないお客も多いから、なおさらな。			街の金荒物屋さん							
あんたを紹介してもらったのは、ほかでもない。そんな仕事で、ちょいと困ったことが起きててな……。			あんたを紹介してもらったのは、ほかでもない。そんな仕事で、ちょいと困ったことが起きててな……。			街の金荒物屋さん							
最近、ここで働きたいという奴が来たから雇ったんだ。金属加工の経験者だという、そいつの働きを期待して、普段は受けない大口注文も受けるようにしたんだよ。			最近、ここで働きたいという奴が来たから雇ったんだ。金属加工の経験者だという、そいつの働きを期待して、普段は受けない大口注文も受けるようにしたんだよ。			街の金荒物屋さん							
しかしな、その新入り「パパーニ」が……真面目な態度とは裏腹に、上手く仕事が回せていない。			しかしな、その新入り「パパーニ」が……真面目な態度とは裏腹に、上手く仕事が回せていない。			街の金荒物屋さん							
このままじゃ、注文をしてくれた客に迷惑をかけちまう。もちろん、然るべき報酬は渡すから、どうかうちの店を手伝ってほしい……！			このままじゃ、注文をしてくれた客に迷惑をかけちまう。もちろん、然るべき報酬は渡すから、どうかうちの店を手伝ってほしい……！			街の金荒物屋さん							
何と言う？			何と言う？			街の金荒物屋さん							
任せて！			任せて！			街の金荒物屋さん							
報酬がもらえるなら			報酬がもらえるなら			街の金荒物屋さん							
ありがとう、助かるよ。その頼もしさ、そんじょそこらの職人じゃなさそうだな。			ありがとう、助かるよ。その頼もしさ、そんじょそこらの職人じゃなさそうだな。			街の金荒物屋さん							
ああ、職人として信頼できる返答だ。ありがとう、助かるよ。			ああ、職人として信頼できる返答だ。ありがとう、助かるよ。			街の金荒物屋さん							
じゃあ、挨拶がてら「パパーニ」を呼んできてくれないか？ベイサイド・ベヴィーに、鍋の素材を仕入れに行かせたんだが、なかなか戻ってこないんだよ。			じゃあ、挨拶がてら「パパーニ」を呼んできてくれないか？ベイサイド・ベヴィーに、鍋の素材を仕入れに行かせたんだが、なかなか戻ってこないんだよ。			街の金荒物屋さん							
挨拶がてら「パパーニ」を呼んできてくれないか？ベイサイド・ベヴィーで仕入れをしてるはずなんだが、なかなか戻ってこないんだよ。			挨拶がてら「パパーニ」を呼んできてくれないか？ベイサイド・ベヴィーで仕入れをしてるはずなんだが、なかなか戻ってこないんだよ。			街の金荒物屋さん							
あれ……？あなたはウクラマト様と一緒にいた……！			あれ……？あなたはウクラマト様と一緒にいた……！			街の金荒物屋さん							
どうも、私は元壺匠(つぼだくみ)のパパーニ！覚えてないかもしれないけど、アースンシャイアであなたたちとすれ違ってたんだ。			どうも、私は元壺匠(つぼだくみ)のパパーニ！覚えてないかもしれないけど、アースンシャイアであなたたちとすれ違ってたんだ。			街の金荒物屋さん							
思えば、モブリン族の人たちが提供する環境は最高だったなぁ。寝床はふかふかだし、ごはんも美味しいし、家事を一切任せて、ものづくりに没頭できたから……！			思えば、モブリン族の人たちが提供する環境は最高だったなぁ。寝床はふかふかだし、ごはんも美味しいし、家事を一切任せて、ものづくりに没頭できたから……！			街の金荒物屋さん							
でも大嵐のせいで、物資や世話係の手が足りなくなっちゃって、仕方なく壺匠の契約を破棄して、トライヨラにきたの。あの環境はもう、しばらく得られないみたいだったから……。			でも大嵐のせいで、物資や世話係の手が足りなくなっちゃって、仕方なく壺匠の契約を破棄して、トライヨラにきたの。あの環境はもう、しばらく得られないみたいだったから……。			街の金荒物屋さん							
あなたは、どうしてここに？			あなたは、どうしてここに？			街の金荒物屋さん							
金属加工の職人として、ラルソジさんのお店を手伝ってくれる……！？			金属加工の職人として、ラルソジさんのお店を手伝ってくれる……！？			街の金荒物屋さん							
すみません、すみません！自分のせいだぁーーーーーー！！			すみません、すみません！自分のせいだぁーーーーーー！！			街の金荒物屋さん							
私が、ラルソジさんからの依頼を、全然上手にこなせないばっかりに……！			私が、ラルソジさんからの依頼を、全然上手にこなせないばっかりに……！			街の金荒物屋さん							
さっき言ったとおり、私は壺匠だったでしょ？モブリン族の人たちが求めるのは、豪華な金銀細工だから、いざ日用品を作れと言われても……			さっき言ったとおり、私は壺匠だったでしょ？モブリン族の人たちが求めるのは、豪華な金銀細工だから、いざ日用品を作れと言われても……			街の金荒物屋さん							
鍋に使う素材にはなにが最適かわからなくて、店の前でずっと悩んでたら、もうこんな時間で、途方に暮れて、ここに……。			鍋に使う素材にはなにが最適かわからなくて、店の前でずっと悩んでたら、もうこんな時間で、途方に暮れて、ここに……。			街の金荒物屋さん							
お使いひとつ満足にこなせないなんて……これじゃあ、職人失格だぁ……。			お使いひとつ満足にこなせないなんて……これじゃあ、職人失格だぁ……。			街の金荒物屋さん							
あなたはご存じのようだけど、壺匠の存在を知らない人も多い。だから職人としての実績を信じてもらえなくて、トライヨラでの仕事が決まらないなか……			あなたはご存じのようだけど、壺匠の存在を知らない人も多い。だから職人としての実績を信じてもらえなくて、トライヨラでの仕事が決まらないなか……			街の金荒物屋さん							
ラルソジさんは……あの人だけは、壺匠のことは知らなくとも、雇ってくれた。そんな恩情に報いたい……。			ラルソジさんは……あの人だけは、壺匠のことは知らなくとも、雇ってくれた。そんな恩情に報いたい……。			街の金荒物屋さん							
そんなところにあなたが来てくれたし、鍋に使う素材についても、改めて教わらないと。くよくよしている場合じゃなぁい！			そんなところにあなたが来てくれたし、鍋に使う素材についても、改めて教わらないと。くよくよしている場合じゃなぁい！			街の金荒物屋さん							
まずは「ラルソジ」さんのお店に戻らなきゃ！			まずは「ラルソジ」さんのお店に戻らなきゃ！			街の金荒物屋さん							
なるほど、トライヨラで手に入る素材のなかで、鍋作りに使えるのは「トラル鉄鉱」からできるインゴット、と……！			なるほど、トライヨラで手に入る素材のなかで、鍋作りに使えるのは「トラル鉄鉱」からできるインゴット、と……！			街の金荒物屋さん							
Forename、すまなかった。まさか、パパーニが鍋に使う素材すら知らなかったとはな……。			Forename、すまなかった。まさか、パパーニが鍋に使う素材すら知らなかったとはな……。			街の金荒物屋さん							
まあいい、素材の仕入れは後回しにするとして、ふたりが揃ったところで、大口注文の話を進めよう。準備が整い次第、改めて声をかけてくれるか？			まあいい、素材の仕入れは後回しにするとして、ふたりが揃ったところで、大口注文の話を進めよう。準備が整い次第、改めて声をかけてくれるか？			街の金荒物屋さん							
「金荒物屋ラルソジ」の、ワチュメキメキ万貨街取引が開放されました！「ラルソジ」に話しかけて、納品を開始しましょう！			「金荒物屋ラルソジ」の、ワチュメキメキ万貨街取引が開放されました！「ラルソジ」に話しかけて、納品を開始しましょう！			街の金荒物屋さん							
ワチュメキメキ万貨街のラルソジは、日用品の大口注文を抱えているようだ。			ワチュメキメキ万貨街のラルソジは、日用品の大口注文を抱えているようだ。			金荒物屋の顧客							
ラルソジと話し、ハヌハヌ族が使う日用品の製作を依頼された。「葦刈鎌」を6つ製作し、トライヨラのワチュメキメキ万貨街にいるラルソジに納品しよう。※納品は、収集価値「170」以上で可能となりますが、「340」以上で納品した場合、より多くの報酬が得られます。			ラルソジと話し、ハヌハヌ族が使う日用品の製作を依頼された。「葦刈鎌」を6つ製作し、トライヨラのワチュメキメキ万貨街にいるラルソジに納品しよう。※納品は、収集価値「170」以上で可能となりますが、「340」以上で納品した場合、より多くの報酬が得られます。			金荒物屋の顧客							
ラルソジに葦刈鎌を納品し、引き取りにきたハヌハヌ族の農家の女性に感謝された。パパーニは客に直接感謝されたことが初めてで感動しているようだ。引き続き、金荒物屋を営む彼女たちに協力していこう。			ラルソジに葦刈鎌を納品し、引き取りにきたハヌハヌ族の農家の女性に感謝された。パパーニは客に直接感謝されたことが初めてで感動しているようだ。引き続き、金荒物屋を営む彼女たちに協力していこう。			金荒物屋の顧客							
ラルソジに葦刈鎌を納品			ラルソジに葦刈鎌を納品			金荒物屋の顧客							
大口注文、がんばらないと……！			大口注文、がんばらないと……！			金荒物屋の顧客							
じゃあ、改めて……うちの店が受けてる大口注文について、説明させてもらいたい。			じゃあ、改めて……うちの店が受けてる大口注文について、説明させてもらいたい。			金荒物屋の顧客							
今回、注文があったのは、ハヌハヌ族が葦の収穫に使う「葦刈鎌」だ。			今回、注文があったのは、ハヌハヌ族が葦の収穫に使う「葦刈鎌」だ。			金荒物屋の顧客							
葦は、軽い割に堅いから、刃の斬れ味には、気を配ってほしい。それにお客の大きな手に合わせて、握りは太めにな。			葦は、軽い割に堅いから、刃の斬れ味には、気を配ってほしい。それにお客の大きな手に合わせて、握りは太めにな。			金荒物屋の顧客							
葦の収穫期は近いが、Forenameが6本ほど作ってくれれば、あとは俺とパパーニで、どうにかなるだろう。			葦の収穫期は近いが、Forenameが6本ほど作ってくれれば、あとは俺とパパーニで、どうにかなるだろう。			金荒物屋の顧客							
どうか、よろしく頼む。			どうか、よろしく頼む。			金荒物屋の顧客							
「金荒物屋ラルソジ」への納品が開始されました！依頼されたアイテムをラルソジに納品し、貢献していきましょう！			「金荒物屋ラルソジ」への納品が開始されました！依頼されたアイテムをラルソジに納品し、貢献していきましょう！			金荒物屋の顧客							
なお、依頼品の納品には一定の収集価値が必要となり、価値が高いアイテムの場合は、報酬にボーナスがつきます。まずは依頼品リストを確認してみましょう！			なお、依頼品の納品には一定の収集価値が必要となり、価値が高いアイテムの場合は、報酬にボーナスがつきます。まずは依頼品リストを確認してみましょう！			金荒物屋の顧客							
ハヌハヌ族は、手のひらが大きい上に爪も鋭い。握りの太さだけじゃなく、形にもひと工夫したほうがいいのかな……？			ハヌハヌ族は、手のひらが大きい上に爪も鋭い。握りの太さだけじゃなく、形にもひと工夫したほうがいいのかな……？			金荒物屋の顧客							
ハヌハヌ族が葦を収穫するための、「葦刈鎌」を頼めるか？			ハヌハヌ族が葦を収穫するための、「葦刈鎌」を頼めるか？			金荒物屋の顧客							
ありがとう、助かる。刃の鋭さも、握りの太さも十分なようだ。あんたは優秀な職人なんだな。			ありがとう、助かる。刃の鋭さも、握りの太さも十分なようだ。あんたは優秀な職人なんだな。			金荒物屋の顧客							
ありがとう、助かる。この刃の鋭さ……束ねた葦をまとめて斬り落とせそうだ。あんた外つ国じゃ、さぞ有名な職人だったんじゃないか？			ありがとう、助かる。この刃の鋭さ……束ねた葦をまとめて斬り落とせそうだ。あんた外つ国じゃ、さぞ有名な職人だったんじゃないか？			金荒物屋の顧客							
依頼品を納品したことで、ラルソジはあなたの貢献を実感し始めました。			依頼品を納品したことで、ラルソジはあなたの貢献を実感し始めました。			金荒物屋の顧客							
今後も積極的に依頼品の納品を行い、貢献度を蓄積させていきましょう！			今後も積極的に依頼品の納品を行い、貢献度を蓄積させていきましょう！			金荒物屋の顧客							
ふたりともご苦労だった。こうしてそれぞれが作ったものを並べてみたが、うん、十分な出来だ。			ふたりともご苦労だった。こうしてそれぞれが作ったものを並べてみたが、うん、十分な出来だ。			金荒物屋の顧客							
箱の中の本数も確認したが……Forenameが納品してくれた6本と、俺が作った3本とパパーニの2本で、数も足りるな。			箱の中の本数も確認したが……Forenameが納品してくれた6本と、俺が作った3本とパパーニの2本で、数も足りるな。			金荒物屋の顧客							
ごめんなさい、もっとも葦を刈りやすい形状と、長く使えるような「品質」にこだわっていたら、時間がかかってしまって……！			ごめんなさい、もっとも葦を刈りやすい形状と、長く使えるような「品質」にこだわっていたら、時間がかかってしまって……！			金荒物屋の顧客							
結果、単純な構造に立ち返ったというわけだな。その方が「早く」作れるし、使う側の手入れも楽だろうし、それに越したことはない。			結果、単純な構造に立ち返ったというわけだな。その方が「早く」作れるし、使う側の手入れも楽だろうし、それに越したことはない。			金荒物屋の顧客							
さっそく依頼主に取りに来てもらうから、ここで待っててくれ。常連だし、すぐに連絡がつくはずだ。			さっそく依頼主に取りに来てもらうから、ここで待っててくれ。常連だし、すぐに連絡がつくはずだ。			金荒物屋の顧客							
待たせたな、これが依頼の品だ。			待たせたな、これが依頼の品だ。			金荒物屋の顧客							
とても、とても、感謝します！街まで買い付けにきた甲斐あって、これで葦の収穫もぐんと楽になります！			とても、とても、感謝します！街まで買い付けにきた甲斐あって、これで葦の収穫もぐんと楽になります！			金荒物屋の顧客							
私たちにとって、葦の収穫は大仕事なんです。柔らかいものは食料に、しっかりしたものは建材に使われる、生活に無くてはならない大切な作物ですから！			私たちにとって、葦の収穫は大仕事なんです。柔らかいものは食料に、しっかりしたものは建材に使われる、生活に無くてはならない大切な作物ですから！			金荒物屋の顧客							
あなたがたも職人さんですね？素敵なお仕事、ありがとうございます！			あなたがたも職人さんですね？素敵なお仕事、ありがとうございます！			金荒物屋の顧客							
いや、その、どういたしまして……！			いや、その、どういたしまして……！			金荒物屋の顧客							
なんだいあんたは、まるで、生まれて初めて礼を言われたようじゃないか。ここに来る前も職人をしてたんだろう？			なんだいあんたは、まるで、生まれて初めて礼を言われたようじゃないか。ここに来る前も職人をしてたんだろう？			金荒物屋の顧客							
そうだけど販売は他人任せだったから、お客さんからのお礼を直接聞いたのは初めてで……			そうだけど販売は他人任せだったから、お客さんからのお礼を直接聞いたのは初めてで……			金荒物屋の顧客							
すごく……すごく嬉しい！こちらこそありがとうございます！			すごく……すごく嬉しい！こちらこそありがとうございます！			金荒物屋の顧客							
あらあら、気持ちのいい職人さんだこと！ずっとひとりでやってきたこのお店に職人さんが増えるって、ラルソジさんが嬉しそうに話すわけだわ！			あらあら、気持ちのいい職人さんだこと！ずっとひとりでやってきたこのお店に職人さんが増えるって、ラルソジさんが嬉しそうに話すわけだわ！			金荒物屋の顧客							
言うんじゃない……！			言うんじゃない……！			金荒物屋の顧客							
「金荒物屋ラルソジ」は手早く素敵なお店だと、知り合いにも宣伝しておきます！これからも、これからも、よろしくお願いしますね！			「金荒物屋ラルソジ」は手早く素敵なお店だと、知り合いにも宣伝しておきます！これからも、これからも、よろしくお願いしますね！			金荒物屋の顧客							
ああ、ありがたいよ。また御贔屓に。			ああ、ありがたいよ。また御贔屓に。			金荒物屋の顧客							
おかげで、また注文が入るかもしれない。とはいえパパーニは、まだまだ日用品作りに慣れが必要そうだな。			おかげで、また注文が入るかもしれない。とはいえパパーニは、まだまだ日用品作りに慣れが必要そうだな。			金荒物屋の顧客							
Forename。あんたも引き続き手伝ってもらえると助かるよ。			Forename。あんたも引き続き手伝ってもらえると助かるよ。			金荒物屋の顧客							
