ヤーンの大穴のビッグスは、一息ついたようだ。			ヤーンの大穴のビッグスは、一息ついたようだ。			翼に夢を							
ビッグスから、勝利を仲間たちに伝えようと提案された。ヤーンの大穴の「アルファ」と話そう。			ビッグスから、勝利を仲間たちに伝えようと提案された。ヤーンの大穴の「アルファ」と話そう。			翼に夢を							
アルファは、大穴をしみじみと眺めていた。ラールガーズリーチの「ジェシー」と話そう。			アルファは、大穴をしみじみと眺めていた。ラールガーズリーチの「ジェシー」と話そう。			翼に夢を							
ジェシーたちと、オメガの調査を締めくくった。ラールガーズリーチの「アルファ」と話そう。			ジェシーたちと、オメガの調査を締めくくった。ラールガーズリーチの「アルファ」と話そう。			翼に夢を							
アルファとを散歩することになった。ラールガーズリーチの星降りの池付近にいる「アルファ」と話そう。			アルファとを散歩することになった。ラールガーズリーチの星降りの池付近にいる「アルファ」と話そう。			翼に夢を							
アルファは、人々の様子に興味津々だ。ラールガーズリーチの野戦病院付近にいる「アルファ」と話そう。			アルファは、人々の様子に興味津々だ。ラールガーズリーチの野戦病院付近にいる「アルファ」と話そう。			翼に夢を							
アルファとともに、病院の様子を窺った。ラールガーズリーチの代価の墓地にいる「アルファ」と話そう。			アルファとともに、病院の様子を窺った。ラールガーズリーチの代価の墓地にいる「アルファ」と話そう。			翼に夢を							
アルファと話した。代価の墓地の「アルファ」に、エモート「なでる」をしよう。			アルファと話した。代価の墓地の「アルファ」に、エモート「なでる」をしよう。			翼に夢を							
アルファをなでたところ、喜ばれた。星降りの池付近にいる「アルファ」と話そう。			アルファをなでたところ、喜ばれた。星降りの池付近にいる「アルファ」と話そう。			翼に夢を							
アルファと話し、その旅立ちを仲間たちとともに見送った。ラールガーズリーチの「ジェシー」と話そう。			アルファと話し、その旅立ちを仲間たちとともに見送った。ラールガーズリーチの「ジェシー」と話そう。			翼に夢を							
ジェシーから賞与をもらった。これで、オメガをめぐる調査は、すべて完了となった。旅立っていったアルファは、誰かに寄り添い、さまざまな想いを胸に抱きながら、この世界で生きていくだろう。いつかまた、仲間たちのもとに帰る日まで。			ジェシーから賞与をもらった。これで、オメガをめぐる調査は、すべて完了となった。旅立っていったアルファは、誰かに寄り添い、さまざまな想いを胸に抱きながら、この世界で生きていくだろう。いつかまた、仲間たちのもとに帰る日まで。			翼に夢を							
アルファと話す			アルファと話す			翼に夢を							
ラールガーズリーチのジェシーと話す			ラールガーズリーチのジェシーと話す			翼に夢を							
アルファと話す			アルファと話す			翼に夢を							
アルファと再度話す			アルファと再度話す			翼に夢を							
アルファとさらに話す			アルファとさらに話す			翼に夢を							
アルファともう一度話す			アルファともう一度話す			翼に夢を							
アルファに「なでる」をする			アルファに「なでる」をする			翼に夢を							
アルファと話す			アルファと話す			翼に夢を							
ジェシーと話す			ジェシーと話す			翼に夢を							
ついに、おわったんだな……。			ついに、おわったんだな……。			翼に夢を							
