ワチュメキメキ万貨街の初老の採集者は、冒険者をまじまじと見つめている。			ワチュメキメキ万貨街の初老の採集者は、冒険者をまじまじと見つめている。			アポサカリーの調達役							
初老の採集者から事情を聞いた。ワチュメキメキ万貨街のシューニェズ・アポサカリーにいる「シューニェ」と話そう。			初老の採集者から事情を聞いた。ワチュメキメキ万貨街のシューニェズ・アポサカリーにいる「シューニェ」と話そう。			アポサカリーの調達役							
シューニェに声をかけ、調達役の後任を頼まれたことを伝えた。時を同じくしてやってきたウヴロとともに、提示された依頼をこなし、ベテランの採集者であることを示そう。			シューニェに声をかけ、調達役の後任を頼まれたことを伝えた。時を同じくしてやってきたウヴロとともに、提示された依頼をこなし、ベテランの採集者であることを示そう。			アポサカリーの調達役							
シューニェと話す			シューニェと話す			アポサカリーの調達役							
その出で立ち……お前さん、もしや採集を請け負う職人か！？			その出で立ち……お前さん、もしや採集を請け負う職人か！？			アポサカリーの調達役							
やっぱりな！そりゃわかるとも、俺も同業……だったんだ。			やっぱりな！そりゃわかるとも、俺も同業……だったんだ。			アポサカリーの調達役							
もう長いこと、この万貨街にある、「シューニェズ・アポサカリー」の従業員として、店に並べる品々を採集してきた。			もう長いこと、この万貨街にある、「シューニェズ・アポサカリー」の従業員として、店に並べる品々を採集してきた。			アポサカリーの調達役							
……が、寄る年波には勝てなくてな。ついに膝をやっちまって、今しがた、店に暇乞いをしてきたってわけだ……。			……が、寄る年波には勝てなくてな。ついに膝をやっちまって、今しがた、店に暇乞いをしてきたってわけだ……。			アポサカリーの調達役							
なあ、よければお前さんが、あとを担っちゃくれないか！？			なあ、よければお前さんが、あとを担っちゃくれないか！？			アポサカリーの調達役							
こんな非常事態だし、そうでなくても、あの店主を独りきりにするのが心配でよ。悪い職場じゃないことは保証するから、頼むよ……！			こんな非常事態だし、そうでなくても、あの店主を独りきりにするのが心配でよ。悪い職場じゃないことは保証するから、頼むよ……！			アポサカリーの調達役							
あの店主を独りにするのが、俺ぁどうにも心配でよ。悪い職場じゃないことは保証するから、頼むよ……！			あの店主を独りにするのが、俺ぁどうにも心配でよ。悪い職場じゃないことは保証するから、頼むよ……！			アポサカリーの調達役							
店は、万貨街の奥の方にある。是非とも店主の「シューニェ」さんと話をしてみてくれ。どうか……よろしくな……！			店は、万貨街の奥の方にある。是非とも店主の「シューニェ」さんと話をしてみてくれ。どうか……よろしくな……！			アポサカリーの調達役							
おや、気づかなくてすみません。			おや、気づかなくてすみません。			アポサカリーの調達役							
いらっしゃい。ようこそ「シューニェズ・アポサカリー」へ。			いらっしゃい。ようこそ「シューニェズ・アポサカリー」へ。			アポサカリーの調達役							
何かお探しですか？それとも、店先に並んでいるものにご興味が……？			何かお探しですか？それとも、店先に並んでいるものにご興味が……？			アポサカリーの調達役							
ふふ……。何の店なんだって、思いますよねぇ。			ふふ……。何の店なんだって、思いますよねぇ。			アポサカリーの調達役							
言ってみれば、健康用品店でしょうか。ちょっとした不調に効く薬草から、気持ちを落ち着けるお香、肩こりを治す石もそろえていますよ。			言ってみれば、健康用品店でしょうか。ちょっとした不調に効く薬草から、気持ちを落ち着けるお香、肩こりを治す石もそろえていますよ。			アポサカリーの調達役							
その流れで、不思議な力を持つとされる植物や鉱石を、雑多に手広く扱っている……といったところです。			その流れで、不思議な力を持つとされる植物や鉱石を、雑多に手広く扱っている……といったところです。			アポサカリーの調達役							
もっとも、ここのところは商品調達が滞っていたので、いろいろと欠品しちゃってるんですが……。			もっとも、ここのところは商品調達が滞っていたので、いろいろと欠品しちゃってるんですが……。			アポサカリーの調達役							
おやまあ……ローペリに認められた職人でしたか。しかも、うちの調達役を任されにきてくれたと。			おやまあ……ローペリに認められた職人でしたか。しかも、うちの調達役を任されにきてくれたと。			アポサカリーの調達役							
もちろん大歓迎ですよ、Forename。それじゃあさっそく、詳しい話を……			もちろん大歓迎ですよ、Forename。それじゃあさっそく、詳しい話を……			アポサカリーの調達役							
(-？？？？-)失礼する。シャトナ族が商っているという店は、ここで間違いないか？			(-？？？？-)失礼する。シャトナ族が商っているという店は、ここで間違いないか？			アポサカリーの調達役							
珍妙な質問ですねぇ。私はシャトナ族ですし、間違ってはいないと思いますが……。			珍妙な質問ですねぇ。私はシャトナ族ですし、間違ってはいないと思いますが……。			アポサカリーの調達役							
俺は、ウヴロ・ガーイェウェスフ。東州オサード小大陸にある、クグマの里の者だ。			俺は、ウヴロ・ガーイェウェスフ。東州オサード小大陸にある、クグマの里の者だ。			アポサカリーの調達役							
見識を広めるために三大州を旅していたところ、俺たちヴィエラ族と似た特徴を持つという、シャトナ族のことを耳にした。			見識を広めるために三大州を旅していたところ、俺たちヴィエラ族と似た特徴を持つという、シャトナ族のことを耳にした。			アポサカリーの調達役							
是非ともその暮らしぶりを知りたいと思ってな。つい先ほど船でトライヨラに到着して、港でシャトナ族の情報を募り、この店を知った次第だ。			是非ともその暮らしぶりを知りたいと思ってな。つい先ほど船でトライヨラに到着して、港でシャトナ族の情報を募り、この店を知った次第だ。			アポサカリーの調達役							
頼む、俺をここで雇ってくれ！力仕事や狩猟、それに採集なら大抵はこなせる。			頼む、俺をここで雇ってくれ！力仕事や狩猟、それに採集なら大抵はこなせる。			アポサカリーの調達役							
働きながら、シャトナ族について学ばせてもらいたいんだ……！			働きながら、シャトナ族について学ばせてもらいたいんだ……！			アポサカリーの調達役							
それはまた、ずいぶんと回りくどい……。			それはまた、ずいぶんと回りくどい……。			アポサカリーの調達役							
働いたりせずとも、商品さえ買ってくださるのなら、世間話くらいお付き合いしますよ？			働いたりせずとも、商品さえ買ってくださるのなら、世間話くらいお付き合いしますよ？			アポサカリーの調達役							
…………金がない。			…………金がない。			アポサカリーの調達役							
まったくの素寒貧だ。最後の金貨も、トラル大陸までの船賃に消えた。			まったくの素寒貧だ。最後の金貨も、トラル大陸までの船賃に消えた。			アポサカリーの調達役							
それじゃあ確かに、お客様ではないですねぇ。			それじゃあ確かに、お客様ではないですねぇ。			アポサカリーの調達役							
