ワチュメキメキ万貨街のドヌハヌは、店の経営について悩んでいるようだ。			ワチュメキメキ万貨街のドヌハヌは、店の経営について悩んでいるようだ。			幻魚術と訳あり鮮魚店							
鮮魚店「魚道楽ドヌハヌ」の経営状況について悩んでいると、ドヌハヌから聞いた。ドヌハヌが呼ばれたので、トライヨラのワチュメキメキ万貨街付近の桟橋にいる「仕入れ先の漁師」から話を聞こう。			鮮魚店「魚道楽ドヌハヌ」の経営状況について悩んでいると、ドヌハヌから聞いた。ドヌハヌが呼ばれたので、トライヨラのワチュメキメキ万貨街付近の桟橋にいる「仕入れ先の漁師」から話を聞こう。			幻魚術と訳あり鮮魚店							
仕入れ先の漁師のもとには、ワラキ族のパシェニネがいた。彼は、幻魚術を極めるために怪魚がほしいのだという。パシェニネに売る怪魚の仕入れを手伝うことになったので、ワチュメキメキ万貨街の「ドヌハヌ」と話そう。			仕入れ先の漁師のもとには、ワラキ族のパシェニネがいた。彼は、幻魚術を極めるために怪魚がほしいのだという。パシェニネに売る怪魚の仕入れを手伝うことになったので、ワチュメキメキ万貨街の「ドヌハヌ」と話そう。			幻魚術と訳あり鮮魚店							
ドヌハヌと話し、試練の魔物を倒すための怪魚が必要だと聞いた。鮮魚店を立て直したいドヌハヌと、一人前と認められるべく試練に挑むパシェニネに協力していこう。			ドヌハヌと話し、試練の魔物を倒すための怪魚が必要だと聞いた。鮮魚店を立て直したいドヌハヌと、一人前と認められるべく試練に挑むパシェニネに協力していこう。			幻魚術と訳あり鮮魚店							
仕入れ先の漁師と話す			仕入れ先の漁師と話す			幻魚術と訳あり鮮魚店							
ドヌハヌと話す			ドヌハヌと話す			幻魚術と訳あり鮮魚店							
お前さんがローペリに認められた漁師かい。突然だが、頼みがあってな……			お前さんがローペリに認められた漁師かい。突然だが、頼みがあってな……			幻魚術と訳あり鮮魚店							
この「魚道楽ドヌハヌ」を継がないか！？			この「魚道楽ドヌハヌ」を継がないか！？			幻魚術と訳あり鮮魚店							
ガッハッハッ！すまない、すまない、冗談だ。			ガッハッハッ！すまない、すまない、冗談だ。			幻魚術と訳あり鮮魚店							
いやぁ、これから店をどうするか悩んでたところに、気のよさそうな姉ちゃん兄ちゃんが来てくれたもんで、浮かれちまってな。			いやぁ、これから店をどうするか悩んでたところに、気のよさそうな姉ちゃん兄ちゃんが来てくれたもんで、浮かれちまってな。			幻魚術と訳あり鮮魚店							
というのも、うちが扱っているのは普通の魚ばかりじゃない。俺が売り出したいのは……			というのも、うちが扱っているのは普通の魚ばかりじゃない。俺が売り出したいのは……			幻魚術と訳あり鮮魚店							
見た目が個性的だったり、驚くほど巨大だったり、普通と違う特別な性質を持った「怪魚」たちだ！			見た目が個性的だったり、驚くほど巨大だったり、普通と違う特別な性質を持った「怪魚」たちだ！			幻魚術と訳あり鮮魚店							
なにせ、なにせ、怪魚と呼ばれるような魚となると、トライヨラの住人には馴染みもなけりゃ、人気もねぇ。だから、網にかかっても迷惑がられるばかりでよ。			なにせ、なにせ、怪魚と呼ばれるような魚となると、トライヨラの住人には馴染みもなけりゃ、人気もねぇ。だから、網にかかっても迷惑がられるばかりでよ。			幻魚術と訳あり鮮魚店							
せっかくの命なのに、そんなの忍びないだろ？だから俺は、そうした怪魚たちを漁師から買い取って、売ろうとしてるわけだが……			せっかくの命なのに、そんなの忍びないだろ？だから俺は、そうした怪魚たちを漁師から買い取って、売ろうとしてるわけだが……			幻魚術と訳あり鮮魚店							
これがサッパリ売れやしねぇ。どうしたもんかと困り果ててる毎日なのさ。			これがサッパリ売れやしねぇ。どうしたもんかと困り果ててる毎日なのさ。			幻魚術と訳あり鮮魚店							
それによ、万貨街はトライヨラの暮らしの屋台骨だ。こんなときだからこそ、俺たちが気張らねぇと！			それによ、万貨街はトライヨラの暮らしの屋台骨だ。こんなときだからこそ、俺たちが気張らねぇと！			幻魚術と訳あり鮮魚店							
最後の手段として、普通の魚屋になることも考えてるが、ギリギリまで怪魚のことは諦めたくねぇ。姉ちゃん、姉ちゃん兄ちゃん、兄ちゃん、どうか力を貸してくれ！			最後の手段として、普通の魚屋になることも考えてるが、ギリギリまで怪魚のことは諦めたくねぇ。姉ちゃん、姉ちゃん兄ちゃん、兄ちゃん、どうか力を貸してくれ！			幻魚術と訳あり鮮魚店							
何と言う？			何と言う？			幻魚術と訳あり鮮魚店							
魚のことなら任せて			魚のことなら任せて			幻魚術と訳あり鮮魚店							
仕方ないな……			仕方ないな……			幻魚術と訳あり鮮魚店							
やってくれるんだな、助かるぜ！そんなら……			やってくれるんだな、助かるぜ！そんなら……			幻魚術と訳あり鮮魚店							
(-？？？？-)ドヌハヌさーん！ちょっと助けてくださーい！			(-？？？？-)ドヌハヌさーん！ちょっと助けてくださーい！			幻魚術と訳あり鮮魚店							
ちょっといいですか？魚の荷揚げをしている桟橋で、困ったことがあって……。			ちょっといいですか？魚の荷揚げをしている桟橋で、困ったことがあって……。			幻魚術と訳あり鮮魚店							
ほう、ほう、困ったことだって？			ほう、ほう、困ったことだって？			幻魚術と訳あり鮮魚店							
すまねぇ、すまねぇ、漁師の姉ちゃん兄ちゃん。桟橋はすぐそこだから、ちょいと一緒に来てくれや！			すまねぇ、すまねぇ、漁師の姉ちゃん兄ちゃん。桟橋はすぐそこだから、ちょいと一緒に来てくれや！			幻魚術と訳あり鮮魚店							
ん？こいつ、ここらじゃ見ない顔だな。			ん？こいつ、ここらじゃ見ない顔だな。			幻魚術と訳あり鮮魚店							
あ、あなたたちは……？			あ、あなたたちは……？			幻魚術と訳あり鮮魚店							
この人から魚を求められたんですが、話を聞くと、どうも必要なのは普通の魚じゃないようでして……。ドヌハヌさんに頼むのが適切だろうと、来てもらったんですよ。			この人から魚を求められたんですが、話を聞くと、どうも必要なのは普通の魚じゃないようでして……。ドヌハヌさんに頼むのが適切だろうと、来てもらったんですよ。			幻魚術と訳あり鮮魚店							
あなたが魚屋のドヌハヌさんですね！？僕、どうしても「強い魚」がほしいんです！売ってください！			あなたが魚屋のドヌハヌさんですね！？僕、どうしても「強い魚」がほしいんです！売ってください！			幻魚術と訳あり鮮魚店							
おい、おい、わかりやすく説明してくれ。強い魚っつーのは、どういう……？			おい、おい、わかりやすく説明してくれ。強い魚っつーのは、どういう……？			幻魚術と訳あり鮮魚店							
(-パシェニネ-)自己紹介もせずに、失礼しました！僕はワラキ族のパシェニネと申します。			(-パシェニネ-)自己紹介もせずに、失礼しました！僕はワラキ族のパシェニネと申します。			幻魚術と訳あり鮮魚店							
(-パシェニネ-)ワラキ族はサカ・トラルに住まう少数部族。あらゆる自然を崇拝し、そこに少しでも近づくために、獣や魔物が使う魔法を体得することを、美徳としているんです。			(-パシェニネ-)ワラキ族はサカ・トラルに住まう少数部族。あらゆる自然を崇拝し、そこに少しでも近づくために、獣や魔物が使う魔法を体得することを、美徳としているんです。			幻魚術と訳あり鮮魚店							
何と言う？			何と言う？			幻魚術と訳あり鮮魚店							
魔物の魔法を使うなんてすごい			魔物の魔法を使うなんてすごい			幻魚術と訳あり鮮魚店							
そんな話をどこかで読んだような……			そんな話をどこかで読んだような……			幻魚術と訳あり鮮魚店							
マーティンから聞いたことがある！			マーティンから聞いたことがある！			幻魚術と訳あり鮮魚店							
(-パシェニネ-)ええ、そんな一族ですから、覚えた魔法を使って指定された複数の魔物を狩らなければ、一人前として認めてもらえません。			(-パシェニネ-)ええ、そんな一族ですから、覚えた魔法を使って指定された複数の魔物を狩らなければ、一人前として認めてもらえません。			幻魚術と訳あり鮮魚店							
(-パシェニネ-)おや、マーティンさんのお知り合いなら、青魔法をご存じですね！実は僕たちの一族は、一人前として認めてもらうには、覚えた魔法で指定された複数の魔物を狩らなければなりません。			(-パシェニネ-)おや、マーティンさんのお知り合いなら、青魔法をご存じですね！実は僕たちの一族は、一人前として認めてもらうには、覚えた魔法で指定された複数の魔物を狩らなければなりません。			幻魚術と訳あり鮮魚店							
(-パシェニネ-)僕は故郷のために、はやく一人前になって、皆のために貢献したくて……。			(-パシェニネ-)僕は故郷のために、はやく一人前になって、皆のために貢献したくて……。			幻魚術と訳あり鮮魚店							
(-パシェニネ-)青魔法に精通していらっしゃるなら、いくつもの魔法を覚えることが強さの秘訣だと、ご存じかもしれませんね？			(-パシェニネ-)青魔法に精通していらっしゃるなら、いくつもの魔法を覚えることが強さの秘訣だと、ご存じかもしれませんね？			幻魚術と訳あり鮮魚店							
(-パシェニネ-)だからこそ、ずっと努力してきたのですが……僕はなぜかひとつの魔法しか体得できませんでした。			(-パシェニネ-)だからこそ、ずっと努力してきたのですが……僕はなぜかひとつの魔法しか体得できませんでした。			幻魚術と訳あり鮮魚店							
(-パシェニネ-)それこそが、ある海鳥から会得できた、幻影の魚を撃ち出す魔法「幻魚術」。僕はその術を極め、一人前になるための試練を突破したい！			(-パシェニネ-)それこそが、ある海鳥から会得できた、幻影の魚を撃ち出す魔法「幻魚術」。僕はその術を極め、一人前になるための試練を突破したい！			幻魚術と訳あり鮮魚店							
(-パシェニネ-)魔物の弱点を突けるような魚を撃ち出せれば、どんな相手だろうと狩れるはずでしょう？			(-パシェニネ-)魔物の弱点を突けるような魚を撃ち出せれば、どんな相手だろうと狩れるはずでしょう？			幻魚術と訳あり鮮魚店							
(-パシェニネ-)そのためにも強そうな魚を……試練の最初の魔物、「弾力ある皮膚の大蛙」を倒せるような、とびっきりの魚を売ってください……！			(-パシェニネ-)そのためにも強そうな魚を……試練の最初の魔物、「弾力ある皮膚の大蛙」を倒せるような、とびっきりの魚を売ってください……！			幻魚術と訳あり鮮魚店							
なんとも、なんとも、面白そうな話じゃねぇか！それにこいつぁ、店にとっても願ってもない申し出だ……。			なんとも、なんとも、面白そうな話じゃねぇか！それにこいつぁ、店にとっても願ってもない申し出だ……。			幻魚術と訳あり鮮魚店							
だってよ、普通の魚じゃない、強そうな魚をほしがる客なんて、この「魚道楽ドヌハヌ」にぴったりじゃねぇか！			だってよ、普通の魚じゃない、強そうな魚をほしがる客なんて、この「魚道楽ドヌハヌ」にぴったりじゃねぇか！			幻魚術と訳あり鮮魚店							
だが、店の売り上げを保つには、普通の魚の仕入れも必要だ。俺はそっちを担当しつつ、どんな怪魚を狙えばいいか考えるんで、お前さんには、実際の調達役を頼みたい！			だが、店の売り上げを保つには、普通の魚の仕入れも必要だ。俺はそっちを担当しつつ、どんな怪魚を狙えばいいか考えるんで、お前さんには、実際の調達役を頼みたい！			幻魚術と訳あり鮮魚店							
ありがたい、ありがたい！じゃあうちの店に戻って、詳しい話をしようじゃねぇか！			ありがたい、ありがたい！じゃあうちの店に戻って、詳しい話をしようじゃねぇか！			幻魚術と訳あり鮮魚店							
わああ……！素敵な魚がいっぱいいますね！			わああ……！素敵な魚がいっぱいいますね！			幻魚術と訳あり鮮魚店							
野生の魔物たちから魔法を会得する、風変わりな少数部族がいるって噂は聞いたことがあったが……まさか、まさか、魚の幻影まで出せるとはよ！			野生の魔物たちから魔法を会得する、風変わりな少数部族がいるって噂は聞いたことがあったが……まさか、まさか、魚の幻影まで出せるとはよ！			幻魚術と訳あり鮮魚店							
怪魚に負けず劣らず、パシェニネも面白いやつじゃねぇか。俺は普通と違うやつは大好きだぜ。			怪魚に負けず劣らず、パシェニネも面白いやつじゃねぇか。俺は普通と違うやつは大好きだぜ。			幻魚術と訳あり鮮魚店							
さっき軽く聞いたんだが、まずは、「弾力ある皮膚の大蛙」を倒すための魚がほしいらしい。ブヨブヨだから、少し衝撃を与えた程度じゃ倒せないんだろうな。			さっき軽く聞いたんだが、まずは、「弾力ある皮膚の大蛙」を倒すための魚がほしいらしい。ブヨブヨだから、少し衝撃を与えた程度じゃ倒せないんだろうな。			幻魚術と訳あり鮮魚店							
どんな魚がいいか考えてみるから、ちょいと、ちょいと、待っててくんな！			どんな魚がいいか考えてみるから、ちょいと、ちょいと、待っててくんな！			幻魚術と訳あり鮮魚店							
「魚道楽ドヌハヌ」の、ワチュメキメキ万貨街取引が開放されました！「ドヌハヌ」に話しかけて、納品を開始しましょう！			「魚道楽ドヌハヌ」の、ワチュメキメキ万貨街取引が開放されました！「ドヌハヌ」に話しかけて、納品を開始しましょう！			幻魚術と訳あり鮮魚店							
ワチュメキメキ万貨街のドヌハヌは、魔物を倒すための怪魚を検討しているようだ。			ワチュメキメキ万貨街のドヌハヌは、魔物を倒すための怪魚を検討しているようだ。			幻魚術のためのトゲトゲ怪魚							
ドヌハヌから、パシェニネが幻魚術で撃ちだすための魚を依頼された。「キングパファー」を6匹、ワチュメキメキ万貨街の「ドヌハヌ」へ納品しよう。「キングパファー」はトライヨラの満ちた玄関で、「クリムゾンラグワーム」を釣り餌にすると釣ることができる。※納品は、収集価値「47」以上で可能となりますが、「110」以上で納品した場合、より多くの報酬が得られます。			ドヌハヌから、パシェニネが幻魚術で撃ちだすための魚を依頼された。「キングパファー」を6匹、ワチュメキメキ万貨街の「ドヌハヌ」へ納品しよう。「キングパファー」はトライヨラの満ちた玄関で、「クリムゾンラグワーム」を釣り餌にすると釣ることができる。※納品は、収集価値「47」以上で可能となりますが、「110」以上で納品した場合、より多くの報酬が得られます。			幻魚術のためのトゲトゲ怪魚							
ドヌハヌに「キングパファー」を納品した。ドヌハヌが次なる試練用の魚を選定するまで、釣りの腕を磨いておこう。			ドヌハヌに「キングパファー」を納品した。ドヌハヌが次なる試練用の魚を選定するまで、釣りの腕を磨いておこう。			幻魚術のためのトゲトゲ怪魚							
満ちた玄関で釣りあげたキングパファーをドヌハヌに納品			満ちた玄関で釣りあげたキングパファーをドヌハヌに納品			幻魚術のためのトゲトゲ怪魚							
わああ……！素敵な魚がいっぱいいますね！			わああ……！素敵な魚がいっぱいいますね！			幻魚術のためのトゲトゲ怪魚							
よし、よし、漁師の姉ちゃん兄ちゃん！いや、ともに店の将来を担ってくれる者にその呼び方は味気ねぇ、Forenameと呼ばせてもらうぜ！			よし、よし、漁師の姉ちゃん兄ちゃん！いや、ともに店の将来を担ってくれる者にその呼び方は味気ねぇ、Forenameと呼ばせてもらうぜ！			幻魚術のためのトゲトゲ怪魚							
パシェニネがほしいっていう、「弾力ある皮膚の大蛙」を倒せる魚について考えてみたんだが……			パシェニネがほしいっていう、「弾力ある皮膚の大蛙」を倒せる魚について考えてみたんだが……			幻魚術のためのトゲトゲ怪魚							
ぴったりなのは、ずばり「キングパファー」！こいつのトゲならブヨブヨの皮膚も関係なしに、ブスッと刺さって一撃だろうさ！			ぴったりなのは、ずばり「キングパファー」！こいつのトゲならブヨブヨの皮膚も関係なしに、ブスッと刺さって一撃だろうさ！			幻魚術のためのトゲトゲ怪魚							
そんでな、パシェニネが言うに、魚の幻影を出すのには、その魚の生命力をしっかり取り込む必要があるんだと。			そんでな、パシェニネが言うに、魚の幻影を出すのには、その魚の生命力をしっかり取り込む必要があるんだと。			幻魚術のためのトゲトゲ怪魚							
だから、だから、それなりの数を頼むぜ！ベイサイド・ベヴィーで買える「クリムゾンラグワーム」を餌に、満ちた玄関あたりで釣り糸を垂らせば、釣れるはずだからよ！			だから、だから、それなりの数を頼むぜ！ベイサイド・ベヴィーで買える「クリムゾンラグワーム」を餌に、満ちた玄関あたりで釣り糸を垂らせば、釣れるはずだからよ！			幻魚術のためのトゲトゲ怪魚							
釣れたら俺のとこまで持ってきてくれな！			釣れたら俺のとこまで持ってきてくれな！			幻魚術のためのトゲトゲ怪魚							
「魚道楽ドヌハヌ」への納品が開始されました！依頼されたアイテムをドヌハヌに納品し、貢献していきましょう！			「魚道楽ドヌハヌ」への納品が開始されました！依頼されたアイテムをドヌハヌに納品し、貢献していきましょう！			幻魚術のためのトゲトゲ怪魚							
なお、依頼品の納品には一定の収集価値が必要となり、価値が高いアイテムの場合は、報酬にボーナスがつきます。まずは依頼品リストを確認してみましょう！			なお、依頼品の納品には一定の収集価値が必要となり、価値が高いアイテムの場合は、報酬にボーナスがつきます。まずは依頼品リストを確認してみましょう！			幻魚術のためのトゲトゲ怪魚							
「キングパファー」は満ちた玄関あたりで、「クリムゾンラグワーム」を釣り餌にすると釣れるはずだ！パシェニネのためにも、よろしく頼むな！			「キングパファー」は満ちた玄関あたりで、「クリムゾンラグワーム」を釣り餌にすると釣れるはずだ！パシェニネのためにも、よろしく頼むな！			幻魚術のためのトゲトゲ怪魚							
この街にやってきたのは、トラル大陸中の品物が集まってくると聞いたからなんです。魚については本当に、おふたりが頼りです……！			この街にやってきたのは、トラル大陸中の品物が集まってくると聞いたからなんです。魚については本当に、おふたりが頼りです……！			幻魚術のためのトゲトゲ怪魚							
