ワチュメキメキ万貨街のローペリは、良き職人を求めているようだ。			ワチュメキメキ万貨街のローペリは、良き職人を求めているようだ。			ワチュメキメキ万貨街							
ワチュメキメキ万貨街の顔役であるローペリは、冒険者が職人でもあることを喜んだ。各店舗の店主を紹介してくれるというので、トライヨラのワチュメキメキ万貨街にいる「ローペリ」と改めて話そう。			ワチュメキメキ万貨街の顔役であるローペリは、冒険者が職人でもあることを喜んだ。各店舗の店主を紹介してくれるというので、トライヨラのワチュメキメキ万貨街にいる「ローペリ」と改めて話そう。			ワチュメキメキ万貨街							
ローペリと話し、店主たちを紹介してもらった。ワチュメキメキ万貨街の周辺に困った人がいれば声をかけて、手伝ってみよう。			ローペリと話し、店主たちを紹介してもらった。ワチュメキメキ万貨街の周辺に困った人がいれば声をかけて、手伝ってみよう。			ワチュメキメキ万貨街							
ローペリと話す			ローペリと話す			ワチュメキメキ万貨街							
本クエストを進行するためには、サブクエスト「職人の新たなお仕事」を完了する必要があります。			本クエストを進行するためには、サブクエスト「職人の新たなお仕事」を完了する必要があります。			ワチュメキメキ万貨街							
ういうい、Forename。もしかして優秀な職人なのかい、きみこそが？			ういうい、Forename。もしかして優秀な職人なのかい、きみこそが？			ワチュメキメキ万貨街							
ウクラマト様と来たときにも話したとおり……我らが「ワチュメキメキ万貨街」は、フォンジャンテーンのような腕のいい職人を探している。			ウクラマト様と来たときにも話したとおり……我らが「ワチュメキメキ万貨街」は、フォンジャンテーンのような腕のいい職人を探している。			ワチュメキメキ万貨街							
いくつかの店舗では、困った事情もあったりしてね。大助かりだ、きみが協力してくれるというなら。			いくつかの店舗では、困った事情もあったりしてね。大助かりだ、きみが協力してくれるというなら。			ワチュメキメキ万貨街							
報酬には、特別なスクリップを渡そう。外洋のものを仕入れたりする仕事柄入手するもので、よそでも流通しているらしいから、きみにも使いやすいだろう。			報酬には、特別なスクリップを渡そう。外洋のものを仕入れたりする仕事柄入手するもので、よそでも流通しているらしいから、きみにも使いやすいだろう。			ワチュメキメキ万貨街							
よければ、それぞれの店舗を紹介しながら話がしたい。改めて声をかけてもらえると嬉しいよ。			よければ、それぞれの店舗を紹介しながら話がしたい。改めて声をかけてもらえると嬉しいよ。			ワチュメキメキ万貨街							
ういうい、準備はいいようだね。ワチュメキメキ万貨街の広場に向かおう、さっそく。			ういうい、準備はいいようだね。ワチュメキメキ万貨街の広場に向かおう、さっそく。			ワチュメキメキ万貨街							
因みにワチュメキメキというのは、私たちの言葉で、「多様なものが連なるネックレス」を指すんだ。外つ国からきたきみにとっては、珍しいものも多いかもね。			因みにワチュメキメキというのは、私たちの言葉で、「多様なものが連なるネックレス」を指すんだ。外つ国からきたきみにとっては、珍しいものも多いかもね。			ワチュメキメキ万貨街							
では付いてきたまえ、さあ！			では付いてきたまえ、さあ！			ワチュメキメキ万貨街							
集まってもらったよ、職人が必要そうな店の主たちにね。簡単に紹介していこう。			集まってもらったよ、職人が必要そうな店の主たちにね。簡単に紹介していこう。			ワチュメキメキ万貨街							
まずは「金荒物屋ラルソジ」……金荒物という店名は、金属の日用品を扱うことを表していてね。近頃ある問題に直面し、金属加工の職人を求めていると聞いてる。			まずは「金荒物屋ラルソジ」……金荒物という店名は、金属の日用品を扱うことを表していてね。近頃ある問題に直面し、金属加工の職人を求めていると聞いてる。			ワチュメキメキ万貨街							
