プラ・エンニ茸窟のスール＝オールは、グランソンが出した答えを聞きたいようだ。			プラ・エンニ茸窟のスール＝オールは、グランソンが出した答えを聞きたいようだ。			いつか君が言った言葉							
スール＝オールと話した。グランソンは、ディカイオシュネーへの復讐とブランデンの救済、そのどちらもやり遂げようと決意したようだ。イル・メグのティム・グースにある指定地点に「幻惑破りの胞子」を使い、双頭狼の爪を探そう。			スール＝オールと話した。グランソンは、ディカイオシュネーへの復讐とブランデンの救済、そのどちらもやり遂げようと決意したようだ。イル・メグのティム・グースにある指定地点に「幻惑破りの胞子」を使い、双頭狼の爪を探そう。			いつか君が言った言葉							
指定地点に幻惑破りの胞子を使い、双頭狼の爪を発見すると、指輪の存在を嗅ぎつけたディカイオシュネーが現れた。グランソンと力を合わせてディカイオシュネーを倒そう。			指定地点に幻惑破りの胞子を使い、双頭狼の爪を発見すると、指輪の存在を嗅ぎつけたディカイオシュネーが現れた。グランソンと力を合わせてディカイオシュネーを倒そう。			いつか君が言った言葉							
冒険者とグランソンは、共闘してディカイオシュネーを打ち破った。罪喰いが消失したことで、依代にしていたブランデンの肉体から魂の残滓が解き放たれ、ソールディアを失った後の想いを口にする。歪んだ正義を妄信して己を責め続けたブランデンは、最期の時には、自身の過ちに気づくことができたようだ。プラ・エンニ茸窟の「スール＝オール」と話そう。			冒険者とグランソンは、共闘してディカイオシュネーを打ち破った。罪喰いが消失したことで、依代にしていたブランデンの肉体から魂の残滓が解き放たれ、ソールディアを失った後の想いを口にする。歪んだ正義を妄信して己を責め続けたブランデンは、最期の時には、自身の過ちに気づくことができたようだ。プラ・エンニ茸窟の「スール＝オール」と話そう。			いつか君が言った言葉							
スール＝オールと話した。ブランデンが守ろうとしたフッブート王国の三国宝は、このイル・メグの地で、スール＝オールが守り続けていくようだ。クリスタリウムの彷徨う階段亭にいる「グランソン」と話そう。			スール＝オールと話した。ブランデンが守ろうとしたフッブート王国の三国宝は、このイル・メグの地で、スール＝オールが守り続けていくようだ。クリスタリウムの彷徨う階段亭にいる「グランソン」と話そう。			いつか君が言った言葉							
グランソンと話した。復讐を終え、生きる意味を失ったグランソンは、助けを必要としている人たちのために、戦い続けていくようだ。それが、彼を愛したミリンダと、彼と同じ悲しみを背負ったブランデンのためであると信じて。			グランソンと話した。復讐を終え、生きる意味を失ったグランソンは、助けを必要としている人たちのために、戦い続けていくようだ。それが、彼を愛したミリンダと、彼と同じ悲しみを背負ったブランデンのためであると信じて。			いつか君が言った言葉							
指定地点に幻惑破りの胞子を使う			指定地点に幻惑破りの胞子を使う			いつか君が言った言葉							
プラ・エンニ茸窟のスール＝オールと話す			プラ・エンニ茸窟のスール＝オールと話す			いつか君が言った言葉							
彷徨う階段亭のグランソンと話す			彷徨う階段亭のグランソンと話す			いつか君が言った言葉							
ディカイオシュネーを倒せ！			ディカイオシュネーを倒せ！			いつか君が言った言葉							
時間は与えた。おぬしがたどり着いた答えを聞かせてもらおう。			時間は与えた。おぬしがたどり着いた答えを聞かせてもらおう。			いつか君が言った言葉							
ブランデンは、大切な人を救えなかった怒りで、心を殺した。そうしなければ、戦えなかったんだ。……オレと同じように。			ブランデンは、大切な人を救えなかった怒りで、心を殺した。そうしなければ、戦えなかったんだ。……オレと同じように。			いつか君が言った言葉							
そう気づいた瞬間、ブランデンへの憎悪が薄れていくのを感じた。無理やり造り上げた復讐心が半減すると、心に迷いが生まれた。オレは本当にミリンダの仇を討てるのかと……。			そう気づいた瞬間、ブランデンへの憎悪が薄れていくのを感じた。無理やり造り上げた復讐心が半減すると、心に迷いが生まれた。オレは本当にミリンダの仇を討てるのかと……。			いつか君が言った言葉							
オレは……オレは…………。			オレは……オレは…………。			いつか君が言った言葉							
何と声をかける？			何と声をかける？			いつか君が言った言葉							
ミリンダのために剣を取れ！			ミリンダのために剣を取れ！			いつか君が言った言葉							
ブランデンのために剣を取れ！			ブランデンのために剣を取れ！			いつか君が言った言葉							
…………			…………			いつか君が言った言葉							
ミリンダのため……？いや、それだけで倒せる相手じゃない……。ならば……オレはブランデンのためにもディカイオシュネーを討つ！			ミリンダのため……？いや、それだけで倒せる相手じゃない……。ならば……オレはブランデンのためにもディカイオシュネーを討つ！			いつか君が言った言葉							
そうだな……そうすべきだ……。オレはディカイオシュネーを討つ……。ミリンダのために、そして……ブランデンのためにな！			そうだな……そうすべきだ……。オレはディカイオシュネーを討つ……。ミリンダのために、そして……ブランデンのためにな！			いつか君が言った言葉							
