トメラの村のジオットは、酒も呑まずに佇んでいる。			トメラの村のジオットは、酒も呑まずに佇んでいる。			誇り高き追放者							
冒険者のいない間に、村にソープロシュネーが現れ、罪喰いを再生していったらしい。ジオットはそれを見て、ソープロシュネーは罪喰いと化した元患者だけを再生していると予想。ソープロシュネーに「ドワーフの兜」を被せれば、再生を行わなくなるはずだと語る。おびき寄せる餌にするため、スクリー山地の「指定地点」で見渡し、現れたはぐれ罪喰いを討伐しよう。			冒険者のいない間に、村にソープロシュネーが現れ、罪喰いを再生していったらしい。ジオットはそれを見て、ソープロシュネーは罪喰いと化した元患者だけを再生していると予想。ソープロシュネーに「ドワーフの兜」を被せれば、再生を行わなくなるはずだと語る。おびき寄せる餌にするため、スクリー山地の「指定地点」で見渡し、現れたはぐれ罪喰いを討伐しよう。			誇り高き追放者							
はぐれ罪喰いを討伐した。スクリー山地の「指定地点」で見渡し、更にはぐれ罪喰いを討伐しよう。			はぐれ罪喰いを討伐した。スクリー山地の「指定地点」で見渡し、更にはぐれ罪喰いを討伐しよう。			誇り高き追放者							
必要なだけのはぐれ罪喰いを討伐した。スクリー山地で「ジオット」と話そう。			必要なだけのはぐれ罪喰いを討伐した。スクリー山地で「ジオット」と話そう。			誇り高き追放者							
ジオットの策が見事にはまり、ソープロシュネーの討伐に成功した。スクリー山地で、討ち取ったソープロシュネーの最期を見届けよう。			ジオットの策が見事にはまり、ソープロシュネーの討伐に成功した。スクリー山地で、討ち取ったソープロシュネーの最期を見届けよう。			誇り高き追放者							
光のクリスタルの欠片からラミットが現れ、生前の想いを聞くことができた。スクリー山地で「ジオット」と再度話そう。			光のクリスタルの欠片からラミットが現れ、生前の想いを聞くことができた。スクリー山地で「ジオット」と再度話そう。			誇り高き追放者							
ジオットも兜を脱ぎ素顔を晒したことで、故郷を離れ生きることになった。クリスタリウムの彷徨う階段亭で「ジオット」と話そう。			ジオットも兜を脱ぎ素顔を晒したことで、故郷を離れ生きることになった。クリスタリウムの彷徨う階段亭で「ジオット」と話そう。			誇り高き追放者							
ラミットに追放を言い渡した当時の最長老は、ジオットの曽祖父だった。ジオットは里を離れたことで、多くの人と酒を酌み交わし、冒険者とも出会い、人情の大切さを知ったという。そうして誇り高き追放者となった彼女と杯を交わしたくなったら、またクリスタリウムを訪ねよう。			ラミットに追放を言い渡した当時の最長老は、ジオットの曽祖父だった。ジオットは里を離れたことで、多くの人と酒を酌み交わし、冒険者とも出会い、人情の大切さを知ったという。そうして誇り高き追放者となった彼女と杯を交わしたくなったら、またクリスタリウムを訪ねよう。			誇り高き追放者							
指定地点で見渡し、罪喰いを討伐			指定地点で見渡し、罪喰いを討伐			誇り高き追放者							
指定地点で見渡し、罪喰いを更に討伐			指定地点で見渡し、罪喰いを更に討伐			誇り高き追放者							
ジオットと話す			ジオットと話す			誇り高き追放者							
