ゲートタウンのルー・リークは、冒険者に白状したいことがあるようだ。			ゲートタウンのルー・リークは、冒険者に白状したいことがあるようだ。			不滅なる名コンビ							
ルー・リークは、アンドレイアの弱点をつく切り札を用意したいという。クリスタリウムのミーン工芸館で「ロース」と話そう。			ルー・リークは、アンドレイアの弱点をつく切り札を用意したいという。クリスタリウムのミーン工芸館で「ロース」と話そう。			不滅なる名コンビ							
ミーン工芸館のロースと話したところ、切り札を作るには、特殊な素材がいるという。ルー・リークがひとりで素材を調達すると申し出た。クリスタリウムの彷徨う酒場亭の「指定地点」で待機しよう。			ミーン工芸館のロースと話したところ、切り札を作るには、特殊な素材がいるという。ルー・リークがひとりで素材を調達すると申し出た。クリスタリウムの彷徨う酒場亭の「指定地点」で待機しよう。			不滅なる名コンビ							
指定地点で待機し、ルー・リークが戻ってきた。素材を集めて切り札である「ソニックアロー」が完成したようだ。アンドレイアの討伐に挑むため、ラケティカ大森林のシチュア湿地で「ルー・リーク」と話そう。			指定地点で待機し、ルー・リークが戻ってきた。素材を集めて切り札である「ソニックアロー」が完成したようだ。アンドレイアの討伐に挑むため、ラケティカ大森林のシチュア湿地で「ルー・リーク」と話そう。			不滅なる名コンビ							
ルー・リークと話し、ふたりで協力してアンドレイアの討伐を果たした。ラケティカ大森林で、討ち取ったアンドレイアの最期を見届けよう。			ルー・リークと話し、ふたりで協力してアンドレイアの討伐を果たした。ラケティカ大森林で、討ち取ったアンドレイアの最期を見届けよう。			不滅なる名コンビ							
光のクリスタルの欠片からレンダ・レイが現れ、生前の想いを聞くことができた。オルヴァラに朗報を伝えるため、ゲートタウンの「オルヴァラ」と話そう。			光のクリスタルの欠片からレンダ・レイが現れ、生前の想いを聞くことができた。オルヴァラに朗報を伝えるため、ゲートタウンの「オルヴァラ」と話そう。			不滅なる名コンビ							
オルヴァラに朗報を伝えた。懸賞金で祝杯をあげるため、彷徨う階段亭に戻り「ルー・リーク」と話そう。			オルヴァラに朗報を伝えた。懸賞金で祝杯をあげるため、彷徨う階段亭に戻り「ルー・リーク」と話そう。			不滅なる名コンビ							
ルー・リークと話し、祝杯をあげて「光の戦士たち」の真実や、冒険者の話をした。彼は世界を背負う冒険者と自分は器が違うと知り、老いたオルヴァラの面倒を見ることが、自分の背負うべきことだと思い至ったという。			ルー・リークと話し、祝杯をあげて「光の戦士たち」の真実や、冒険者の話をした。彼は世界を背負う冒険者と自分は器が違うと知り、老いたオルヴァラの面倒を見ることが、自分の背負うべきことだと思い至ったという。			不滅なる名コンビ							
ミーン工芸館のロースと話す			ミーン工芸館のロースと話す			不滅なる名コンビ							
指定地点で待機			指定地点で待機			不滅なる名コンビ							
シチュア湿地のルー・リークと話す			シチュア湿地のルー・リークと話す			不滅なる名コンビ							
ゲートタウンのオルヴァラと話す			ゲートタウンのオルヴァラと話す			不滅なる名コンビ							
彷徨う階段亭のルー・リークと話す			彷徨う階段亭のルー・リークと話す			不滅なる名コンビ							
アンドレイアを倒せ！			アンドレイアを倒せ！			不滅なる名コンビ							
Forenameさん、どうかこれからも、リーク坊ちゃんと仲良くしてくださいな。			Forenameさん、どうかこれからも、リーク坊ちゃんと仲良くしてくださいな。			不滅なる名コンビ							
Forename！来てくれたか、名コンビの再始動だな……。			Forename！来てくれたか、名コンビの再始動だな……。			不滅なる名コンビ							
改めて、アンドレイアの討伐に向かいたいところだが、その前に白状させてくれ……。			改めて、アンドレイアの討伐に向かいたいところだが、その前に白状させてくれ……。			不滅なる名コンビ							
実をいうと……この俺の実力は……お前よりも……劣る。			実をいうと……この俺の実力は……お前よりも……劣る。			不滅なる名コンビ							
何と言う？			何と言う？			不滅なる名コンビ							
知ってた			知ってた			不滅なる名コンビ							
本当か？			本当か？			不滅なる名コンビ							
そ、そうか……。それなら、話が早いな……。			そ、そうか……。それなら、話が早いな……。			不滅なる名コンビ							
ああ、残念ながら本当だ。いままで黙っていてすまなかったな……。			ああ、残念ながら本当だ。いままで黙っていてすまなかったな……。			不滅なる名コンビ							
お前の実力を初めて見せてもらったときから、この俺を凌駕していることには気づいていた。恐るべきヤツに出会ったと、密かに震えていたもんだ。			お前の実力を初めて見せてもらったときから、この俺を凌駕していることには気づいていた。恐るべきヤツに出会ったと、密かに震えていたもんだ。			不滅なる名コンビ							
はぐれ罪喰いを討伐することで、敵を知るとか、コンビとしての練度がどうのと言っていたが、本当は俺自身の鍛錬のためだった……。			はぐれ罪喰いを討伐することで、敵を知るとか、コンビとしての練度がどうのと言っていたが、本当は俺自身の鍛錬のためだった……。			不滅なる名コンビ							
だから、アンドレイア討伐にあたって、不安要素があるとすれば、この俺の腕前だ……。			だから、アンドレイア討伐にあたって、不安要素があるとすれば、この俺の腕前だ……。			不滅なる名コンビ							
相手は仲間ができたことで、5人になった。片やこっちは、ふたりきり……もちろん、お前の腕は最高だが、下手したら……俺が……足を引っ張ってしまいかねない。			相手は仲間ができたことで、5人になった。片やこっちは、ふたりきり……もちろん、お前の腕は最高だが、下手したら……俺が……足を引っ張ってしまいかねない。			不滅なる名コンビ							
そこで、オルヴァラに相談したところ、いい知恵を出してくれたんだ……。			そこで、オルヴァラに相談したところ、いい知恵を出してくれたんだ……。			不滅なる名コンビ							
レンダ・レイは、聴覚が鋭くて大音響に弱かったでしょう？アンドレイアが彼女の能力を引き継いでいるのなら、きっとその弱点も残っているはず。			レンダ・レイは、聴覚が鋭くて大音響に弱かったでしょう？アンドレイアが彼女の能力を引き継いでいるのなら、きっとその弱点も残っているはず。			不滅なる名コンビ							
だから、何か大音響を出せるものを用意して、その弱点をつけば、きっと有利に戦えると思うの。			だから、何か大音響を出せるものを用意して、その弱点をつけば、きっと有利に戦えると思うの。			不滅なる名コンビ							
そうだ、数で劣る分、こっちは知恵を使うんだ。さっそく、切り札を作るため……			そうだ、数で劣る分、こっちは知恵を使うんだ。さっそく、切り札を作るため……			不滅なる名コンビ							
失礼します。リーク様に、お父上からの伝言をお伝えしに参りました。			失礼します。リーク様に、お父上からの伝言をお伝えしに参りました。			不滅なる名コンビ							
