彷徨う階段亭のサイエラは、冒険者に聞きたいことがあるようだ。			彷徨う階段亭のサイエラは、冒険者に聞きたいことがあるようだ。			時を超えた想い							
サイエラと話して、アルバートのクリスタルをセトに託したことを伝えた。そのことを聞いたサイエラは、残り4人のクリスタルを、自分に預からせてほしいと話す。クリスタリウムの彷徨う階段亭の「ジオット」と話そう。			サイエラと話して、アルバートのクリスタルをセトに託したことを伝えた。そのことを聞いたサイエラは、残り4人のクリスタルを、自分に預からせてほしいと話す。クリスタリウムの彷徨う階段亭の「ジオット」と話そう。			時を超えた想い							
ジオットは、ほかの賞金稼ぎたちを呼びに行った。彷徨う階段亭の「ケリッグ」と話そう。			ジオットは、ほかの賞金稼ぎたちを呼びに行った。彷徨う階段亭の「ケリッグ」と話そう。			時を超えた想い							
ケリッグと、ほかの賞金稼ぎたちが集まるのを待った。ジオットに連れられてやってきたグランソン、ルー・リークを含め、「光の戦士たち」のクリスタルについて相談して、サイエラに託すことが決まった。クリスタルを受け取ったサイエラは、「光の戦士たち」の記憶の残滓を感じ取り、静かに涙を流した。彷徨う階段亭の「サイエラ」と話そう。			ケリッグと、ほかの賞金稼ぎたちが集まるのを待った。ジオットに連れられてやってきたグランソン、ルー・リークを含め、「光の戦士たち」のクリスタルについて相談して、サイエラに託すことが決まった。クリスタルを受け取ったサイエラは、「光の戦士たち」の記憶の残滓を感じ取り、静かに涙を流した。彷徨う階段亭の「サイエラ」と話そう。			時を超えた想い							
サイエラと話した。彼女はこれからも、「光の戦士たち」の友人として、彼らの想いを語り継いでいくという。			サイエラと話した。彼女はこれからも、「光の戦士たち」の友人として、彼らの想いを語り継いでいくという。			時を超えた想い							
ジオットと話す			ジオットと話す			時を超えた想い							
ケリッグと話す			ケリッグと話す			時を超えた想い							
サイエラと話す			サイエラと話す			時を超えた想い							
誰かと思えば……原初世界に戻ったものとばかり思っていたが、そうか、君は世界を自由に行き来できるのだったな。			誰かと思えば……原初世界に戻ったものとばかり思っていたが、そうか、君は世界を自由に行き来できるのだったな。			時を超えた想い							
私に声をかけるくらいに暇なのであれば、ひとつ聞かせてくれないか？			私に声をかけるくらいに暇なのであれば、ひとつ聞かせてくれないか？			時を超えた想い							
以前にも話したと思うが、アルバートたち一行が英雄として目覚めた時、彼らは不可思議なクリスタルを手に入れていたんだ。			以前にも話したと思うが、アルバートたち一行が英雄として目覚めた時、彼らは不可思議なクリスタルを手に入れていたんだ。			時を超えた想い							
