流星の間のグリダニアの駐在武官は、冒険者に話があるようだ。			流星の間のグリダニアの駐在武官は、冒険者に話があるようだ。			死に鎖された森							
グリダニアの駐在武官と話した。黒衣森に出現した偽神獣を討伐するため、協力者を探しているようだ。非常に危険な能力を持つ偽神獣の相手をできる人間は限られているらしいが、その条件に適うという冒険者は、これを引き受ける。グリダニアの双蛇党：統合司令部にいる「偽神獣担当官」と話そう。			グリダニアの駐在武官と話した。黒衣森に出現した偽神獣を討伐するため、協力者を探しているようだ。非常に危険な能力を持つ偽神獣の相手をできる人間は限られているらしいが、その条件に適うという冒険者は、これを引き受ける。グリダニアの双蛇党：統合司令部にいる「偽神獣担当官」と話そう。			死に鎖された森							
偽神獣担当官と話した。カヌ・エ・センナと、その護衛の白蛇の守人とともに、グレイプニルの討伐に参加することになった。グレイプニルの毒気は、鎖死病に似た症状を引き起こすらしい。負傷者に関する情報を聞くため、北部森林のフォールゴウドにいる「エーセルメール牙曹長」と話そう。			偽神獣担当官と話した。カヌ・エ・センナと、その護衛の白蛇の守人とともに、グレイプニルの討伐に参加することになった。グレイプニルの毒気は、鎖死病に似た症状を引き起こすらしい。負傷者に関する情報を聞くため、北部森林のフォールゴウドにいる「エーセルメール牙曹長」と話そう。			死に鎖された森							
エーセルメール牙曹長と話した。浮かぶコルク亭にいる「フォールゴウドの道士」と話そう。			エーセルメール牙曹長と話した。浮かぶコルク亭にいる「フォールゴウドの道士」と話そう。			死に鎖された森							
フォールゴウドの道士と話した。チゴーの大群が出現したという叫び声が聞こえた。東の門にいる「怯えた様子の男」と話そう。			フォールゴウドの道士と話した。チゴーの大群が出現したという叫び声が聞こえた。東の門にいる「怯えた様子の男」と話そう。			死に鎖された森							
怯えた様子の男と話した。北部森林のアルダースプリングスへ行き、「クリーピング・チゴー」を討伐しよう。			怯えた様子の男と話した。北部森林のアルダースプリングスへ行き、「クリーピング・チゴー」を討伐しよう。			死に鎖された森							
クリーピング・チゴーの大群を討伐した。アルダースプリングスにいる「ハーストミルの商人」を救助しよう。			クリーピング・チゴーの大群を討伐した。アルダースプリングスにいる「ハーストミルの商人」を救助しよう。			死に鎖された森							
ハーストミルの商人を救助した。浮かぶコルク亭にいる「カヌ・エ・センナ」に「鎖死病の特効薬」を渡そう。			ハーストミルの商人を救助した。浮かぶコルク亭にいる「カヌ・エ・センナ」に「鎖死病の特効薬」を渡そう。			死に鎖された森							
カヌ・エ・センナに鎖死病の特効薬を渡したが、グレイプニルの毒気には、効果がなかった。グリダニアの双蛇党：統合司令部にいる「白蛇の守人」と話そう。			カヌ・エ・センナに鎖死病の特効薬を渡したが、グレイプニルの毒気には、効果がなかった。グリダニアの双蛇党：統合司令部にいる「白蛇の守人」と話そう。			死に鎖された森							
白蛇の守人と話した。次の作戦の方針が固まるのを待ってから、再びこの場所を訪れよう。※いずれかのTANKジョブのレベルが86以上になると、双蛇党：統合司令部の白蛇の守人から次のTANKロールクエストを受注することができます。			白蛇の守人と話した。次の作戦の方針が固まるのを待ってから、再びこの場所を訪れよう。※いずれかのTANKジョブのレベルが86以上になると、双蛇党：統合司令部の白蛇の守人から次のTANKロールクエストを受注することができます。			死に鎖された森							
双蛇党：統合司令部の偽神獣担当官と話す			双蛇党：統合司令部の偽神獣担当官と話す			死に鎖された森							
