魔導船の設計技師は、知神の港で休憩をしているようだ。			魔導船の設計技師は、知神の港で休憩をしているようだ。			心を持たぬ者は思考する							
魔導船の設計技師から、ラグナロクが傍受した謎の通信について聞いた。ラヴィリンソスのタウマゼインにいる「魔導船の設計技師」と話そう。			魔導船の設計技師から、ラグナロクが傍受した謎の通信について聞いた。ラヴィリンソスのタウマゼインにいる「魔導船の設計技師」と話そう。			心を持たぬ者は思考する							
ガーロンド・アイアンワークスの面々に加え、話せるようになったオメガと合流した。タウマゼインの「オメガ」と話そう。			ガーロンド・アイアンワークスの面々に加え、話せるようになったオメガと合流した。タウマゼインの「オメガ」と話そう。			心を持たぬ者は思考する							
オメガの提案で、ラザハンに向かうことになった。ラザハンのエーテライト・プラザにいる「オメガ」と話し、同行させよう。			オメガの提案で、ラザハンに向かうことになった。ラザハンのエーテライト・プラザにいる「オメガ」と話し、同行させよう。			心を持たぬ者は思考する							
オメガとアルファを連れて出発した。ふたりを連れた状態で、ラザハンのカーマ区にいる住民3名と話そう。※同行状態が解除された場合、エーテライト・プラザの「オメガ」か「アルファ」に話しかけることで同行を再開できます。			オメガとアルファを連れて出発した。ふたりを連れた状態で、ラザハンのカーマ区にいる住民3名と話そう。※同行状態が解除された場合、エーテライト・プラザの「オメガ」か「アルファ」に話しかけることで同行を再開できます。			心を持たぬ者は思考する							
住民たちから話を聞いた。カーマ区の指定地点で、同行している「オメガ」と話そう。			住民たちから話を聞いた。カーマ区の指定地点で、同行している「オメガ」と話そう。			心を持たぬ者は思考する							
オメガは聞き取りを続行することを決めた。オメガとアルファを連れた状態で、ラザハンのルヴェーダ製糸局にいる「ジナバナ」と話そう。			オメガは聞き取りを続行することを決めた。オメガとアルファを連れた状態で、ラザハンのルヴェーダ製糸局にいる「ジナバナ」と話そう。			心を持たぬ者は思考する							
ジナバナと話した。オメガとアルファを連れた状態で、ルヴェーダ製糸局付近にいる「ナシュヴァン」を探そう。			ジナバナと話した。オメガとアルファを連れた状態で、ルヴェーダ製糸局付近にいる「ナシュヴァン」を探そう。			心を持たぬ者は思考する							
ナシュヴァンを見つけた。終末の混乱の中で息子を失い、庇ってくれたアヒワーンも助けられなかったことで、深い悲しみを抱えているナシュヴァン。オメガは彼が再起した理由を理解できずにいるようだが、引き続き学びたいという意志はあるようだ。終末にまつわる旅を振り返りながら、オメガと心について考えていこう。			ナシュヴァンを見つけた。終末の混乱の中で息子を失い、庇ってくれたアヒワーンも助けられなかったことで、深い悲しみを抱えているナシュヴァン。オメガは彼が再起した理由を理解できずにいるようだが、引き続き学びたいという意志はあるようだ。終末にまつわる旅を振り返りながら、オメガと心について考えていこう。			心を持たぬ者は思考する							
タウマゼインの魔導船の設計技師と話す			タウマゼインの魔導船の設計技師と話す			心を持たぬ者は思考する							
オメガと話す			オメガと話す			心を持たぬ者は思考する							
オメガと話して同行させる			オメガと話して同行させる			心を持たぬ者は思考する							
オメガとアルファを連れてカーマ区の住民と話す			オメガとアルファを連れてカーマ区の住民と話す			心を持たぬ者は思考する							
連れているオメガと指定地点で話す			連れているオメガと指定地点で話す			心を持たぬ者は思考する							
オメガとアルファを連れてジナバナと話す			オメガとアルファを連れてジナバナと話す			心を持たぬ者は思考する							
オメガとアルファを連れてナシュヴァンを探す			オメガとアルファを連れてナシュヴァンを探す			心を持たぬ者は思考する							
さぁて、気分転換もできたし、ちょうどいい頃合いかな。そろそろ戻って…………			さぁて、気分転換もできたし、ちょうどいい頃合いかな。そろそろ戻って…………			心を持たぬ者は思考する							
……おや？キミ、Surname氏じゃないか！素晴らしいタイミングでお出ましだな！			……おや？キミ、Surname氏じゃないか！素晴らしいタイミングでお出ましだな！			心を持たぬ者は思考する							
私は、ラヴィリンソスで方舟の設計に携わっていてね。ここ最近は、将来に役立てるため、魔導船ラグナロクの航行記録を分析しているんだ。			私は、ラヴィリンソスで方舟の設計に携わっていてね。ここ最近は、将来に役立てるため、魔導船ラグナロクの航行記録を分析しているんだ。			心を持たぬ者は思考する							
キミたちのウルティマ・トゥーレへの旅は、星々を救っただけでなく、貴重な経験と情報を人類にもたらしてくれた……。			キミたちのウルティマ・トゥーレへの旅は、星々を救っただけでなく、貴重な経験と情報を人類にもたらしてくれた……。			心を持たぬ者は思考する							
本当に、心から感謝しているよ。無事に帰ってきてくれたことも含めてね。			本当に、心から感謝しているよ。無事に帰ってきてくれたことも含めてね。			心を持たぬ者は思考する							
……それで、だ。あのときの航行記録を調べていたところ、なんと、道中で「謎の通信」を傍受していたことが判明したのさ。			……それで、だ。あのときの航行記録を調べていたところ、なんと、道中で「謎の通信」を傍受していたことが判明したのさ。			心を持たぬ者は思考する							
恐らくは、未知言語による音声通信だろう。そこで、ルルシャ教授を含む有識者に解析を依頼したものの、いまだ内容を特定できていない……。			恐らくは、未知言語による音声通信だろう。そこで、ルルシャ教授を含む有識者に解析を依頼したものの、いまだ内容を特定できていない……。			心を持たぬ者は思考する							
