流星の間のリムサ・ロミンサの駐在武官は、冒険者に頼みたいことがあるようだ。			流星の間のリムサ・ロミンサの駐在武官は、冒険者に頼みたいことがあるようだ。			いざ、出航の時							
リムサ・ロミンサの駐在武官と話した。ラノシア近海でも終末の獣らしき存在が確認されており、解決のために冒険者の力を借りたいという。上甲板層の黒渦団：軍令部の「黒渦団の書記官」と話そう。			リムサ・ロミンサの駐在武官と話した。ラノシア近海でも終末の獣らしき存在が確認されており、解決のために冒険者の力を借りたいという。上甲板層の黒渦団：軍令部の「黒渦団の書記官」と話そう。			いざ、出航の時							
黒渦団の書記官と話した。サハギン族のテンパード治療が進んだことで、彼らの中に人と対話を求める勢力「融和派」が生まれたという。融和派のサハギン族との会談に参加するため、西ラノシアの南防波壁の「メルウィブ」と話そう。			黒渦団の書記官と話した。サハギン族のテンパード治療が進んだことで、彼らの中に人と対話を求める勢力「融和派」が生まれたという。融和派のサハギン族との会談に参加するため、西ラノシアの南防波壁の「メルウィブ」と話そう。			いざ、出航の時							
メルウィブと話した。西ラノシアのハーフストーンの「メルウィブ」と再度話そう。			メルウィブと話した。西ラノシアのハーフストーンの「メルウィブ」と再度話そう。			いざ、出航の時							
メルウィブと話した。融和派のサハギン族が、終末の獣の襲撃に遭っているようだ。ハーフストーンの「終末の獣」を討伐しよう。			メルウィブと話した。融和派のサハギン族が、終末の獣の襲撃に遭っているようだ。ハーフストーンの「終末の獣」を討伐しよう。			いざ、出航の時							
終末の獣を討伐した。ハーフストーンの「望潮のノォル」を救助しよう。			終末の獣を討伐した。ハーフストーンの「望潮のノォル」を救助しよう。			いざ、出航の時							
望潮のノォルを救助した。ハーフストーンの「メルウィブ」と話そう。			望潮のノォルを救助した。ハーフストーンの「メルウィブ」と話そう。			いざ、出航の時							
メルウィブとともに、融和派のサハギン族から話を聞いた。彼らによれば、サハギン族の女王である「蒼茫の母」が病によって崩御したことで、ヒトとの共存を目指す融和派が、好戦的な勢力を上回るキッカケとなったようだ。好戦的な勢力である「海嘯派」は、リヴァイアサンの再召喚を企てるも、資源の枯渇などで思うようにはいかず、彼ら「海嘯派」が終末の獣に転じてしまっているようだ。黒渦団：軍令部に戻り、「メルウィブ」と話そう。			メルウィブとともに、融和派のサハギン族から話を聞いた。彼らによれば、サハギン族の女王である「蒼茫の母」が病によって崩御したことで、ヒトとの共存を目指す融和派が、好戦的な勢力を上回るキッカケとなったようだ。好戦的な勢力である「海嘯派」は、リヴァイアサンの再召喚を企てるも、資源の枯渇などで思うようにはいかず、彼ら「海嘯派」が終末の獣に転じてしまっているようだ。黒渦団：軍令部に戻り、「メルウィブ」と話そう。			いざ、出航の時							
メルウィブは今後、融和派と協力して、終末の獣の出現を監視する情報網を構築するという。いまは有力な情報が集まるのを待とう。※いずれかの近接物理DPSジョブのレベルが86以上になると、黒渦団：軍令部の黒渦団の書記官から次の近接物理DPSロールクエストを受注することができます。			メルウィブは今後、融和派と協力して、終末の獣の出現を監視する情報網を構築するという。いまは有力な情報が集まるのを待とう。※いずれかの近接物理DPSジョブのレベルが86以上になると、黒渦団：軍令部の黒渦団の書記官から次の近接物理DPSロールクエストを受注することができます。			いざ、出航の時							
黒渦団：軍令部の黒渦団の書記官と話す			黒渦団：軍令部の黒渦団の書記官と話す			いざ、出航の時							
南防波壁のメルウィブと話す			南防波壁のメルウィブと話す			いざ、出航の時							
メルウィブと再度話す			メルウィブと再度話す			いざ、出航の時							
終末の獣を討伐			終末の獣を討伐			いざ、出航の時							
望潮のノォルを救助			望潮のノォルを救助			いざ、出航の時							
メルウィブと話す			メルウィブと話す			いざ、出航の時							
黒渦団：軍令部のメルウィブと話す			黒渦団：軍令部のメルウィブと話す			いざ、出航の時							
Forename殿。さっそくですが、本題に移らせてください。			Forename殿。さっそくですが、本題に移らせてください。			いざ、出航の時							
ラザハンでの騒動以降、ラノシア近海でも、終末の獣らしき存在が確認されています。			ラザハンでの騒動以降、ラノシア近海でも、終末の獣らしき存在が確認されています。			いざ、出航の時							
あなたがたの活躍により、災厄の元凶は断たれたそうですが、依然ラノシア近海では、終末の獣の存在が確認されています。			あなたがたの活躍により、災厄の元凶は断たれたそうですが、依然ラノシア近海では、終末の獣の存在が確認されています。			いざ、出航の時							
現在、メルウィブ提督が黒渦団を率いて対策を練っていますが、正直に申し上げて、状況は難航しています。ぜひ経験豊富なあなたに、ご協力いただきたいのですが……			現在、メルウィブ提督が黒渦団を率いて対策を練っていますが、正直に申し上げて、状況は難航しています。ぜひ経験豊富なあなたに、ご協力いただきたいのですが……			いざ、出航の時							
何と言う？			何と言う？			いざ、出航の時							
任せてくれ			任せてくれ			いざ、出航の時							
仕方ないな……			仕方ないな……			いざ、出航の時							
