ラザハンの流星の間にいる、ドマの駐在武官は冒険者にお願いがあるようだ。			ラザハンの流星の間にいる、ドマの駐在武官は冒険者にお願いがあるようだ。			秘められし民の想い							
ドマの駐在武官から、ドマの偽神獣対策の協力を頼まれた。ドマ町人地の「ユウギリ」と話そう。			ドマの駐在武官から、ドマの偽神獣対策の協力を頼まれた。ドマ町人地の「ユウギリ」と話そう。			秘められし民の想い							
ユウギリと話し、ヒエンから偽神獣とドマの状況を聞いた。ナマイ村で人が獣化したと報せがきたので、討伐に向かうことになった。ヤンサの無二江流域にいる「慌てた様子の村人」と話そう。			ユウギリと話し、ヒエンから偽神獣とドマの状況を聞いた。ナマイ村で人が獣化したと報せがきたので、討伐に向かうことになった。ヤンサの無二江流域にいる「慌てた様子の村人」と話そう。			秘められし民の想い							
慌てた様子の村人と話した。ヤンサのクサカリの里で、終末の獣を探して討伐しよう。			慌てた様子の村人と話した。ヤンサのクサカリの里で、終末の獣を探して討伐しよう。			秘められし民の想い							
終末の獣を討伐した。クサカリの里の「怯えた様子の少年」を救助しよう。			終末の獣を討伐した。クサカリの里の「怯えた様子の少年」を救助しよう。			秘められし民の想い							
怯えた様子の少年を救助した。イッセが現れて、ドマの民が抱える絶望について聞いた。ドマ町人地に戻り「ヒエン」と話そう。			怯えた様子の少年を救助した。イッセが現れて、ドマの民が抱える絶望について聞いた。ドマ町人地に戻り「ヒエン」と話そう。			秘められし民の想い							
ヒエンと話した。彼はドマの民の絶望を把握できていなかったことを反省し、各地を回って民から話を聞くことにしたという。よき頃合いに、またユウギリを訪ねよう。※いずれかの遠隔物理DPSジョブのレベルが86以上になると、ドマ町人地のユウギリから次の遠隔物理DPSロールクエストを受注することができます。			ヒエンと話した。彼はドマの民の絶望を把握できていなかったことを反省し、各地を回って民から話を聞くことにしたという。よき頃合いに、またユウギリを訪ねよう。※いずれかの遠隔物理DPSジョブのレベルが86以上になると、ドマ町人地のユウギリから次の遠隔物理DPSロールクエストを受注することができます。			秘められし民の想い							
ドマ町人地のユウギリと話す			ドマ町人地のユウギリと話す			秘められし民の想い							
慌てた様子の村人と話す			慌てた様子の村人と話す			秘められし民の想い							
終末の獣を探して討伐			終末の獣を探して討伐			秘められし民の想い							
怯えた様子の少年を救助			怯えた様子の少年を救助			秘められし民の想い							
ドマ町人地のヒエンと話す			ドマ町人地のヒエンと話す			秘められし民の想い							
