流星の間のイシュガルドの駐在武官は、強き心を持つ者を求めているようだ。			流星の間のイシュガルドの駐在武官は、強き心を持つ者を求めているようだ。			傷ついた皇都の魂は							
イシュガルドの駐在武官と話した。イシュガルドに出現した偽神獣は竜に酷似しており、皇都には混乱が広がっているらしい。魔法戦に長けた者を求めているとのことなので、イシュガルドのエーテライト・プラザ付近で「アルトアレール」と話そう。			イシュガルドの駐在武官と話した。イシュガルドに出現した偽神獣は竜に酷似しており、皇都には混乱が広がっているらしい。魔法戦に長けた者を求めているとのことなので、イシュガルドのエーテライト・プラザ付近で「アルトアレール」と話そう。			傷ついた皇都の魂は							
イシュガルドの偽神獣対策にあたっているアイメリク、アルトアレールと話した。どうやら皇都では獣に転じているのは聖職者ばかりのようだ……。偽神獣に対面しながらも生き残った、イシュガルドの上層の聖レマノー大聖堂にいる「クレム」助祭から話を聞こう。			イシュガルドの偽神獣対策にあたっているアイメリク、アルトアレールと話した。どうやら皇都では獣に転じているのは聖職者ばかりのようだ……。偽神獣に対面しながらも生き残った、イシュガルドの上層の聖レマノー大聖堂にいる「クレム」助祭から話を聞こう。			傷ついた皇都の魂は							
クレム助祭と話し、偽神獣が出現した際の状況を聞いた。頼みたいことがあるというので、再度聖レマノー大聖堂の「クレム」助祭から話を聞こう。			クレム助祭と話し、偽神獣が出現した際の状況を聞いた。頼みたいことがあるというので、再度聖レマノー大聖堂の「クレム」助祭から話を聞こう。			傷ついた皇都の魂は							
クレム助祭と話し、獣化事件に恐れをなした聖職者が皇都を離れたという話を聞いた。彼らの身の安全を確保するため、クルザス西部高地の「ゴルガニュ牧場」付近で聖職者たちを探そう。			クレム助祭と話し、獣化事件に恐れをなした聖職者が皇都を離れたという話を聞いた。彼らの身の安全を確保するため、クルザス西部高地の「ゴルガニュ牧場」付近で聖職者たちを探そう。			傷ついた皇都の魂は							
聖職者たちを発見したが、ひとりが恐慌状態に陥り、獣と化してしまった。東へ向かった「終末の獣」を追いかけ、討伐しよう。			聖職者たちを発見したが、ひとりが恐慌状態に陥り、獣と化してしまった。東へ向かった「終末の獣」を追いかけ、討伐しよう。			傷ついた皇都の魂は							
終末の獣を討伐した。ゴルガニュ牧場の「アイメリク」のところへ戻ろう。			終末の獣を討伐した。ゴルガニュ牧場の「アイメリク」のところへ戻ろう。			傷ついた皇都の魂は							
アイメリクと話し、聖職者たちは皇都に戻ることを了承したことを聞いた。イシュガルドの神殿騎士団本部の「神殿騎士団の衛兵」と話し、作戦立案室へ案内してもらおう。			アイメリクと話し、聖職者たちは皇都に戻ることを了承したことを聞いた。イシュガルドの神殿騎士団本部の「神殿騎士団の衛兵」と話し、作戦立案室へ案内してもらおう。			傷ついた皇都の魂は							
神殿騎士団の衛兵に、作戦立案室へ案内してもらった。作戦立案室の「アルトアレール」と話そう。一度外に出た場合は、神殿騎士団本部にいる「神殿騎士団の衛兵」が、作戦立案室へ案内してくれるようだ。			神殿騎士団の衛兵に、作戦立案室へ案内してもらった。作戦立案室の「アルトアレール」と話そう。一度外に出た場合は、神殿騎士団本部にいる「神殿騎士団の衛兵」が、作戦立案室へ案内してくれるようだ。			傷ついた皇都の魂は							
作戦立案室にて、アイメリク、アルトアレールと話した。獣化する者が聖職者に集中していることについて、慎重に対策を練らなくてはならない。保護した聖職者たちの容体が落ち着き次第、クレム助祭から詳細を聞くことになった。※いずれかの遠隔魔法DPSジョブのレベルが86以上になると、神殿騎士団本部内、作戦立案室のアルトアレールから次の遠隔魔法DPSロールクエストを受注することができます。			作戦立案室にて、アイメリク、アルトアレールと話した。獣化する者が聖職者に集中していることについて、慎重に対策を練らなくてはならない。保護した聖職者たちの容体が落ち着き次第、クレム助祭から詳細を聞くことになった。※いずれかの遠隔魔法DPSジョブのレベルが86以上になると、神殿騎士団本部内、作戦立案室のアルトアレールから次の遠隔魔法DPSロールクエストを受注することができます。			傷ついた皇都の魂は							
イシュガルドのアルトアレールと話す			イシュガルドのアルトアレールと話す			傷ついた皇都の魂は							
聖レマノー大聖堂のクレムと話す			聖レマノー大聖堂のクレムと話す			傷ついた皇都の魂は							
クレムと再度話す			クレムと再度話す			傷ついた皇都の魂は							
ゴルガニュ牧場付近で聖職者を探す			ゴルガニュ牧場付近で聖職者を探す			傷ついた皇都の魂は							
終末の獣を討伐			終末の獣を討伐			傷ついた皇都の魂は							
アイメリクと話す			アイメリクと話す			傷ついた皇都の魂は							
神殿騎士団本部の神殿騎士団の衛兵と話す			神殿騎士団本部の神殿騎士団の衛兵と話す			傷ついた皇都の魂は							
作戦立案室のアルトアレールと話す			作戦立案室のアルトアレールと話す			傷ついた皇都の魂は							
ああ、英雄殿！あなたが声をかけてくださるのを、お待ちしておりました。			ああ、英雄殿！あなたが声をかけてくださるのを、お待ちしておりました。			傷ついた皇都の魂は							
人が異形の獣に転じる恐ろしい事件は、我らが皇都イシュガルドでも、発生しております。			人が異形の獣に転じる恐ろしい事件は、我らが皇都イシュガルドでも、発生しております。			傷ついた皇都の魂は							
しかも、その姿が竜に酷似していたため、目撃者たちの動揺は激しく……市民たちは恐怖に震えているのです。			しかも、その姿が竜に酷似していたため、目撃者たちの動揺は激しく……市民たちは恐怖に震えているのです。			傷ついた皇都の魂は							
とはいえ、討伐を急ごうにも強大な獣を前に、恐怖や絶望を抱いては、自らも獣化しかねないとあって……討伐隊の人員も厳選せざるを得ません。			とはいえ、討伐を急ごうにも強大な獣を前に、恐怖や絶望を抱いては、自らも獣化しかねないとあって……討伐隊の人員も厳選せざるを得ません。			傷ついた皇都の魂は							
特に重要なのは、揺るぎなき「強き心」を持ち、なおかつ我が国に不足している魔法戦に長けた者の協力……			特に重要なのは、揺るぎなき「強き心」を持ち、なおかつ我が国に不足している魔法戦に長けた者の協力……			傷ついた皇都の魂は							
英雄殿、その点において、あなた以上の存在はおりますまい。どうかその力を貸していただけないでしょうか？			英雄殿、その点において、あなた以上の存在はおりますまい。どうかその力を貸していただけないでしょうか？			傷ついた皇都の魂は							
何と言う？			何と言う？			傷ついた皇都の魂は							
任せてくれ			任せてくれ			傷ついた皇都の魂は							
仕方ないな……			仕方ないな……			傷ついた皇都の魂は							
ありがとうございます！そうと決まれば、前もって皇都に通信を入れておきましょう。			ありがとうございます！そうと決まれば、前もって皇都に通信を入れておきましょう。			傷ついた皇都の魂は							
