流星の間のシーラバートは、冒険者に新たな頼みがあるようだ。			流星の間のシーラバートは、冒険者に新たな頼みがあるようだ。			帝都の獣							
シーラバートから、ガレマルドの偽神獣対策の協力を頼まれた。ガレマルドのキャンプ・ブロークングラスにあるエーテライト前で「派遣団の情報将校」と話そう。			シーラバートから、ガレマルドの偽神獣対策の協力を頼まれた。ガレマルドのキャンプ・ブロークングラスにあるエーテライト前で「派遣団の情報将校」と話そう。			帝都の獣							
派遣団の情報将校と話し、マキシマやフルシュノらから偽神獣対策のため、各国の盟主たちが協力してくれることを聞いた。キャンプ・ブロークングラスの「ユウギリ」と話そう。			派遣団の情報将校と話し、マキシマやフルシュノらから偽神獣対策のため、各国の盟主たちが協力してくれることを聞いた。キャンプ・ブロークングラスの「ユウギリ」と話そう。			帝都の獣							
ユウギリと話したところ、ロレンスが現れて偽神獣の障壁について聞いた。キャンプ・ブロークングラスの「アルトアレール」と話そう。			ユウギリと話したところ、ロレンスが現れて偽神獣の障壁について聞いた。キャンプ・ブロークングラスの「アルトアレール」と話そう。			帝都の獣							
アルトアレールと話し、ガレマルドで獣化している者たちは、ロクス・アモエヌスからの帰還者たちだと聞いた。フルシュノと共に偽神獣対策に乗り出そう。			アルトアレールと話し、ガレマルドで獣化している者たちは、ロクス・アモエヌスからの帰還者たちだと聞いた。フルシュノと共に偽神獣対策に乗り出そう。			帝都の獣							
キャンプ・ブロークングラスの派遣団の情報将校と話す			キャンプ・ブロークングラスの派遣団の情報将校と話す			帝都の獣							
ユウギリと話す			ユウギリと話す			帝都の獣							
アルトアレールと話す			アルトアレールと話す			帝都の獣							
やあ、我らが英雄Forename、よく来てくれた。			やあ、我らが英雄Forename、よく来てくれた。			帝都の獣							
君の尽力もあって、エオルゼア諸国、並びにドマ国における偽神獣の討伐が完了した。本当に、よくやってくれたよ。			君の尽力もあって、エオルゼア諸国、並びにドマ国における偽神獣の討伐が完了した。本当に、よくやってくれたよ。			帝都の獣							
それ以外の国や地域でも、偽神獣への対策は進んでいてね。続々と吉報が届いているんだ。			それ以外の国や地域でも、偽神獣への対策は進んでいてね。続々と吉報が届いているんだ。			帝都の獣							
たとえばボズヤ地方では、ヒエン殿の助力を得たボズヤ・レジスタンスが、激戦の末に、偽神獣を仕留めたという。			たとえばボズヤ地方では、ヒエン殿の助力を得たボズヤ・レジスタンスが、激戦の末に、偽神獣を仕留めたという。			帝都の獣							
独立間もないウェルリトでも、アラミゴからの支援を受けた暫定政府軍が奮戦。あの「漆黒の王狼」の指揮もあって、勝利を収めたようだ。			独立間もないウェルリトでも、アラミゴからの支援を受けた暫定政府軍が奮戦。あの「漆黒の王狼」の指揮もあって、勝利を収めたようだ。			帝都の獣							
ところがだな……。ガレマルドに偽神獣らしき強力な獣が現れたそうで、支援要請があったのだよ。			ところがだな……。ガレマルドに偽神獣らしき強力な獣が現れたそうで、支援要請があったのだよ。			帝都の獣							
思えば、かの地で終末が本格化した際、多くの獣が現れていたが、偽神獣は確認されていなかった。どこかに潜んでいた、ということだろう。			思えば、かの地で終末が本格化した際、多くの獣が現れていたが、偽神獣は確認されていなかった。どこかに潜んでいた、ということだろう。			帝都の獣							
さらに、偽神獣が活動を再開したのと時を同じくして、帝国市民の間で、獣化現象が生じ始めているそうでな……。			さらに、偽神獣が活動を再開したのと時を同じくして、帝国市民の間で、獣化現象が生じ始めているそうでな……。			帝都の獣							
君たちの目覚ましい活躍によって、元凶が取り除かれ、空が燃えるほどの終末現象は収まった。			君たちの目覚ましい活躍によって、元凶が取り除かれ、空が燃えるほどの終末現象は収まった。			帝都の獣							
しかし、既に終末の獣となってしまった者は元には戻れず、減少してはいるものの、未だ獣化の事例も報告されているのだ。			しかし、既に終末の獣となってしまった者は元には戻れず、減少してはいるものの、未だ獣化の事例も報告されているのだ。			帝都の獣							
これまでの長きに亘り、元凶が発していた負のアーカーシャが完全に消え去るまでには、いましばらくの時を要するということなのだろう。			これまでの長きに亘り、元凶が発していた負のアーカーシャが完全に消え去るまでには、いましばらくの時を要するということなのだろう。			帝都の獣							
しかも、ガレマルドの偽神獣は、かなり手強いらしい。ぜひ偽神獣と相対した経験が豊富な君にも、討伐に力を貸してもらいたいのだが……。			しかも、ガレマルドの偽神獣は、かなり手強いらしい。ぜひ偽神獣と相対した経験が豊富な君にも、討伐に力を貸してもらいたいのだが……。			帝都の獣							
何と言う？			何と言う？			帝都の獣							
もちろん協力させてもらおう！			もちろん協力させてもらおう！			帝都の獣							
イルサバード派遣団で対応できるのでは……？			イルサバード派遣団で対応できるのでは……？			帝都の獣							
快諾に感謝する！救援要請を送ってきた「シャーレアン人」も喜ぶだろう。君の派遣を切に願っていたようだからな。			快諾に感謝する！救援要請を送ってきた「シャーレアン人」も喜ぶだろう。君の派遣を切に願っていたようだからな。			帝都の獣							
むろん、彼らも対応に動き出しているようだが……協力要請を送ってきたのは「シャーレアン人」でね。君の派遣を切に願っていたのだよ。			むろん、彼らも対応に動き出しているようだが……協力要請を送ってきたのは「シャーレアン人」でね。君の派遣を切に願っていたのだよ。			帝都の獣							
