シャバーブチェのローデニケは、不安げな表情を浮かべている。			シャバーブチェのローデニケは、不安げな表情を浮かべている。			根雪に包まれて							
ローデニケと話した。部族の里から盗まれた「イッカクの祭器」奪還のため、テントーワに協力してほしいと頼まれた。彼は海を渡った窃盗犯を追うため、現在はイシュガルドを訪れているはずだという。彼と合流するため、イシュガルドの忘れられた騎士亭にいる「ジブリオン」と話そう。			ローデニケと話した。部族の里から盗まれた「イッカクの祭器」奪還のため、テントーワに協力してほしいと頼まれた。彼は海を渡った窃盗犯を追うため、現在はイシュガルドを訪れているはずだという。彼と合流するため、イシュガルドの忘れられた騎士亭にいる「ジブリオン」と話そう。			根雪に包まれて							
ジブリオンと話した。イシュガルドの宝杖通りで「テントーワ」を探そう。			ジブリオンと話した。イシュガルドの宝杖通りで「テントーワ」を探そう。			根雪に包まれて							
テントーワと話した。祭器を盗んだ犯人は、剣術に長けているらしい。イシュガルドの神殿騎士団本部付近にいる「フィルマルベル」と話そう。			テントーワと話した。祭器を盗んだ犯人は、剣術に長けているらしい。イシュガルドの神殿騎士団本部付近にいる「フィルマルベル」と話そう。			根雪に包まれて							
フィルマルベルと話した。祭器を盗んだ犯人は、元神殿騎士のレオフィーヌである可能性が高いという。イシュガルドの聖バルロアイアン広場にいる「テントーワ」と話そう。			フィルマルベルと話した。祭器を盗んだ犯人は、元神殿騎士のレオフィーヌである可能性が高いという。イシュガルドの聖バルロアイアン広場にいる「テントーワ」と話そう。			根雪に包まれて							
テントーワと話した。彼は街を回って、少しでもこちらの事情を学んでおくつもりらしい。レオフィーヌの行方がわかるまで、準備をしておこう。※いずれかのTANKジョブのレベルが92以上になると、聖バルロアイアン広場のテントーワから次のTANKロールクエストを受注することができます。			テントーワと話した。彼は街を回って、少しでもこちらの事情を学んでおくつもりらしい。レオフィーヌの行方がわかるまで、準備をしておこう。※いずれかのTANKジョブのレベルが92以上になると、聖バルロアイアン広場のテントーワから次のTANKロールクエストを受注することができます。			根雪に包まれて							
イシュガルドのジブリオンと話す			イシュガルドのジブリオンと話す			根雪に包まれて							
宝杖通りでテントーワを探す			宝杖通りでテントーワを探す			根雪に包まれて							
神殿騎士団本部付近のフィルマルベルと話す			神殿騎士団本部付近のフィルマルベルと話す			根雪に包まれて							
テントーワと話す			テントーワと話す			根雪に包まれて							
キミ、海の向こうから来た人、だよね？もしかして、祭器の件をブルケブから聞いて……？			キミ、海の向こうから来た人、だよね？もしかして、祭器の件をブルケブから聞いて……？			根雪に包まれて							
