シャバーブチェのニーピネは、行き交う人々を眺めているようだ。			シャバーブチェのニーピネは、行き交う人々を眺めているようだ。			海都を騒がす毒の果実							
ニーピネと話した。部族の集落から盗まれた「サソリの祭器」奪還のため、ローシュカナに協力してほしいと頼まれた。彼女は海を渡った窃盗犯を追うため、現在はリムサ・ロミンサを訪れているという。彼女の足取りを追うため、リムサ・ロミンサのフェリードックで「バルドブリダ」と話そう。			ニーピネと話した。部族の集落から盗まれた「サソリの祭器」奪還のため、ローシュカナに協力してほしいと頼まれた。彼女は海を渡った窃盗犯を追うため、現在はリムサ・ロミンサを訪れているという。彼女の足取りを追うため、リムサ・ロミンサのフェリードックで「バルドブリダ」と話そう。			海都を騒がす毒の果実							
バルドブリダと話した。彼女の船で海を渡ってきたローシュカナは、窃盗犯の手がかりを得るために聞き込みをしているという。リムサ・ロミンサの国際街広場付近で「ローシュカナ」と話そう。			バルドブリダと話した。彼女の船で海を渡ってきたローシュカナは、窃盗犯の手がかりを得るために聞き込みをしているという。リムサ・ロミンサの国際街広場付近で「ローシュカナ」と話そう。			海都を騒がす毒の果実							
ローシュカナと話した。彼女と手分けをして、情報収集をすることになった。国際街広場周辺で「リムサ・ロミンサの市民たち」から情報を集めよう。			ローシュカナと話した。彼女と手分けをして、情報収集をすることになった。国際街広場周辺で「リムサ・ロミンサの市民たち」から情報を集めよう。			海都を騒がす毒の果実							
リムサ・ロミンサの市民たちと話した。さらなる情報を得るため、リムサ・ロミンサの漁師ギルド付近を見回っている「快活なイエロージャケット警備兵」と話そう。			リムサ・ロミンサの市民たちと話した。さらなる情報を得るため、リムサ・ロミンサの漁師ギルド付近を見回っている「快活なイエロージャケット警備兵」と話そう。			海都を騒がす毒の果実							
快活なイエロージャケット警備兵と話した。彼女がこれから見回る場所に、ローシュカナも向かったという。リムサ・ロミンサの八分儀広場南で「快活なイエロージャケット警備兵」と合流しよう。			快活なイエロージャケット警備兵と話した。彼女がこれから見回る場所に、ローシュカナも向かったという。リムサ・ロミンサの八分儀広場南で「快活なイエロージャケット警備兵」と合流しよう。			海都を騒がす毒の果実							
快活なイエロージャケット警備兵と合流した。八分儀広場南で麻痺して倒れている「ぐったりとした市民」に「エスナ」をかけよう。			快活なイエロージャケット警備兵と合流した。八分儀広場南で麻痺して倒れている「ぐったりとした市民」に「エスナ」をかけよう。			海都を騒がす毒の果実							
ぐったりとした市民にエスナをかけて、事情を聞いた。麻痺の原因となったのは、ララフェル族の男性から買った果物だという。そして、その男性と話していた女性が祭器を所持しているようだ。情報を整理するため、八分儀広場南で「ローシュカナ」と話そう。			ぐったりとした市民にエスナをかけて、事情を聞いた。麻痺の原因となったのは、ララフェル族の男性から買った果物だという。そして、その男性と話していた女性が祭器を所持しているようだ。情報を整理するため、八分儀広場南で「ローシュカナ」と話そう。			海都を騒がす毒の果実							
ローシュカナと話した。新たな情報が入るのを待って、再び彼女のもとを訪ねよう。※いずれかのHEALERジョブのレベルが92以上になると、八分儀広場南のローシュカナから次のHEALERロールクエストを受注することができます。			ローシュカナと話した。新たな情報が入るのを待って、再び彼女のもとを訪ねよう。※いずれかのHEALERジョブのレベルが92以上になると、八分儀広場南のローシュカナから次のHEALERロールクエストを受注することができます。			海都を騒がす毒の果実							
リムサ・ロミンサでバルドブリダと話す			リムサ・ロミンサでバルドブリダと話す			海都を騒がす毒の果実							
ローシュカナと話す			ローシュカナと話す			海都を騒がす毒の果実							
国際街広場周辺で情報を集める			国際街広場周辺で情報を集める			海都を騒がす毒の果実							
快活なイエロージャケット警備兵と話す			快活なイエロージャケット警備兵と話す			海都を騒がす毒の果実							
快活なイエロージャケット警備兵と合流			快活なイエロージャケット警備兵と合流			海都を騒がす毒の果実							
ぐったりとした市民にエスナをする			ぐったりとした市民にエスナをする			海都を騒がす毒の果実							
ローシュカナと話す			ローシュカナと話す			海都を騒がす毒の果実							
おや……旅の方、ワシになにか？			おや……旅の方、ワシになにか？			海都を騒がす毒の果実							
ああ！ブルケブから話を聞いて、声をかけてくれたのか。			ああ！ブルケブから話を聞いて、声をかけてくれたのか。			海都を騒がす毒の果実							
そういうことなら、まずは自己紹介といこう。ワシは北のサカ・トラル大陸からやってきた、ニーピネというものだ。			そういうことなら、まずは自己紹介といこう。ワシは北のサカ・トラル大陸からやってきた、ニーピネというものだ。			海都を騒がす毒の果実							
よければ、キミの名前を教えてもらっても？			よければ、キミの名前を教えてもらっても？			海都を騒がす毒の果実							
Forenameか。覚えておこう。			Forenameか。覚えておこう。			海都を騒がす毒の果実							
さて、すでに話を聞いているとは思うが、我が部族の宝「サソリの祭器」を盗まれてな……。			さて、すでに話を聞いているとは思うが、我が部族の宝「サソリの祭器」を盗まれてな……。			海都を騒がす毒の果実							
その名が示すとおり、封じられているのはサソリのトラルヴィドラールの魂だ。狩りのために様々な毒を体内精製する厄介な存在だったという。			その名が示すとおり、封じられているのはサソリのトラルヴィドラールの魂だ。狩りのために様々な毒を体内精製する厄介な存在だったという。			海都を騒がす毒の果実							
つまり、祭器からその力を引き出せば、多彩な毒を扱うことができてしまう……。			つまり、祭器からその力を引き出せば、多彩な毒を扱うことができてしまう……。			海都を騒がす毒の果実							
そんな厄介な力を持つ祭器を持ち去られたうえに、盗人はすでに、エオルゼアなる地へと渡ってしまった。			そんな厄介な力を持つ祭器を持ち去られたうえに、盗人はすでに、エオルゼアなる地へと渡ってしまった。			海都を騒がす毒の果実							
ゆえに、あちらの土地勘があって、なおかつ、毒の治療ができる癒やし手を探していたんだ。			ゆえに、あちらの土地勘があって、なおかつ、毒の治療ができる癒やし手を探していたんだ。			海都を騒がす毒の果実							
キミは、まさにワシが待ち望んでいた人材……どうか、我々に力を貸してくれないだろうか？			キミは、まさにワシが待ち望んでいた人材……どうか、我々に力を貸してくれないだろうか？			海都を騒がす毒の果実							
キミは、まさにワシが待ち望んでいた人材……トライヨラも癒やし手を必要とする状況と承知してはいるが、どうか、我々に力を貸してくれないだろうか？			キミは、まさにワシが待ち望んでいた人材……トライヨラも癒やし手を必要とする状況と承知してはいるが、どうか、我々に力を貸してくれないだろうか？			海都を騒がす毒の果実							
何と言う？			何と言う？			海都を騒がす毒の果実							
任せてほしい			任せてほしい			海都を騒がす毒の果実							
できる範囲でよければ……			できる範囲でよければ……			海都を騒がす毒の果実							
ありがたい！どうか、よろしく頼む。			ありがたい！どうか、よろしく頼む。			海都を騒がす毒の果実							
では、話を続けさせてもらうよ。盗人の行方についてトライヨラで調べてみたんだが、ひとつ、エオルゼアの商人から気になることを聞いたんだ。			では、話を続けさせてもらうよ。盗人の行方についてトライヨラで調べてみたんだが、ひとつ、エオルゼアの商人から気になることを聞いたんだ。			海都を騒がす毒の果実							
最近、リムサ・ロミンサなる港街の市場で、道行く人々が、突如として「目が見えなくなる」という、妙な事件が続いてると……。			最近、リムサ・ロミンサなる港街の市場で、道行く人々が、突如として「目が見えなくなる」という、妙な事件が続いてると……。			海都を騒がす毒の果実							
先にも述べたとおり、我が部族の祭器には、多彩な毒を操る力が秘められている。			先にも述べたとおり、我が部族の祭器には、多彩な毒を操る力が秘められている。			海都を騒がす毒の果実							
そのすべての力を使うには、習熟が必要ではあるが、「視力を奪う毒」は比較的容易に扱えてしまうものだ。			そのすべての力を使うには、習熟が必要ではあるが、「視力を奪う毒」は比較的容易に扱えてしまうものだ。			海都を騒がす毒の果実							
つまり、我らの祭器を奪った盗人が、その力を悪用している可能性があるということだ。			つまり、我らの祭器を奪った盗人が、その力を悪用している可能性があるということだ。			海都を騒がす毒の果実							
この推測を元に、すでに同郷の者が……部族長の娘「ローシュカナ」がリムサ・ロミンサに向かっている。			この推測を元に、すでに同郷の者が……部族長の娘「ローシュカナ」がリムサ・ロミンサに向かっている。			海都を騒がす毒の果実							
本当は、ワシも同行したかったんだが、祭器を奪われた折、「凶暴な人形」に襲われてな。そのとき痛めた足を悪くするからと、彼女に止められたんだ。			本当は、ワシも同行したかったんだが、祭器を奪われた折、「凶暴な人形」に襲われてな。そのとき痛めた足を悪くするからと、彼女に止められたんだ。			海都を騒がす毒の果実							
だから、キミにはローシュカナの手助けを頼みたい。毒を扱う相手に単独で挑むのは、危険すぎるからな……。			だから、キミにはローシュカナの手助けを頼みたい。毒を扱う相手に単独で挑むのは、危険すぎるからな……。			海都を騒がす毒の果実							
ローシュカナは、そろそろ目的地に着いている頃合いだ。彼女を乗せてくれた商船の船長を訪ねれば、その後の行方も聞けるだろう。			ローシュカナは、そろそろ目的地に着いている頃合いだ。彼女を乗せてくれた商船の船長を訪ねれば、その後の行方も聞けるだろう。			海都を騒がす毒の果実							
船長は「バルドブリダ」という名の女性でな、普段はリムサ・ロミンサの港で働いていると言っていた。まずは彼女をあたってみてくれ。			船長は「バルドブリダ」という名の女性でな、普段はリムサ・ロミンサの港で働いていると言っていた。まずは彼女をあたってみてくれ。			海都を騒がす毒の果実							
おや、冒険者が私に何の用だい？しばらく商船は出さないから、護衛や積み込みの仕事はないよ。			おや、冒険者が私に何の用だい？しばらく商船は出さないから、護衛や積み込みの仕事はないよ。			海都を騒がす毒の果実							
ローシュカナって子を探してるって？ああ、トライヨラで船に乗せてやった娘のことか……故郷の宝を取り戻すんだって意気込んで、もう行っちまったね。			ローシュカナって子を探してるって？ああ、トライヨラで船に乗せてやった娘のことか……故郷の宝を取り戻すんだって意気込んで、もう行っちまったね。			海都を騒がす毒の果実							
情報収集をするなら「国際街広場」がいいって勧めたから、そのあたりでローシュカナを探してみたらどうだい？赤い軽装に槍を背負ったヒューラン族の子だよ。			情報収集をするなら「国際街広場」がいいって勧めたから、そのあたりでローシュカナを探してみたらどうだい？赤い軽装に槍を背負ったヒューラン族の子だよ。			海都を騒がす毒の果実							
ローシュカナに用があるなら、「国際街広場」のあたりで探してみな！赤い軽装に槍を背負ったヒューラン族の子だよ！			ローシュカナに用があるなら、「国際街広場」のあたりで探してみな！赤い軽装に槍を背負ったヒューラン族の子だよ！			海都を騒がす毒の果実							
あら、こんにちは。ワタシに何かご用かしら……？			あら、こんにちは。ワタシに何かご用かしら……？			海都を騒がす毒の果実							
ニーピネに頼まれて、ワタシを手伝いに？ひとりじゃ行き詰まっていたこともあるし助かったわ……！			ニーピネに頼まれて、ワタシを手伝いに？ひとりじゃ行き詰まっていたこともあるし助かったわ……！			海都を騒がす毒の果実							
改めて名乗らせてもらうと、ワタシはローシュカナ。アナタの名前は？			改めて名乗らせてもらうと、ワタシはローシュカナ。アナタの名前は？			海都を騒がす毒の果実							
Forenameね！どうぞよろしく！			Forenameね！どうぞよろしく！			海都を騒がす毒の果実							
それじゃあ、まずは祭器が盗まれた日の状況について、もう少し詳しい話をさせて。			それじゃあ、まずは祭器が盗まれた日の状況について、もう少し詳しい話をさせて。			海都を騒がす毒の果実							
あの日……狩り用の罠に毒を仕込む作業をしたあと、父とニーピネが、祭器を保管場所へ戻しに行ったの。			あの日……狩り用の罠に毒を仕込む作業をしたあと、父とニーピネが、祭器を保管場所へ戻しに行ったの。			海都を騒がす毒の果実							
そのとき、「凶暴な人形」に突然襲われたそうでね、暗い夜の不意打ちだったものだから、父は深手を負わされて……。命に別状はないものの、今も集落で臥せているわ。			そのとき、「凶暴な人形」に突然襲われたそうでね、暗い夜の不意打ちだったものだから、父は深手を負わされて……。命に別状はないものの、今も集落で臥せているわ。			海都を騒がす毒の果実							
父が言うには、襲撃時に「男女ふたりの声」がしたそうよ。闇に紛れていて姿までは確認できなかったみたいだけど、少なくとも、集落の者ではないだろうって。			父が言うには、襲撃時に「男女ふたりの声」がしたそうよ。闇に紛れていて姿までは確認できなかったみたいだけど、少なくとも、集落の者ではないだろうって。			海都を騒がす毒の果実							
状況からして、そのふたりが人形を操って父たちを襲い、祭器を持ち去った……と、考えるのが妥当でしょうね。			状況からして、そのふたりが人形を操って父たちを襲い、祭器を持ち去った……と、考えるのが妥当でしょうね。			海都を騒がす毒の果実							
あとは、犯人が「自由の扉」という組織の人だと、ブルケブから聞いたりもしたけど……。ワタシが把握できている情報はこのくらいよ。			あとは、犯人が「自由の扉」という組織の人だと、ブルケブから聞いたりもしたけど……。ワタシが把握できている情報はこのくらいよ。			海都を騒がす毒の果実							
今のところ「急に目が見えなくなる事件」が、犯人を追いかける最も有力な手がかりだと思うわ。ただ、事件に関する聞き込みがうまくいってなくて。			今のところ「急に目が見えなくなる事件」が、犯人を追いかける最も有力な手がかりだと思うわ。ただ、事件に関する聞き込みがうまくいってなくて。			海都を騒がす毒の果実							
ほら、ここの人たちは故郷と装いも違うものだから、どんな人に聞けば事情に通じているか、わからないのよ。それに、みんなとても忙しそうにしているし……。			ほら、ここの人たちは故郷と装いも違うものだから、どんな人に聞けば事情に通じているか、わからないのよ。それに、みんなとても忙しそうにしているし……。			海都を騒がす毒の果実							
だから、さっそくで申し訳ないんだけど、ワタシの代わりに、ここで聞き込みを頼んでもいい……？			だから、さっそくで申し訳ないんだけど、ワタシの代わりに、ここで聞き込みを頼んでもいい……？			海都を騒がす毒の果実							
