シャバーブチェのズーヘは、優れた魔道士である冒険者の知恵と力を借りたいようだ。			シャバーブチェのズーヘは、優れた魔道士である冒険者の知恵と力を借りたいようだ。			祭器の秘された力							
ズーヘと話した。まずは、彼女の娘である「テペケ」と合流してほしいようだ。ラザハンのバルシャーン・バザール西通りで「トラル風の剣士」を探そう。			ズーヘと話した。まずは、彼女の娘である「テペケ」と合流してほしいようだ。ラザハンのバルシャーン・バザール西通りで「トラル風の剣士」を探そう。			祭器の秘された力							
テペケと話した。祭器には、「所持者に幸運が訪れるが、周囲に不幸をもたらす」という逸話が残されているそうだ。ラザハンには、奇妙な格好をしたジャスティス・Ｒという男が出没しているらしい。サベネア島のイェドリマンにいる「テペケ」と話そう。			テペケと話した。祭器には、「所持者に幸運が訪れるが、周囲に不幸をもたらす」という逸話が残されているそうだ。ラザハンには、奇妙な格好をしたジャスティス・Ｒという男が出没しているらしい。サベネア島のイェドリマンにいる「テペケ」と話そう。			祭器の秘された力							
ジャスティス・Ｒは、危険な魔物の気配がするといって集落を飛び出し、星戦士もそれを追っていったそうだ。サベネア島のガジャーヤ演舞場の「指定地点」に向かい、星戦士を捜索しよう。			ジャスティス・Ｒは、危険な魔物の気配がするといって集落を飛び出し、星戦士もそれを追っていったそうだ。サベネア島のガジャーヤ演舞場の「指定地点」に向かい、星戦士を捜索しよう。			祭器の秘された力							
気絶した星戦士を発見した。魔物と対峙するジャスティス・Ｒと出会い、落石を受けて気を失ったそうだ。イェドリマンに戻った「テペケ」と話そう。			気絶した星戦士を発見した。魔物と対峙するジャスティス・Ｒと出会い、落石を受けて気を失ったそうだ。イェドリマンに戻った「テペケ」と話そう。			祭器の秘された力							
ジャスティス・Ｒは、魔物を倒したと宣伝してまわっていたらしい。祭器を奪われた父の名誉を回復したいと言うテペケに力を貸し、引き続き祭器と犯人を追っていこう。※いずれかの遠隔魔法DPSジョブのレベルが92以上になると、イェドリマンのテペケから次の遠隔魔法DPSロールクエストを受注することができます。			ジャスティス・Ｒは、魔物を倒したと宣伝してまわっていたらしい。祭器を奪われた父の名誉を回復したいと言うテペケに力を貸し、引き続き祭器と犯人を追っていこう。※いずれかの遠隔魔法DPSジョブのレベルが92以上になると、イェドリマンのテペケから次の遠隔魔法DPSロールクエストを受注することができます。			祭器の秘された力							
ラザハンでトラル風の剣士を探す			ラザハンでトラル風の剣士を探す			祭器の秘された力							
イェドリマンでテペケと話す			イェドリマンでテペケと話す			祭器の秘された力							
指定地点から星戦士を捜索			指定地点から星戦士を捜索			祭器の秘された力							
テペケと話す			テペケと話す			祭器の秘された力							
あなたは……もしかして、ブルケブさんから話を聞いて声をかけてくださったのですか？			あなたは……もしかして、ブルケブさんから話を聞いて声をかけてくださったのですか？			祭器の秘された力							
