小金通りのケイテンは、冒険者に紹介したい人物がいるようだ。			小金通りのケイテンは、冒険者に紹介したい人物がいるようだ。			追われた巡業一座							
リナ・ミュリラー、そして、アルマと呼ばれた少女から、相談を持ちかけられた。詳しいことは、「劇場艇」という場所で説明するらしい。クガネ・ランディング前の「リナ・ミュリラー」と話そう。			リナ・ミュリラー、そして、アルマと呼ばれた少女から、相談を持ちかけられた。詳しいことは、「劇場艇」という場所で説明するらしい。クガネ・ランディング前の「リナ・ミュリラー」と話そう。			追われた巡業一座							
「劇場艇」へは、クガネ・ランディングに留めてある連絡艇で移動するらしい。クガネ・ランディングの「リナ・ミュリラー」と話そう。			「劇場艇」へは、クガネ・ランディングに留めてある連絡艇で移動するらしい。クガネ・ランディングの「リナ・ミュリラー」と話そう。			追われた巡業一座							
劇場艇とは、ガレマール帝国で建造された飛空艇らしい。劇場艇プリマビスタの大道具部屋にいる「アルマと呼ばれた少女」と話そう。なお、以後、劇場艇へ移動するときは、クガネ・ランディングの「連絡艇の飛空士」が案内してくれるようだ。			劇場艇とは、ガレマール帝国で建造された飛空艇らしい。劇場艇プリマビスタの大道具部屋にいる「アルマと呼ばれた少女」と話そう。なお、以後、劇場艇へ移動するときは、クガネ・ランディングの「連絡艇の飛空士」が案内してくれるようだ。			追われた巡業一座							
劇団「マジェスティック」は、現政権を批判したことで、帝国を去ることになったらしい。アルマの父、ジェノミスの話を聞くため、大道具部屋の奥から、劇場艇プリマビスタのブリッジへ向かおう。			劇団「マジェスティック」は、現政権を批判したことで、帝国を去ることになったらしい。アルマの父、ジェノミスの話を聞くため、大道具部屋の奥から、劇場艇プリマビスタのブリッジへ向かおう。			追われた巡業一座							
ジェノミスは、「ゾディアックブレイブストーリー」に記された王国イヴァリースが実在すると信じて、旧ダルマスカ王国の都、ラバナスタへと調査に向かい行方不明になったらしい。ブリッジの「ラムザ・レクセンテール」と話そう。			ジェノミスは、「ゾディアックブレイブストーリー」に記された王国イヴァリースが実在すると信じて、旧ダルマスカ王国の都、ラバナスタへと調査に向かい行方不明になったらしい。ブリッジの「ラムザ・レクセンテール」と話そう。			追われた巡業一座							
ラムザは、ジェノミスを捜索するためダルマスカ砂漠へ向かおうとしているようだ。準備ができたら、ふたたびラムザに話しかけよう。			ラムザは、ジェノミスを捜索するためダルマスカ砂漠へ向かおうとしているようだ。準備ができたら、ふたたびラムザに話しかけよう。			追われた巡業一座							
クガネ・ランディング前のリナ・ミュリラーと話す			クガネ・ランディング前のリナ・ミュリラーと話す			追われた巡業一座							
リナ・ミュリラーと話す			リナ・ミュリラーと話す			追われた巡業一座							
大道具部屋にいるアルマと呼ばれた少女と話す			大道具部屋にいるアルマと呼ばれた少女と話す			追われた巡業一座							
ブリッジのラムザ・レクセンテールと話す			ブリッジのラムザ・レクセンテールと話す			追われた巡業一座							
おや、ちょうどいいところへ来なすった。そちらのお嬢さんが、貴女様貴方様に相談があるとかで、さきほどから探しておられたのですよ。			おや、ちょうどいいところへ来なすった。そちらのお嬢さんが、貴女様貴方様に相談があるとかで、さきほどから探しておられたのですよ。			追われた巡業一座							
お～い、お嬢さん！尋ね人がこちらにおいでですよ！			お～い、お嬢さん！尋ね人がこちらにおいでですよ！			追われた巡業一座							
あなたが噂に名高い解放者……ですね！はじめまして、あたしの名はリナ・ミュリラー。「週刊レイヴン」の芸能記者で～す。			あなたが噂に名高い解放者……ですね！はじめまして、あたしの名はリナ・ミュリラー。「週刊レイヴン」の芸能記者で～す。			追われた巡業一座							
って、あたしの顔に何かついてます？			って、あたしの顔に何かついてます？			追われた巡業一座							
ああ、ムジ・ミュリラーはあたしの姉です。なるほど、園芸師の取材で姉と面識があったのですね。たしかに、似ているとよく言われるんです！			ああ、ムジ・ミュリラーはあたしの姉です。なるほど、園芸師の取材で姉と面識があったのですね。たしかに、似ているとよく言われるんです！			追われた巡業一座							
かなり込み入った話なのですが、あなたにしか……いえ、あなただからこそ解決できると思うんです！とにかくあたしの話を聞いていただけませんか？			かなり込み入った話なのですが、あなたにしか……いえ、あなただからこそ解決できると思うんです！とにかくあたしの話を聞いていただけませんか？			追われた巡業一座							
ありがとうございます！といっても、相談者はあたし自身ではなくて……。			ありがとうございます！といっても、相談者はあたし自身ではなくて……。			追われた巡業一座							
アルマちゃん！見つかったわ、こっちよ！			アルマちゃん！見つかったわ、こっちよ！			追われた巡業一座							
(-アルマと呼ばれた少女-)リナさん、こちらの冒険者さんが……？			(-アルマと呼ばれた少女-)リナさん、こちらの冒険者さんが……？			追われた巡業一座							
そうよ、この方が……。			そうよ、この方が……。			追われた巡業一座							
(-アルマと呼ばれた少女-)父を……父さんを探し出して欲しいのです。お願いします！　どうか、お願い……。			(-アルマと呼ばれた少女-)父を……父さんを探し出して欲しいのです。お願いします！　どうか、お願い……。			追われた巡業一座							
泣かないで、アルマちゃん……。			泣かないで、アルマちゃん……。			追われた巡業一座							
ここでお話しするのは……ちょっとフクザツなんです！			ここでお話しするのは……ちょっとフクザツなんです！			追われた巡業一座							
詳しいことは彼女の家、「劇場艇」で説明するので、とにかくここを離れましょう。クガネ・ランディングに来てください！　待ってま～す！			詳しいことは彼女の家、「劇場艇」で説明するので、とにかくここを離れましょう。クガネ・ランディングに来てください！　待ってま～す！			追われた巡業一座							
私には事情はわかりませぬが、何やら訳ありのご様子。彼女たちの話を聞いてみてはいかがです？			私には事情はわかりませぬが、何やら訳ありのご様子。彼女たちの話を聞いてみてはいかがです？			追われた巡業一座							
…………。			…………。			追われた巡業一座							
「劇場艇」にはランディングに留めてある連絡艇で移動します。なぜかって？　う～ん、百聞は一見にしかずってやつですよ。とにかくランディングへ移動しましょう！			「劇場艇」にはランディングに留めてある連絡艇で移動します。なぜかって？　う～ん、百聞は一見にしかずってやつですよ。とにかくランディングへ移動しましょう！			追われた巡業一座							
ああ、そうだ、今後、ランディングへ行きたいときは、こちらの「ミネグモ」さんに話しかけてください。……それでは向かいましょうか。			ああ、そうだ、今後、ランディングへ行きたいときは、こちらの「ミネグモ」さんに話しかけてください。……それでは向かいましょうか。			追われた巡業一座							
…………。			…………。			追われた巡業一座							
あなたが、リナさんが探してらっしゃったお方ですね？今後、「劇場艇」へと向かう際は、私にお声がけくださいな。			あなたが、リナさんが探してらっしゃったお方ですね？今後、「劇場艇」へと向かう際は、私にお声がけくださいな。			追われた巡業一座							
それでは、これから「劇場艇」へご案内しますね！			それでは、これから「劇場艇」へご案内しますね！			追われた巡業一座							
あ、「劇場艇」ですか？大きな声では言えないのですが、ガレマール帝国で建造された劇場艇なのです……。			あ、「劇場艇」ですか？大きな声では言えないのですが、ガレマール帝国で建造された劇場艇なのです……。			追われた巡業一座							
びっくりしたでしょ？劇場と飛空艇が一体となった、いわば移動型の劇場なんですよ！			びっくりしたでしょ？劇場と飛空艇が一体となった、いわば移動型の劇場なんですよ！			追われた巡業一座							
この大型の飛空艇は「プリマビスタ」。この船は、劇団「マジェスティック」の舞台であり、私たちの家。……そう、私たちはガレアン人なのです。			この大型の飛空艇は「プリマビスタ」。この船は、劇団「マジェスティック」の舞台であり、私たちの家。……そう、私たちはガレアン人なのです。			追われた巡業一座							
まず最初にお伝えしておきますが、彼らは軍属ではありません。もちろん、帝国から送り込まれたスパイの類いでもなく、あたしたちと同じただの「一般人」です。			まず最初にお伝えしておきますが、彼らは軍属ではありません。もちろん、帝国から送り込まれたスパイの類いでもなく、あたしたちと同じただの「一般人」です。			追われた巡業一座							
もう少し、きちんと説明しますね。彼らはガレマール帝国内でもかなりの人気を誇る、超有名な演劇集団なんです。			もう少し、きちんと説明しますね。彼らはガレマール帝国内でもかなりの人気を誇る、超有名な演劇集団なんです。			追われた巡業一座							
あたしのような芸能記者はもとより、演劇ファンなら誰もが知るほどの人気ぶりで、その名は国内外に知れ渡っているほど。			あたしのような芸能記者はもとより、演劇ファンなら誰もが知るほどの人気ぶりで、その名は国内外に知れ渡っているほど。			追われた巡業一座							
征服王として知られる前皇帝ソル・ゾス・ガルヴァスは、意外にも文化の育成にも力を入れていました。			征服王として知られる前皇帝ソル・ゾス・ガルヴァスは、意外にも文化の育成にも力を入れていました。			追われた巡業一座							
彼らの舞台を観劇したソル帝はその才を認め、帝国領土内なら自由に通行できるようにと特別な許可と、さらに劇場艇プリマビスタを建造させたほどです。			彼らの舞台を観劇したソル帝はその才を認め、帝国領土内なら自由に通行できるようにと特別な許可と、さらに劇場艇プリマビスタを建造させたほどです。			追われた巡業一座							
ですが、現皇帝ヴァリス・ゾス・ガルヴァスの治世となった今は、文化に対する風当たりが強くなり、帝国内での巡業が難しくなりました。			ですが、現皇帝ヴァリス・ゾス・ガルヴァスの治世となった今は、文化に対する風当たりが強くなり、帝国内での巡業が難しくなりました。			追われた巡業一座							
帝国内で巡業するには、事前に戯曲の審査を受ける必要があり、少しでも、現政権を批判する台詞があろうものなら、即刻牢獄行きという苛烈な処分が待ち受けているとか。			帝国内で巡業するには、事前に戯曲の審査を受ける必要があり、少しでも、現政権を批判する台詞があろうものなら、即刻牢獄行きという苛烈な処分が待ち受けているとか。			追われた巡業一座							
そのため、多くの劇作家は現政権が気に入るような脚本にするか、または筆を折るかを選択したと聞いています。			そのため、多くの劇作家は現政権が気に入るような脚本にするか、または筆を折るかを選択したと聞いています。			追われた巡業一座							
ところが、劇団の主宰ジェノミス・レクセンテールさんは、なんというか……そう、「気骨ある劇作家」さんでして、現政権を真っ向から批判したのですね。			ところが、劇団の主宰ジェノミス・レクセンテールさんは、なんというか……そう、「気骨ある劇作家」さんでして、現政権を真っ向から批判したのですね。			追われた巡業一座							
(-アルマ・レクセンテール-)ジェノミス・レクセンテールが私の父……。私はその娘、アルマ・レクセンテールです。			(-アルマ・レクセンテール-)ジェノミス・レクセンテールが私の父……。私はその娘、アルマ・レクセンテールです。			追われた巡業一座							
(-アルマ・レクセンテール-)ガレマール帝国では誰もが知る「おとぎ話」をモチーフにしたミュージカル「ゾディアックブレイブストーリー」、それが父の最後の戯曲……。			(-アルマ・レクセンテール-)ガレマール帝国では誰もが知る「おとぎ話」をモチーフにしたミュージカル「ゾディアックブレイブストーリー」、それが父の最後の戯曲……。			追われた巡業一座							
(-アルマ・レクセンテール-)この舞台は帝国内でも大成功を収めたんです。でも、その成功が現政権にとっては邪魔……。私たちは石もて追われるように帝国から去るしかなかったんです。			(-アルマ・レクセンテール-)この舞台は帝国内でも大成功を収めたんです。でも、その成功が現政権にとっては邪魔……。私たちは石もて追われるように帝国から去るしかなかったんです。			追われた巡業一座							
知識層はジェノミスさんを支持していましたが、その人気が高くなればなるほど、当局からの圧力もまた高くなるばかり。			知識層はジェノミスさんを支持していましたが、その人気が高くなればなるほど、当局からの圧力もまた高くなるばかり。			追われた巡業一座							
次第に当局の報復を恐れた貴族や資本家たちが、興業から手を退くようになり、支持していた知識層も口を閉じるようになってしまった。			次第に当局の報復を恐れた貴族や資本家たちが、興業から手を退くようになり、支持していた知識層も口を閉じるようになってしまった。			追われた巡業一座							
……そうですね、あなたをお呼びした理由の説明になっていませんよね。			……そうですね、あなたをお呼びした理由の説明になっていませんよね。			追われた巡業一座							
(-？？？？-)……続きは、この俺が説明しよう。			(-？？？？-)……続きは、この俺が説明しよう。			追われた巡業一座							
ジェノミスは魔導院時代の古い友人でな、今回、声をかけるようリナにアドバイスしたのはこの俺さ。悪いな、厄介事に巻き込んじまって。			ジェノミスは魔導院時代の古い友人でな、今回、声をかけるようリナにアドバイスしたのはこの俺さ。悪いな、厄介事に巻き込んじまって。			追われた巡業一座							
……若い頃はふたりで朝までよく語り合ったものさ。俺は機工学を、ヤツは演劇論を、互いに適当に相づちを打って、自分の言いたいことだけをひたすら話したモンだ。			……若い頃はふたりで朝までよく語り合ったものさ。俺は機工学を、ヤツは演劇論を、互いに適当に相づちを打って、自分の言いたいことだけをひたすら話したモンだ。			追われた巡業一座							
ヤツは内部から帝国を変えようと頑張っていたようだが、どうやら限界だったってことらしいな……。			ヤツは内部から帝国を変えようと頑張っていたようだが、どうやら限界だったってことらしいな……。			追われた巡業一座							
