シャバーブチェのブルケブは、冒険者に頼みがあるようだ。			シャバーブチェのブルケブは、冒険者に頼みがあるようだ。			超常の力、宿りし祭器							
ブルケブと話した。詳しい話を聞くため、トライヨラのシャバーブチェの「指定地点」で待機しよう。			ブルケブと話した。詳しい話を聞くため、トライヨラのシャバーブチェの「指定地点」で待機しよう。			超常の力、宿りし祭器							
ブルケブから話を聞いた。祭器と呼ばれる宝が、悪の秘密組織「自由の扉」によって盗まれてしまったらしい。協力の意志が固まったら、シャバーブチェの「ラマジュン」と話そう。			ブルケブから話を聞いた。祭器と呼ばれる宝が、悪の秘密組織「自由の扉」によって盗まれてしまったらしい。協力の意志が固まったら、シャバーブチェの「ラマジュン」と話そう。			超常の力、宿りし祭器							
ラマジュンと話した。祭器にはトラルヴィドラールの魂が封印されており、一刻も早く取り戻さなければ、各地に混乱が起こるかもしれないようだ。腕に自信があるのなら、店内にいる各部族の代表者に話しかけてみよう。			ラマジュンと話した。祭器にはトラルヴィドラールの魂が封印されており、一刻も早く取り戻さなければ、各地に混乱が起こるかもしれないようだ。腕に自信があるのなら、店内にいる各部族の代表者に話しかけてみよう。			超常の力、宿りし祭器							
指定地点で待機			指定地点で待機			超常の力、宿りし祭器							
ラマジュンと話す			ラマジュンと話す			超常の力、宿りし祭器							
おお、来てくれたか！あんたに、ぜひとも頼みたいことがあってな。			おお、来てくれたか！あんたに、ぜひとも頼みたいことがあってな。			超常の力、宿りし祭器							
ちょいと長くなりそうなんで、腰を据えて話したい。すぐに行くから、向こうの席にかけて待っててもらえるか。			ちょいと長くなりそうなんで、腰を据えて話したい。すぐに行くから、向こうの席にかけて待っててもらえるか。			超常の力、宿りし祭器							
さっそく説明したいところなんだが……ちょっと長くなりそうなんだよ。すぐに行くから、向こうの席にかけて待っててもらえるか。			さっそく説明したいところなんだが……ちょっと長くなりそうなんだよ。すぐに行くから、向こうの席にかけて待っててもらえるか。			超常の力、宿りし祭器							
改めて自己紹介をさせてくれ。俺の名はブルケブ、ここシャバーブチェの主だ。			改めて自己紹介をさせてくれ。俺の名はブルケブ、ここシャバーブチェの主だ。			超常の力、宿りし祭器							
知ってのとおり、この店には、様々な部族の客がひっきりなしに訪れるんだが……あんたのように外つ国からの来訪者もいてな。			知ってのとおり、この店には、様々な部族の客がひっきりなしに訪れるんだが……あんたのように外つ国からの来訪者もいてな。			超常の力、宿りし祭器							
