黒渦団：軍令部のトラッハレート少甲士は、冒険者に依頼したい任務があるようだ。			黒渦団：軍令部のトラッハレート少甲士は、冒険者に依頼したい任務があるようだ。			厳戒のモブハント（黒渦団）							
トラッハレート少甲士から「モブハント」制度を紹介された。詳細な説明を受けるため、黒渦団：軍令部の「モブハント担当官」と話そう。			トラッハレート少甲士から「モブハント」制度を紹介された。詳細な説明を受けるため、黒渦団：軍令部の「モブハント担当官」と話そう。			厳戒のモブハント（黒渦団）							
モブハント担当官から、「モブハント」制度に関する説明を受けた。詳細な説明や報酬の交換が必要なときは、「モブハント担当官」に声をかければいいようだ。手配中のモブを積極的に討伐し、エオルゼアの治安向上に貢献しよう。			モブハント担当官から、「モブハント」制度に関する説明を受けた。詳細な説明や報酬の交換が必要なときは、「モブハント担当官」に声をかければいいようだ。手配中のモブを積極的に討伐し、エオルゼアの治安向上に貢献しよう。			厳戒のモブハント（黒渦団）							
黒渦団：軍令部のモブハント担当官と話す			黒渦団：軍令部のモブハント担当官と話す			厳戒のモブハント（黒渦団）							
活躍めざましい貴方に、報せておきたいことがあります。エオルゼア都市軍事同盟による「防衛条約審議会」で、「モブハント」制度が新たに制定されました。			活躍めざましい貴方に、報せておきたいことがあります。エオルゼア都市軍事同盟による「防衛条約審議会」で、「モブハント」制度が新たに制定されました。			厳戒のモブハント（黒渦団）							
治安を脅かす魔物や悪党たちを「モブ」として定め、討伐者に対して、特別な報酬を支払う仕組み……。簡単に言えば、報奨金制度のようなものです。			治安を脅かす魔物や悪党たちを「モブ」として定め、討伐者に対して、特別な報酬を支払う仕組み……。簡単に言えば、報奨金制度のようなものです。			厳戒のモブハント（黒渦団）							
……表では、こうやって同盟間の協力を見せながら、裏では「アウトロー戦区」という盟約のもとで争う。都合が良いと思われても仕方のない状況です。			……表では、こうやって同盟間の協力を見せながら、裏では「アウトロー戦区」という盟約のもとで争う。都合が良いと思われても仕方のない状況です。			厳戒のモブハント（黒渦団）							
ですが、我々軍人はともかく、民間人には関係のないこと。エオルゼアの治安を向上させるためにも、ぜひ、貴方の腕前を活かしてください。			ですが、我々軍人はともかく、民間人には関係のないこと。エオルゼアの治安を向上させるためにも、ぜひ、貴方の腕前を活かしてください。			厳戒のモブハント（黒渦団）							
「モブハント」制度には、冒険者にとって有益な品々が、報酬として用意されているそうです。詳しくは、奥の「モブハント担当官」に話を聞いてください。			「モブハント」制度には、冒険者にとって有益な品々が、報酬として用意されているそうです。詳しくは、奥の「モブハント担当官」に話を聞いてください。			厳戒のモブハント（黒渦団）							
「モブハント」制度には、冒険者にとって有益な品々が、報酬として用意されているそうです。詳しくは、奥の「モブハント担当官」に話を聞いてください。			「モブハント」制度には、冒険者にとって有益な品々が、報酬として用意されているそうです。詳しくは、奥の「モブハント担当官」に話を聞いてください。			厳戒のモブハント（黒渦団）							
「モブハント」に参加していただけるんですね。貴官に加勢していただけるとは、大変心強いであります。早速、制度の説明をいたします。			「モブハント」に参加していただけるんですね。貴官に加勢していただけるとは、大変心強いであります。早速、制度の説明をいたします。			厳戒のモブハント（黒渦団）							
まずは、この「モブハントボード」を確認してください。討伐対象「モブ」の手配書が掲示されています。			まずは、この「モブハントボード」を確認してください。討伐対象「モブ」の手配書が掲示されています。			厳戒のモブハント（黒渦団）							
ここで注意すべきは、手配書が2種類あること。通常の「モブ手配書」と、より危険で悪名高い者が対象となる、「リスキーモブ手配書」です。			ここで注意すべきは、手配書が2種類あること。通常の「モブ手配書」と、より危険で悪名高い者が対象となる、「リスキーモブ手配書」です。			厳戒のモブハント（黒渦団）							
いずれも、示された対象を倒せば任務は完了。特別な報酬と交換できる、「同盟記章」が支給されます。			いずれも、示された対象を倒せば任務は完了。特別な報酬と交換できる、「同盟記章」が支給されます。			厳戒のモブハント（黒渦団）							
なお、報酬との交換や、詳細な「モブハント」に関する説明については、いつでも小官に尋ねてください。			なお、報酬との交換や、詳細な「モブハント」に関する説明については、いつでも小官に尋ねてください。			厳戒のモブハント（黒渦団）							
それでは、エオルゼアの治安を守る、誇り高き隊士の武運をお祈りします！			それでは、エオルゼアの治安を守る、誇り高き隊士の武運をお祈りします！			厳戒のモブハント（黒渦団）							
