双蛇党：統合司令部のスカーレット少牙士は、冒険者に報せたいことがあるようだ。			双蛇党：統合司令部のスカーレット少牙士は、冒険者に報せたいことがあるようだ。			厳戒のモブハント（双蛇党）							
スカーレット少牙士から「モブハント」制度を紹介された。詳細な説明を受けるため、双蛇党：統合司令部の「モブハント担当官」と話そう。			スカーレット少牙士から「モブハント」制度を紹介された。詳細な説明を受けるため、双蛇党：統合司令部の「モブハント担当官」と話そう。			厳戒のモブハント（双蛇党）							
モブハント担当官から、「モブハント」制度に関する説明を受けた。詳細な説明や報酬の交換が必要なときは、「モブハント担当官」に声をかければいいようだ。手配中のモブを積極的に討伐し、エオルゼアの治安向上に貢献しよう。			モブハント担当官から、「モブハント」制度に関する説明を受けた。詳細な説明や報酬の交換が必要なときは、「モブハント担当官」に声をかければいいようだ。手配中のモブを積極的に討伐し、エオルゼアの治安向上に貢献しよう。			厳戒のモブハント（双蛇党）							
双蛇党：統合司令部のモブハント担当官と話す			双蛇党：統合司令部のモブハント担当官と話す			厳戒のモブハント（双蛇党）							
活躍めざましい貴官に、ぜひ報せておきたいことがある。エオルゼア都市軍事同盟による「防衛条約審議会」で、「モブハント」制度が新たに制定されたんだ。			活躍めざましい貴官に、ぜひ報せておきたいことがある。エオルゼア都市軍事同盟による「防衛条約審議会」で、「モブハント」制度が新たに制定されたんだ。			厳戒のモブハント（双蛇党）							
治安を脅かす魔物や悪党どもを「モブ」として定め、討伐者に対して、特別な報酬を支払う仕組み……。簡単に言えば、報奨金制度のようなものかな。			治安を脅かす魔物や悪党どもを「モブ」として定め、討伐者に対して、特別な報酬を支払う仕組み……。簡単に言えば、報奨金制度のようなものかな。			厳戒のモブハント（双蛇党）							
……表では、こうやって同盟間の協力を見せながら、裏では「アウトロー戦区」という盟約のもとで争う。都合が良いと思われても仕方のない状況だ。			……表では、こうやって同盟間の協力を見せながら、裏では「アウトロー戦区」という盟約のもとで争う。都合が良いと思われても仕方のない状況だ。			厳戒のモブハント（双蛇党）							
しかし、我々軍人はともかく、民間人には関係のないこと。エオルゼアの治安を向上させるためにも、ぜひ、貴官の腕前を活かしてほしい。			しかし、我々軍人はともかく、民間人には関係のないこと。エオルゼアの治安を向上させるためにも、ぜひ、貴官の腕前を活かしてほしい。			厳戒のモブハント（双蛇党）							
「モブハント」制度には、冒険者にとって有益な品々が、報酬として用意されているとも聞く。詳しくは、奥の「モブハント担当官」に話を聞くといい。			「モブハント」制度には、冒険者にとって有益な品々が、報酬として用意されているとも聞く。詳しくは、奥の「モブハント担当官」に話を聞くといい。			厳戒のモブハント（双蛇党）							
「モブハント」制度には、冒険者にとって有益な品々が、報酬として用意されているとも聞く。詳しくは、奥の「モブハント担当官」に話を聞くといい。			「モブハント」制度には、冒険者にとって有益な品々が、報酬として用意されているとも聞く。詳しくは、奥の「モブハント担当官」に話を聞くといい。			厳戒のモブハント（双蛇党）							
「モブハント」に参加していただけるんですね。貴官に加勢していただけるとは、大変心強いであります。早速、制度の説明をいたします。			「モブハント」に参加していただけるんですね。貴官に加勢していただけるとは、大変心強いであります。早速、制度の説明をいたします。			厳戒のモブハント（双蛇党）							
まずは、この「モブハントボード」を確認してください。討伐対象「モブ」の手配書が掲示されています。			まずは、この「モブハントボード」を確認してください。討伐対象「モブ」の手配書が掲示されています。			厳戒のモブハント（双蛇党）							
ここで注意すべきは、手配書が2種類あること。通常の「モブ手配書」と、より危険で悪名高い者が対象となる、「リスキーモブ手配書」です。			ここで注意すべきは、手配書が2種類あること。通常の「モブ手配書」と、より危険で悪名高い者が対象となる、「リスキーモブ手配書」です。			厳戒のモブハント（双蛇党）							
いずれも、示された対象を倒せば任務は完了。特別な報酬と交換できる、「同盟記章」が支給されます。			いずれも、示された対象を倒せば任務は完了。特別な報酬と交換できる、「同盟記章」が支給されます。			厳戒のモブハント（双蛇党）							
なお、報酬との交換や、詳細な「モブハント」に関する説明については、いつでも小官に尋ねてください。			なお、報酬との交換や、詳細な「モブハント」に関する説明については、いつでも小官に尋ねてください。			厳戒のモブハント（双蛇党）							
それでは、エオルゼアの治安を守る、気高き隊士の武運をお祈りします！			それでは、エオルゼアの治安を守る、気高き隊士の武運をお祈りします！			厳戒のモブハント（双蛇党）							
