オサード小大陸東岸のソロバンは、冒険者に仕事を紹介してくれるようだ。			オサード小大陸東岸のソロバンは、冒険者に仕事を紹介してくれるようだ。			鬼の棲む島							
ソロバンと話した。ソロバンのもとに届いた差出人不明の手紙には、獄之蓋の底に棲まう魑魅魍魎を打ち払われたし、と書かれていた。紅玉海の獄之蓋にある「指定地点」で待機しよう。			ソロバンと話した。ソロバンのもとに届いた差出人不明の手紙には、獄之蓋の底に棲まう魑魅魍魎を打ち払われたし、と書かれていた。紅玉海の獄之蓋にある「指定地点」で待機しよう。			鬼の棲む島							
獄之蓋にて、ソロバンとタタルと合流した。ソロバンが言うには、獄之蓋は、東方に伝わるおとぎ話、「テンゼンの鬼退治」で有名な場所だという。まずは、手紙に書かれていたとおり、「紅玉火山 獄之蓋」を攻略しよう。※コンテンツファインダーから攻略に参加できます。			獄之蓋にて、ソロバンとタタルと合流した。ソロバンが言うには、獄之蓋は、東方に伝わるおとぎ話、「テンゼンの鬼退治」で有名な場所だという。まずは、手紙に書かれていたとおり、「紅玉火山 獄之蓋」を攻略しよう。※コンテンツファインダーから攻略に参加できます。			鬼の棲む島							
獄之蓋の魑魅魍魎を退治した。獄之蓋の最奥へと向かおう。外に出た場合は、獄之蓋にいる「ソロバン」が案内してくれるようだ。			獄之蓋の魑魅魍魎を退治した。獄之蓋の最奥へと向かおう。外に出た場合は、獄之蓋にいる「ソロバン」が案内してくれるようだ。			鬼の棲む島							
玄武と話した。玄武によると、千年の時を生きた獣は、妖力を得て「瑞獣」へと裏返ると言われているという。瑞獣について知るため、「醴泉神社境内」の瑞獣たちと話そう。			玄武と話した。玄武によると、千年の時を生きた獣は、妖力を得て「瑞獣」へと裏返ると言われているという。瑞獣について知るため、「醴泉神社境内」の瑞獣たちと話そう。			鬼の棲む島							
瑞獣たちと話した。東方では、種の寿命を外れ、百年の時を生きた獣は、徐々に自我が芽生え、妖力を操るようになるという。さらに、千年かけて妖力を溜めることで、獣は瑞獣へと変異し、人語を操ったり、強力な神通力に目覚めるという。醴泉神社境内の「玄武」と話そう。			瑞獣たちと話した。東方では、種の寿命を外れ、百年の時を生きた獣は、徐々に自我が芽生え、妖力を操るようになるという。さらに、千年かけて妖力を溜めることで、獣は瑞獣へと変異し、人語を操ったり、強力な神通力に目覚めるという。醴泉神社境内の「玄武」と話そう。			鬼の棲む島							
玄武と話した。裏返りによって得た神通力で、未来の凶兆を予見することができるという玄武は、遠くない未来に、紅玉海一帯が炎に包まれる情景を視たという。この災厄を止めるためには、四聖獣すべての妖力を束ねる必要があるようだ。しかし、玄武以外の四聖獣三体は、アラミタマに心を飲まれかけているという。玄武が冒険者に依頼した内容は、四聖獣たちのアラミタマを鎮めることだった。醴泉神社境内の「白虎」と話そう。			玄武と話した。裏返りによって得た神通力で、未来の凶兆を予見することができるという玄武は、遠くない未来に、紅玉海一帯が炎に包まれる情景を視たという。この災厄を止めるためには、四聖獣すべての妖力を束ねる必要があるようだ。しかし、玄武以外の四聖獣三体は、アラミタマに心を飲まれかけているという。玄武が冒険者に依頼した内容は、四聖獣たちのアラミタマを鎮めることだった。醴泉神社境内の「白虎」と話そう。			鬼の棲む島							
白虎と話した。白虎のアラミタマを鎮めるよう依頼された。ヤンサの七彩渓谷にいる「白虎」と話そう。			白虎と話した。白虎のアラミタマを鎮めるよう依頼された。ヤンサの七彩渓谷にいる「白虎」と話そう。			鬼の棲む島							
白虎と話した。仲間とともに、「白虎征魂戦」を攻略しよう！※コンテンツファインダーから攻略に参加できます。			白虎と話した。仲間とともに、「白虎征魂戦」を攻略しよう！※コンテンツファインダーから攻略に参加できます。			鬼の棲む島							
「白虎征魂戦」を攻略した。ヤンサの「白虎」と話そう。			「白虎征魂戦」を攻略した。ヤンサの「白虎」と話そう。			鬼の棲む島							
白虎から、テンゼンの話を聞いた。獄之蓋前にいる「神出鬼没のフウリ」と話そう。			白虎から、テンゼンの話を聞いた。獄之蓋前にいる「神出鬼没のフウリ」と話そう。			鬼の棲む島							
神出鬼没のフウリと話し、醴泉神社まで案内してもらった。醴泉神社境内の「玄武」と話そう。			神出鬼没のフウリと話し、醴泉神社まで案内してもらった。醴泉神社境内の「玄武」と話そう。			鬼の棲む島							
玄武と話した。残る四聖獣のアラミタマを鎮めるよう頼まれた。紅玉海の碧のタマミズにいる「ブンチン」に、ソロバンからの言伝を伝えよう。			玄武と話した。残る四聖獣のアラミタマを鎮めるよう頼まれた。紅玉海の碧のタマミズにいる「ブンチン」に、ソロバンからの言伝を伝えよう。			鬼の棲む島							
ブンチンに、ソロバンからの言伝を伝えた。不思議な狸により届けられた玄武からの手紙によると、再び醴泉神社を訪れたいときは、獄之蓋にいる「神出鬼没のフウリ」に案内を頼めばいいようだ。気が向いたら行ってみるといいかもしれない。			ブンチンに、ソロバンからの言伝を伝えた。不思議な狸により届けられた玄武からの手紙によると、再び醴泉神社を訪れたいときは、獄之蓋にいる「神出鬼没のフウリ」に案内を頼めばいいようだ。気が向いたら行ってみるといいかもしれない。			鬼の棲む島							
獄之蓋の指定地点で待機			獄之蓋の指定地点で待機			鬼の棲む島							
「紅玉火山 獄之蓋」を攻略			「紅玉火山 獄之蓋」を攻略			鬼の棲む島							
瑞獣たちと話す			瑞獣たちと話す			鬼の棲む島							
玄武と話す			玄武と話す			鬼の棲む島							
白虎と話す			白虎と話す			鬼の棲む島							
ヤンサの白虎と話す			ヤンサの白虎と話す			鬼の棲む島							
「白虎征魂戦」を攻略			「白虎征魂戦」を攻略			鬼の棲む島							
白虎と話す			白虎と話す			鬼の棲む島							
獄之蓋にいる神出鬼没のフウリと話す			獄之蓋にいる神出鬼没のフウリと話す			鬼の棲む島							
醴泉神社の玄武と話す			醴泉神社の玄武と話す			鬼の棲む島							
碧のタマミズのブンチンと話す			碧のタマミズのブンチンと話す			鬼の棲む島							
おやぁ～、やっぱり、オイシイ仕事に興味があるみたいだねぇ～。それじゃ、詳しく説明するよぉ～。			おやぁ～、やっぱり、オイシイ仕事に興味があるみたいだねぇ～。それじゃ、詳しく説明するよぉ～。			鬼の棲む島							
この前、オイラのところに、差出人不明の手紙が届いたんだぁ～。ちょっと読んでみるから、聞いておくれぇ～。			この前、オイラのところに、差出人不明の手紙が届いたんだぁ～。ちょっと読んでみるから、聞いておくれぇ～。			鬼の棲む島							
(-謎めいた手紙-)紅玉海の和を保つため、豪神を討滅せし強者の力を借り受けたい。まずは獄之蓋の底に棲まう、魑魅魍魎を打ち払われたし。さすれば、相応の礼を以て遇することを確約せん。			(-謎めいた手紙-)紅玉海の和を保つため、豪神を討滅せし強者の力を借り受けたい。まずは獄之蓋の底に棲まう、魑魅魍魎を打ち払われたし。さすれば、相応の礼を以て遇することを確約せん。			鬼の棲む島							
……どう考えても怪しいよねぇ～。だけど、スサノオを倒したアンタのことを知っているあたり、差出人は、ただ者じゃないと思うんだぁ～。			……どう考えても怪しいよねぇ～。だけど、スサノオを倒したアンタのことを知っているあたり、差出人は、ただ者じゃないと思うんだぁ～。			鬼の棲む島							
紅甲羅の罠にしては、回りくどすぎる気がするし、紅玉海の和を保つためっていうのも、気になるでしょ～？			紅甲羅の罠にしては、回りくどすぎる気がするし、紅玉海の和を保つためっていうのも、気になるでしょ～？			鬼の棲む島							
それと、手紙に霊験あらたかな小刀が同封されていたんだぁ～。獄之蓋の洞窟に施された封印を解く力があるらしいよぉ～。これを使って、中に入れってことみたいだねぇ～。			それと、手紙に霊験あらたかな小刀が同封されていたんだぁ～。獄之蓋の洞窟に施された封印を解く力があるらしいよぉ～。これを使って、中に入れってことみたいだねぇ～。			鬼の棲む島							
しかも、この小刀、目が飛び出るほどの値打ちがある品でさぁ～。こんなお宝をホイと送ってくるなんて、大金持ちに違いないよぉ～。相応の礼っていうのも、期待できるんじゃないかなぁ～。			しかも、この小刀、目が飛び出るほどの値打ちがある品でさぁ～。こんなお宝をホイと送ってくるなんて、大金持ちに違いないよぉ～。相応の礼っていうのも、期待できるんじゃないかなぁ～。			鬼の棲む島							
興味があるなら、「獄之蓋」に行ってみようよぉ～。そうだ、お金の話をするなら、タタルもいないとねぇ～。オイラが呼んでくるから、先に行って待ってておくれぇ～。			興味があるなら、「獄之蓋」に行ってみようよぉ～。そうだ、お金の話をするなら、タタルもいないとねぇ～。オイラが呼んでくるから、先に行って待ってておくれぇ～。			鬼の棲む島							
Forenameさん、お待たせしまっした！			Forenameさん、お待たせしまっした！			鬼の棲む島							
やぁやぁ、お待たせぇ～。タタルには、ここへ来る途中にあらかた説明してあるよぉ～。			やぁやぁ、お待たせぇ～。タタルには、ここへ来る途中にあらかた説明してあるよぉ～。			鬼の棲む島							
このタタル、「暁」の金庫番として、アルフィノさんが浪費した資金を穴埋めするためにも、是が非でも、相応の礼とやらを手に入れてやるでっす！			このタタル、「暁」の金庫番として、アルフィノさんが浪費した資金を穴埋めするためにも、是が非でも、相応の礼とやらを手に入れてやるでっす！			鬼の棲む島							
ところで、手紙にあった依頼……獄之蓋の底に棲む魑魅魍魎って、何なのでっすか？			ところで、手紙にあった依頼……獄之蓋の底に棲む魑魅魍魎って、何なのでっすか？			鬼の棲む島							
う～ん、何を倒せばいいのかは書いてなかったけど、獄之蓋と言えば、東方では有名なおとぎ話、「テンゼンの鬼退治」で有名な場所なんだよねぇ～。			う～ん、何を倒せばいいのかは書いてなかったけど、獄之蓋と言えば、東方では有名なおとぎ話、「テンゼンの鬼退治」で有名な場所なんだよねぇ～。			鬼の棲む島							
昔々、獄之蓋には、人を襲う悪い鬼が住んでいたんだってぇ～。だけど、テンゼンっていう侍と、四聖獣と呼ばれる獣たちが、鬼たちを退治してくれたんだよぉ～。			昔々、獄之蓋には、人を襲う悪い鬼が住んでいたんだってぇ～。だけど、テンゼンっていう侍と、四聖獣と呼ばれる獣たちが、鬼たちを退治してくれたんだよぉ～。			鬼の棲む島							
鬼退治の褒美に、たくさんの宝物をもらったテンゼンは、人里離れた山奥で、四聖獣たちと一緒に暮らしたとさぁ～。めでたし、めでたしだねぇ～。			鬼退治の褒美に、たくさんの宝物をもらったテンゼンは、人里離れた山奥で、四聖獣たちと一緒に暮らしたとさぁ～。めでたし、めでたしだねぇ～。			鬼の棲む島							
それじゃあ、Forenameさんは、鬼退治のために、雇われたってことでっすか？			それじゃあ、Forenameさんは、鬼退治のために、雇われたってことでっすか？			鬼の棲む島							
まさかぁ～鬼なんて見たことないよぉ～。今ではおとぎ話の鬼は、オイラたちコウジン族のことを、表しているっていうのが通説になってるみたいだよぉ～。			まさかぁ～鬼なんて見たことないよぉ～。今ではおとぎ話の鬼は、オイラたちコウジン族のことを、表しているっていうのが通説になってるみたいだよぉ～。			鬼の棲む島							
行ってみるまで、何が出てくるかわからないってことでっすね。それなら私は、お邪魔にならないように、岩陰に隠れているのでっす！			行ってみるまで、何が出てくるかわからないってことでっすね。それなら私は、お邪魔にならないように、岩陰に隠れているのでっす！			鬼の棲む島							
それじゃ、準備はいいかなぁ～？例の小刀を使って、洞窟の封印を解くからねぇ～！			それじゃ、準備はいいかなぁ～？例の小刀を使って、洞窟の封印を解くからねぇ～！			鬼の棲む島							
ひゃぁ～、熱そうだねぇ～。この穴を進んで行けばいいのかなぁ～？			ひゃぁ～、熱そうだねぇ～。この穴を進んで行けばいいのかなぁ～？			鬼の棲む島							
……起こしてあげたほうがいいのかねぇ～？			……起こしてあげたほうがいいのかねぇ～？			鬼の棲む島							
ほっほっほ。さすがは、豪神スサノオを討ったつわものじゃ。			ほっほっほ。さすがは、豪神スサノオを討ったつわものじゃ。			鬼の棲む島							
か、亀が喋ったぁ～！？			か、亀が喋ったぁ～！？			鬼の棲む島							
もう亀が話すのには慣れてるでっす……。			もう亀が話すのには慣れてるでっす……。			鬼の棲む島							
ほっほっほ、試すような真似をして悪かったのう。ようこそ、醴泉神社(れいせんじんじゃ)へ……。			ほっほっほ、試すような真似をして悪かったのう。ようこそ、醴泉神社(れいせんじんじゃ)へ……。			鬼の棲む島							
ワシの名は玄武。醴泉神社の護り手にして、おぬしらをここまで呼びつけた張本人じゃ。			ワシの名は玄武。醴泉神社の護り手にして、おぬしらをここまで呼びつけた張本人じゃ。			鬼の棲む島							
玄武……玄武だってぇ～！？「テンゼンの鬼退治」に登場する、四聖獣のひとりじゃないかぁ～！？			玄武……玄武だってぇ～！？「テンゼンの鬼退治」に登場する、四聖獣のひとりじゃないかぁ～！？			鬼の棲む島							
おとぎ話に出てくる玄武を名乗るなんて……普通なら、まったく信じられないところだけどさぁ～。何せ、しゃべる亀が言うんだもんなぁ～。			おとぎ話に出てくる玄武を名乗るなんて……普通なら、まったく信じられないところだけどさぁ～。何せ、しゃべる亀が言うんだもんなぁ～。			鬼の棲む島							
ほっほっほ、人語を話すのは、何もワシだけではない。ここにいる者らは、皆、ヒトの言葉を話すことができるぞい。伊達に千年以上も生きとらんわい。			ほっほっほ、人語を話すのは、何もワシだけではない。ここにいる者らは、皆、ヒトの言葉を話すことができるぞい。伊達に千年以上も生きとらんわい。			鬼の棲む島							
せ、千年でっすか……。やっぱり、亀は長生きなのでっすね……。			せ、千年でっすか……。やっぱり、亀は長生きなのでっすね……。			鬼の棲む島							
この地では、千年の時を生きた獣は、妖力を得て「瑞獣(ずいじゅう)」へと裏返ると言われておる。ここは、そんな瑞獣たちが集う場所なのじゃよ。			この地では、千年の時を生きた獣は、妖力を得て「瑞獣(ずいじゅう)」へと裏返ると言われておる。ここは、そんな瑞獣たちが集う場所なのじゃよ。			鬼の棲む島							
詳しいことは、ほかの瑞獣たちから聞くがよい。まず、おぬしらにワシらのことを知ってもらいたいのでのう。依頼の話は、それからよ。			詳しいことは、ほかの瑞獣たちから聞くがよい。まず、おぬしらにワシらのことを知ってもらいたいのでのう。依頼の話は、それからよ。			鬼の棲む島							
言われたとおり、まずは話を聞いてみるでっす。暁の財政再建のため、おいしい話……報酬交渉のためにも情報収集は欠かせないのでっす！			言われたとおり、まずは話を聞いてみるでっす。暁の財政再建のため、おいしい話……報酬交渉のためにも情報収集は欠かせないのでっす！			鬼の棲む島							
外まで、いっしょに戻るかい～？			外まで、いっしょに戻るかい～？			鬼の棲む島							
「醴泉神社」から出ますか？			「醴泉神社」から出ますか？			鬼の棲む島							
獄之蓋の奥まで、一緒に行くかい～？			獄之蓋の奥まで、一緒に行くかい～？			鬼の棲む島							
「獄之蓋の最奥」へ移動しますか？			「獄之蓋の最奥」へ移動しますか？			鬼の棲む島							
おみゃーたち、見たところこの辺りの生まれじゃニャいね。			おみゃーたち、見たところこの辺りの生まれじゃニャいね。			鬼の棲む島							
おみゃーの国ではどうだか知らニャいが……この辺りでは、種の寿命を外れ百年の時を生きた獣は、徐々に自我が芽生え、妖力を操るようになるニャ。			おみゃーの国ではどうだか知らニャいが……この辺りでは、種の寿命を外れ百年の時を生きた獣は、徐々に自我が芽生え、妖力を操るようになるニャ。			鬼の棲む島							
さらに千年かけて妖力を溜めた獣は、瑞獣へと変異し、人語を操ったり、強力な神通力に目覚めるのニャ。にゃーたちは、瑞獣へと変わることを「裏返る」って呼んでるニャ。			さらに千年かけて妖力を溜めた獣は、瑞獣へと変異し、人語を操ったり、強力な神通力に目覚めるのニャ。にゃーたちは、瑞獣へと変わることを「裏返る」って呼んでるニャ。			鬼の棲む島							
いくら、にゃーたちが可愛い姿をしているからって、ナメてると痛い目を見るかもしれニャいよ。これは、おみゃーたちと話しやすい姿に化けてるだけなんニャから。			いくら、にゃーたちが可愛い姿をしているからって、ナメてると痛い目を見るかもしれニャいよ。これは、おみゃーたちと話しやすい姿に化けてるだけなんニャから。			鬼の棲む島							
以前、この社には玉藻御前と呼ばれる妖狐が住んでおりましてね。九つの尾を持つことから、九尾の狐と呼ばれた玉藻御前は、我ら妖狐の中で最も優れた妖力を持っておったのです。			以前、この社には玉藻御前と呼ばれる妖狐が住んでおりましてね。九つの尾を持つことから、九尾の狐と呼ばれた玉藻御前は、我ら妖狐の中で最も優れた妖力を持っておったのです。			鬼の棲む島							
ですが、ある時……ヒトと暮らしたいと言って、この社を出て行かれてしまった……。今頃、あの御方はどこで何をしているやら……。			ですが、ある時……ヒトと暮らしたいと言って、この社を出て行かれてしまった……。今頃、あの御方はどこで何をしているやら……。			鬼の棲む島							
