円蓋の座の真面目そうな衛兵は、冒険者に聞きたいことがあるようだ。			円蓋の座の真面目そうな衛兵は、冒険者に聞きたいことがあるようだ。			始まりの「楽園」							
真面目そうな衛兵に呼ばれたリーンと話した。彼女によると、無の大地に光の力を秘めた「何か」の気配を感じたという。その調査に、冒険者も協力することとなった。アム・アレーンの物見櫓にいる「リーン」と話そう。			真面目そうな衛兵に呼ばれたリーンと話した。彼女によると、無の大地に光の力を秘めた「何か」の気配を感じたという。その調査に、冒険者も協力することとなった。アム・アレーンの物見櫓にいる「リーン」と話そう。			始まりの「楽園」							
リーンと話して、サンクレッド、ウリエンジェと合流した。無の大地へは、ホバー船を使って向かうそうだ。物見櫓にいる「リーン」と再度話そう。			リーンと話して、サンクレッド、ウリエンジェと合流した。無の大地へは、ホバー船を使って向かうそうだ。物見櫓にいる「リーン」と再度話そう。			始まりの「楽園」							
リーンと話し、調査に出発した。ホバー船に乗り、4人で無の大地を旅することしばし。リーンの感じた気配の主を発見した。ウリエンジェによれば、その正体は罪喰いの最初の一体にして、「光の氾濫」の元凶だという。エデンと名づけたその存在をどうするか落ち着いて話すため、ひとまず拠点を構築することになった。無の大地の「リーン」とさらに話そう。			リーンと話し、調査に出発した。ホバー船に乗り、4人で無の大地を旅することしばし。リーンの感じた気配の主を発見した。ウリエンジェによれば、その正体は罪喰いの最初の一体にして、「光の氾濫」の元凶だという。エデンと名づけたその存在をどうするか落ち着いて話すため、ひとまず拠点を構築することになった。無の大地の「リーン」とさらに話そう。			始まりの「楽園」							
リーンと話した。偵察に出たサンクレッドの帰りを待ってから、作戦会議を行おう。			リーンと話した。偵察に出たサンクレッドの帰りを待ってから、作戦会議を行おう。			始まりの「楽園」							
アム・アレーンの物見櫓のリーンと話す			アム・アレーンの物見櫓のリーンと話す			始まりの「楽園」							
リーンと再度話す			リーンと再度話す			始まりの「楽園」							
リーンとさらに話す			リーンとさらに話す			始まりの「楽園」							
ああ、Surnameさん！リーンさんとは、もうお話しされましたか？			ああ、Surnameさん！リーンさんとは、もうお話しされましたか？			始まりの「楽園」							
おや、まだ会われていないのですね。実は先ほど、リーンさんがあなたのことを探していたのです。私が呼んでまいりますので、しばしお待ちください……！			おや、まだ会われていないのですね。実は先ほど、リーンさんがあなたのことを探していたのです。私が呼んでまいりますので、しばしお待ちください……！			始まりの「楽園」							
Forenameさん……！よかった、合流できて……。			Forenameさん……！よかった、合流できて……。			始まりの「楽園」							
少し、お話させてもらっても構いませんか？重大な……とても重大な、報告があるんです。			少し、お話させてもらっても構いませんか？重大な……とても重大な、報告があるんです。			始まりの「楽園」							
ありがとうございます……！			ありがとうございます……！			始まりの「楽園」							
