トメラの村の噂好きのドワーフは、困っているようだ。			トメラの村の噂好きのドワーフは、困っているようだ。			コメラの村の事件							
噂好きのドワーフと話した。コメラの村で窃盗事件が起こっているという噂があるようだ。コルシア島のコメラの村にいる「ドワーフ族の親方」と話そう。			噂好きのドワーフと話した。コメラの村で窃盗事件が起こっているという噂があるようだ。コルシア島のコメラの村にいる「ドワーフ族の親方」と話そう。			コメラの村の事件							
ドワーフ族の親方と話した。窃盗事件の噂は真実で、資材や発掘したお宝が消えることがあるという。ドヴェルガル山脈へ向かい、窃盗事件の手がかりを探そう。			ドワーフ族の親方と話した。窃盗事件の噂は真実で、資材や発掘したお宝が消えることがあるという。ドヴェルガル山脈へ向かい、窃盗事件の手がかりを探そう。			コメラの村の事件							
宝石があしらわれた腕輪を入手した。コメラの村の「ドワーフ族の親方」に「宝石があしらわれた腕輪」を見せよう。			宝石があしらわれた腕輪を入手した。コメラの村の「ドワーフ族の親方」に「宝石があしらわれた腕輪」を見せよう。			コメラの村の事件							
ドワーフ族の親方に宝石があしらわれた腕輪を見せた。親方によると、腕輪は年若い村娘が所持していた物だという。コメラの村の「年若い村娘」に、「宝石があしらわれた腕輪」を渡そう。			ドワーフ族の親方に宝石があしらわれた腕輪を見せた。親方によると、腕輪は年若い村娘が所持していた物だという。コメラの村の「年若い村娘」に、「宝石があしらわれた腕輪」を渡そう。			コメラの村の事件							
年若い村娘に宝石があしらわれた腕輪を渡した。腕輪について聞くと、坑道の番人からの贈り物だという。ドヴェルガル山脈の「坑道の番人」と話そう。			年若い村娘に宝石があしらわれた腕輪を渡した。腕輪について聞くと、坑道の番人からの贈り物だという。ドヴェルガル山脈の「坑道の番人」と話そう。			コメラの村の事件							
坑道の番人と話した。年若い村娘に贈った腕輪について問うと、動揺した様子で言葉を濁した。坑道の番人にエモート「問い詰める」をしよう。			坑道の番人と話した。年若い村娘に贈った腕輪について問うと、動揺した様子で言葉を濁した。坑道の番人にエモート「問い詰める」をしよう。			コメラの村の事件							
坑道の番人を問い詰めると、慌てて逃げ出した。スクリー山地の「アノッグ」と話そう。			坑道の番人を問い詰めると、慌てて逃げ出した。スクリー山地の「アノッグ」と話そう。			コメラの村の事件							
アノッグたちとともに、坑道の番人を追い詰めた。スクリー山地に現れた坑道の番人の兄弟を討伐しよう。			アノッグたちとともに、坑道の番人を追い詰めた。スクリー山地に現れた坑道の番人の兄弟を討伐しよう。			コメラの村の事件							
坑道の番人の兄弟を討伐した。逃走した坑道の番人を探そう。			坑道の番人の兄弟を討伐した。逃走した坑道の番人を探そう。			コメラの村の事件							
坑道の番人と話した。坑道の番人は観念した様子で、自身が窃盗事件の犯人であることを認める。年若い村娘の気を引くために、兄弟たちとともに腕輪を盗み出したという。「坑道の番人の落とし物」を調べよう。			坑道の番人と話した。坑道の番人は観念した様子で、自身が窃盗事件の犯人であることを認める。年若い村娘の気を引くために、兄弟たちとともに腕輪を盗み出したという。「坑道の番人の落とし物」を調べよう。			コメラの村の事件							
坑道の番人の落とし物を調べた。コメラの村に戻り、ドワーフ族の親方に報告しよう。			坑道の番人の落とし物を調べた。コメラの村に戻り、ドワーフ族の親方に報告しよう。			コメラの村の事件							
ドワーフ族の親方に報告した。坑道の番人が罪を認めたことで、コメラの村で起こっていた窃盗事件はこれで解決したようだ。			ドワーフ族の親方に報告した。坑道の番人が罪を認めたことで、コメラの村で起こっていた窃盗事件はこれで解決したようだ。			コメラの村の事件							
コメラの村のドワーフ族の親方と話す			コメラの村のドワーフ族の親方と話す			コメラの村の事件							
窃盗事件の手がかりを探す			窃盗事件の手がかりを探す			コメラの村の事件							
ドワーフ族の親方に宝石があしらわれた腕輪を見せる			ドワーフ族の親方に宝石があしらわれた腕輪を見せる			コメラの村の事件							
年若い村娘に宝石があしらわれた腕輪を渡す			年若い村娘に宝石があしらわれた腕輪を渡す			コメラの村の事件							
坑道の番人と話す			坑道の番人と話す			コメラの村の事件							
坑道の番人に「問い詰める」をする			坑道の番人に「問い詰める」をする			コメラの村の事件							
アノッグと話す			アノッグと話す			コメラの村の事件							
坑道の番人の兄弟を討伐			坑道の番人の兄弟を討伐			コメラの村の事件							
坑道の番人を探す			坑道の番人を探す			コメラの村の事件							
坑道の番人の落とし物を調べる			坑道の番人の落とし物を調べる			コメラの村の事件							
ドワーフ族の親方に報告			ドワーフ族の親方に報告			コメラの村の事件							
なあ、コメラの村の噂を知っているか？何でも、村で窃盗事件が起こっているとか……。			なあ、コメラの村の噂を知っているか？何でも、村で窃盗事件が起こっているとか……。			コメラの村の事件							
ヤツらのことだ、身内に犯人が見つからなかった場合、敵対している我らの犯行と決めつけ、報復に来るかもしれない。そうなる前に、コメラの村へ行き、事件を解決してきてくれないか？			ヤツらのことだ、身内に犯人が見つからなかった場合、敵対している我らの犯行と決めつけ、報復に来るかもしれない。そうなる前に、コメラの村へ行き、事件を解決してきてくれないか？			コメラの村の事件							
ヤツらのことだ、身内に犯人が見つからなかった場合、敵対している我らの犯行と決めつけ、報復に来るかもしれない。そうなる前に、コメラの村へ行き、事件を解決してきてくれないか？			ヤツらのことだ、身内に犯人が見つからなかった場合、敵対している我らの犯行と決めつけ、報復に来るかもしれない。そうなる前に、コメラの村へ行き、事件を解決してきてくれないか？			コメラの村の事件							
ああ、旅の人か。ちょうど良かった。相談があるんだ。			ああ、旅の人か。ちょうど良かった。相談があるんだ。			コメラの村の事件							
最近、資材や発掘したお宝が消える事があってな。あんまり考えたくない話だが……。村の誰かが盗みを働いている気がするんだ。			最近、資材や発掘したお宝が消える事があってな。あんまり考えたくない話だが……。村の誰かが盗みを働いている気がするんだ。			コメラの村の事件							
村の仲間に聞いて回るわけにもいかなくてな……。どうか手を貸してくれないか。			村の仲間に聞いて回るわけにもいかなくてな……。どうか手を貸してくれないか。			コメラの村の事件							
昨日、発掘したものが資材置き場にあるから、それを狙って、犯人が現れるかもしれん。			昨日、発掘したものが資材置き場にあるから、それを狙って、犯人が現れるかもしれん。			コメラの村の事件							
一度、資材置き場の様子を見てきてくれないか？何か変わったことがあったら、俺に報告してくれ。			一度、資材置き場の様子を見てきてくれないか？何か変わったことがあったら、俺に報告してくれ。			コメラの村の事件							
昨日、発掘したものが資材置き場にあるから、それを狙って、犯人が現れるかもしれん。			昨日、発掘したものが資材置き場にあるから、それを狙って、犯人が現れるかもしれん。			コメラの村の事件							
一度、資材置き場の様子を見てきてくれないか？何か変わったことがあったら、俺に報告してくれ。			一度、資材置き場の様子を見てきてくれないか？何か変わったことがあったら、俺に報告してくれ。			コメラの村の事件							
何か見つけたのか？どれどれ、俺に見せてくれ。			何か見つけたのか？どれどれ、俺に見せてくれ。			コメラの村の事件							
この腕輪は見覚えがあるな……。たしか、年若い村娘がつけていたものだ。しかし、随分と値が張りそうな宝石があしらわれているな……。			この腕輪は見覚えがあるな……。たしか、年若い村娘がつけていたものだ。しかし、随分と値が張りそうな宝石があしらわれているな……。			コメラの村の事件							
あんな若い娘が買えるものとは思えないが……。旅の人よ、「年若い村娘」にその腕輪を見せて、それとなく探りを入れてみてくれないか？			あんな若い娘が買えるものとは思えないが……。旅の人よ、「年若い村娘」にその腕輪を見せて、それとなく探りを入れてみてくれないか？			コメラの村の事件							
旅の人よ、「年若い村娘」にその腕輪を見せて、それとなく探りを入れてみてくれないか？			旅の人よ、「年若い村娘」にその腕輪を見せて、それとなく探りを入れてみてくれないか？			コメラの村の事件							
あら、何か用？			あら、何か用？			コメラの村の事件							
ああ、この腕輪！　探してたのよ！プレゼントしてもらったのに落としてしまって……。落とし物を届けてくれるなんて、親切な旅人さんね。			ああ、この腕輪！　探してたのよ！プレゼントしてもらったのに落としてしまって……。落とし物を届けてくれるなんて、親切な旅人さんね。			コメラの村の事件							
え？　この腕輪について聞きたい……？坑道の番人がプレゼントしてくれたのよ。宝石があしらわれていて素敵でしょ？			え？　この腕輪について聞きたい……？坑道の番人がプレゼントしてくれたのよ。宝石があしらわれていて素敵でしょ？			コメラの村の事件							
でも、こんな高価な物、どうやって手に入れたのかしらね。彼はいつもお金がほしいって嘆いていた気がするけど……。急に羽振りがよくなっちゃって。			でも、こんな高価な物、どうやって手に入れたのかしらね。彼はいつもお金がほしいって嘆いていた気がするけど……。急に羽振りがよくなっちゃって。			コメラの村の事件							
坑道の番人が急に気前よくなった理由？さすがにそこまでは知らないけれど……。それなら本人に直接聞いてみたら？			坑道の番人が急に気前よくなった理由？さすがにそこまでは知らないけれど……。それなら本人に直接聞いてみたら？			コメラの村の事件							
「坑道の番人」なら遺跡の入口にいると思うわよ。			「坑道の番人」なら遺跡の入口にいると思うわよ。			コメラの村の事件							
「坑道の番人」なら遺跡の入口にいると思うわよ。			「坑道の番人」なら遺跡の入口にいると思うわよ。			コメラの村の事件							
そこの遺跡に、入れておくれよぉ！			そこの遺跡に、入れておくれよぉ！			コメラの村の事件							
入れておくれよぉ！			入れておくれよぉ！			コメラの村の事件							
もういい加減にしてよ！　ボクは今忙しいんだ！とにかく、ここは開けられない。さ、帰った帰った。			もういい加減にしてよ！　ボクは今忙しいんだ！とにかく、ここは開けられない。さ、帰った帰った。			コメラの村の事件							
ねえアノッグ、耳寄りの情報だよ……。そこに「ヨソ者」がやってきてるんだ。			ねえアノッグ、耳寄りの情報だよ……。そこに「ヨソ者」がやってきてるんだ。			コメラの村の事件							
きっとボク達を助けにきたのではないのかな……。いや、そうに違いないよ！			きっとボク達を助けにきたのではないのかな……。いや、そうに違いないよ！			コメラの村の事件							
あっ……アナタは……！？前にも言ったけど、ここは立入禁止だよ……？			あっ……アナタは……！？前にも言ったけど、ここは立入禁止だよ……？			コメラの村の事件							
え、年若い村娘に渡した腕輪について聞きたい？なっ……なんでヨソ者にそんなこと聞かれないといけないんだ！アナタには関係ないでしょ！			え、年若い村娘に渡した腕輪について聞きたい？なっ……なんでヨソ者にそんなこと聞かれないといけないんだ！アナタには関係ないでしょ！			コメラの村の事件							
坑道の番人に何と言う？			坑道の番人に何と言う？			コメラの村の事件							
あんな高価な腕輪、どこで手に入れたんだ……？			あんな高価な腕輪、どこで手に入れたんだ……？			コメラの村の事件							
最近羽振りがいいみたいじゃないか？			最近羽振りがいいみたいじゃないか？			コメラの村の事件							
そんな言葉で「問い詰め」られたって、ボクは動じないぞ！もうどっかにいってくれ！			そんな言葉で「問い詰め」られたって、ボクは動じないぞ！もうどっかにいってくれ！			コメラの村の事件							
そんな言葉で「問い詰め」られたって、ボクは動じないぞ！もうどっかにいってくれ！			そんな言葉で「問い詰め」られたって、ボクは動じないぞ！もうどっかにいってくれ！			コメラの村の事件							
そこの遺跡に、入れておくれよぉ！			そこの遺跡に、入れておくれよぉ！			コメラの村の事件							
入れておくれよぉ！			入れておくれよぉ！			コメラの村の事件							
さあ、畳みかけるように、「坑道の番人」を「問い詰める」のだ！			さあ、畳みかけるように、「坑道の番人」を「問い詰める」のだ！			コメラの村の事件							
いいぞ！もっと「坑道の番人」を「問い詰める」のだ！			いいぞ！もっと「坑道の番人」を「問い詰める」のだ！			コメラの村の事件							
まったく……こんな面倒ごとはさっさと片付けて、早く仕事に戻らなくては。			まったく……こんな面倒ごとはさっさと片付けて、早く仕事に戻らなくては。			コメラの村の事件							
…………。クソッ……こうなったら……。			…………。クソッ……こうなったら……。			コメラの村の事件							
あ！　番人のやつ逃げたぞ！			あ！　番人のやつ逃げたぞ！			コメラの村の事件							
扉の鍵はあいつが持ったままだ。追いかけよう！　アノッグ！			扉の鍵はあいつが持ったままだ。追いかけよう！　アノッグ！			コメラの村の事件							
坑道の番人め……。やっと追いついたぞ……。			坑道の番人め……。やっと追いついたぞ……。			コメラの村の事件							
アノッグ！　誰か来た！			アノッグ！　誰か来た！			コメラの村の事件							
ヒイイ！　逃げよう！　コノッグ！！			ヒイイ！　逃げよう！　コノッグ！！			コメラの村の事件							
わかった！　アノッグ！！			わかった！　アノッグ！！			コメラの村の事件							
こいつらを片付けてくれ！　兄弟！！			こいつらを片付けてくれ！　兄弟！！			コメラの村の事件							
わかったよ！兄ちゃん！！			わかったよ！兄ちゃん！！			コメラの村の事件							
いくぞ！弟よ！			いくぞ！弟よ！			コメラの村の事件							
クソッ……しつこい奴らだ……。			クソッ……しつこい奴らだ……。			コメラの村の事件							
扉の鍵をよこせ！			扉の鍵をよこせ！			コメラの村の事件							
わかった……もうあきらめるよ……。そうさ……ボクが犯人さ。			わかった……もうあきらめるよ……。そうさ……ボクが犯人さ。			コメラの村の事件							
兄弟達に協力してもらって、盗みを働き、高価な宝石があしらわれた腕輪を手に入れたんだ。「年若い村娘」の気を引くには、それしかないと思って……。			兄弟達に協力してもらって、盗みを働き、高価な宝石があしらわれた腕輪を手に入れたんだ。「年若い村娘」の気を引くには、それしかないと思って……。			コメラの村の事件							
でも、アナタに打ちのめされて目が覚めたよ、ボクは親方に謝りにいく。アナタにも迷惑をかけたね。			でも、アナタに打ちのめされて目が覚めたよ、ボクは親方に謝りにいく。アナタにも迷惑をかけたね。			コメラの村の事件							
坑道の番人は、何かを落としていったようだ……。			坑道の番人は、何かを落としていったようだ……。			コメラの村の事件							
「機械遺跡の鍵」を入手した。			「機械遺跡の鍵」を入手した。			コメラの村の事件							
窃盗事件を解決できたのは、あんたのおかげだ。いろいろ世話になったな、ありがとう。			窃盗事件を解決できたのは、あんたのおかげだ。いろいろ世話になったな、ありがとう。			コメラの村の事件							
