解放軍の将校は、冒険者を待っていたようだ。			解放軍の将校は、冒険者を待っていたようだ。			ウェポン襲来							
解放軍の将校と話した。ギラバニア湖畔地帯のポルタ・プレトリアにいる「アラミゴ解放軍の上級闘士」と話して、エオルゼア同盟軍本陣へと向かおう。			解放軍の将校と話した。ギラバニア湖畔地帯のポルタ・プレトリアにいる「アラミゴ解放軍の上級闘士」と話して、エオルゼア同盟軍本陣へと向かおう。			ウェポン襲来							
アラミゴ解放軍の上級闘士と話して、エオルゼア同盟軍本陣に到着した。対蛮神兵器の迎撃にあたり、エオルゼア同盟軍本陣の使用許可が出ているという。エオルゼア同盟軍本陣にいる「ガイウス」と話そう。一度、本陣の外に出た場合はギラバニア湖畔地帯のポルタ・プレトリアにいる「アラミゴ解放軍の上級闘士」が、エオルゼア同盟軍本陣まで案内してくれるようだ。			アラミゴ解放軍の上級闘士と話して、エオルゼア同盟軍本陣に到着した。対蛮神兵器の迎撃にあたり、エオルゼア同盟軍本陣の使用許可が出ているという。エオルゼア同盟軍本陣にいる「ガイウス」と話そう。一度、本陣の外に出た場合はギラバニア湖畔地帯のポルタ・プレトリアにいる「アラミゴ解放軍の上級闘士」が、エオルゼア同盟軍本陣まで案内してくれるようだ。			ウェポン襲来							
ガイウスと話した。エオルゼアに向けて放たれた試作機は、ルビーウェポンという名で呼ばれているようだ。ルビーウェポンは、属州の反乱鎮圧時に、何らかの蛮神の力を吸収し、並外れた重装甲と、変幻自在の爪を手に入れたという。エオルゼア同盟軍本陣の「アラミゴ解放軍の輸送兵」と話して、迎撃ポイントへ向かおう。			ガイウスと話した。エオルゼアに向けて放たれた試作機は、ルビーウェポンという名で呼ばれているようだ。ルビーウェポンは、属州の反乱鎮圧時に、何らかの蛮神の力を吸収し、並外れた重装甲と、変幻自在の爪を手に入れたという。エオルゼア同盟軍本陣の「アラミゴ解放軍の輸送兵」と話して、迎撃ポイントへ向かおう。			ウェポン襲来							
アラミゴ解放軍の輸送兵と話した。ギムリトダークの防衛線上で待ち構え、「ルビーウェポン破壊作戦」を攻略しよう！※コンテンツファインダーから攻略に参加できます。			アラミゴ解放軍の輸送兵と話した。ギムリトダークの防衛線上で待ち構え、「ルビーウェポン破壊作戦」を攻略しよう！※コンテンツファインダーから攻略に参加できます。			ウェポン襲来							
「ルビーウェポン破壊作戦」を攻略して、敵機のエオルゼア侵攻を未然に防いだ。エオルゼア同盟軍本陣に戻ろう。			「ルビーウェポン破壊作戦」を攻略して、敵機のエオルゼア侵攻を未然に防いだ。エオルゼア同盟軍本陣に戻ろう。			ウェポン襲来							
ルビーウェポン破壊作戦は成功に終わった。しかし作戦終了後に、ガイウスを義父と呼ぶ3名の帝国兵と遭遇する。彼らは、身寄りのなかった幼少時代に、ガイウスに引き取られ、育てられた孤児たちであった。その中のひとり、ミリサンディアが、ルビーウェポンの操縦者だと、アルフォンスは話した。同盟軍本陣にいる「ガイウス」と話そう。			ルビーウェポン破壊作戦は成功に終わった。しかし作戦終了後に、ガイウスを義父と呼ぶ3名の帝国兵と遭遇する。彼らは、身寄りのなかった幼少時代に、ガイウスに引き取られ、育てられた孤児たちであった。その中のひとり、ミリサンディアが、ルビーウェポンの操縦者だと、アルフォンスは話した。同盟軍本陣にいる「ガイウス」と話そう。			ウェポン襲来							
ガイウスと話した。ガイウスは、未だルビーウェポンのコクピットの中にいるはずの、ミリサンディアの身を案じているようだ。エオルゼア同盟軍本陣にいる「ガイウス」と再度話そう。			ガイウスと話した。ガイウスは、未だルビーウェポンのコクピットの中にいるはずの、ミリサンディアの身を案じているようだ。エオルゼア同盟軍本陣にいる「ガイウス」と再度話そう。			ウェポン襲来							
ガイウスと再度話した。調査途中でやってきたシドの話では、ミリサンディアはすでに亡くなっていたようだ。コクピット内にいた彼女は、人の形を成しておらず、ルビーウェポンのコアと融合してしまっているという。コアと一体化させた操縦者に、ネール・ヴァン・ダーナスの戦闘経験を上書きすることで、軍団長級の力を持った操縦者を造り上げたのではないかと、シドは推測する。どうやって、孤児たちがネールのデータを手に入れたのか、疑問は残るが、シドの方で引き続き調査していくという。ギラバニア湖畔地帯のポルタ・プレトリアにいる「解放軍の将校」に報告しよう。			ガイウスと再度話した。調査途中でやってきたシドの話では、ミリサンディアはすでに亡くなっていたようだ。コクピット内にいた彼女は、人の形を成しておらず、ルビーウェポンのコアと融合してしまっているという。コアと一体化させた操縦者に、ネール・ヴァン・ダーナスの戦闘経験を上書きすることで、軍団長級の力を持った操縦者を造り上げたのではないかと、シドは推測する。どうやって、孤児たちがネールのデータを手に入れたのか、疑問は残るが、シドの方で引き続き調査していくという。ギラバニア湖畔地帯のポルタ・プレトリアにいる「解放軍の将校」に報告しよう。			ウェポン襲来							
解放軍の将校に報告した。冒険者が伝えた内容は、報告書にまとめられて、エオルゼア同盟軍に提出されるようだ。興味があったら、報告書を覗き見てみるといいだろう。			解放軍の将校に報告した。冒険者が伝えた内容は、報告書にまとめられて、エオルゼア同盟軍に提出されるようだ。興味があったら、報告書を覗き見てみるといいだろう。			ウェポン襲来							
アラミゴ解放軍の上級闘士と話す			アラミゴ解放軍の上級闘士と話す			ウェポン襲来							
