七賢人の庭のネムジジは、冒険者のことを待ち構えていたようだ。			七賢人の庭のネムジジは、冒険者のことを待ち構えていたようだ。			「パンデモニウム」への警告							
ネムジジと話した。冒険者の協力が必要な物品があるという。ラヴィリンソスのアポリア本部で「クローディエン」と話そう。			ネムジジと話した。冒険者の協力が必要な物品があるという。ラヴィリンソスのアポリア本部で「クローディエン」と話そう。			「パンデモニウム」への警告							
謎のクリスタルから「パンデモニウム」に危機が迫っているという警告が発せられた。過去へと赴くため、クリスタリウムから星見の間の「指定地点」に向かおう。			謎のクリスタルから「パンデモニウム」に危機が迫っているという警告が発せられた。過去へと赴くため、クリスタリウムから星見の間の「指定地点」に向かおう。			「パンデモニウム」への警告							
クリスタルの輝きに呼応するかのように、開かれた扉。そこを超えた先には、エルピスの風景が広がり、謎の青年の姿があった。エルピスの汐沫の庭で「テミス」と話そう。			クリスタルの輝きに呼応するかのように、開かれた扉。そこを超えた先には、エルピスの風景が広がり、謎の青年の姿があった。エルピスの汐沫の庭で「テミス」と話そう。			「パンデモニウム」への警告							
テミスと名乗った青年は、パンデモニウムで何かが起きている可能性があると語った。彼は冒険者に興味があるらしく、ある提案をしたいという。			テミスと名乗った青年は、パンデモニウムで何かが起きている可能性があると語った。彼は冒険者に興味があるらしく、ある提案をしたいという。			「パンデモニウム」への警告							
アポリア本部のクローディエンと話す			アポリア本部のクローディエンと話す			「パンデモニウム」への警告							
星見の間の指定地点に向かう			星見の間の指定地点に向かう			「パンデモニウム」への警告							
テミスと話す			テミスと話す			「パンデモニウム」への警告							
ふふ、ふふふふ……私の推測どおり……！ここにいれば、貴方に出会えると思っておりました。「終末」を払いし冒険者、Forename様。			ふふ、ふふふふ……私の推測どおり……！ここにいれば、貴方に出会えると思っておりました。「終末」を払いし冒険者、Forename様。			「パンデモニウム」への警告							
突然失礼いたします、私の名はネムジジ。アイティオン星晶鏡にて、星海の観測と研究を行っている、「クローディエン」先生の助手を務めております。			突然失礼いたします、私の名はネムジジ。アイティオン星晶鏡にて、星海の観測と研究を行っている、「クローディエン」先生の助手を務めております。			「パンデモニウム」への警告							
実は……この星海観測の過程で、私どもでは見当がつかない、謎の「物品」が見つかりまして。貴方にご協力をお願いしたく、こうして探していたのです。			実は……この星海観測の過程で、私どもでは見当がつかない、謎の「物品」が見つかりまして。貴方にご協力をお願いしたく、こうして探していたのです。			「パンデモニウム」への警告							
依頼主である、クローディエン先生は、ラヴィリンソスの「アポリア本部」にいらっしゃいます。もしご協力くださいますなら、どうか本部へとお越しください。			依頼主である、クローディエン先生は、ラヴィリンソスの「アポリア本部」にいらっしゃいます。もしご協力くださいますなら、どうか本部へとお越しください。			「パンデモニウム」への警告							
お越しくださり、感謝いたします。どうぞ、クローディエン先生とお話を……。			お越しくださり、感謝いたします。どうぞ、クローディエン先生とお話を……。			「パンデモニウム」への警告							
うわあ、目の前にForenameさんが……！ネムジジ先輩、本当に見つけ出すなんて流石だなあ。			うわあ、目の前にForenameさんが……！ネムジジ先輩、本当に見つけ出すなんて流石だなあ。			「パンデモニウム」への警告							
ご足労ありがとうございます、Forenameさん……。ネムジジさんからお聞きかと思いますが、星海の研究をしているクローディエンと申します。			ご足労ありがとうございます、Forenameさん……。ネムジジさんからお聞きかと思いますが、星海の研究をしているクローディエンと申します。			「パンデモニウム」への警告							
いやはや、なんとも胸がドキドキしますね……。史上初となる星海深部への潜航を成功させてみせた貴方は、私の憧れの存在なんですよ。			いやはや、なんとも胸がドキドキしますね……。史上初となる星海深部への潜航を成功させてみせた貴方は、私の憧れの存在なんですよ。			「パンデモニウム」への警告							
急に憧れを語り始めた、こちらの先生ですが。これでも、シャーレアンの研究者で最も深くまで星海を観測した、星海研究の第一人者でございます。			急に憧れを語り始めた、こちらの先生ですが。これでも、シャーレアンの研究者で最も深くまで星海を観測した、星海研究の第一人者でございます。			「パンデモニウム」への警告							
Forenameさんには、遠く及びませんけどね。実際、私では見通せなかった謎を紐解いてもらえないかと、こうして協力を仰いでいるのですから……。			Forenameさんには、遠く及びませんけどね。実際、私では見通せなかった謎を紐解いてもらえないかと、こうして協力を仰いでいるのですから……。			「パンデモニウム」への警告							
……かつて私たちは、低地ドラヴァニアに築いた「逆さの塔」により、星の意思、ハイデリンと邂逅し「終末」の存在を知りました。			……かつて私たちは、低地ドラヴァニアに築いた「逆さの塔」により、星の意思、ハイデリンと邂逅し「終末」の存在を知りました。			「パンデモニウム」への警告							
その後は、ラヴィリンソスに研究の場を移し、アイティオン星晶鏡を建設、今日まで星海の観測を続けてきました。……星海の深さに比べれば、波打ち際程度の範囲ですがね。			その後は、ラヴィリンソスに研究の場を移し、アイティオン星晶鏡を建設、今日まで星海の観測を続けてきました。……星海の深さに比べれば、波打ち際程度の範囲ですがね。			「パンデモニウム」への警告							
……そして、あれは大整理が宣言された頃だったでしょうか。観測中の私たちの前に、ひとつの不可思議な「結晶」が、星海の底より浮かび上がってきたのです。			……そして、あれは大整理が宣言された頃だったでしょうか。観測中の私たちの前に、ひとつの不可思議な「結晶」が、星海の底より浮かび上がってきたのです。			「パンデモニウム」への警告							
結晶のエーテル密度は、通常のクリスタルの数倍。しかも驚いたことに、人工的に成形された形状をしていました。とても、自然に生成された物とは思えません。			結晶のエーテル密度は、通常のクリスタルの数倍。しかも驚いたことに、人工的に成形された形状をしていました。とても、自然に生成された物とは思えません。			「パンデモニウム」への警告							
しかし、私の分析で判明したのは、そこまで……。星外への脱出計画を優先せねばならなくなったこともあり、結晶の調査は、しばらく棚上げされておりました。			しかし、私の分析で判明したのは、そこまで……。星外への脱出計画を優先せねばならなくなったこともあり、結晶の調査は、しばらく棚上げされておりました。			「パンデモニウム」への警告							
そして終末の脅威が払われた今こそ、改めて結晶の謎に挑みたい。そう考えて……私は、貴方を探していたのです。			そして終末の脅威が払われた今こそ、改めて結晶の謎に挑みたい。そう考えて……私は、貴方を探していたのです。			「パンデモニウム」への警告							
誰よりも深く星海へと潜った、稀代の冒険者である貴方に、件の結晶を見ていただき、ご意見をお伺いしたいのです。どんな些細なことでも構いませんから、ぜひ……！			誰よりも深く星海へと潜った、稀代の冒険者である貴方に、件の結晶を見ていただき、ご意見をお伺いしたいのです。どんな些細なことでも構いませんから、ぜひ……！			「パンデモニウム」への警告							
さあ、こちらが、その結晶です……。			さあ、こちらが、その結晶です……。			「パンデモニウム」への警告							
貴方の記憶や知識の中に、似たようなものがあれば、どんな些細なことでも、どうかお聞かせください！			貴方の記憶や知識の中に、似たようなものがあれば、どんな些細なことでも、どうかお聞かせください！			「パンデモニウム」への警告							
何と言う？			何と言う？			「パンデモニウム」への警告							
記憶を封じたクリスタルだ			記憶を封じたクリスタルだ			「パンデモニウム」への警告							
これと同じクリスタルを持っていた者を知っている			これと同じクリスタルを持っていた者を知っている			「パンデモニウム」への警告							
……！　心当たりがあるのですね。もう少し、詳しい話をお聞かせいただけませんか？			……！　心当たりがあるのですね。もう少し、詳しい話をお聞かせいただけませんか？			「パンデモニウム」への警告							
なるほど、アシエンはこのクリスタルを用いることで、転生した魂に、かつての座の記憶を継承していた、と……。貴重なお話をありがとうございます。			なるほど、アシエンはこのクリスタルを用いることで、転生した魂に、かつての座の記憶を継承していた、と……。貴重なお話をありがとうございます。			「パンデモニウム」への警告							
いやはや、稀有な結晶だろうとは推測していましたが、ここまでとは、予想外でしたよ……。			いやはや、稀有な結晶だろうとは推測していましたが、ここまでとは、予想外でしたよ……。			「パンデモニウム」への警告							
たしかにエーテルの結晶は、記憶を刻む触媒になり得ます。古のジョブの戦技や魔法を伝えるソウルクリスタル……しばしば戦場で発見される、特殊なシャードも然り。			たしかにエーテルの結晶は、記憶を刻む触媒になり得ます。古のジョブの戦技や魔法を伝えるソウルクリスタル……しばしば戦場で発見される、特殊なシャードも然り。			「パンデモニウム」への警告							
これらのサンプルを取り寄せ、比較することで、クリスタルの調査も進展するかもしれませんね……。			これらのサンプルを取り寄せ、比較することで、クリスタルの調査も進展するかもしれませんね……。			「パンデモニウム」への警告							
アシエンの記憶…………十四人委員会の記憶、か……。			アシエンの記憶…………十四人委員会の記憶、か……。			「パンデモニウム」への警告							
……だが、彼女彼が見たというクリスタルには、十四人委員会の座を示すシンボルが刻まれていたはず……。では……この記憶の持ち主は……。			……だが、彼女彼が見たというクリスタルには、十四人委員会の座を示すシンボルが刻まれていたはず……。では……この記憶の持ち主は……。			「パンデモニウム」への警告							
いや、それよりも……記憶を残そうとした目的は……。そして……何故、星海を漂っていたのか……。			いや、それよりも……記憶を残そうとした目的は……。そして……何故、星海を漂っていたのか……。			「パンデモニウム」への警告							
おーい、せーんせい！！き、こ、え、て、ま、す、かー！！？			おーい、せーんせい！！き、こ、え、て、ま、す、かー！！？			「パンデモニウム」への警告							
え…………？			え…………？			「パンデモニウム」への警告							
思案するのはいいんですが、お客様の前で、独り言を言いつづけるのは、いかがなものかと。その悪癖を助手である私たちから指摘されるのは、何度目ですか？			思案するのはいいんですが、お客様の前で、独り言を言いつづけるのは、いかがなものかと。その悪癖を助手である私たちから指摘されるのは、何度目ですか？			「パンデモニウム」への警告							
ああっ！！　も、申し訳ないです！興味深い疑問にあたると、ついクセで……。			ああっ！！　も、申し訳ないです！興味深い疑問にあたると、ついクセで……。			「パンデモニウム」への警告							
失礼しました……少し、クリスタルに触れてもらえませんか？以前、内部から漏れ出る記憶が聞こえたという貴方なら、もしかして、今回も……。			失礼しました……少し、クリスタルに触れてもらえませんか？以前、内部から漏れ出る記憶が聞こえたという貴方なら、もしかして、今回も……。			「パンデモニウム」への警告							
(-クリスタルから響く記憶-)この声が聞こえ……どうか……。「パンデモニウム」へと……来て……！			(-クリスタルから響く記憶-)この声が聞こえ……どうか……。「パンデモニウム」へと……来て……！			「パンデモニウム」への警告							
(-クリスタルから響く記憶-)この危機……決し……放置しては、ならない……。世界が……壊れ……まう……。			(-クリスタルから響く記憶-)この危機……決し……放置しては、ならない……。世界が……壊れ……まう……。			「パンデモニウム」への警告							
もしや、なにか聞こえたのですか……？			もしや、なにか聞こえたのですか……？			「パンデモニウム」への警告							
……「パンデモニウム」。あいにく、その言葉には聞き覚えがありませんね。古き言葉に当てはめるなら……「魔のすべて」でしょうか。			……「パンデモニウム」。あいにく、その言葉には聞き覚えがありませんね。古き言葉に当てはめるなら……「魔のすべて」でしょうか。			「パンデモニウム」への警告							
