七賢人の庭のミッドランダー族の研究員は、周囲を見渡しているようだ。			七賢人の庭のミッドランダー族の研究員は、周囲を見渡しているようだ。			在りし日の想いを込めて							
星海の研究者であり、パンデモニウムの事件で出会ったクローディエンが冒険者を探しているようだ。ラヴィリンソスのアポリア本部で「クローディエン」と話そう。			星海の研究者であり、パンデモニウムの事件で出会ったクローディエンが冒険者を探しているようだ。ラヴィリンソスのアポリア本部で「クローディエン」と話そう。			在りし日の想いを込めて							
テミスの魔法人形を、エリクトニオスに届けたいと頼まれた。エルピスのレーテー海にある転移装置を使い、パンデモニウム正門で「ヘーゲモネー」と話そう。			テミスの魔法人形を、エリクトニオスに届けたいと頼まれた。エルピスのレーテー海にある転移装置を使い、パンデモニウム正門で「ヘーゲモネー」と話そう。			在りし日の想いを込めて							
ヘーゲモネーも協力をしてくれることになった。パンデモニウム正門の「指定地点」で待機し、エリクトニオスが戻るのを待とう。			ヘーゲモネーも協力をしてくれることになった。パンデモニウム正門の「指定地点」で待機し、エリクトニオスが戻るのを待とう。			在りし日の想いを込めて							
エリクトニオスに無事、テミスの魔法人形を託すことができた。パンデモニウム正門の「ヘーゲモネー」と話そう。			エリクトニオスに無事、テミスの魔法人形を託すことができた。パンデモニウム正門の「ヘーゲモネー」と話そう。			在りし日の想いを込めて							
ヘーゲモネーと話した。アポリア本部で「クローディエン」と話そう。			ヘーゲモネーと話した。アポリア本部で「クローディエン」と話そう。			在りし日の想いを込めて							
クローディエンから、テミスの魔法人形を受け取った。パンデモニウムでの事件を胸に、魔法人形とさらなる冒険に旅立とう。			クローディエンから、テミスの魔法人形を受け取った。パンデモニウムでの事件を胸に、魔法人形とさらなる冒険に旅立とう。			在りし日の想いを込めて							
アポリア本部のクローディエンと話す			アポリア本部のクローディエンと話す			在りし日の想いを込めて							
パンデモニウム正門のヘーゲモネーと話す			パンデモニウム正門のヘーゲモネーと話す			在りし日の想いを込めて							
指定地点で待機			指定地点で待機			在りし日の想いを込めて							
ヘーゲモネーと話す			ヘーゲモネーと話す			在りし日の想いを込めて							
アポリア本部のクローディエンと話す			アポリア本部のクローディエンと話す			在りし日の想いを込めて							
あっ、Forename様ですね！？ようやくお会いできました！			あっ、Forename様ですね！？ようやくお会いできました！			在りし日の想いを込めて							
あなたに「パンデモニウム」の調査を頼んだ、星海の研究者、クローディエン先生……。私は、彼の助手を務めている者です。			あなたに「パンデモニウム」の調査を頼んだ、星海の研究者、クローディエン先生……。私は、彼の助手を務めている者です。			在りし日の想いを込めて							
先生から、パンデモニウムに関してご相談があるのですよ。どうか、アポリア本部までお越しいただき、お話を聞いていただけませんか？			先生から、パンデモニウムに関してご相談があるのですよ。どうか、アポリア本部までお越しいただき、お話を聞いていただけませんか？			在りし日の想いを込めて							
クローディエン先生から、パンデモニウムに関してご相談があるのですよ。アポリア本部でお話を聞いていただけませんか？			クローディエン先生から、パンデモニウムに関してご相談があるのですよ。アポリア本部でお話を聞いていただけませんか？			在りし日の想いを込めて							
Forenameさん、ご無沙汰しております！パンデモニウムの事件では、本当にお世話になりました。			Forenameさん、ご無沙汰しております！パンデモニウムの事件では、本当にお世話になりました。			在りし日の想いを込めて							
とはいえ、当時を振り返るのはまたの機会に……さっそくですが、お呼びした理由を説明させてください。			とはいえ、当時を振り返るのはまたの機会に……さっそくですが、お呼びした理由を説明させてください。			在りし日の想いを込めて							
実は、パンデモニウムにまつわる事件をあなたとともに解決した、「エリクトニオス」さんについてお願いがあるのです。			実は、パンデモニウムにまつわる事件をあなたとともに解決した、「エリクトニオス」さんについてお願いがあるのです。			在りし日の想いを込めて							
あの事件で、私はエリクトニオスさんの転生体であると発覚し、最後には、この身に彼の記憶を宿すこととなりました。			あの事件で、私はエリクトニオスさんの転生体であると発覚し、最後には、この身に彼の記憶を宿すこととなりました。			在りし日の想いを込めて							
