バルデシオン分館の新顔のバルデシオン委員は、冒険者の到来を待っていたようだ。			バルデシオン分館の新顔のバルデシオン委員は、冒険者の到来を待っていたようだ。			委員会へのとある依頼							
新顔のバルデシオン委員がクルルとグ・ラハ・ティアを連れてきてくれ、依頼に関する話を聞いた。情報を持ちかけたラムブルースに会うためにモードゥナへ向かい、レヴナンツトールの「指定地点」で待機しよう。			新顔のバルデシオン委員がクルルとグ・ラハ・ティアを連れてきてくれ、依頼に関する話を聞いた。情報を持ちかけたラムブルースに会うためにモードゥナへ向かい、レヴナンツトールの「指定地点」で待機しよう。			委員会へのとある依頼							
ラムブルースから、幻域というエリアが発見されたという話を聞いた。詳細を聞くため、銀泪湖畔で第一発見者の「探検家」を探そう。			ラムブルースから、幻域というエリアが発見されたという話を聞いた。詳細を聞くため、銀泪湖畔で第一発見者の「探検家」を探そう。			委員会へのとある依頼							
探検家デリックと話した。銀泪湖畔にあるという幻域「オムファロス」へと向かおう。オムファロスへは、モードゥナの銀泪湖畔から移動できるようだ。			探検家デリックと話した。銀泪湖畔にあるという幻域「オムファロス」へと向かおう。オムファロスへは、モードゥナの銀泪湖畔から移動できるようだ。			委員会へのとある依頼							
探検家のデリックに案内され、幻域オムファロスに足を踏み入れた。同じくオムファロスに立ち入った「グ・ラハ・ティア」と話そう。			探検家のデリックに案内され、幻域オムファロスに足を踏み入れた。同じくオムファロスに立ち入った「グ・ラハ・ティア」と話そう。			委員会へのとある依頼							
グ・ラハ・ティアと話した。「オムファロス」内の気になるものを調べてみよう。			グ・ラハ・ティアと話した。「オムファロス」内の気になるものを調べてみよう。			委員会へのとある依頼							
気になるモニュメントや境界などを調べた。オムファロスの「デリック」に報告しよう。			気になるモニュメントや境界などを調べた。オムファロスの「デリック」に報告しよう。			委員会へのとある依頼							
グ・ラハ・ティアは幻域の正体について考えあぐねているようだ。幻域は、誰が、なんのために造った場所なのだろう……。			グ・ラハ・ティアは幻域の正体について考えあぐねているようだ。幻域は、誰が、なんのために造った場所なのだろう……。			委員会へのとある依頼							
レヴナンツトールの指定地点で待機			レヴナンツトールの指定地点で待機			委員会へのとある依頼							
探検家の手がかりを探す			探検家の手がかりを探す			委員会へのとある依頼							
オムファロスのグ・ラハ・ティアと話す			オムファロスのグ・ラハ・ティアと話す			委員会へのとある依頼							
オムファロス内を調べる			オムファロス内を調べる			委員会へのとある依頼							
デリックと話す			デリックと話す			委員会へのとある依頼							
Forenameさん、おかえりなさい！			Forenameさん、おかえりなさい！			委員会へのとある依頼							
もしかして「とある依頼」の件で、いらっしゃってくれました？クルルさんがあなたに相談したいと話していたっていう……。			もしかして「とある依頼」の件で、いらっしゃってくれました？クルルさんがあなたに相談したいと話していたっていう……。			委員会へのとある依頼							
それならすぐに呼んできます！ちょっと待っていてくださいね！			それならすぐに呼んできます！ちょっと待っていてくださいね！			委員会へのとある依頼							
ありがとう、来てくれたのね！以前にも話したとおり、あなたとラハくんに持ちかけたい話があったの。			ありがとう、来てくれたのね！以前にも話したとおり、あなたとラハくんに持ちかけたい話があったの。			委員会へのとある依頼							
前に言ってた「例の件」についてだよな？分館の活動記録の整理もひと区切りついたし、任せてくれ！			前に言ってた「例の件」についてだよな？分館の活動記録の整理もひと区切りついたし、任せてくれ！			委員会へのとある依頼							
それに……海底遺跡の探検に行って、あらためて気づいたんだよ。フィールドワークの良さってやつにさ。			それに……海底遺跡の探検に行って、あらためて気づいたんだよ。フィールドワークの良さってやつにさ。			委員会へのとある依頼							
そういう意味では、まさにお望みの依頼ね。まずは前提を伝えさせてちょうだい。			そういう意味では、まさにお望みの依頼ね。まずは前提を伝えさせてちょうだい。			委員会へのとある依頼							
Forenameさんも知ってのとおり、バルデシオン委員会は、おじいちゃん……ガラフ・バルデシオンが創立した調査研究機関よ。			Forenameさんも知ってのとおり、バルデシオン委員会は、おじいちゃん……ガラフ・バルデシオンが創立した調査研究機関よ。			委員会へのとある依頼							
その究極的な研究目標は、星のありようの解明……。「星の意思」や、それに接触し得る「超える力」について、研究していたのもそのためだけど……			その究極的な研究目標は、星のありようの解明……。「星の意思」や、それに接触し得る「超える力」について、研究していたのもそのためだけど……			委員会へのとある依頼							
あなたを含めた「暁」のおかげで、多くの謎が解けたわ。委員会は存在意義を果たし終えたんだって、思えるほどにね。でも、本当にそうかしら……？			あなたを含めた「暁」のおかげで、多くの謎が解けたわ。委員会は存在意義を果たし終えたんだって、思えるほどにね。でも、本当にそうかしら……？			委員会へのとある依頼							
思い出して……私たちは、研究の過程で知り得た「世界の脅威」についての対策も行ってきた。クリスタルタワー調査団への参加も、その一環ね。			思い出して……私たちは、研究の過程で知り得た「世界の脅威」についての対策も行ってきた。クリスタルタワー調査団への参加も、その一環ね。			委員会へのとある依頼							
思い出して……私たちは、研究の過程で知り得た「世界の脅威」についての対策も行ってきた。クリスタルタワーや三闘神に関する調査も、その一環ね。			思い出して……私たちは、研究の過程で知り得た「世界の脅威」についての対策も行ってきた。クリスタルタワーや三闘神に関する調査も、その一環ね。			委員会へのとある依頼							
それらの脅威への対抗は、すべて「知る」ことから始まっていた。なら、私たちは、まだ知的探求を止めるべきじゃない。そう思っているの。			それらの脅威への対抗は、すべて「知る」ことから始まっていた。なら、私たちは、まだ知的探求を止めるべきじゃない。そう思っているの。			委員会へのとある依頼							
バル島の消滅によって、本部と人員の多くを失ってしまったけれど……。委員会のみんなの想いを継いでいきたいから。			バル島の消滅によって、本部と人員の多くを失ってしまったけれど……。委員会のみんなの想いを継いでいきたいから。			委員会へのとある依頼							
命を懸けて世界の脅威と戦ったおじいちゃんたち……そんなバルデシオン委員会のみんなの、遺志を継いでいきたいから。			命を懸けて世界の脅威と戦ったおじいちゃんたち……そんなバルデシオン委員会のみんなの、遺志を継いでいきたいから。			委員会へのとある依頼							
ごめんなさい、堅い話になっちゃったわね。本題に戻しましょうか。			ごめんなさい、堅い話になっちゃったわね。本題に戻しましょうか。			委員会へのとある依頼							
私たちは、バルデシオン委員会の活動記録だけじゃなく、委員会宛てに届いた依頼も整理していたの。そのなかに、気になる案件があったというわけ。			私たちは、バルデシオン委員会の活動記録だけじゃなく、委員会宛てに届いた依頼も整理していたの。そのなかに、気になる案件があったというわけ。			委員会へのとある依頼							
