トゥルービューにいるラングラーハットの男は、誰かを探しているようだ。			トゥルービューにいるラングラーハットの男は、誰かを探しているようだ。			アルカディアの挑戦者							
ラングラーハットの男こと、メテムから「アルカディア」という闘技ショーに誘われた。挑戦する覚悟が決まったら、ソリューション・ナインのアルカディア・ソサエティ前にいる、「アルカディアの係員」と話そう。			ラングラーハットの男こと、メテムから「アルカディア」という闘技ショーに誘われた。挑戦する覚悟が決まったら、ソリューション・ナインのアルカディア・ソサエティ前にいる、「アルカディアの係員」と話そう。			アルカディアの挑戦者							
アルカディアの係員に、アルカディア・ソサエティの控室に案内された。一度離れた場合は、アルカディア・ソサエティ前にいる、「アルカディアの係員」と話せば再度向かえるようだ。			アルカディアの係員に、アルカディア・ソサエティの控室に案内された。一度離れた場合は、アルカディア・ソサエティ前にいる、「アルカディアの係員」と話せば再度向かえるようだ。			アルカディアの挑戦者							
メテムからアルカディアの説明を聞いた。アルカディア・ソサエティの控室にいる「メテム」と話そう。			メテムからアルカディアの説明を聞いた。アルカディア・ソサエティの控室にいる「メテム」と話そう。			アルカディアの挑戦者							
冒険者はアルカディアの挑戦者となった。試合に臨む心構えができたら、またメテムに声をかけよう。			冒険者はアルカディアの挑戦者となった。試合に臨む心構えができたら、またメテムに声をかけよう。			アルカディアの挑戦者							
アルカディアの係員と話す			アルカディアの係員と話す			アルカディアの挑戦者							
メテムと話す			メテムと話す			アルカディアの挑戦者							
おお、やっと見つけたぞ！			おお、やっと見つけたぞ！			アルカディアの挑戦者							
キミこそ、アルカディアの新たなスターだァ～！！			キミこそ、アルカディアの新たなスターだァ～！！			アルカディアの挑戦者							
(-メテム-)ワタシの名は「メテム」。ソリューション・ナイン最大のエンターテイメント集団、アルカディア・ソサエティの経営戦略担当だ。			(-メテム-)ワタシの名は「メテム」。ソリューション・ナイン最大のエンターテイメント集団、アルカディア・ソサエティの経営戦略担当だ。			アルカディアの挑戦者							
(-メテム-)我々は「アルカディア」と呼ばれる闘技ショーを開催していてね。その次期スター候補として、キミをスカウトしたいのだよ！			(-メテム-)我々は「アルカディア」と呼ばれる闘技ショーを開催していてね。その次期スター候補として、キミをスカウトしたいのだよ！			アルカディアの挑戦者							
(-メテム-)実をいうと、諸事情あってアルカディアは、しばらく休止を余儀なくされていたのだが……このたび再開する運びになったのさ。			(-メテム-)実をいうと、諸事情あってアルカディアは、しばらく休止を余儀なくされていたのだが……このたび再開する運びになったのさ。			アルカディアの挑戦者							
(-メテム-)というのも、スフェーン様の崩御により、市民たちは心の拠り所を失い、悲しみにくれているだろう？この現状を娯楽の喜びによって、少しでも低減させたいのだよ。			(-メテム-)というのも、スフェーン様の崩御により、市民たちは心の拠り所を失い、悲しみにくれているだろう？この現状を娯楽の喜びによって、少しでも低減させたいのだよ。			アルカディアの挑戦者							
(-メテム-)そのためには、これまでどおりの試合を見せるだけでなく、新たな価値が……新たなスターが必要なのだ！			(-メテム-)そのためには、これまでどおりの試合を見せるだけでなく、新たな価値が……新たなスターが必要なのだ！			アルカディアの挑戦者							
(-メテム-)聞けば、キミは機械兵たちが暴れたとき、仲間を率いて戦い、多くの市民を救ってくれたそうだね？しかも、乱心した武王ゾラージャを斃したのもキミだとか……。			(-メテム-)聞けば、キミは機械兵たちが暴れたとき、仲間を率いて戦い、多くの市民を救ってくれたそうだね？しかも、乱心した武王ゾラージャを斃したのもキミだとか……。			アルカディアの挑戦者							
(-メテム-)おお、やはり……！我らがアルカディア・ソサエティのオーナーは、そんなキミを次代のスターに指名したのさ！			(-メテム-)おお、やはり……！我らがアルカディア・ソサエティのオーナーは、そんなキミを次代のスターに指名したのさ！			アルカディアの挑戦者							
