エーテライト・プラザ付近の使いのフビゴ族は、冒険者を探していたようだ。			エーテライト・プラザ付近の使いのフビゴ族は、冒険者を探していたようだ。			交わる世界							
使いのフビゴ族からマムークで起きている問題について聞いた。詳細を聞くため、ヤクテル樹海のマムークにいる「ミーラジャ」と話そう。			使いのフビゴ族からマムークで起きている問題について聞いた。詳細を聞くため、ヤクテル樹海のマムークにいる「ミーラジャ」と話そう。			交わる世界							
グルージャジャの幻影らしき存在が現れた情報が舞い込んできた。バクージャジャが交戦しているという、ヤクテル樹海のゴクドラーク岩窟付近にある「指定地点」で見渡そう。			グルージャジャの幻影らしき存在が現れた情報が舞い込んできた。バクージャジャが交戦しているという、ヤクテル樹海のゴクドラーク岩窟付近にある「指定地点」で見渡そう。			交わる世界							
グルージャジャの幻影とおぼしき双頭のマムージャ族は、プリッシュと名乗る少女とともに姿を消した。ゴクドラーク岩窟付近にいる「甲冑姿の男性」と話そう。			グルージャジャの幻影とおぼしき双頭のマムージャ族は、プリッシュと名乗る少女とともに姿を消した。ゴクドラーク岩窟付近にいる「甲冑姿の男性」と話そう。			交わる世界							
甲冑姿の男性に、プリッシュを救うよう頼まれた。「ジュノ：ザ・ファーストウォーク」を攻略しよう。※コンテンツファインダーから攻略に参加できます。			甲冑姿の男性に、プリッシュを救うよう頼まれた。「ジュノ：ザ・ファーストウォーク」を攻略しよう。※コンテンツファインダーから攻略に参加できます。			交わる世界							
ジュノ：ザ・ファーストウォークを攻略した。ゴクドラーク岩窟付近からジュノへと向かおう。			ジュノ：ザ・ファーストウォークを攻略した。ゴクドラーク岩窟付近からジュノへと向かおう。			交わる世界							
強敵たちをすべて退け、その先でバクージャジャたちと合流した。ジュノ下層にいる「バクージャジャ」と話そう。一度外に出た場合は、ゴクドラーク岩窟付近から再び向かえるようだ。			強敵たちをすべて退け、その先でバクージャジャたちと合流した。ジュノ下層にいる「バクージャジャ」と話そう。一度外に出た場合は、ゴクドラーク岩窟付近から再び向かえるようだ。			交わる世界							
バクージャジャと話したところ、礼を言われた。救助したプリッシュという少女は正気を取り戻しているように見える。プリッシュから詳しい話を聞いてみよう。			バクージャジャと話したところ、礼を言われた。救助したプリッシュという少女は正気を取り戻しているように見える。プリッシュから詳しい話を聞いてみよう。			交わる世界							
マムークのミーラジャと話す			マムークのミーラジャと話す			交わる世界							
指定地点で見渡す			指定地点で見渡す			交わる世界							
甲冑姿の男性と話す			甲冑姿の男性と話す			交わる世界							
「ジュノ：ザ・ファーストウォーク」を攻略			「ジュノ：ザ・ファーストウォーク」を攻略			交わる世界							
バクージャジャと話す			バクージャジャと話す			交わる世界							
ああ、Forenameさんですね！私はバクージャジャ様の母君である、ミーラジャ様の使いの者。彼女に頼まれて、あなたを探していたのです。			ああ、Forenameさんですね！私はバクージャジャ様の母君である、ミーラジャ様の使いの者。彼女に頼まれて、あなたを探していたのです。			交わる世界							
現在マムークでは、とある問題に悩まされておりましてな。その解決のためには、外つ国についても見識が広い、あなたにご協力をお願いしたいのです。			現在マムークでは、とある問題に悩まされておりましてな。その解決のためには、外つ国についても見識が広い、あなたにご協力をお願いしたいのです。			交わる世界							
引き受けていただけるようでしたら、マムークのミーラジャ様のもとへ……。双頭の像がある、大きな建物をお訪ねください。			引き受けていただけるようでしたら、マムークのミーラジャ様のもとへ……。双頭の像がある、大きな建物をお訪ねください。			交わる世界							
