双蛇党：統合司令部のボルセル大牙佐は、冒険者に是非任せたい依頼があるようだ。			双蛇党：統合司令部のボルセル大牙佐は、冒険者に是非任せたい依頼があるようだ。			仮宿を訪ねて							
蛮神ラムウを奉じているシルフ族を調べていた博物学者「ヴォイス」からの連絡が途絶えている。彼を探しだすためシルフの仮宿に向かい、「オルムシオ」に相談しよう。			蛮神ラムウを奉じているシルフ族を調べていた博物学者「ヴォイス」からの連絡が途絶えている。彼を探しだすためシルフの仮宿に向かい、「オルムシオ」に相談しよう。			仮宿を訪ねて							
オルムシオは、ヘッポコ学者ならば長のところにいるという。シルフ族の長である「フリクシオ」から話をきいてみよう。			オルムシオは、ヘッポコ学者ならば長のところにいるという。シルフ族の長である「フリクシオ」から話をきいてみよう。			仮宿を訪ねて							
博物学者のヴォイスは3日前に「シルフ領」へ行ってしまったそうだ。彼の行方について、「オルムシオ」に相談してみよう。			博物学者のヴォイスは3日前に「シルフ領」へ行ってしまったそうだ。彼の行方について、「オルムシオ」に相談してみよう。			仮宿を訪ねて							
シルフ領に入って学者を救い出すには、充分な準備が必要そうだ。準備が整うまで、シルフ族からの依頼をこなしていこう。			シルフ領に入って学者を救い出すには、充分な準備が必要そうだ。準備が整うまで、シルフ族からの依頼をこなしていこう。			仮宿を訪ねて							
シルフの仮宿のオルムシオと話す			シルフの仮宿のオルムシオと話す			仮宿を訪ねて							
フリクシオと話す			フリクシオと話す			仮宿を訪ねて							
オルムシオに報告			オルムシオに報告			仮宿を訪ねて							
やぁ、君か。「双蛇党：統合司令部」にようこそ。			やぁ、君か。「双蛇党：統合司令部」にようこそ。			仮宿を訪ねて							
実は、君に折り入って頼みがある。歴戦の冒険者である君にしか頼めない、とても重要な任務だ。			実は、君に折り入って頼みがある。歴戦の冒険者である君にしか頼めない、とても重要な任務だ。			仮宿を訪ねて							
蛮神「ラムウ」を奉じているシルフ族が、最近、妙な動きをしているらしい。			蛮神「ラムウ」を奉じているシルフ族が、最近、妙な動きをしているらしい。			仮宿を訪ねて							
そこで我々は、シルフ族の生態と動植物研究の権威である博物学者をシルフ領に派遣し、原因の究明に乗り出した。彼の名は「ヴォイス」と言うんだが……。			そこで我々は、シルフ族の生態と動植物研究の権威である博物学者をシルフ領に派遣し、原因の究明に乗り出した。彼の名は「ヴォイス」と言うんだが……。			仮宿を訪ねて							
