クガネの東アルデナード商会の丁稚は、誰かを探しているようだ。			クガネの東アルデナード商会の丁稚は、誰かを探しているようだ。			人魚の肉							
東アルデナード商会の丁稚は、ハンコックから頼まれて冒険者を探していたようだ。クガネの第二波止場の「指定地点」で待機して、ハンコックと合流しよう。			東アルデナード商会の丁稚は、ハンコックから頼まれて冒険者を探していたようだ。クガネの第二波止場の「指定地点」で待機して、ハンコックと合流しよう。			人魚の肉							
ハンコックと話した。アラミゴ解放軍からクガネ視察の案内役を頼まれたハンコックは、アラミゴ解放軍と浅からぬ付き合いのある冒険者に、仲介役として出迎えの場に同席するよう依頼する。アラミゴ解放軍国境警備隊のアルパとジャ・オルミンがクガネに到着すると、クガネを案内するよう頼まれた。クガネ城前にいる「アルパ」と話そう。			ハンコックと話した。アラミゴ解放軍からクガネ視察の案内役を頼まれたハンコックは、アラミゴ解放軍と浅からぬ付き合いのある冒険者に、仲介役として出迎えの場に同席するよう依頼する。アラミゴ解放軍国境警備隊のアルパとジャ・オルミンがクガネに到着すると、クガネを案内するよう頼まれた。クガネ城前にいる「アルパ」と話そう。			人魚の肉							
アルパは、ホクシンが話すクガネ城の構造について、熱心に耳を傾けていたようだ。アルパとジャ・オルミンは、本格的に視察を始める前に、ハンコックが手配した宿へ向かうよう勧められた。望海楼の「アルパ」と話そう。			アルパは、ホクシンが話すクガネ城の構造について、熱心に耳を傾けていたようだ。アルパとジャ・オルミンは、本格的に視察を始める前に、ハンコックが手配した宿へ向かうよう勧められた。望海楼の「アルパ」と話そう。			人魚の肉							
アルパと話した。アラミゴからやってきたアルパは、望海楼の雅な雰囲気に、いたく感動したようだ。望海泉の「アルパ」と再度話そう。			アルパと話した。アラミゴからやってきたアルパは、望海楼の雅な雰囲気に、いたく感動したようだ。望海泉の「アルパ」と再度話そう。			人魚の肉							
アルパとジャ・オルミンとともに望海泉の湯に浸かっていると、仮面の冒険者ナザ・ア・ジャーブが現れ、アルパをさらわれてしまった。望海泉の「ジャ・オルミン」と話そう。			アルパとジャ・オルミンとともに望海泉の湯に浸かっていると、仮面の冒険者ナザ・ア・ジャーブが現れ、アルパをさらわれてしまった。望海泉の「ジャ・オルミン」と話そう。			人魚の肉							
ジャ・オルミンと話した。ナザ・ア・ジャーブの目撃者を探そう。			ジャ・オルミンと話した。ナザ・ア・ジャーブの目撃者を探そう。			人魚の肉							
クガネの町人から、ナザ・ア・ジャーブの目撃情報を聞いた。情報によれば、ジャ・オルミンと同じミコッテ族の男を見かけたという。小波止場の「ジャ・オルミン」と話そう。			クガネの町人から、ナザ・ア・ジャーブの目撃情報を聞いた。情報によれば、ジャ・オルミンと同じミコッテ族の男を見かけたという。小波止場の「ジャ・オルミン」と話そう。			人魚の肉							
ジャ・オルミンと話した。ナザ・ア・ジャーブを追っているはずが、何故かメ・ゼト・ティアと再会した。「メ・ゼト・ティア」を救助しよう。			ジャ・オルミンと話した。ナザ・ア・ジャーブを追っているはずが、何故かメ・ゼト・ティアと再会した。「メ・ゼト・ティア」を救助しよう。			人魚の肉							
メ・ゼト・ティアを救助したが、目を覚まさなかった。ジャ・オルミンから手渡された「XLII式グレネード」を「メ・ゼト・ティア」に投げよう。			メ・ゼト・ティアを救助したが、目を覚まさなかった。ジャ・オルミンから手渡された「XLII式グレネード」を「メ・ゼト・ティア」に投げよう。			人魚の肉							
メ・ゼト・ティアが目を覚ました。アルパたちの船に密航してクガネへやってきたというメ・ゼト・ティアは、アルパを連れた仮面の男が、小舟に乗って海へ出航するところを目撃したという。アルパを救うため、引き続き、ジャ・オルミン、メ・ゼト・ティアとともに、ナザ・ア・ジャーブの足跡を追って行こう。			メ・ゼト・ティアが目を覚ました。アルパたちの船に密航してクガネへやってきたというメ・ゼト・ティアは、アルパを連れた仮面の男が、小舟に乗って海へ出航するところを目撃したという。アルパを救うため、引き続き、ジャ・オルミン、メ・ゼト・ティアとともに、ナザ・ア・ジャーブの足跡を追って行こう。			人魚の肉							
