リサーチA4のジャミングウェイは、考えごとをしているようだ。			リサーチA4のジャミングウェイは、考えごとをしているようだ。			希望と夢をカートに詰めて							
ジャミングウェイたちと話した。カフェ「ラストレムナント」をさらに盛り上げるアイデアが欲しいという。ベストウェイ・バローのホーパーズ・ホールドで「ジャミングウェイ」と話そう。			ジャミングウェイたちと話した。カフェ「ラストレムナント」をさらに盛り上げるアイデアが欲しいという。ベストウェイ・バローのホーパーズ・ホールドで「ジャミングウェイ」と話そう。			希望と夢をカートに詰めて							
ジャミングウェイと話した。さらなるアイデアを得るため、ホーパーズ・ホールドで「ドリーミングウェイ」と話そう。			ジャミングウェイと話した。さらなるアイデアを得るため、ホーパーズ・ホールドで「ドリーミングウェイ」と話そう。			希望と夢をカートに詰めて							
ドリーミングウェイたちと話した。ジャミングウェイは、ラジオリスナーの投書に書かれていた「ヒッポカートレース」に興味を持ったようだ。ウルティマ・トゥーレでレースをやってもらえるよう、サベネア島のスワルナの大蔵で「トルナ」と話そう。			ドリーミングウェイたちと話した。ジャミングウェイは、ラジオリスナーの投書に書かれていた「ヒッポカートレース」に興味を持ったようだ。ウルティマ・トゥーレでレースをやってもらえるよう、サベネア島のスワルナの大蔵で「トルナ」と話そう。			希望と夢をカートに詰めて							
トルナと話した。仕事が立て込んでいることを理由に、ウルティマ・トゥーレでのレースを断られてしまった。スワルナの大蔵で「ジャミングウェイ」と話そう。			トルナと話した。仕事が立て込んでいることを理由に、ウルティマ・トゥーレでのレースを断られてしまった。スワルナの大蔵で「ジャミングウェイ」と話そう。			希望と夢をカートに詰めて							
ジャミングウェイたちと話した。レースに参加してもらえるよう、トルナの説得を頼まれた。スワルナの大蔵で「トルナ」と話そう。			ジャミングウェイたちと話した。レースに参加してもらえるよう、トルナの説得を頼まれた。スワルナの大蔵で「トルナ」と話そう。			希望と夢をカートに詰めて							
トルナと話した。説得に応じてくれた彼女は、ウルティマ・トゥーレでレースをやってくれるという。スワルナの大蔵で「ジャミングウェイ」と話そう。			トルナと話した。説得に応じてくれた彼女は、ウルティマ・トゥーレでレースをやってくれるという。スワルナの大蔵で「ジャミングウェイ」と話そう。			希望と夢をカートに詰めて							
ジャミングウェイと話した。N-7000からの通信を受信したが、一方的に切断されてしまった。何か問題が起きたのかと、ジャミングウェイは心配そうにしている。			ジャミングウェイと話した。N-7000からの通信を受信したが、一方的に切断されてしまった。何か問題が起きたのかと、ジャミングウェイは心配そうにしている。			希望と夢をカートに詰めて							
ホーパーズ・ホールドのジャミングウェイと話す			ホーパーズ・ホールドのジャミングウェイと話す			希望と夢をカートに詰めて							
ドリーミングウェイと話す			ドリーミングウェイと話す			希望と夢をカートに詰めて							
スワルナの大蔵のトルナと話す			スワルナの大蔵のトルナと話す			希望と夢をカートに詰めて							
ジャミングウェイと話す			ジャミングウェイと話す			希望と夢をカートに詰めて							
トルナと話す			トルナと話す			希望と夢をカートに詰めて							
ジャミングウェイと話す			ジャミングウェイと話す			希望と夢をカートに詰めて							
これはこれは、Forename殿！もしかして、様子を見に来てくれたのデス？			これはこれは、Forename殿！もしかして、様子を見に来てくれたのデス？			希望と夢をカートに詰めて							
おかげさまで、カフェ「ラストレムナント」の営業は順調そのもの。新星「エリュシオン」ともども、大いに賑わっていますよ！			おかげさまで、カフェ「ラストレムナント」の営業は順調そのもの。新星「エリュシオン」ともども、大いに賑わっていますよ！			希望と夢をカートに詰めて							
そして、オイラはカフェのマスターとして、さらにみんなをハッピーにする方法を考えていたところデス！			そして、オイラはカフェのマスターとして、さらにみんなをハッピーにする方法を考えていたところデス！			希望と夢をカートに詰めて							
ガガガ……過剰な接待は「余計なお世話」に該当。カフェの運営にあたって、過干渉はリスクが高いと判断します。			ガガガ……過剰な接待は「余計なお世話」に該当。カフェの運営にあたって、過干渉はリスクが高いと判断します。			希望と夢をカートに詰めて							
ムキーッ、機械のクセに生意気デスね！そんなことはオイラだってわかってますよ！			ムキーッ、機械のクセに生意気デスね！そんなことはオイラだってわかってますよ！			希望と夢をカートに詰めて							
でも、何か新しいこともしてみたいのデス！刺激的なイベントを開催できれば、お客さんとみんなで、楽しく盛り上がれるでしょうし。			でも、何か新しいこともしてみたいのデス！刺激的なイベントを開催できれば、お客さんとみんなで、楽しく盛り上がれるでしょうし。			希望と夢をカートに詰めて							
それこそ、あのニビラーンですら驚くような催しができたら、もう言うことなしなんデスけど……。何か、いいアイデアはないものでしょうか？			それこそ、あのニビラーンですら驚くような催しができたら、もう言うことなしなんデスけど……。何か、いいアイデアはないものでしょうか？			希望と夢をカートに詰めて							
何と言う？			何と言う？			希望と夢をカートに詰めて							
ジャミングウェイのお仲間が楽しいことをしているよ			ジャミングウェイのお仲間が楽しいことをしているよ			希望と夢をカートに詰めて							
ドリーミング・ワークショップというところがありまして……			ドリーミング・ワークショップというところがありまして……			希望と夢をカートに詰めて							
えっ、そんなことになってるデスか！？ベストウェイ・バローと連絡を取ったときに、話には聞いてたものの、思っていた以上にすごそうデス……。			えっ、そんなことになってるデスか！？ベストウェイ・バローと連絡を取ったときに、話には聞いてたものの、思っていた以上にすごそうデス……。			希望と夢をカートに詰めて							
むむむ、そうと聞いては見学に行くしかありませんね！Forename殿のご意見もほしいので、一緒に「ドリーミング・ワークショップ」へ向かいましょう！			むむむ、そうと聞いては見学に行くしかありませんね！Forename殿のご意見もほしいので、一緒に「ドリーミング・ワークショップ」へ向かいましょう！			希望と夢をカートに詰めて							
それじゃ、今回はオイラたちだけで里帰りしてきますよ！「魔導船ラグナロク」を経由して通信は届くはずなので、留守中に何かあれば、連絡してくださいデス！			それじゃ、今回はオイラたちだけで里帰りしてきますよ！「魔導船ラグナロク」を経由して通信は届くはずなので、留守中に何かあれば、連絡してくださいデス！			希望と夢をカートに詰めて							
ここが「ドリーミング・ワークショップ」……！前は倉庫のように使われていた場所なのに、すっかり見違えましたねぇ。			ここが「ドリーミング・ワークショップ」……！前は倉庫のように使われていた場所なのに、すっかり見違えましたねぇ。			希望と夢をカートに詰めて							
