フォルタン家の執事は、ぼんやりとしている。			フォルタン家の執事は、ぼんやりとしている。			追憶行							
フォルタン家の執事は、冒険者たちを皇都で出迎えた日のことを思い出していたという。執事に、過去を振り返ってみることを提案され、冒険者は過去の冒険を思い出して、追憶の旅に出ることにした。まずは、イシュガルドの宝杖通りにいる「エレイズ」と話そう。			フォルタン家の執事は、冒険者たちを皇都で出迎えた日のことを思い出していたという。執事に、過去を振り返ってみることを提案され、冒険者は過去の冒険を思い出して、追憶の旅に出ることにした。まずは、イシュガルドの宝杖通りにいる「エレイズ」と話そう。			追憶行							
エレイズと話した。彼女は冒険者たちのことを、いずれ去る旅人に過ぎないと思っていたので、改革をもたらしたことを驚いているという。次は、イシュガルドの忘れられた騎士亭にいる「ジブリオン」と話そう。			エレイズと話した。彼女は冒険者たちのことを、いずれ去る旅人に過ぎないと思っていたので、改革をもたらしたことを驚いているという。次は、イシュガルドの忘れられた騎士亭にいる「ジブリオン」と話そう。			追憶行							
ジブリオンと話した。彼は、「忘れられた騎士亭」を始めた初代のマスターが、建国十二騎士のひとりではないかと思っているようだ。次は、アバラシア雲海のローズハウスにいる「ラニエット」と話そう。			ジブリオンと話した。彼は、「忘れられた騎士亭」を始めた初代のマスターが、建国十二騎士のひとりではないかと思っているようだ。次は、アバラシア雲海のローズハウスにいる「ラニエット」と話そう。			追憶行							
ラニエットと話していたところ、エマネランとオノロワがやってきた。オノロワはその優秀さを買われ、ラニエットに薔薇騎兵団に誘われるが、放っておけない人がいるからと誘いを断るのだった。次は、クルザス西部高地のファルコンネストにいる「レッドワルド」と話そう。			ラニエットと話していたところ、エマネランとオノロワがやってきた。オノロワはその優秀さを買われ、ラニエットに薔薇騎兵団に誘われるが、放っておけない人がいるからと誘いを断るのだった。次は、クルザス西部高地のファルコンネストにいる「レッドワルド」と話そう。			追憶行							
レッドワルドと話していたところ、アルトアレールがやってきた。彼は、「血」にこだわらず、フォルタン家とデュランデル家を結びつける協力関係を築きたいという。レッドワルドは、そんなアルトアレールを、別人のようだと評すのだった。次は、イシュガルドの神聖裁判所にある「指定地点」で思いを馳せよう。			レッドワルドと話していたところ、アルトアレールがやってきた。彼は、「血」にこだわらず、フォルタン家とデュランデル家を結びつける協力関係を築きたいという。レッドワルドは、そんなアルトアレールを、別人のようだと評すのだった。次は、イシュガルドの神聖裁判所にある「指定地点」で思いを馳せよう。			追憶行							
神聖裁判所で思いを馳せて、冒険者は、決闘裁判での蒼天騎士たちとの激闘を思い出した。次は、イシュガルドのグランド・ホプロンにある「指定地点」で思いを馳せよう。			神聖裁判所で思いを馳せて、冒険者は、決闘裁判での蒼天騎士たちとの激闘を思い出した。次は、イシュガルドのグランド・ホプロンにある「指定地点」で思いを馳せよう。			追憶行							
グランド・ホプロンで思いを馳せていたところ、教皇庁の司祭が話しかけてきた。彼は、冒険者が教皇を倒したことに、まだ複雑な思いがあるとしながらも、イシュガルドのために戦ったことには感謝しているようだ。次は、リムサ・ロミンサのブルワークホールにいる「ザントヘール甲軍曹」と話そう。			グランド・ホプロンで思いを馳せていたところ、教皇庁の司祭が話しかけてきた。彼は、冒険者が教皇を倒したことに、まだ複雑な思いがあるとしながらも、イシュガルドのために戦ったことには感謝しているようだ。次は、リムサ・ロミンサのブルワークホールにいる「ザントヘール甲軍曹」と話そう。			追憶行							
ザントヘール甲軍曹に取り次いでもらい、提督室へ向かいメルウィブ提督と話した。提督は、同盟復帰したイシュガルドとの連帯を確かなものとするため、あらゆる手を尽くすという。次は、モードゥナのレヴナンツトールにいる「ヒギリ」と話そう。			ザントヘール甲軍曹に取り次いでもらい、提督室へ向かいメルウィブ提督と話した。提督は、同盟復帰したイシュガルドとの連帯を確かなものとするため、あらゆる手を尽くすという。次は、モードゥナのレヴナンツトールにいる「ヒギリ」と話そう。			追憶行							
ヒギリと話した。彼女は、ウルダハでの動乱や、ラウバーン救出作戦を思い出し、何事も諦めてはならないと教えられたという。この先も、追憶の旅を続けよう。			ヒギリと話した。彼女は、ウルダハでの動乱や、ラウバーン救出作戦を思い出し、何事も諦めてはならないと教えられたという。この先も、追憶の旅を続けよう。			追憶行							
宝杖通りのエレイズと話す			宝杖通りのエレイズと話す			追憶行							
