レヴナンツトールのフ・ラミンは、何かを考え込んでいるようだ。			レヴナンツトールのフ・ラミンは、何かを考え込んでいるようだ。			小さな旅路							
フ・ラミンのもとに、ミンフィリアに関する手紙が届いたようだ。ウルダハの宝飾店「エシュテム」前の「指定地点」で待機して、フ・ラミンと落ち合おう。			フ・ラミンのもとに、ミンフィリアに関する手紙が届いたようだ。ウルダハの宝飾店「エシュテム」前の「指定地点」で待機して、フ・ラミンと落ち合おう。			小さな旅路							
フ・ラミンがミンフィリアに返した猫目石が、シラディハ水道から発見された。石をミンフィリアの父ウォーバートンの墓に納めるため、東ザナラーンの聖アダマ・ランダマ教会で「イリュド」と話そう。			フ・ラミンがミンフィリアに返した猫目石が、シラディハ水道から発見された。石をミンフィリアの父ウォーバートンの墓に納めるため、東ザナラーンの聖アダマ・ランダマ教会で「イリュド」と話そう。			小さな旅路							
イリュドから、石を納める許可をもらえた。聖アダマ・ランダマ教会を南に下り、「フ・ラミン」と話そう。			イリュドから、石を納める許可をもらえた。聖アダマ・ランダマ教会を南に下り、「フ・ラミン」と話そう。			小さな旅路							
フ・ラミンと、猫目石を墓に納めた。ようやく、フ・ラミンはミンフィリアに伝えたかった想いを言えたという。冒険者も、ミンフィリアへと送った言葉を胸に、新たな道のりを歩んでいこう。			フ・ラミンと、猫目石を墓に納めた。ようやく、フ・ラミンはミンフィリアに伝えたかった想いを言えたという。冒険者も、ミンフィリアへと送った言葉を胸に、新たな道のりを歩んでいこう。			小さな旅路							
ウルダハの指定地点で待機			ウルダハの指定地点で待機			小さな旅路							
聖アダマ・ランダマ教会のイリュドと話す			聖アダマ・ランダマ教会のイリュドと話す			小さな旅路							
聖アダマ・ランダマ教会付近のフ・ラミンと話す			聖アダマ・ランダマ教会付近のフ・ラミンと話す			小さな旅路							
……あら、私の様子を見に来てくれたのかしら？心配しないで、少し物思いにふけっていただけだから。			……あら、私の様子を見に来てくれたのかしら？心配しないで、少し物思いにふけっていただけだから。			小さな旅路							
あなたに、ミンフィリアの最期を教えてもらってから、ふたりで過ごした日々の出来事を思い返していたの。			あなたに、ミンフィリアの最期を教えてもらってから、ふたりで過ごした日々の出来事を思い返していたの。			小さな旅路							
そうしたら、ね……。ひとり想いを馳せていた私のもとに、つい先ほど、ウルダハにいる知人から手紙が届いたのよ。			そうしたら、ね……。ひとり想いを馳せていた私のもとに、つい先ほど、ウルダハにいる知人から手紙が届いたのよ。			小さな旅路							
その手紙が……アシリアを想う、私の心境を知って届いたかのような、不思議な内容でね。まるで、あなたのお話から、小さな奇跡が生まれたような……。			その手紙が……アシリアを想う、私の心境を知って届いたかのような、不思議な内容でね。まるで、あなたのお話から、小さな奇跡が生まれたような……。			小さな旅路							
