星戦士団本営の星戦士団の哨兵は、目玉の妖異を見張っている。			星戦士団本営の星戦士団の哨兵は、目玉の妖異を見張っている。			続・ヴォイドの傍観者							
目玉の妖異が、残りの目玉たちの気配を付近に感じているようだ。ラザハン内を探索し、「分裂した目玉」を4体探そう。			目玉の妖異が、残りの目玉たちの気配を付近に感じているようだ。ラザハン内を探索し、「分裂した目玉」を4体探そう。			続・ヴォイドの傍観者							
分裂した目玉を見つけ、強い妖異の過去にまつわる物語を聞いた。星戦士団本営にいる「目玉の妖異」と話そう。			分裂した目玉を見つけ、強い妖異の過去にまつわる物語を聞いた。星戦士団本営にいる「目玉の妖異」と話そう。			続・ヴォイドの傍観者							
目玉の妖異は、分裂した目玉たちと混じりあい、元の姿に戻った。遠く離れた妖異の居場所を探知する能力を持つことから、ラザハンで雇用してもらうことができるかもしれない。妖異も元は人間であり、それぞれに異なる過去がある。そんな彼らの新たなる旅立ちを、温かく見守ろう。			目玉の妖異は、分裂した目玉たちと混じりあい、元の姿に戻った。遠く離れた妖異の居場所を探知する能力を持つことから、ラザハンで雇用してもらうことができるかもしれない。妖異も元は人間であり、それぞれに異なる過去がある。そんな彼らの新たなる旅立ちを、温かく見守ろう。			続・ヴォイドの傍観者							
分裂した目玉を探す			分裂した目玉を探す			続・ヴォイドの傍観者							
目玉の妖異と話す			目玉の妖異と話す			続・ヴォイドの傍観者							
これはForename殿。目玉の妖異たちは、ここでしっかり見張っておりますが、ずっとおとなしくしており、本当に無害のようです。			これはForename殿。目玉の妖異たちは、ここでしっかり見張っておりますが、ずっとおとなしくしており、本当に無害のようです。			続・ヴォイドの傍観者							
しかし、まだ何体かいるという残りの目玉については、我々も捜索を続けているものの、それらしき目撃情報はありません。			しかし、まだ何体かいるという残りの目玉については、我々も捜索を続けているものの、それらしき目撃情報はありません。			続・ヴォイドの傍観者							
分裂して動きも緩慢なようですから、はぐれたとしてもそう遠くまでは行っていないはず。ラザハンに立ち寄ってさえくれれば見つかりそうなのですが……。			分裂して動きも緩慢なようですから、はぐれたとしてもそう遠くまでは行っていないはず。ラザハンに立ち寄ってさえくれれば見つかりそうなのですが……。			続・ヴォイドの傍観者							
オレ、ほかのオレたちからニンゲンたちの話、聞いてタ。コッチの世界、やっぱり楽しイ！			オレ、ほかのオレたちからニンゲンたちの話、聞いてタ。コッチの世界、やっぱり楽しイ！			続・ヴォイドの傍観者							
何と言う？			何と言う？			続・ヴォイドの傍観者							
見知らぬ街を歩くのはワクワクする！			見知らぬ街を歩くのはワクワクする！			続・ヴォイドの傍観者							
ヴォイドの話も興味深い			ヴォイドの話も興味深い			続・ヴォイドの傍観者							
オマエ、世界中を旅してるんだナ。ヴォイドにまで行くくらいだから、相当ダ。オレもいろんなトコロ、見てみたイ！			オマエ、世界中を旅してるんだナ。ヴォイドにまで行くくらいだから、相当ダ。オレもいろんなトコロ、見てみたイ！			続・ヴォイドの傍観者							
けれど、コッチの世界、見て回るにも、残りのオレたちいっしょじゃナイと、やっぱり寂しイ……。			けれど、コッチの世界、見て回るにも、残りのオレたちいっしょじゃナイと、やっぱり寂しイ……。			続・ヴォイドの傍観者							
過去のヴォイドの話、気に入ったカ？オレたち、いろんな妖異のコト、知ってル！			過去のヴォイドの話、気に入ったカ？オレたち、いろんな妖異のコト、知ってル！			続・ヴォイドの傍観者							
残りのオレたちが見つかれば、強い妖異の話、もっと聞かせてやれるんだガ……。			残りのオレたちが見つかれば、強い妖異の話、もっと聞かせてやれるんだガ……。			続・ヴォイドの傍観者							
って、アレ……？ムムムム……！			って、アレ……？ムムムム……！			続・ヴォイドの傍観者							
感じル、オレたちの気配！残りのオレたち、この近くに来てル！			感じル、オレたちの気配！残りのオレたち、この近くに来てル！			続・ヴォイドの傍観者							
この街のどこか、オレたちの気配、新たに「4つ」感じるんダ。みんな揃えば、オレたち、元に戻れル。だから、またオレたちを探してきてホシイ！			この街のどこか、オレたちの気配、新たに「4つ」感じるんダ。みんな揃えば、オレたち、元に戻れル。だから、またオレたちを探してきてホシイ！			続・ヴォイドの傍観者							
対価は前と一緒。オレたちから、強い妖異の過去、教えてもらエ。それでどうダ？			対価は前と一緒。オレたちから、強い妖異の過去、教えてもらエ。それでどうダ？			続・ヴォイドの傍観者							
ココから一番近いのは……アッチの方だナ。			ココから一番近いのは……アッチの方だナ。			続・ヴォイドの傍観者							
おお、残りの目玉の気配を感じたと？もっとも近いのは、方角からするとダーマ区でしょうか。まずはそちらに向かうのが良いかもしれませんね。			おお、残りの目玉の気配を感じたと？もっとも近いのは、方角からするとダーマ区でしょうか。まずはそちらに向かうのが良いかもしれませんね。			続・ヴォイドの傍観者							
とはいえ、街中のどこから探すかはお任せいたします。お手数ですが、捜索をお願いいたします！			とはいえ、街中のどこから探すかはお任せいたします。お手数ですが、捜索をお願いいたします！			続・ヴォイドの傍観者							
私はコイツらが再びはぐれないよう、ここで見ていますので、お手数ですが、残りの目玉の捜索をお願いいたします！			私はコイツらが再びはぐれないよう、ここで見ていますので、お手数ですが、残りの目玉の捜索をお願いいたします！			続・ヴォイドの傍観者							
オレたち、いろんな場所を見ているハズ。話を聞くのが、今から楽しみダ。			オレたち、いろんな場所を見ているハズ。話を聞くのが、今から楽しみダ。			続・ヴォイドの傍観者							
分裂した目玉をすべて発見し、合流を促した。星戦士団本営に戻り、目玉の妖異に報告しよう。			分裂した目玉をすべて発見し、合流を促した。星戦士団本営に戻り、目玉の妖異に報告しよう。			続・ヴォイドの傍観者							
エッ、オイラのコト、探してたのかイ！？オイラ、キレイな水場で遊んでたら、遠くまで流されちゃっテ。ごめんヨ～。			エッ、オイラのコト、探してたのかイ！？オイラ、キレイな水場で遊んでたら、遠くまで流されちゃっテ。ごめんヨ～。			続・ヴォイドの傍観者							
なんとか頑張って、流れに逆らいながら泳いデ、やっとここまで戻ってこられたトコロだったんダ……。			なんとか頑張って、流れに逆らいながら泳いデ、やっとここまで戻ってこられたトコロだったんダ……。			続・ヴォイドの傍観者							
オイラが知ってるヤツの話なら、いくらでもしてやるから、早く残りのオイラたちに会いたいんだゾ～！			オイラが知ってるヤツの話なら、いくらでもしてやるから、早く残りのオイラたちに会いたいんだゾ～！			続・ヴォイドの傍観者							
ハァ……やっぱり小魚しか釣れないなぁ。			ハァ……やっぱり小魚しか釣れないなぁ。			続・ヴォイドの傍観者							
あそこのニンゲンがオイラを釣り上げたんだケド、「気持ち悪いナメクジだ」なんていって、放してくれたんダ。なんのことかわからナイが、助かったんだゾ！			あそこのニンゲンがオイラを釣り上げたんだケド、「気持ち悪いナメクジだ」なんていって、放してくれたんダ。なんのことかわからナイが、助かったんだゾ！			続・ヴォイドの傍観者							
海に出て、大物を狙ってみたいけど、こんな安物の竿じゃ、折られるのがオチだよな。			海に出て、大物を狙ってみたいけど、こんな安物の竿じゃ、折られるのがオチだよな。			続・ヴォイドの傍観者							
海釣り用の竿を買う金もないんだから、ずっと、この釣り場で我慢するしかない……。毎日変わり映えしなくて、退屈だなぁ。			海釣り用の竿を買う金もないんだから、ずっと、この釣り場で我慢するしかない……。毎日変わり映えしなくて、退屈だなぁ。			続・ヴォイドの傍観者							
大物を釣りたイ……そのキモチ、わかるゼ。昔は、オイラもアニキと一緒に釣りをして暮らしてたんダ。			大物を釣りたイ……そのキモチ、わかるゼ。昔は、オイラもアニキと一緒に釣りをして暮らしてたんダ。			続・ヴォイドの傍観者							
ケド、メモリア戦争が起きてからは海のエーテルが乱れテ、魚がほとんど釣れなくなっちゃっててサ。その日の食い物にも困るような有様だったっケ……。			ケド、メモリア戦争が起きてからは海のエーテルが乱れテ、魚がほとんど釣れなくなっちゃっててサ。その日の食い物にも困るような有様だったっケ……。			続・ヴォイドの傍観者							
(-分裂した目玉-)釣り糸を垂らしながら、アニキはずっと悩んでいタ。「いつ戦争は終わるんだ」なんて考えてるのかと思ったケド、ホントは全然違うコトを考えていたんダ。			(-分裂した目玉-)釣り糸を垂らしながら、アニキはずっと悩んでいタ。「いつ戦争は終わるんだ」なんて考えてるのかと思ったケド、ホントは全然違うコトを考えていたんダ。			続・ヴォイドの傍観者							
(-分裂した目玉-)「たとえ戦争がなかったとしても、結局釣りをしてるだけ……　何も変化がないなら、今ここで飢え死にしても一緒だ。　どうしたら、この平凡な毎日から抜け出せる？」			(-分裂した目玉-)「たとえ戦争がなかったとしても、結局釣りをしてるだけ……　何も変化がないなら、今ここで飢え死にしても一緒だ。　どうしたら、この平凡な毎日から抜け出せる？」			続・ヴォイドの傍観者							
(-分裂した目玉-)アニキには、ひもじい暮らしなんて関係なかっタ。延々と続く日常の繰り返しにウンザリしていたんダ。			(-分裂した目玉-)アニキには、ひもじい暮らしなんて関係なかっタ。延々と続く日常の繰り返しにウンザリしていたんダ。			続・ヴォイドの傍観者							
(-分裂した目玉-)そのときアニキが叫んダ。「そうか、戦場だ！　戦場なら退屈しねぇぞ！」			(-分裂した目玉-)そのときアニキが叫んダ。「そうか、戦場だ！　戦場なら退屈しねぇぞ！」			続・ヴォイドの傍観者							
(-分裂した目玉-)そして竿を捨てると、駆けだしたのサ！			(-分裂した目玉-)そして竿を捨てると、駆けだしたのサ！			続・ヴォイドの傍観者							
お、おのれッ……！			お、おのれッ……！			続・ヴォイドの傍観者							
終わりだッ！			終わりだッ！			続・ヴォイドの傍観者							
な、なんだ、お前は……！？邪魔をするな！			な、なんだ、お前は……！？邪魔をするな！			続・ヴォイドの傍観者							
どこの誰か知らんが、助かったぞ……！メモリアの力を使い果たしてしまい、危ないところだったのだが、これでこの一帯は我が手中に落ちた。			どこの誰か知らんが、助かったぞ……！メモリアの力を使い果たしてしまい、危ないところだったのだが、これでこの一帯は我が手中に落ちた。			続・ヴォイドの傍観者							
どうだ、貴様も私と手を組まんか？城のひとつやふたつ、くれてやるぞ。			どうだ、貴様も私と手を組まんか？城のひとつやふたつ、くれてやるぞ。			続・ヴォイドの傍観者							
き、貴様ッ！こっちの味方ではないのか！？			き、貴様ッ！こっちの味方ではないのか！？			続・ヴォイドの傍観者							
楽しそうなことしてんじゃねぇか……次は俺が相手だ！			楽しそうなことしてんじゃねぇか……次は俺が相手だ！			続・ヴォイドの傍観者							
アニキ……生きてるかい？いくら村で一番、腕っぷしが強くったって、素手でメモリア使いに挑むなんて、自殺行為だよ。			アニキ……生きてるかい？いくら村で一番、腕っぷしが強くったって、素手でメモリア使いに挑むなんて、自殺行為だよ。			続・ヴォイドの傍観者							
生きてるかって……？			生きてるかって……？			続・ヴォイドの傍観者							
……ああ、そうだ。ようやく生きてるって実感を得られたぜ！			……ああ、そうだ。ようやく生きてるって実感を得られたぜ！			続・ヴォイドの傍観者							
ア、アニキ……いったいどこへ？			ア、アニキ……いったいどこへ？			続・ヴォイドの傍観者							
雑魚を相手にする毎日はもう終わりだ。俺はこれから戦場で、激流みてぇな毎日を生きてやる。			雑魚を相手にする毎日はもう終わりだ。俺はこれから戦場で、激流みてぇな毎日を生きてやる。			続・ヴォイドの傍観者							
手始めに、俺より強い大物を探して、片っ端からぶっ飛ばしてやるぜ！			手始めに、俺より強い大物を探して、片っ端からぶっ飛ばしてやるぜ！			続・ヴォイドの傍観者							
(-分裂した目玉-)「自分の命を懸けたときだけが、本当に生きている瞬間なんだ」そう語ったアニキは、それ以来、二度と帰ってこなかっタ。			(-分裂した目玉-)「自分の命を懸けたときだけが、本当に生きている瞬間なんだ」そう語ったアニキは、それ以来、二度と帰ってこなかっタ。			続・ヴォイドの傍観者							
(-分裂した目玉-)しばらくして、ある噂が聞こえてきタ。各地の戦場に突如現れては、誰彼かまわずぶちのめして去っていく、凶暴な戦士の噂サ。			(-分裂した目玉-)しばらくして、ある噂が聞こえてきタ。各地の戦場に突如現れては、誰彼かまわずぶちのめして去っていく、凶暴な戦士の噂サ。			続・ヴォイドの傍観者							
(-分裂した目玉-)誰が呼んだか、野良犬(カイナッツォ)。それだけで、オイラにはすぐにわかったヨ。アニキはあれからも、ずっと生き続けていたんだっテ……。			(-分裂した目玉-)誰が呼んだか、野良犬(カイナッツォ)。それだけで、オイラにはすぐにわかったヨ。アニキはあれからも、ずっと生き続けていたんだっテ……。			続・ヴォイドの傍観者							
アニキがあのとき抱いていた感情……無意味な日々を繰り返すことの虚しさってヤツが、オイラも妖異になってから、ようやく理解できたんダ。			アニキがあのとき抱いていた感情……無意味な日々を繰り返すことの虚しさってヤツが、オイラも妖異になってから、ようやく理解できたんダ。			続・ヴォイドの傍観者							
