情報屋のワイモンドは、冒険者に紹介したい仕事があるようだ。			情報屋のワイモンドは、冒険者に紹介したい仕事があるようだ。			謎の事件屋							
第七霊災で活躍した事件屋の助手が、ゾンビーによる事件を解決するため、ひとりで出ていってしまったらしい。聖アダマ・ランダマ教会にいる「ナシュ・マカラッカ」と話そう。			第七霊災で活躍した事件屋の助手が、ゾンビーによる事件を解決するため、ひとりで出ていってしまったらしい。聖アダマ・ランダマ教会にいる「ナシュ・マカラッカ」と話そう。			謎の事件屋							
ナシュ・マカラッカによると、ゾンビーたちは強い影響力を持った指導者を得たため、凶暴化してしまったらしい。「ザンラク脇本陣」の西で発生しているF.A.T.E.「砂の上の足あと」に参加し、貢献することで得られる「怪しい紙片」を入手しよう。			ナシュ・マカラッカによると、ゾンビーたちは強い影響力を持った指導者を得たため、凶暴化してしまったらしい。「ザンラク脇本陣」の西で発生しているF.A.T.E.「砂の上の足あと」に参加し、貢献することで得られる「怪しい紙片」を入手しよう。			謎の事件屋							
暴れるゾンビーたちを鎮め、怪しい紙片を入手した。聖アダマ・ランダマ教会の「ナシュ・マカラッカ」に渡そう。			暴れるゾンビーたちを鎮め、怪しい紙片を入手した。聖アダマ・ランダマ教会の「ナシュ・マカラッカ」に渡そう。			謎の事件屋							
怪しい紙片には、指導者の居場所と、合言葉「しんし」が書いてあったようだ。紙片に書かれていたサゴリー砂漠の南に向かい「ナシュ・マカラッカ」と話そう。			怪しい紙片には、指導者の居場所と、合言葉「しんし」が書いてあったようだ。紙片に書かれていたサゴリー砂漠の南に向かい「ナシュ・マカラッカ」と話そう。			謎の事件屋							
合言葉によって現れたのは、記憶を失ってゾンビーの仲間と化した、事件屋ヒルディブランドだった。彼はナシュ・マカラッカの薬によって、無事に事件屋としての記憶を取り戻すことができたようだ。			合言葉によって現れたのは、記憶を失ってゾンビーの仲間と化した、事件屋ヒルディブランドだった。彼はナシュ・マカラッカの薬によって、無事に事件屋としての記憶を取り戻すことができたようだ。			謎の事件屋							
聖アダマ・ランダマ教会のナシュ・マカラッカと話す			聖アダマ・ランダマ教会のナシュ・マカラッカと話す			謎の事件屋							
ザンラク脇本陣西のF.A.T.E.に参加して怪しい紙片を入手			ザンラク脇本陣西のF.A.T.E.に参加して怪しい紙片を入手			謎の事件屋							
聖アダマ・ランダマ教会のナシュ・マカラッカに怪しい紙片を渡す			聖アダマ・ランダマ教会のナシュ・マカラッカに怪しい紙片を渡す			謎の事件屋							
サゴリー砂漠のナシュ・マカラッカと話す			サゴリー砂漠のナシュ・マカラッカと話す			謎の事件屋							
よォ、噂の冒険者様じゃないか。最近活躍してるようだな。そんなお前に、紹介したい仕事があるんだ。			よォ、噂の冒険者様じゃないか。最近活躍してるようだな。そんなお前に、紹介したい仕事があるんだ。			謎の事件屋							
