宝杖通りのナシュは、何か手伝ってほしいようだ。			宝杖通りのナシュは、何か手伝ってほしいようだ。			事件屋を探せ							
前回までの冒険録：なんやかんやで「怪盗白仮面」に関わる連続事件を解決した事件屋ヒルディブランドであったが、四大神器に秘められた大魔法によって、空高く飛び立ってしまった。以後、彼の姿を見た者はいないというのだが……。　　　　　　　　　　　　*　*　*山の都「イシュガルド」にて、事件屋の助手ナシュ・マカラッカと再会を果たした。北の空へと飛び去ったヒルディブランドの行方を捜しているという彼女を手伝い、イシュガルドの「宝杖通り」で情報を集めよう。			前回までの冒険録：なんやかんやで「怪盗白仮面」に関わる連続事件を解決した事件屋ヒルディブランドであったが、四大神器に秘められた大魔法によって、空高く飛び立ってしまった。以後、彼の姿を見た者はいないというのだが……。　　　　　　　　　　　　*　*　*山の都「イシュガルド」にて、事件屋の助手ナシュ・マカラッカと再会を果たした。北の空へと飛び去ったヒルディブランドの行方を捜しているという彼女を手伝い、イシュガルドの「宝杖通り」で情報を集めよう。			事件屋を探せ							
情報を集めたところ、エレイズであれば「紳士的なハイランダー族」について知っているかもしれないという。宝杖通りの「エレイズ」と話そう。			情報を集めたところ、エレイズであれば「紳士的なハイランダー族」について知っているかもしれないという。宝杖通りの「エレイズ」と話そう。			事件屋を探せ							
エレイズによると、フォルタン伯爵邸にハイランダー族の紳士が招かれたらしい。イシュガルドのラストヴィジルへ向かい「フォルタン家の騎兵」と話そう。			エレイズによると、フォルタン伯爵邸にハイランダー族の紳士が招かれたらしい。イシュガルドのラストヴィジルへ向かい「フォルタン家の騎兵」と話そう。			事件屋を探せ							
フォルタン家の騎兵によると、客人はまだ面会中らしい。フォルタン伯爵邸付近の東屋にある「指定地点」で待機しよう。			フォルタン家の騎兵によると、客人はまだ面会中らしい。フォルタン伯爵邸付近の東屋にある「指定地点」で待機しよう。			事件屋を探せ							
フォルタン伯爵邸に招かれたハイランダー族の紳士は、ゴッドベルトだった。さらに成り行きで、屈強な異端者を探すために現れた異端審問官のキールとともに、ヒルディブランドらしい人物が目撃されたというクルザス西部高地を捜査することになった。クルザス西部高地のファルコンネストにいる「レッドワルド」と話そう。			フォルタン伯爵邸に招かれたハイランダー族の紳士は、ゴッドベルトだった。さらに成り行きで、屈強な異端者を探すために現れた異端審問官のキールとともに、ヒルディブランドらしい人物が目撃されたというクルザス西部高地を捜査することになった。クルザス西部高地のファルコンネストにいる「レッドワルド」と話そう。			事件屋を探せ							
レッドワルドによると、屈強な不審者が目撃されたのはダスクヴィジルの周辺らしい。クルザス西部高地のダスクヴィジル周辺にある「指定地点」で周囲を見渡そう。			レッドワルドによると、屈強な不審者が目撃されたのはダスクヴィジルの周辺らしい。クルザス西部高地のダスクヴィジル周辺にある「指定地点」で周囲を見渡そう。			事件屋を探せ							
ヒルディブランドらしき屈強な不審者を捜し求めて、ダスクヴィジルまでやってきた一行。しかし、そこで見つけたのはゾンビー紳士団の一員だった。			ヒルディブランドらしき屈強な不審者を捜し求めて、ダスクヴィジルまでやってきた一行。しかし、そこで見つけたのはゾンビー紳士団の一員だった。			事件屋を探せ							
宝杖通りで情報を集める			宝杖通りで情報を集める			事件屋を探せ							
エレイズと話す			エレイズと話す			事件屋を探せ							
フォルタン家の騎兵と話す			フォルタン家の騎兵と話す			事件屋を探せ							
