クガネのヒルディブランドは、シグレの帰りを待っているようだ。			クガネのヒルディブランドは、シグレの帰りを待っているようだ。			薬に侵されし最強の男							
ヒルディブランドと話した。シグレによると、こそドロ一匹オオカミは、アケボノの蔵に忍び込んだ際に、白い粉の入った袋を手に入れたことがあるそうで、捕まっている際に、アケボノが訪れて、それを返すよう言われたのだという。そして、その粉は地下水路の仲間に預けてあるそうだ。クガネの楽座街にいる「コウジュ」と話そう。			ヒルディブランドと話した。シグレによると、こそドロ一匹オオカミは、アケボノの蔵に忍び込んだ際に、白い粉の入った袋を手に入れたことがあるそうで、捕まっている際に、アケボノが訪れて、それを返すよう言われたのだという。そして、その粉は地下水路の仲間に預けてあるそうだ。クガネの楽座街にいる「コウジュ」と話そう。			薬に侵されし最強の男							
コウジュと話した。合言葉を伝え、白い粉を手に入れた。高名な錬金術師であるラザハンの大使に話を聞くため、ラザハン大使館前の「マルニス」と話そう。			コウジュと話した。合言葉を伝え、白い粉を手に入れた。高名な錬金術師であるラザハンの大使に話を聞くため、ラザハン大使館前の「マルニス」と話そう。			薬に侵されし最強の男							
マルニスと話した。面会の予定がないと会わせられないと断られてしまうが、そこへゴッドベルトがやってきて、商談相手だという、ラザハンで薬屋を営んでいるサジャトラ商会の主に、白い粉を見てもらえることになる。鑑定の結果、白い粉は、服用すると操り人形のようになる、「天の雫」を作ることができる代物だと判明する。ついにアケボノの尻尾を掴むことに成功した冒険者たち。アケボノを問いただすため、楽座街にいる「ヒルディブランド」と話そう。			マルニスと話した。面会の予定がないと会わせられないと断られてしまうが、そこへゴッドベルトがやってきて、商談相手だという、ラザハンで薬屋を営んでいるサジャトラ商会の主に、白い粉を見てもらえることになる。鑑定の結果、白い粉は、服用すると操り人形のようになる、「天の雫」を作ることができる代物だと判明する。ついにアケボノの尻尾を掴むことに成功した冒険者たち。アケボノを問いただすため、楽座街にいる「ヒルディブランド」と話そう。			薬に侵されし最強の男							
ヒルディブランドと話した。どうやらアケボノは不在のようだが、そこへ、こそドロ一匹オオカミが現れる。自ら脱獄したそうで、アケボノは紅玉海のベッコウ島に秘密の取引をしに行ったそうという情報も教えてもらえた。紅玉海のベッコウ島の螺旋海峡へ行き、「こそドロ一匹オオカミ」と話そう。			ヒルディブランドと話した。どうやらアケボノは不在のようだが、そこへ、こそドロ一匹オオカミが現れる。自ら脱獄したそうで、アケボノは紅玉海のベッコウ島に秘密の取引をしに行ったそうという情報も教えてもらえた。紅玉海のベッコウ島の螺旋海峡へ行き、「こそドロ一匹オオカミ」と話そう。			薬に侵されし最強の男							
こそドロ一匹オオカミと話した。物陰に潜んでいると、アケボノの元へ、サジャトラ商会の主とゴッドベルトがやってきた。様子を見ていると、アケボノとサジャトラ商会の主は、クモデを操り、ひいてはクガネを我が物にしようとしていたことが判明し、ゴッドベルトも洗脳されてしまっていた。企てを止めるべく飛び出す一行だが、洗脳されたゴッドベルトに次々と倒されてしまう。ヒルディブランドが決死の想いで止めようとすると、ゴッドベルトは正気に戻り、何が起きているか気づかず技を返すゴッドベルトに返り討ちにあってしまう。何はともあれ、アケボノとサジャトラ商会の主を捕らえることに成功したが、サジャトラ商会の主が最後の抵抗をしたことにより、謎の狭間が生まれ、ヒルディブランド、ギルガメッシュ、サジャトラ商会の主、ナシュ・マカラッカは飲み込まれてしまったのであった……。螺旋海峡にいる「シグレ」と話そう。			こそドロ一匹オオカミと話した。物陰に潜んでいると、アケボノの元へ、サジャトラ商会の主とゴッドベルトがやってきた。様子を見ていると、アケボノとサジャトラ商会の主は、クモデを操り、ひいてはクガネを我が物にしようとしていたことが判明し、ゴッドベルトも洗脳されてしまっていた。企てを止めるべく飛び出す一行だが、洗脳されたゴッドベルトに次々と倒されてしまう。ヒルディブランドが決死の想いで止めようとすると、ゴッドベルトは正気に戻り、何が起きているか気づかず技を返すゴッドベルトに返り討ちにあってしまう。何はともあれ、アケボノとサジャトラ商会の主を捕らえることに成功したが、サジャトラ商会の主が最後の抵抗をしたことにより、謎の狭間が生まれ、ヒルディブランド、ギルガメッシュ、サジャトラ商会の主、ナシュ・マカラッカは飲み込まれてしまったのであった……。螺旋海峡にいる「シグレ」と話そう。			薬に侵されし最強の男							
シグレと話した。御礼を申したいと語るシグレ。クガネにいる「シグレ」と話そう。			シグレと話した。御礼を申したいと語るシグレ。クガネにいる「シグレ」と話そう。			薬に侵されし最強の男							
シグレと話した。今回の一件で、様々なことを学んだと話し、冒険者に感謝を述べるシグレ。こそドロ一匹オオカミに想いを馳せつつ別れる、冒険者とシグレ。きっと、こそドロ一匹オオカミは、これからもクガネの義賊として、暗躍していくのだろう。※以下の条件を満たすと、ラザハンの小さな少年から、新たなサブクエストを受注することができます。1.「暁月のフィナーレ」のプレイ権を所有している。2.「メインクエスト：暁月のフィナーレ」の、　「暁月のフィナーレ」を完了する。			シグレと話した。今回の一件で、様々なことを学んだと話し、冒険者に感謝を述べるシグレ。こそドロ一匹オオカミに想いを馳せつつ別れる、冒険者とシグレ。きっと、こそドロ一匹オオカミは、これからもクガネの義賊として、暗躍していくのだろう。※以下の条件を満たすと、ラザハンの小さな少年から、新たなサブクエストを受注することができます。1.「暁月のフィナーレ」のプレイ権を所有している。2.「メインクエスト：暁月のフィナーレ」の、　「暁月のフィナーレ」を完了する。			薬に侵されし最強の男							
コウジュと話す			コウジュと話す			薬に侵されし最強の男							
マルニスと話す			マルニスと話す			薬に侵されし最強の男							
楽座街のヒルディブランドと話す			楽座街のヒルディブランドと話す			薬に侵されし最強の男							
紅玉海のこそドロ一匹オオカミと話す			紅玉海のこそドロ一匹オオカミと話す			薬に侵されし最強の男							
シグレと話す			シグレと話す			薬に侵されし最強の男							
クガネのシグレと話す			クガネのシグレと話す			薬に侵されし最強の男							
シグレ殿、こちらですぞー！			シグレ殿、こちらですぞー！			薬に侵されし最強の男							
皆様、まずは拙者のために、骨を折ってくださったこと、お礼を申し上げる。			皆様、まずは拙者のために、骨を折ってくださったこと、お礼を申し上げる。			薬に侵されし最強の男							
その上で、厚かましい限りだが力添えをお願いしたい。ふたたび牢に戻された一匹オオカミから、有力な情報を得ることができたのでござる！			その上で、厚かましい限りだが力添えをお願いしたい。ふたたび牢に戻された一匹オオカミから、有力な情報を得ることができたのでござる！			薬に侵されし最強の男							
おお、詳しく教えていただけますかな！？			おお、詳しく教えていただけますかな！？			薬に侵されし最強の男							
以前、あやつが捕らえられたとき、アケボノが訪れてきて、「蔵から盗んだものを返せ」と、語気を荒げて言いにきたそうでござる。			以前、あやつが捕らえられたとき、アケボノが訪れてきて、「蔵から盗んだものを返せ」と、語気を荒げて言いにきたそうでござる。			薬に侵されし最強の男							
というのも、一匹オオカミは以前に一度、ソボロ助広を狙って、アケボノの蔵に忍び込んでいるのでござる。			というのも、一匹オオカミは以前に一度、ソボロ助広を狙って、アケボノの蔵に忍び込んでいるのでござる。			薬に侵されし最強の男							
