ラザハンの小さな少年は、頼みたいことがあるようだ。			ラザハンの小さな少年は、頼みたいことがあるようだ。			紳士の長い眠り							
前回までの冒険録：クガネで起きていた「こそドロ一匹オオカミ」の事件を、なんやかんやで解決した事件屋ヒルディブランドだが、ギルガメッシュの謎の術に飲み込まれ消えてしまうのだった。以後、彼の姿を見た者はいないというのだが……。　　　　　　　　　　　　*　*　*小さな少年は、薬作りに奮闘しているナシュ・マカラッカが心配なようだ。ラザハンのアルキミヤ製薬堂で「ナシュ・マカラッカ」と話そう。			前回までの冒険録：クガネで起きていた「こそドロ一匹オオカミ」の事件を、なんやかんやで解決した事件屋ヒルディブランドだが、ギルガメッシュの謎の術に飲み込まれ消えてしまうのだった。以後、彼の姿を見た者はいないというのだが……。　　　　　　　　　　　　*　*　*小さな少年は、薬作りに奮闘しているナシュ・マカラッカが心配なようだ。ラザハンのアルキミヤ製薬堂で「ナシュ・マカラッカ」と話そう。			紳士の長い眠り							
ナシュ・マカラッカと話して、ことの次第を聞いた。倒れてしまったという、ヒルディブランドの容態を診ることになった。ラザハンのカーマ区で「ナシュ・マカラッカ」と話そう。			ナシュ・マカラッカと話して、ことの次第を聞いた。倒れてしまったという、ヒルディブランドの容態を診ることになった。ラザハンのカーマ区で「ナシュ・マカラッカ」と話そう。			紳士の長い眠り							
ナシュ・マカラッカと話し、ヒルディブランドの容態を診た。どうやら、かつての「暁」の賢人たちと同じ、「魂」が抜けた状態のようだ。第一世界に向かい、ヒルディブランドの「魂」を持ち帰ることになった。クリスタリウムの彷徨う階段亭にいる「グリナード」と話そう。			ナシュ・マカラッカと話し、ヒルディブランドの容態を診た。どうやら、かつての「暁」の賢人たちと同じ、「魂」が抜けた状態のようだ。第一世界に向かい、ヒルディブランドの「魂」を持ち帰ることになった。クリスタリウムの彷徨う階段亭にいる「グリナード」と話そう。			紳士の長い眠り							
グリナードにヒルディブランドの特徴を伝えたところ、ジオットから同じ特徴の「おかしなポーズ」をする男を見たと聞いた。セイラーとヴォナードが現れ、「おかしなポーズ」をする不審者を探しているというので、共に情報収集することになった。レイクランドのサレン郷で情報を集めよう。			グリナードにヒルディブランドの特徴を伝えたところ、ジオットから同じ特徴の「おかしなポーズ」をする男を見たと聞いた。セイラーとヴォナードが現れ、「おかしなポーズ」をする不審者を探しているというので、共に情報収集することになった。レイクランドのサレン郷で情報を集めよう。			紳士の長い眠り							
サレン郷で情報収集したところ、「紳士的な不審者」が噂になっていた。サレン郷で「セイラー」と話そう。			サレン郷で情報収集したところ、「紳士的な不審者」が噂になっていた。サレン郷で「セイラー」と話そう。			紳士の長い眠り							
セイラーと話し、「紳士的な不審者」を探しにいくことになった。レイクランドの迷える羊飼いの森で「セイラー」と話そう。			セイラーと話し、「紳士的な不審者」を探しにいくことになった。レイクランドの迷える羊飼いの森で「セイラー」と話そう。			紳士の長い眠り							
セイラーと話し、「紳士的な不審者」が現れた。やはりそれの正体は、記憶を失ったヒルディブランドだった。「ナシュの特製お薬」で記憶が戻り、事件屋ヒルディブランドは復活を果たした。			セイラーと話し、「紳士的な不審者」が現れた。やはりそれの正体は、記憶を失ったヒルディブランドだった。「ナシュの特製お薬」で記憶が戻り、事件屋ヒルディブランドは復活を果たした。			紳士の長い眠り							
ナシュ・マカラッカと話す			ナシュ・マカラッカと話す			紳士の長い眠り							
ナシュ・マカラッカと再度話す			ナシュ・マカラッカと再度話す			紳士の長い眠り							
クリスタリウムのグリナードと話す			クリスタリウムのグリナードと話す			紳士の長い眠り							
サレン郷で情報収集する			サレン郷で情報収集する			紳士の長い眠り							
セイラーと話す			セイラーと話す			紳士の長い眠り							
セイラーと再度話す			セイラーと再度話す			紳士の長い眠り							
ややっ！あなたは、いつぞやの冒険者さんじゃないですか！？			ややっ！あなたは、いつぞやの冒険者さんじゃないですか！？			紳士の長い眠り							
ご無沙汰してます、俺ですよ俺……ッ！			ご無沙汰してます、俺ですよ俺……ッ！			紳士の長い眠り							
何と言う？			何と言う？			紳士の長い眠り							
ナシュの追っかけ！			ナシュの追っかけ！			紳士の長い眠り							
誰だっけ……？			誰だっけ……？			紳士の長い眠り							
追っかけとは失礼な！彼女と目が合うという運命の出会いを果たし、ずっと陰から見守っている、純粋無垢な男ですよ！			追っかけとは失礼な！彼女と目が合うという運命の出会いを果たし、ずっと陰から見守っている、純粋無垢な男ですよ！			紳士の長い眠り							
忘れたんですか？ナシュさんと目が合うという運命の出会いを果たし、ずっと陰から見守っている、純粋無垢な男ですよ！			忘れたんですか？ナシュさんと目が合うという運命の出会いを果たし、ずっと陰から見守っている、純粋無垢な男ですよ！			紳士の長い眠り							
まあ、俺のことはいいんです、大事なのはナシュさんですから……。			まあ、俺のことはいいんです、大事なのはナシュさんですから……。			紳士の長い眠り							
彼女が紅玉海で姿を消してからというもの、俺は世界中を探し回って、やっとこのラザハンで見つけました。			彼女が紅玉海で姿を消してからというもの、俺は世界中を探し回って、やっとこのラザハンで見つけました。			紳士の長い眠り							
しかし、どういうわけか、あの事件屋が倒れてしまい、こんこんと眠り続けているらしく、ナシュさんは寝る間も惜しんで、薬作りに奮闘しています。			しかし、どういうわけか、あの事件屋が倒れてしまい、こんこんと眠り続けているらしく、ナシュさんは寝る間も惜しんで、薬作りに奮闘しています。			紳士の長い眠り							
事件屋はどうでもいいですが、ああ……このままでは、彼女まで倒れてしまう！			事件屋はどうでもいいですが、ああ……このままでは、彼女まで倒れてしまう！			紳士の長い眠り							
どうかあなた、アルキミヤ製薬堂で作業をしている、ナシュさんを手伝ってあげてくれませんか？			どうかあなた、アルキミヤ製薬堂で作業をしている、ナシュさんを手伝ってあげてくれませんか？			紳士の長い眠り							
俺はいつもどおり、全身全霊で陰から見守っていますッ！それじゃあ、頼みましたよ……！！			俺はいつもどおり、全身全霊で陰から見守っていますッ！それじゃあ、頼みましたよ……！！			紳士の長い眠り							
完成です～！次はこのお薬を……			完成です～！次はこのお薬を……			紳士の長い眠り							
あれれ、冒険者さんじゃないですか～？お久しぶりですね～！			あれれ、冒険者さんじゃないですか～？お久しぶりですね～！			紳士の長い眠り							
でも、何でまたラザハンに？もしかして、ナシュをお手伝いに来てくれたんですか～？			でも、何でまたラザハンに？もしかして、ナシュをお手伝いに来てくれたんですか～？			紳士の長い眠り							
そうそう！ヒルディブランド様が倒れてしまって、大変なんですよ～！ことの次第を、ざっくりとお話ししますね～。			そうそう！ヒルディブランド様が倒れてしまって、大変なんですよ～！ことの次第を、ざっくりとお話ししますね～。			紳士の長い眠り							
紅玉海で、ギルガメッシュさんが薬で操られて、変な術を使ったことは、冒険者さんも覚えているでしょう？			紅玉海で、ギルガメッシュさんが薬で操られて、変な術を使ったことは、冒険者さんも覚えているでしょう？			紳士の長い眠り							
その変な術に、ヒルディブランド様が飲み込まれていったので、ナシュもあとを追って飛び込んだんです。			その変な術に、ヒルディブランド様が飲み込まれていったので、ナシュもあとを追って飛び込んだんです。			紳士の長い眠り							
そうして辿り着いた場所は、不思議なところでした。暗くて、だだっ広くて、上もなければ下もなくて……しばらく、あてどもなく彷徨ってたんですよ～。			そうして辿り着いた場所は、不思議なところでした。暗くて、だだっ広くて、上もなければ下もなくて……しばらく、あてどもなく彷徨ってたんですよ～。			紳士の長い眠り							
そのうち、ギルガメッシュさんが正気を取り戻して……そこが「事件の狭間」っていうところだって、教えてくれました！しかも、あの変な術で、元の世界に帰してくれたんです！			そのうち、ギルガメッシュさんが正気を取り戻して……そこが「事件の狭間」っていうところだって、教えてくれました！しかも、あの変な術で、元の世界に帰してくれたんです！			紳士の長い眠り							
ギルガメッシュさんは、「アイツと決着をつける」とかいって、そのまま残りましたけどね……。			ギルガメッシュさんは、「アイツと決着をつける」とかいって、そのまま残りましたけどね……。			紳士の長い眠り							
