ベイサイド・ベヴィーのナシュ・マカラッカは、何かを探しているようだ。			ベイサイド・ベヴィーのナシュ・マカラッカは、何かを探しているようだ。			事件屋の行方							
前回までの冒険録：異星からやって来たコヨコヨと出会い、行方不明のトモダチを巡る事件を、なんやかんやで解決した事件屋ヒルディブランド。突如、コヨコヨのUFOにさらわれて、どこかへと飛んでいってしまうのだった。以降、彼の姿を見た者はいないというのだが……。　　　　　　　　　　　　*　*　*ナシュ・マカラッカはヒルディブランドを探してトラル大陸に来たという。冒険者は彼女に協力し、ヒルディブランドをさらったUFOを探すことになった。トライヨラのブライトプルーム・ポストにいる勇連隊の者に「UFOの挿絵」を見せて、UFOの目撃情報を集めよう。			前回までの冒険録：異星からやって来たコヨコヨと出会い、行方不明のトモダチを巡る事件を、なんやかんやで解決した事件屋ヒルディブランド。突如、コヨコヨのUFOにさらわれて、どこかへと飛んでいってしまうのだった。以降、彼の姿を見た者はいないというのだが……。　　　　　　　　　　　　*　*　*ナシュ・マカラッカはヒルディブランドを探してトラル大陸に来たという。冒険者は彼女に協力し、ヒルディブランドをさらったUFOを探すことになった。トライヨラのブライトプルーム・ポストにいる勇連隊の者に「UFOの挿絵」を見せて、UFOの目撃情報を集めよう。			事件屋の行方							
UFOの目撃情報を集めた。ベイサイド・ベヴィーにいる「ナシュ・マカラッカ」と話そう。			UFOの目撃情報を集めた。ベイサイド・ベヴィーにいる「ナシュ・マカラッカ」と話そう。			事件屋の行方							
ナシュ・マカラッカと話し、ヘリテージファウンドに向かうことになった。ヘリテージファウンドのアウトスカーツ付近にいる「ナシュ・マカラッカ」と話そう。			ナシュ・マカラッカと話し、ヘリテージファウンドに向かうことになった。ヘリテージファウンドのアウトスカーツ付近にいる「ナシュ・マカラッカ」と話そう。			事件屋の行方							
ナシュ・マカラッカと話し、直接ヒルディブランドを探すことになった。アウトスカーツに向かい「アウトスカーツの青年」と話そう。			ナシュ・マカラッカと話し、直接ヒルディブランドを探すことになった。アウトスカーツに向かい「アウトスカーツの青年」と話そう。			事件屋の行方							
アウトスカーツの青年と話したところ、ヒルディブランドはいないようで、ソリューション・ナインで探すことを勧められた。ヘリテージファウンドのエバーキープ外縁にいる「機械兵の守衛」と話そう。			アウトスカーツの青年と話したところ、ヒルディブランドはいないようで、ソリューション・ナインで探すことを勧められた。ヘリテージファウンドのエバーキープ外縁にいる「機械兵の守衛」と話そう。			事件屋の行方							
機械兵の守衛と話したところ、ナシュ・マカラッカの言動で、守衛たちはシャットダウンしてしまった。ソリューション・ナインのスキャンポートにいる「ナシュ・マカラッカ」と話そう。			機械兵の守衛と話したところ、ナシュ・マカラッカの言動で、守衛たちはシャットダウンしてしまった。ソリューション・ナインのスキャンポートにいる「ナシュ・マカラッカ」と話そう。			事件屋の行方							
ナシュ・マカラッカと話し、事件が起こってないか聞き込みすることになった。ソリューション・ナインのトゥルービューで聞き込みをしよう。			ナシュ・マカラッカと話し、事件が起こってないか聞き込みすることになった。ソリューション・ナインのトゥルービューで聞き込みをしよう。			事件屋の行方							
近くで盗難事件が起こったことを聞いた。トゥルービューの「ナシュ・マカラッカ」と話そう。			近くで盗難事件が起こったことを聞いた。トゥルービューの「ナシュ・マカラッカ」と話そう。			事件屋の行方							
ナシュ・マカラッカと話し、盗難事件の現場に駆けつけたところ、ロングコートの男が事件を解決して去っていった。ヒルディブランドと似ているロングコートの男を追うことになった。ソリューション・ナインのレクリエーションゾーン北にいる「ナシュ・マカラッカ」と話そう。			ナシュ・マカラッカと話し、盗難事件の現場に駆けつけたところ、ロングコートの男が事件を解決して去っていった。ヒルディブランドと似ているロングコートの男を追うことになった。ソリューション・ナインのレクリエーションゾーン北にいる「ナシュ・マカラッカ」と話そう。			事件屋の行方							
ナシュ・マカラッカと話し、ロングコートの男の正体を確かめたところ、彼は「探偵ハルディボイルド」と名乗った。ハルディボイルドは、ヒルディブランドの捜索を申し出て去っていった。再度、レクリエーションゾーン北にいる「ナシュ・マカラッカ」と話そう。			ナシュ・マカラッカと話し、ロングコートの男の正体を確かめたところ、彼は「探偵ハルディボイルド」と名乗った。ハルディボイルドは、ヒルディブランドの捜索を申し出て去っていった。再度、レクリエーションゾーン北にいる「ナシュ・マカラッカ」と話そう。			事件屋の行方							
ナシュ・マカラッカと話したところ、彼女はしばらくハルディボイルドによる捜索を待つという。また、ナシュ・マカラッカに協力してあげよう。			ナシュ・マカラッカと話したところ、彼女はしばらくハルディボイルドによる捜索を待つという。また、ナシュ・マカラッカに協力してあげよう。			事件屋の行方							
ブライトプルーム・ポストでUFOの挿絵を見せて情報を集める			ブライトプルーム・ポストでUFOの挿絵を見せて情報を集める			事件屋の行方							
ナシュ・マカラッカと話す			ナシュ・マカラッカと話す			事件屋の行方							
ナシュ・マカラッカと再度話す			ナシュ・マカラッカと再度話す			事件屋の行方							
アウトスカーツの青年と話す			アウトスカーツの青年と話す			事件屋の行方							
機械兵の守衛と話す			機械兵の守衛と話す			事件屋の行方							
ナシュ・マカラッカと話す			ナシュ・マカラッカと話す			事件屋の行方							
トゥルービューで情報を集める			トゥルービューで情報を集める			事件屋の行方							
ナシュ・マカラッカと話す			ナシュ・マカラッカと話す			事件屋の行方							
ナシュ・マカラッカと再度話す			ナシュ・マカラッカと再度話す			事件屋の行方							
ナシュ・マカラッカとさらに話す			ナシュ・マカラッカとさらに話す			事件屋の行方							
あれれ～、冒険者さんじゃないですか～？こんなところでお会いするなんて、奇遇ですね～。			あれれ～、冒険者さんじゃないですか～？こんなところでお会いするなんて、奇遇ですね～。			事件屋の行方							
もしかして、ナシュをお手伝いに来てくれたんですか？とっても嬉しいです～！			もしかして、ナシュをお手伝いに来てくれたんですか？とっても嬉しいです～！			事件屋の行方							
ヒルディブランド様がコヨコヨさんのUFOにさらわれてから、ナシュはその行方を追っていました。			ヒルディブランド様がコヨコヨさんのUFOにさらわれてから、ナシュはその行方を追っていました。			事件屋の行方							
手がかりを得ようと、『オカルトファン』を開いてみたら、海の向こうに飛んでいくUFOの目撃情報があったんですよ～。			手がかりを得ようと、『オカルトファン』を開いてみたら、海の向こうに飛んでいくUFOの目撃情報があったんですよ～。			事件屋の行方							
そんなわけで、この大陸に着いたんですが、美味しいものばかりで、食べ歩きに夢中になってました。			そんなわけで、この大陸に着いたんですが、美味しいものばかりで、食べ歩きに夢中になってました。			事件屋の行方							
そろそろ、さらなる目撃情報を集めたいので、どうか、冒険者さんもお手伝いをお願いします～。			そろそろ、さらなる目撃情報を集めたいので、どうか、冒険者さんもお手伝いをお願いします～。			事件屋の行方							
聞き込みのために、いいものを渡しておきます。			聞き込みのために、いいものを渡しておきます。			事件屋の行方							
雑誌から切り抜いた、「UFOの挿絵」です～。これを見せて尋ねてみてくださいね。			雑誌から切り抜いた、「UFOの挿絵」です～。これを見せて尋ねてみてくださいね。			事件屋の行方							
ナシュは食べ歩きしながら、この商店街を回ってみます。冒険者さんも、どこかで聞き込みしてください。			ナシュは食べ歩きしながら、この商店街を回ってみます。冒険者さんも、どこかで聞き込みしてください。			事件屋の行方							
では、何かわかったら、またここで合流しましょう～！			では、何かわかったら、またここで合流しましょう～！			事件屋の行方							
勇連隊なら普段から注意を払ってそうだ。ブライトプルーム・ポストで目撃情報を集めよう。			勇連隊なら普段から注意を払ってそうだ。ブライトプルーム・ポストで目撃情報を集めよう。			事件屋の行方							
ナシュは食べ歩きしながら、この商店街を回ってみます。冒険者さんもどこかで、「UFOの挿絵」を見せて、目撃情報を集めてください。			ナシュは食べ歩きしながら、この商店街を回ってみます。冒険者さんもどこかで、「UFOの挿絵」を見せて、目撃情報を集めてください。			事件屋の行方							
雑誌『オカルトファン』から切り抜いた、UFOの挿絵だ。絵画のはずだが、わざわざ拡大図を入れているところに、並々ならぬこだわりを感じる。			雑誌『オカルトファン』から切り抜いた、UFOの挿絵だ。絵画のはずだが、わざわざ拡大図を入れているところに、並々ならぬこだわりを感じる。			事件屋の行方							
どうした、何かあったのか？			どうした、何かあったのか？			事件屋の行方							
ああ、これなら見かけたな。たしか、ゾラージャの軍勢の船が現れる前だった。			ああ、これなら見かけたな。たしか、ゾラージャの軍勢の船が現れる前だった。			事件屋の行方							
トライヨラ上空を通って、北の方に飛んでいったが、壊れているのか、フラフラしていて今にも落ちそうだったぞ。			トライヨラ上空を通って、北の方に飛んでいったが、壊れているのか、フラフラしていて今にも落ちそうだったぞ。			事件屋の行方							
なんだい、探し物だって？			なんだい、探し物だって？			事件屋の行方							
やや、この空飛ぶ円盤だったら見たよ！ちょうど、シャーローニ荒野を巡回していたときに、飛んでいるのを目撃したんだ。			やや、この空飛ぶ円盤だったら見たよ！ちょうど、シャーローニ荒野を巡回していたときに、飛んでいるのを目撃したんだ。			事件屋の行方							
円盤は徐々に高度を下げてゆき、ヤースラニ荒野の方に降りていったようだった。			円盤は徐々に高度を下げてゆき、ヤースラニ荒野の方に降りていったようだった。			事件屋の行方							
探しているなら、そこに向かったらいいよ。いまは例のドームができていて、ヘリテージファウンドとか呼ばれているんだっけ……？			探しているなら、そこに向かったらいいよ。いまは例のドームができていて、ヘリテージファウンドとか呼ばれているんだっけ……？			事件屋の行方							
あの物体は北の方に飛んでいったが、壊れているのか、フラフラしていて今にも落ちそうだったぞ。			あの物体は北の方に飛んでいったが、壊れているのか、フラフラしていて今にも落ちそうだったぞ。			事件屋の行方							
円盤はヤースラニ荒野の方に降りていったように見えた。いまは例のドームができていて、ヘリテージファウンドとか呼ばれているんだっけ……？			円盤はヤースラニ荒野の方に降りていったように見えた。いまは例のドームができていて、ヘリテージファウンドとか呼ばれているんだっけ……？			事件屋の行方							
UFOの目撃情報、ナシュの方はさっぱりでした～。冒険者さんはどうでした～？			UFOの目撃情報、ナシュの方はさっぱりでした～。冒険者さんはどうでした～？			事件屋の行方							
さすが冒険者さん、ありがとうございます～。			さすが冒険者さん、ありがとうございます～。			事件屋の行方							
UFOは壊れてしまって、墜落したということですかね～。			UFOは壊れてしまって、墜落したということですかね～。			事件屋の行方							
さっそく、そのヘリテージ……なんとかってところに行ってみます！			さっそく、そのヘリテージ……なんとかってところに行ってみます！			事件屋の行方							
何と言う？			何と言う？			事件屋の行方							
場所はわかるのか？			場所はわかるのか？			事件屋の行方							
道中は危険が伴う			道中は危険が伴う			事件屋の行方							
冒険者さん、ヘリテージなんとかってところまで、どうか連れてってください～！			冒険者さん、ヘリテージなんとかってところまで、どうか連れてってください～！			事件屋の行方							
そこら中、雷気ビリビリです～。			そこら中、雷気ビリビリです～。			事件屋の行方							
UFOはこの辺りに墜落したようなので、直接、ヒルディブランド様を探した方がよさそうですね～。			UFOはこの辺りに墜落したようなので、直接、ヒルディブランド様を探した方がよさそうですね～。			事件屋の行方							
では、ヒルディブランド様らしき人を見かけてないか、集落の住人に聞いてみましょう～。			では、ヒルディブランド様らしき人を見かけてないか、集落の住人に聞いてみましょう～。			事件屋の行方							
この人に聞いてみましょう～。			この人に聞いてみましょう～。			事件屋の行方							
うーん、ここは小さな集落だから、みんな顔見知りですが……そんな特徴の男性は見たことありません。			うーん、ここは小さな集落だから、みんな顔見知りですが……そんな特徴の男性は見たことありません。			事件屋の行方							
ここより、ずっと人が多い、ソリューション・ナインの方を探してみたらどうでしょう？			ここより、ずっと人が多い、ソリューション・ナインの方を探してみたらどうでしょう？			事件屋の行方							
あなた、スフェーン様と一緒にいた人ですよね。お連れの方もソリューション・ナインに入りたいのなら、北にある塔の入口で「機械兵の守衛」と話してみては？			あなた、スフェーン様と一緒にいた人ですよね。お連れの方もソリューション・ナインに入りたいのなら、北にある塔の入口で「機械兵の守衛」と話してみては？			事件屋の行方							
ソリューション・ナインってところに行けばいいんですね～。ありがとうございます～！			ソリューション・ナインってところに行けばいいんですね～。ありがとうございます～！			事件屋の行方							
お連れの方もソリューション・ナインに入りたいのなら、北にある塔の入口で「機械兵の守衛」と話してみては？			お連れの方もソリューション・ナインに入りたいのなら、北にある塔の入口で「機械兵の守衛」と話してみては？			事件屋の行方							
通行者を視認、基幹システムに照会を申請します……。エバーキープ内の、無期限の滞在許可を確認。			通行者を視認、基幹システムに照会を申請します……。エバーキープ内の、無期限の滞在許可を確認。			事件屋の行方							
同行者1名を視認……			同行者1名を視認……			事件屋の行方							
エラー、エラー、爆発物を検知、爆発物を検知！危険人物はお通しできません！			エラー、エラー、爆発物を検知、爆発物を検知！危険人物はお通しできません！			事件屋の行方							
ナシュが持ってるのは爆発物じゃないですよ。ヒルディブランド様のお薬ですから～。			ナシュが持ってるのは爆発物じゃないですよ。ヒルディブランド様のお薬ですから～。			事件屋の行方							
爆発物……ではなく……お薬……			爆発物……ではなく……お薬……			事件屋の行方							
エラー、エラー……意味不明……。			エラー、エラー……意味不明……。			事件屋の行方							
ヒルディブランド様はコヨコヨさんのUFOにさらわれて、ここまで飛んできたはずなんです～。だから、どうか通してください～！			ヒルディブランド様はコヨコヨさんのUFOにさらわれて、ここまで飛んできたはずなんです～。だから、どうか通してください～！			事件屋の行方							
エラー、エラー……言動が理解不能…………回路の熱暴走が発生……強制シャットダウンします。			エラー、エラー……言動が理解不能…………回路の熱暴走が発生……強制シャットダウンします。			事件屋の行方							
みんな止まっちゃいました～。いまのうちに通っちゃいましょう～！			みんな止まっちゃいました～。いまのうちに通っちゃいましょう～！			事件屋の行方							
街、とっても大きいです～！			街、とっても大きいです～！			事件屋の行方							
こんなところでヒルディブランド様を探す方法はひとつ……事件あるところに事件屋ありです！			こんなところでヒルディブランド様を探す方法はひとつ……事件あるところに事件屋ありです！			事件屋の行方							
何か事件が起こってないか、聞き込みしてみましょう！人の多い賑やかなところがよさそうですが、冒険者さんどこか知ってます～？			何か事件が起こってないか、聞き込みしてみましょう！人の多い賑やかなところがよさそうですが、冒険者さんどこか知ってます～？			事件屋の行方							
