イディルシャイアのロウェナは、帰り支度をしているようだ。			イディルシャイアのロウェナは、帰り支度をしているようだ。			その名をアニマウェポン							
ロウェナと話をしていたところ、ふたりの珍客が訪れ、彼らの仕事を手伝うはめになった。「人造精霊」を育てる研究を行っているというアルダシールと、伝説の武具職人ゲロルト。彼らの研究場所となるアジス・ラーへ向かい、「アルダシール」と合流しよう。			ロウェナと話をしていたところ、ふたりの珍客が訪れ、彼らの仕事を手伝うはめになった。「人造精霊」を育てる研究を行っているというアルダシールと、伝説の武具職人ゲロルト。彼らの研究場所となるアジス・ラーへ向かい、「アルダシール」と合流しよう。			その名をアニマウェポン							
アルダシールと合流することができた。さっそくアルダシールやゲロルトとともに「人造精霊」の研究を始めよう。			アルダシールと合流することができた。さっそくアルダシールやゲロルトとともに「人造精霊」の研究を始めよう。			その名をアニマウェポン							
ポート・ヘリックスのアルダシールと話す			ポート・ヘリックスのアルダシールと話す			その名をアニマウェポン							
あら、英雄様じゃない。これから、レヴナンツトールに帰ろうと思っていたのだけど、……新しい儲け話だったら、話を聞くわよ？			あら、英雄様じゃない。これから、レヴナンツトールに帰ろうと思っていたのだけど、……新しい儲け話だったら、話を聞くわよ？			その名をアニマウェポン							
って、また別の客が来たようね。あの少年と……ゲロルトの野郎か……。			って、また別の客が来たようね。あの少年と……ゲロルトの野郎か……。			その名をアニマウェポン							
(-怪しげな少年-)お話し中、すみません。ロウェナさん、少し気が早いかもしれませんが例の件は……。			(-怪しげな少年-)お話し中、すみません。ロウェナさん、少し気が早いかもしれませんが例の件は……。			その名をアニマウェポン							
よう、ロウェナ、借金返済の件なンだがよ。もうちっとだけ待っちゃくれねェか？聞くも涙、語るも涙の事情ってもンがあってよォ……。			よう、ロウェナ、借金返済の件なンだがよ。もうちっとだけ待っちゃくれねェか？聞くも涙、語るも涙の事情ってもンがあってよォ……。			その名をアニマウェポン							
……ちょっと、オジサン。今は、このアルダシールが彼女と話しているんです。くだらない内容ならば、後にしてもらえませんか？			……ちょっと、オジサン。今は、このアルダシールが彼女と話しているんです。くだらない内容ならば、後にしてもらえませんか？			その名をアニマウェポン							
それで、ロウェナさん。魔法生物の権威を紹介していただきたいという話ですが、その後、進展はありましたでしょうか？			それで、ロウェナさん。魔法生物の権威を紹介していただきたいという話ですが、その後、進展はありましたでしょうか？			その名をアニマウェポン							
オイオイオイオイオイ……！？こちとら、命と酒代が懸かってンだよ！ガキはおとなしく、すっこみあそばされやがれ！！			オイオイオイオイオイ……！？こちとら、命と酒代が懸かってンだよ！ガキはおとなしく、すっこみあそばされやがれ！！			その名をアニマウェポン							
あぁ、もう、煩いわね！あんたたち、少し黙ってちょうだい！			あぁ、もう、煩いわね！あんたたち、少し黙ってちょうだい！			その名をアニマウェポン							
アルダシール、そのことだけれど……相手がかなりの偏屈ババァで、なかなか協力してくれないのよ。こっちも困っていてね。			アルダシール、そのことだけれど……相手がかなりの偏屈ババァで、なかなか協力してくれないのよ。こっちも困っていてね。			その名をアニマウェポン							
なぁ、ロウェナよォ……。頼むから借金返済を待ってくれよ。あと一年、いや、なんだったら半年でもいいから！			なぁ、ロウェナよォ……。頼むから借金返済を待ってくれよ。あと一年、いや、なんだったら半年でもいいから！			その名をアニマウェポン							
いい加減にしてください……！！こちらは、大事な話をしているんです！ダメな大人の借金より、重要な話なんですよ！！			いい加減にしてください……！！こちらは、大事な話をしているんです！ダメな大人の借金より、重要な話なんですよ！！			その名をアニマウェポン							
……ンだとこのクソガキ！！何の話か知らんが、こっちは生きるか死ぬかなンだよ！人命より重要な話だと、説明できンのか、アァン！？			……ンだとこのクソガキ！！何の話か知らんが、こっちは生きるか死ぬかなンだよ！人命より重要な話だと、説明できンのか、アァン！？			その名をアニマウェポン							
いいでしょう、説明してあげますよ……！			いいでしょう、説明してあげますよ……！			その名をアニマウェポン							
……「人造精霊」を知っていますか？核となるソウルストーンにエーテルを注ぎ、新たな命を創り出す。俺は師匠とともに、近東でその研究をしていました。			……「人造精霊」を知っていますか？核となるソウルストーンにエーテルを注ぎ、新たな命を創り出す。俺は師匠とともに、近東でその研究をしていました。			その名をアニマウェポン							
