ラールガーズリーチのガリエナは、冒険者に依頼したいことがあるようだ。			ラールガーズリーチのガリエナは、冒険者に依頼したいことがあるようだ。			未知なる島、その名はエウレカ							
ガリエナから、依頼について話を聞いた。依頼主はロウェナで、内容は未知の島を調査するというものらしい。詳しい話を聞くため、クガネの潮風亭にいる「コトカゼ」と話そう。			ガリエナから、依頼について話を聞いた。依頼主はロウェナで、内容は未知の島を調査するというものらしい。詳しい話を聞くため、クガネの潮風亭にいる「コトカゼ」と話そう。			未知なる島、その名はエウレカ							
コトカゼと話し、ロウェナたちと話す場を作ってもらった。ロウェナは、ハンコック、クルルとともに現れ、クガネ南方で発見された未知の島について聞き、その調査隊に参加することになった。クガネの第一波止場にいる職人と合流しよう。			コトカゼと話し、ロウェナたちと話す場を作ってもらった。ロウェナは、ハンコック、クルルとともに現れ、クガネ南方で発見された未知の島について聞き、その調査隊に参加することになった。クガネの第一波止場にいる職人と合流しよう。			未知なる島、その名はエウレカ							
ゲロルトと合流した。また、バルデシオン委員会の生き残りであるエジカ・ツンジカも、調査隊に同行することとなった。彼らやクルルとともに、「禁断の地 エウレカ」と名づけられた島での新たな冒険を始めよう！			ゲロルトと合流した。また、バルデシオン委員会の生き残りであるエジカ・ツンジカも、調査隊に同行することとなった。彼らやクルルとともに、「禁断の地 エウレカ」と名づけられた島での新たな冒険を始めよう！			未知なる島、その名はエウレカ							
潮風亭のコトカゼと話す			潮風亭のコトカゼと話す			未知なる島、その名はエウレカ							
職人と合流			職人と合流			未知なる島、その名はエウレカ							
ちょっといい？あなた、「暁」に所属している冒険者よね？			ちょっといい？あなた、「暁」に所属している冒険者よね？			未知なる島、その名はエウレカ							
よかった！実は、あなたに依頼したいことがあるのよ。			よかった！実は、あなたに依頼したいことがあるのよ。			未知なる島、その名はエウレカ							
ロウェナ叔母さん直轄の案件だから、あたしもよく知らないけど、最近、発見された未知の島の調査に協力してほしいとか。……興味、あるわよね？			ロウェナ叔母さん直轄の案件だから、あたしもよく知らないけど、最近、発見された未知の島の調査に協力してほしいとか。……興味、あるわよね？			未知なる島、その名はエウレカ							
なら、クガネにある潮風亭って酒場に行ってちょうだい。顔役の「コトカゼ」って人に話せば、叔母さんと話す場を作ってくれる手はずになってるわ。			なら、クガネにある潮風亭って酒場に行ってちょうだい。顔役の「コトカゼ」って人に話せば、叔母さんと話す場を作ってくれる手はずになってるわ。			未知なる島、その名はエウレカ							
ロウェナ叔母さんの依頼に興味があるなら、潮風亭の「コトカゼ」って人に話してみて。叔母さんと話す場を作ってくれるはずよ。			ロウェナ叔母さんの依頼に興味があるなら、潮風亭の「コトカゼ」って人に話してみて。叔母さんと話す場を作ってくれるはずよ。			未知なる島、その名はエウレカ							
ロウェナ商会との商談かい？話は聞いてるし、席代ももらってるよ。先方に連絡を入れるから、上の席で待っていておくれ。			ロウェナ商会との商談かい？話は聞いてるし、席代ももらってるよ。先方に連絡を入れるから、上の席で待っていておくれ。			未知なる島、その名はエウレカ							
異国で知った顔に会えるのは、嬉しいものね。それが、ウチの上得意客で、しかも腕利きだっていうなら、なおのこと……よく来てくれたわ。			異国で知った顔に会えるのは、嬉しいものね。それが、ウチの上得意客で、しかも腕利きだっていうなら、なおのこと……よく来てくれたわ。			未知なる島、その名はエウレカ							
オォ～、Forenameさんが驚いてますネ。私とクルルさんが一緒に来るとは、意外デスか？これには深～い事情があるのデ～ス！			オォ～、Forenameさんが驚いてますネ。私とクルルさんが一緒に来るとは、意外デスか？これには深～い事情があるのデ～ス！			未知なる島、その名はエウレカ							
そもそもの事の起こりは、我々、東アルデナード商会の交易船が、クガネ南方の海上で、海図にない島を発見したことなのデス。			そもそもの事の起こりは、我々、東アルデナード商会の交易船が、クガネ南方の海上で、海図にない島を発見したことなのデス。			未知なる島、その名はエウレカ							
これは我々にとって、嬉しい驚きでした。もし、誰のものでもない無人島なのであれば、素晴らしい貿易の中継地になり得ますからネ。			これは我々にとって、嬉しい驚きでした。もし、誰のものでもない無人島なのであれば、素晴らしい貿易の中継地になり得ますからネ。			未知なる島、その名はエウレカ							
このクガネって、入港税がすごい高いのよ。リムサ・ロミンサやウルダハと比べると数十倍よ、数十倍。ひんがしの国の役人は、とんでもない強欲の悪党ね。			このクガネって、入港税がすごい高いのよ。リムサ・ロミンサやウルダハと比べると数十倍よ、数十倍。ひんがしの国の役人は、とんでもない強欲の悪党ね。			未知なる島、その名はエウレカ							
まぁ、そういうわけで、入港税不要の中継地があれば、東方交易……特に、これから活発化するだろうドマとの交易で、大きな利益を生むはずデス。			まぁ、そういうわけで、入港税不要の中継地があれば、東方交易……特に、これから活発化するだろうドマとの交易で、大きな利益を生むはずデス。			未知なる島、その名はエウレカ							
デスから、我々は件の島が開拓可能かどうか調べるため、調査隊を送り込んだのデスが……。帰還できたのは、ごくわずかな人員のみでした。			デスから、我々は件の島が開拓可能かどうか調べるため、調査隊を送り込んだのデスが……。帰還できたのは、ごくわずかな人員のみでした。			未知なる島、その名はエウレカ							
生還した生き残りの報告によると、島には、異様なエーテルの力を帯びた魔物がはびこり、上陸するなり、襲いかかってきたのだとか……。			生還した生き残りの報告によると、島には、異様なエーテルの力を帯びた魔物がはびこり、上陸するなり、襲いかかってきたのだとか……。			未知なる島、その名はエウレカ							
かように危険な島となると、拠点の整備には、莫大な資金が必要となりますから、旨味は激減デ～ス。そんなわけで、計画の中止を検討していたのデスが……。			かように危険な島となると、拠点の整備には、莫大な資金が必要となりますから、旨味は激減デ～ス。そんなわけで、計画の中止を検討していたのデスが……。			未知なる島、その名はエウレカ							
ウチの商会が出資をもちかけたってワケ。調査に参加した冒険者に、ロウェナ商会の上客がいてね、いろいろ面白い話を聞かせてもらったのよ。			ウチの商会が出資をもちかけたってワケ。調査に参加した冒険者に、ロウェナ商会の上客がいてね、いろいろ面白い話を聞かせてもらったのよ。			未知なる島、その名はエウレカ							
