蜃気楼の町のリディルセイルは、誰かを探しているようだ。			蜃気楼の町のリディルセイルは、誰かを探しているようだ。			蜃気楼に包まれし武具							
リディルセイルと話した。蜃気楼の町のどこかにいるであろう「ゲロルト」を探そう。			リディルセイルと話した。蜃気楼の町のどこかにいるであろう「ゲロルト」を探そう。			蜃気楼に包まれし武具							
ゲロルトを見つけた。蜃気楼の町のリディルセイルと話そう。			ゲロルトを見つけた。蜃気楼の町のリディルセイルと話そう。			蜃気楼に包まれし武具							
リディルセイルと話した。特殊な武具加工に必要な6種類の「デミアートマ」を集めてくることになった。「青晶のデミアートマ」、「碧晶のデミアートマ」、「緑晶のデミアートマ」、「橙晶のデミアートマ」、「紫晶のデミアートマ」、「黄晶のデミアートマ」を各3個ずつ集めて、蜃気楼の町の「ゲロルト」に渡そう。※それぞれの「デミアートマ」は、蜃気楼の町から突入できる「蜃気楼の島 クレセントアイル：南征編」でのクリティカルエンカウントやF.A.T.E.、または各地のF.A.T.E.を達成することで、獲得できます。島外のF.A.T.E.の対象地域は、オルコ・パチャ、コザマル・カ、ヤクテル樹海、シャーローニ荒野、ヘリテージファウンド、リビング・メモリーの合計6地域です。			リディルセイルと話した。特殊な武具加工に必要な6種類の「デミアートマ」を集めてくることになった。「青晶のデミアートマ」、「碧晶のデミアートマ」、「緑晶のデミアートマ」、「橙晶のデミアートマ」、「紫晶のデミアートマ」、「黄晶のデミアートマ」を各3個ずつ集めて、蜃気楼の町の「ゲロルト」に渡そう。※それぞれの「デミアートマ」は、蜃気楼の町から突入できる「蜃気楼の島 クレセントアイル：南征編」でのクリティカルエンカウントやF.A.T.E.、または各地のF.A.T.E.を達成することで、獲得できます。島外のF.A.T.E.の対象地域は、オルコ・パチャ、コザマル・カ、ヤクテル樹海、シャーローニ荒野、ヘリテージファウンド、リビング・メモリーの合計6地域です。			蜃気楼に包まれし武具							
ゲロルトに6種類の「デミアートマ」を渡し、鍛冶道具の準備は整った。次はいよいよ「ファントムウェポン」の製作に取りかかろう。			ゲロルトに6種類の「デミアートマ」を渡し、鍛冶道具の準備は整った。次はいよいよ「ファントムウェポン」の製作に取りかかろう。			蜃気楼に包まれし武具							
ゲロルトを探す			ゲロルトを探す			蜃気楼に包まれし武具							
リディルセイルと話す			リディルセイルと話す			蜃気楼に包まれし武具							
ゲロルトに6種類のデミアートマを3個ずつ渡す			ゲロルトに6種類のデミアートマを3個ずつ渡す			蜃気楼に包まれし武具							
ったく、あの野郎……海に落ちたんじゃねぇだろうな？			ったく、あの野郎……海に落ちたんじゃねぇだろうな？			蜃気楼に包まれし武具							
おっと、鍛冶場に用事だったか？悪ぃんだが、まだ準備が整ってねぇんだ。			おっと、鍛冶場に用事だったか？悪ぃんだが、まだ準備が整ってねぇんだ。			蜃気楼に包まれし武具							
実は、助っ人として連れてきた武具職人の男が、ここの設営をしてる間に姿を消しちまってな……。			実は、助っ人として連れてきた武具職人の男が、ここの設営をしてる間に姿を消しちまってな……。			蜃気楼に包まれし武具							
凄腕と聞いてたんだが、蓋を開けたらえらい不真面目な男でさ。出航してから、何度も脱走しようとしたもんだから、ずっと船倉に閉じ込めてたんだよ。			凄腕と聞いてたんだが、蓋を開けたらえらい不真面目な男でさ。出航してから、何度も脱走しようとしたもんだから、ずっと船倉に閉じ込めてたんだよ。			蜃気楼に包まれし武具							
そしたら、中に積まれてた酒を何本も空けちまいやがって……。風にあたって酔いを醒ましてこいと自由にしてやったら、今度は帰ってきやがらねぇって状況だ。			そしたら、中に積まれてた酒を何本も空けちまいやがって……。風にあたって酔いを醒ましてこいと自由にしてやったら、今度は帰ってきやがらねぇって状況だ。			蜃気楼に包まれし武具							
何と言う？			何と言う？			蜃気楼に包まれし武具							
なぜそんな人物を助っ人に？			なぜそんな人物を助っ人に？			蜃気楼に包まれし武具							
なんだか、知ってる人物のような気がする……			なんだか、知ってる人物のような気がする……			蜃気楼に包まれし武具							
無理やり連れてきたのか？			無理やり連れてきたのか？			蜃気楼に包まれし武具							
「死の三角海域」に挑むような物好きな職人はそうそういない。それで、いい人材はいねぇかと、とある商会に相談したら、その男を紹介されてな。			「死の三角海域」に挑むような物好きな職人はそうそういない。それで、いい人材はいねぇかと、とある商会に相談したら、その男を紹介されてな。			蜃気楼に包まれし武具							
当代随一の腕前を持つ武具職人だが、酒に目がなく、常に借金で首が回らないんだとか。この冒険に参加すれば、全部チャラって契約だったんだが……。			当代随一の腕前を持つ武具職人だが、酒に目がなく、常に借金で首が回らないんだとか。この冒険に参加すれば、全部チャラって契約だったんだが……。			蜃気楼に包まれし武具							
へっ、あんなやる気のない職人が、ほかにもいるってのか？あんたも苦労してるんだな……。			へっ、あんなやる気のない職人が、ほかにもいるってのか？あんたも苦労してるんだな……。			蜃気楼に包まれし武具							
まあ、「死の三角海域」に挑むような物好きな職人はそういない。それで、なんとか人材を見繕ってほしいと、とある商会に相談したところ、その男を紹介されてな……。			まあ、「死の三角海域」に挑むような物好きな職人はそういない。それで、なんとか人材を見繕ってほしいと、とある商会に相談したところ、その男を紹介されてな……。			蜃気楼に包まれし武具							
まさか、そんな人さらいみたいな真似はしてねぇよ。きちんと相応の報酬を対価として、契約を交わしてるさ。			まさか、そんな人さらいみたいな真似はしてねぇよ。きちんと相応の報酬を対価として、契約を交わしてるさ。			蜃気楼に包まれし武具							
ただ、その報酬はすべて、本人の手には渡らず、借金返済のため、とある商会に渡ることになってる。そんなわけで、やる気が出ないんだろうよ。			ただ、その報酬はすべて、本人の手には渡らず、借金返済のため、とある商会に渡ることになってる。そんなわけで、やる気が出ないんだろうよ。			蜃気楼に包まれし武具							
いずれにせよ、帰りの船があるわけでもなし。この町のどこかにいることは間違いねぇ。			いずれにせよ、帰りの船があるわけでもなし。この町のどこかにいることは間違いねぇ。			蜃気楼に包まれし武具							
噂どおりの腕前なら、あんたの冒険の助けにもなるだろう。「ゲロルト」っていう上半身裸の酔っ払いを見かけたら、ここに戻るよう言ってくれると助かる！			噂どおりの腕前なら、あんたの冒険の助けにもなるだろう。「ゲロルト」っていう上半身裸の酔っ払いを見かけたら、ここに戻るよう言ってくれると助かる！			蜃気楼に包まれし武具							
凄腕の武具職人って噂なんだが……奴の名は「ゲロルト」、もしこの町のどこかで見かけたら、ここに戻るよう言ってくれると助かる！			凄腕の武具職人って噂なんだが……奴の名は「ゲロルト」、もしこの町のどこかで見かけたら、ここに戻るよう言ってくれると助かる！			蜃気楼に包まれし武具							
ったく、何なンだよ、この町は……酒瓶の1本もありやしねぇ。			ったく、何なンだよ、この町は……酒瓶の1本もありやしねぇ。			蜃気楼に包まれし武具							
楽に稼げる仕事と聞いて船に乗ってみりゃ、行先は「死の三角海域」ときた。やっぱり、あの女の言うことは、信じちゃいけねぇンだ……。			楽に稼げる仕事と聞いて船に乗ってみりゃ、行先は「死の三角海域」ときた。やっぱり、あの女の言うことは、信じちゃいけねぇンだ……。			蜃気楼に包まれし武具							
お、テメェは……			お、テメェは……			蜃気楼に包まれし武具							
は～ぁ、まーたかよ……こういう仕事になると、必ずテメェと一緒になる気がするぜ。			は～ぁ、まーたかよ……こういう仕事になると、必ずテメェと一緒になる気がするぜ。			蜃気楼に包まれし武具							
だが、これでお互い退屈することはなさそうだな……。			だが、これでお互い退屈することはなさそうだな……。			蜃気楼に包まれし武具							
