先輩レターモーグリは、冒険者に敏腕美容師への手紙を託したいようだ。			先輩レターモーグリは、冒険者に敏腕美容師への手紙を託したいようだ。			敏腕美容師の華麗なる妙技							
先輩レターモーグリから、配達を依頼された。リムサ・ロミンサで目撃されたという「敏腕美容師らしき男」に、手紙を配達しよう。			先輩レターモーグリから、配達を依頼された。リムサ・ロミンサで目撃されたという「敏腕美容師らしき男」に、手紙を配達しよう。			敏腕美容師の華麗なる妙技							
敏腕美容師らしき男に手紙を配達したところ、人違いだった。誤配送した相手は、敏腕美容師の弟ギユフレーヌで、彼こそ手紙の送り主だった。彼は、兄で美容師のジャンドゥレーヌに家督を継がせるため、行方を捜しているという。マダムの話を聞いたギユフレーヌは、グリダニアの木工師ギルドへ向かった。手紙を配達するため、グリダニアの木工師ギルドにいる「ベアティヌ」に、敏腕美容師の行方を聞いてみよう。			敏腕美容師らしき男に手紙を配達したところ、人違いだった。誤配送した相手は、敏腕美容師の弟ギユフレーヌで、彼こそ手紙の送り主だった。彼は、兄で美容師のジャンドゥレーヌに家督を継がせるため、行方を捜しているという。マダムの話を聞いたギユフレーヌは、グリダニアの木工師ギルドへ向かった。手紙を配達するため、グリダニアの木工師ギルドにいる「ベアティヌ」に、敏腕美容師の行方を聞いてみよう。			敏腕美容師の華麗なる妙技							
ベアティヌと話した。ギユフレーヌは、ジャンドゥレーヌを追って、ウルダハの錬金術師ギルドへ向かった。冒険者も、ウルダハの錬金術師ギルドにいる「セヴェリアン」と話そう。			ベアティヌと話した。ギユフレーヌは、ジャンドゥレーヌを追って、ウルダハの錬金術師ギルドへ向かった。冒険者も、ウルダハの錬金術師ギルドにいる「セヴェリアン」と話そう。			敏腕美容師の華麗なる妙技							
セヴェリアンと話した。ギユフレーヌの目的を知ったセヴェリアンは、ジャンドゥレーヌの居場所を明かした。リムサ・ロミンサの冒険者ギルド付近にいる「ジャンドゥレーヌ」に、「美容師宛ての手紙」を配達しよう。			セヴェリアンと話した。ギユフレーヌの目的を知ったセヴェリアンは、ジャンドゥレーヌの居場所を明かした。リムサ・ロミンサの冒険者ギルド付近にいる「ジャンドゥレーヌ」に、「美容師宛ての手紙」を配達しよう。			敏腕美容師の華麗なる妙技							
ジャンドゥレーヌへの配達を完了した。ジャンドゥレーヌは、弟ギユフレーヌを新生させ、家督を継ぐ決意を促した。人には、それぞれ果たすべき使命があるようだ。もしも人生に迷ったら、宿屋でジャンドゥレーヌを呼び出して、生まれ変わらせてもらおう。			ジャンドゥレーヌへの配達を完了した。ジャンドゥレーヌは、弟ギユフレーヌを新生させ、家督を継ぐ決意を促した。人には、それぞれ果たすべき使命があるようだ。もしも人生に迷ったら、宿屋でジャンドゥレーヌを呼び出して、生まれ変わらせてもらおう。			敏腕美容師の華麗なる妙技							
敏腕美容師らしき男に美容師宛ての手紙を配達			敏腕美容師らしき男に美容師宛ての手紙を配達			敏腕美容師の華麗なる妙技							
木工師ギルドのベアティヌと話す			木工師ギルドのベアティヌと話す			敏腕美容師の華麗なる妙技							
錬金術師ギルドのセヴェリアンと話す			錬金術師ギルドのセヴェリアンと話す			敏腕美容師の華麗なる妙技							
リムサ・ロミンサのジャンドゥレーヌに美容師宛ての手紙を配達			リムサ・ロミンサのジャンドゥレーヌに美容師宛ての手紙を配達			敏腕美容師の華麗なる妙技							
半人前君の実力がメキメキあがって、モグは嬉しいクポ！そんな頼もしい半人前君に、難しい配達をお願いしたいクポ！			半人前君の実力がメキメキあがって、モグは嬉しいクポ！そんな頼もしい半人前君に、難しい配達をお願いしたいクポ！			敏腕美容師の華麗なる妙技							
届け先は……敏腕美容師のジャンドゥレーヌさんクポ！			届け先は……敏腕美容師のジャンドゥレーヌさんクポ！			敏腕美容師の華麗なる妙技							
敏腕美容師さんは、お仕事にとっても厳しいクポ！仕事中はお手紙を受け取ってくれないから、仕事をしていない瞬間を狙いすますしかないクポ！			敏腕美容師さんは、お仕事にとっても厳しいクポ！仕事中はお手紙を受け取ってくれないから、仕事をしていない瞬間を狙いすますしかないクポ！			敏腕美容師の華麗なる妙技							
敏腕美容師さんは、商売道具がないと錯乱するクポ！だから、もしかするとお仕事じゃないときは、とっても地味な感じに見えるかもしれないクポ！			敏腕美容師さんは、商売道具がないと錯乱するクポ！だから、もしかするとお仕事じゃないときは、とっても地味な感じに見えるかもしれないクポ！			敏腕美容師の華麗なる妙技							
ちょうど、リムサ・ロミンサのリムレーン像付近で、地味な感じの「敏腕美容師らしき男」が目撃されてるクポ！行ってみてほしいクポ！			ちょうど、リムサ・ロミンサのリムレーン像付近で、地味な感じの「敏腕美容師らしき男」が目撃されてるクポ！行ってみてほしいクポ！			敏腕美容師の華麗なる妙技							
敏腕美容師さんへの配達を、お願いするクポ！でも、仕事中はお手紙を受け取ってくれないから、仕事をしていない瞬間に渡すしかないクポ！			敏腕美容師さんへの配達を、お願いするクポ！でも、仕事中はお手紙を受け取ってくれないから、仕事をしていない瞬間に渡すしかないクポ！			敏腕美容師の華麗なる妙技							
ちょうどリムサ・ロミンサのリムレーン像付近で地味な感じの「敏腕美容師らしき男」が目撃されてるクポ！駆けつけてみてほしいクポ！			ちょうどリムサ・ロミンサのリムレーン像付近で地味な感じの「敏腕美容師らしき男」が目撃されてるクポ！駆けつけてみてほしいクポ！			敏腕美容師の華麗なる妙技							
ああ、幸せすぎてコワイ……。私たちの結婚式も、もうすぐ。すべては私が生まれ変わった、あの日から始まったのね……。			ああ、幸せすぎてコワイ……。私たちの結婚式も、もうすぐ。すべては私が生まれ変わった、あの日から始まったのね……。			敏腕美容師の華麗なる妙技							
見てください、このマダムの麗しさを。そばにいるだけで、幸福だと思いませんか……。おや……私宛の手紙ですか？			見てください、このマダムの麗しさを。そばにいるだけで、幸福だと思いませんか……。おや……私宛の手紙ですか？			敏腕美容師の華麗なる妙技							
……むむ、この手紙は私が書いたもの。どうやら貴方は、私を美容師と間違えておられるようですね。			……むむ、この手紙は私が書いたもの。どうやら貴方は、私を美容師と間違えておられるようですね。			敏腕美容師の華麗なる妙技							
……ですが、それも無理からぬことです。なぜなら私は、ジャンドゥレーヌの弟ですから。			……ですが、それも無理からぬことです。なぜなら私は、ジャンドゥレーヌの弟ですから。			敏腕美容師の華麗なる妙技							
本当に、うりふたつよね！私も、先ほど話しかけられたとき、敏腕美容師様が現れたのかと思ったもの！			本当に、うりふたつよね！私も、先ほど話しかけられたとき、敏腕美容師様が現れたのかと思ったもの！			敏腕美容師の華麗なる妙技							
……って、あなたは私の恩人さんじゃない！？あなたのおかげで、私、今度結婚するのよ！			……って、あなたは私の恩人さんじゃない！？あなたのおかげで、私、今度結婚するのよ！			敏腕美容師の華麗なる妙技							
あの時、あなたが敏腕美容師様を助けてくれたから、私は生まれ変わることができたわ。おかげで自信がみなぎって……求婚できたの！			あの時、あなたが敏腕美容師様を助けてくれたから、私は生まれ変わることができたわ。おかげで自信がみなぎって……求婚できたの！			敏腕美容師の華麗なる妙技							
そのような馴れ初めだったのですね……。これほど美しい方と夫婦になれるとは、旦那様は果報者ですよ。			そのような馴れ初めだったのですね……。これほど美しい方と夫婦になれるとは、旦那様は果報者ですよ。			敏腕美容師の華麗なる妙技							
うふふ、敏腕美容師様のおかげよ！……そうそう、こちらの弟さんは美容師様を捜して、はるばるイシュガルドからいらっしゃったんですって！			うふふ、敏腕美容師様のおかげよ！……そうそう、こちらの弟さんは美容師様を捜して、はるばるイシュガルドからいらっしゃったんですって！			敏腕美容師の華麗なる妙技							
(-ギユフレーヌ-)ギユフレーヌと申します、お見知り置きを。我が一族は、イシュガルド四大名家のひとつ……ゼーメル家の傍流にあたる、由緒正しき家柄です。			(-ギユフレーヌ-)ギユフレーヌと申します、お見知り置きを。我が一族は、イシュガルド四大名家のひとつ……ゼーメル家の傍流にあたる、由緒正しき家柄です。			敏腕美容師の華麗なる妙技							
(-ギユフレーヌ-)……この度、父が病に倒れてしまい、至急、後継を立てねばならなくなりました。			(-ギユフレーヌ-)……この度、父が病に倒れてしまい、至急、後継を立てねばならなくなりました。			敏腕美容師の華麗なる妙技							
(-ギユフレーヌ-)愚兄ジャンドゥレーヌが、故郷イシュガルドを離れ、髪いじりなどにうつつをぬかして、早5年……。そろそろ家督を継ぐという使命を果たしてもらわねば！			(-ギユフレーヌ-)愚兄ジャンドゥレーヌが、故郷イシュガルドを離れ、髪いじりなどにうつつをぬかして、早5年……。そろそろ家督を継ぐという使命を果たしてもらわねば！			敏腕美容師の華麗なる妙技							
(-ギユフレーヌ-)貴方が、届けようとしてくださった手紙も、愚兄に帰郷を促すために、私がしたためたもの……。			(-ギユフレーヌ-)貴方が、届けようとしてくださった手紙も、愚兄に帰郷を促すために、私がしたためたもの……。			敏腕美容師の華麗なる妙技							
まあ、敏腕美容師様って、貴族のボンボンだったのね！……そういえば、結婚式のヘアメイクを依頼したときに、美容師様は、櫛（くし）を新調するって言ってたわよ。			まあ、敏腕美容師様って、貴族のボンボンだったのね！……そういえば、結婚式のヘアメイクを依頼したときに、美容師様は、櫛（くし）を新調するって言ってたわよ。			敏腕美容師の華麗なる妙技							
(-ギユフレーヌ-)なるほど、でしたらグリダニア……木工師ギルドに現れる可能性が高そうですね。早速、向かわねばなりませんが、その前に……。			(-ギユフレーヌ-)なるほど、でしたらグリダニア……木工師ギルドに現れる可能性が高そうですね。早速、向かわねばなりませんが、その前に……。			敏腕美容師の華麗なる妙技							
(-ギユフレーヌ-)この手紙は、配達士さんにお返しします。連絡を付けるため、どうか兄に届けていただけますか。……それでは、ごきげんよう。			(-ギユフレーヌ-)この手紙は、配達士さんにお返しします。連絡を付けるため、どうか兄に届けていただけますか。……それでは、ごきげんよう。			敏腕美容師の華麗なる妙技							
あらら、飛んで行っちゃった……。美容師様に手紙を届けるつもりなら、あなたも、木工師ギルドの「ベアティヌ」さんを訪ねたら？			あらら、飛んで行っちゃった……。美容師様に手紙を届けるつもりなら、あなたも、木工師ギルドの「ベアティヌ」さんを訪ねたら？			敏腕美容師の華麗なる妙技							
