宝杖通りの商人マスは、商品の手配に追われているようだ。			宝杖通りの商人マスは、商品の手配に追われているようだ。			聖アンダリム神学院の消えた書物							
宝杖通りの商人マスは、発注書をなくしてしまったらしい。イシュガルドの「聖アンダリム神学院」に赴き、書棚や机にある「正教法大全」を調べたり、神学生から話を聞いたりして、不足している「正教法大全」を割り出そう。聖アンダリム神学院へは、上層の聖レマノー大聖堂にいる「神学院の司祭」が案内してくれるようだ。			宝杖通りの商人マスは、発注書をなくしてしまったらしい。イシュガルドの「聖アンダリム神学院」に赴き、書棚や机にある「正教法大全」を調べたり、神学生から話を聞いたりして、不足している「正教法大全」を割り出そう。聖アンダリム神学院へは、上層の聖レマノー大聖堂にいる「神学院の司祭」が案内してくれるようだ。			聖アンダリム神学院の消えた書物							
不足している「正教法大全」を調べた。書棚には1～9巻が並んでいたが、4巻と6巻は抜けていた。別の書棚には6巻が収められていた。机の上には10巻が置いてあった。テオモサンは12巻と13巻を借りていた。アルションバダンは最終巻を借りていた。レイは借りた巻を覚えていなかったが、ジャンシェトは自分の探している4巻をレイが延滞していると言っていた。宝杖通りの「マス」に、報告しよう。			不足している「正教法大全」を調べた。書棚には1～9巻が並んでいたが、4巻と6巻は抜けていた。別の書棚には6巻が収められていた。机の上には10巻が置いてあった。テオモサンは12巻と13巻を借りていた。アルションバダンは最終巻を借りていた。レイは借りた巻を覚えていなかったが、ジャンシェトは自分の探している4巻をレイが延滞していると言っていた。宝杖通りの「マス」に、報告しよう。			聖アンダリム神学院の消えた書物							
マスに報告した。これで彼は正しい「正教法大全」を納品して、「聖アンダリム神学院」の信用を失わずにすむだろう。			マスに報告した。これで彼は正しい「正教法大全」を納品して、「聖アンダリム神学院」の信用を失わずにすむだろう。			聖アンダリム神学院の消えた書物							
聖アンダリム神学院で正教法大全を探す			聖アンダリム神学院で正教法大全を探す			聖アンダリム神学院の消えた書物							
聖アンダリム神学院の神学生と話す			聖アンダリム神学院の神学生と話す			聖アンダリム神学院の消えた書物							
聖アンダリム神学院付近の神学生と話す			聖アンダリム神学院付近の神学生と話す			聖アンダリム神学院の消えた書物							
マスに報告			マスに報告			聖アンダリム神学院の消えた書物							
……おや、私を助けてくれるのですか？実は、お得意様の「聖アンダリム神学院」からの発注書を、無くしてしまったのです……。			……おや、私を助けてくれるのですか？実は、お得意様の「聖アンダリム神学院」からの発注書を、無くしてしまったのです……。			聖アンダリム神学院の消えた書物							
全14巻の「正教法大全」の一冊を注文されたものの、どの巻を手配すべきか、わからなくなってしまったのです。これじゃあ、面目丸潰れです……。			全14巻の「正教法大全」の一冊を注文されたものの、どの巻を手配すべきか、わからなくなってしまったのです。これじゃあ、面目丸潰れです……。			聖アンダリム神学院の消えた書物							
「聖レマノー大聖堂」に併設された神学院に赴き、どうか、不足している一冊の巻数を割り出してください。書棚の在庫や神学生の証言が、ヒントになるはずです！			「聖レマノー大聖堂」に併設された神学院に赴き、どうか、不足している一冊の巻数を割り出してください。書棚の在庫や神学生の証言が、ヒントになるはずです！			聖アンダリム神学院の消えた書物							
「聖レマノー大聖堂」に併設された神学院に赴き、どうか、不足している一冊の巻数を割り出してください。書棚の在庫や神学生の証言が、ヒントになるはずです！			「聖レマノー大聖堂」に併設された神学院に赴き、どうか、不足している一冊の巻数を割り出してください。書棚の在庫や神学生の証言が、ヒントになるはずです！			聖アンダリム神学院の消えた書物							
「正教法大全」の1～9巻が並んでいる。しかし、4巻と6巻が見当たらないようだ。			「正教法大全」の1～9巻が並んでいる。しかし、4巻と6巻が見当たらないようだ。			聖アンダリム神学院の消えた書物							
「正教法大全」の6巻が収められている。			「正教法大全」の6巻が収められている。			聖アンダリム神学院の消えた書物							
