アゴラのメジナは、悩んでいるようだ。			アゴラのメジナは、悩んでいるようだ。			世界を繋げ、大繁盛の輪！							
メジナと話した。大繁盛商店の装備を、試供品として各地で配ることになった。リムサ・ロミンサのアスタリシア号にいる「ハストフワブ」と話そう。			メジナと話した。大繁盛商店の装備を、試供品として各地で配ることになった。リムサ・ロミンサのアスタリシア号にいる「ハストフワブ」と話そう。			世界を繋げ、大繁盛の輪！							
シカルドに会い、試供品を手渡した。次の相手、ア・ルン・センナの居場所を聞くため、グリダニアのカーラインカフェにいる「ミューヌ」と話そう。			シカルドに会い、試供品を手渡した。次の相手、ア・ルン・センナの居場所を聞くため、グリダニアのカーラインカフェにいる「ミューヌ」と話そう。			世界を繋げ、大繁盛の輪！							
ミューヌと話した。ア・ルン・センナは、友好部族の集落を回っているようだ。青狢門付近の「指定地点」で待機して、ア・ルン・センナの帰還を待とう。			ミューヌと話した。ア・ルン・センナは、友好部族の集落を回っているようだ。青狢門付近の「指定地点」で待機して、ア・ルン・センナの帰還を待とう。			世界を繋げ、大繁盛の輪！							
ア・ルン・センナに会い、試供品を手渡した。最後に、不滅隊のピピンに会うため、ウルダハのゴールドコートにいる「コロセウム財団の事務員」と話そう。			ア・ルン・センナに会い、試供品を手渡した。最後に、不滅隊のピピンに会うため、ウルダハのゴールドコートにいる「コロセウム財団の事務員」と話そう。			世界を繋げ、大繁盛の輪！							
ピピンに会い、試供品を手渡した。タタルの母親が所有していたネックレスの話を聞いたが、サファイア以外の部品がひどく損傷してしまっているようだ。アゴラの「メジナ」と話そう。			ピピンに会い、試供品を手渡した。タタルの母親が所有していたネックレスの話を聞いたが、サファイア以外の部品がひどく損傷してしまっているようだ。アゴラの「メジナ」と話そう。			世界を繋げ、大繁盛の輪！							
メジナと話し、タタルの母親のサファイアを受け取ったが、ネックレスの仕立て直しが完了するまで、タタルには内緒にすることになった。派遣団に参加したことが人々に良い影響を与えていたことを知ったタタルは、今後もいろいろな人々の様子を見にいくついでに、試供品配りを続けることを決意する。各地を回って、人々との繋がりを深めておこう。			メジナと話し、タタルの母親のサファイアを受け取ったが、ネックレスの仕立て直しが完了するまで、タタルには内緒にすることになった。派遣団に参加したことが人々に良い影響を与えていたことを知ったタタルは、今後もいろいろな人々の様子を見にいくついでに、試供品配りを続けることを決意する。各地を回って、人々との繋がりを深めておこう。			世界を繋げ、大繁盛の輪！							
リムサ・ロミンサのハストフワブと話す			リムサ・ロミンサのハストフワブと話す			世界を繋げ、大繁盛の輪！							
グリダニアのミューヌと話す			グリダニアのミューヌと話す			世界を繋げ、大繁盛の輪！							
指定地点で待機			指定地点で待機			世界を繋げ、大繁盛の輪！							
ウルダハのコロセウム財団の事務員と話す			ウルダハのコロセウム財団の事務員と話す			世界を繋げ、大繁盛の輪！							
オールド・シャーレアンのメジナと話す			オールド・シャーレアンのメジナと話す			世界を繋げ、大繁盛の輪！							
これは、Forenameさん！ようこそ、大繁盛商店へ！			これは、Forenameさん！ようこそ、大繁盛商店へ！			世界を繋げ、大繁盛の輪！							
あたし、メジナっていいます。ヴァルサルードと同じように、パーラカの里の出身で、ここで働きながら勉強させてもらってるんです。			あたし、メジナっていいます。ヴァルサルードと同じように、パーラカの里の出身で、ここで働きながら勉強させてもらってるんです。			世界を繋げ、大繁盛の輪！							
終末の最中にも、あなたや「暁」の皆さんには、幾度となく助けていただいて……。その節は、大変お世話になりました。			終末の最中にも、あなたや「暁」の皆さんには、幾度となく助けていただいて……。その節は、大変お世話になりました。			世界を繋げ、大繁盛の輪！							
って、すみません自分のことばっかり……！今日は装備の交換ですか？それとも例の……経営改革の件で？			って、すみません自分のことばっかり……！今日は装備の交換ですか？それとも例の……経営改革の件で？			世界を繋げ、大繁盛の輪！							
(-？？？？-)その推理、ハズレであり、大アタリでっす！			(-？？？？-)その推理、ハズレであり、大アタリでっす！			世界を繋げ、大繁盛の輪！							
ようこそ、Forenameさん！まさか、こちらからお呼びする前に来店してくださるとは……この好機、逃す手はないでっす！			ようこそ、Forenameさん！まさか、こちらからお呼びする前に来店してくださるとは……この好機、逃す手はないでっす！			世界を繋げ、大繁盛の輪！							
大繁盛商店の主力商品……各地のギルドの協力を得て開発した新装備も、ようやく安定供給の目途がつきまっした。			大繁盛商店の主力商品……各地のギルドの協力を得て開発した新装備も、ようやく安定供給の目途がつきまっした。			世界を繋げ、大繁盛の輪！							
そこで、新たなる冒険に踏み出した、Forenameさんを見習って、私も挑戦をしてみたいと思いまっして……。			そこで、新たなる冒険に踏み出した、Forenameさんを見習って、私も挑戦をしてみたいと思いまっして……。			世界を繋げ、大繁盛の輪！							
ズバリ、この大繁盛商店をしっかり運営して、末永く愛される店にしたい……！			ズバリ、この大繁盛商店をしっかり運営して、末永く愛される店にしたい……！			世界を繋げ、大繁盛の輪！							
ただ品物を提供するだけでなく、取引を通じて絆を結び、世界を繋げたいのでっす！「暁」とは、また違った形で……！			ただ品物を提供するだけでなく、取引を通じて絆を結び、世界を繋げたいのでっす！「暁」とは、また違った形で……！			世界を繋げ、大繁盛の輪！							
タタルさんからそれを聞いたとき、あたし、すごく素敵だなって思ったんです。			タタルさんからそれを聞いたとき、あたし、すごく素敵だなって思ったんです。			世界を繋げ、大繁盛の輪！							
雪原で終末の獣に襲われていたあたしたちを、「暁」と縁のある帝国軍の人たちが、助けてくれたでしょう？			雪原で終末の獣に襲われていたあたしたちを、「暁」と縁のある帝国軍の人たちが、助けてくれたでしょう？			世界を繋げ、大繁盛の輪！							
大繁盛商店の輪が広がれば、あんな風に、予想もできないような未来が生まれるかも。そう思ったら、なんだか、ワクワクしちゃって……！			大繁盛商店の輪が広がれば、あんな風に、予想もできないような未来が生まれるかも。そう思ったら、なんだか、ワクワクしちゃって……！			世界を繋げ、大繁盛の輪！							
……と決意したからには、ただ店を開けて待っているわけにはいきません。			……と決意したからには、ただ店を開けて待っているわけにはいきません。			世界を繋げ、大繁盛の輪！							
自分たちで顧客を開拓していくのはもちろんでっすが、よろしければForenameさんにも、力を貸していただきたいのでっす！			自分たちで顧客を開拓していくのはもちろんでっすが、よろしければForenameさんにも、力を貸していただきたいのでっす！			世界を繋げ、大繁盛の輪！							
Forenameさんといえば、大繁盛商店のお客さん第一号。同時に、数多の装備を手にしてきた冒険者でっす！			Forenameさんといえば、大繁盛商店のお客さん第一号。同時に、数多の装備を手にしてきた冒険者でっす！			世界を繋げ、大繁盛の輪！							
そんな方が、戦友たちのもとを訪ねて、この店で扱う品の「試供品」を手渡してくれたら……掴みはバッチリ、何より相手も嬉しいはずでっす！			そんな方が、戦友たちのもとを訪ねて、この店で扱う品の「試供品」を手渡してくれたら……掴みはバッチリ、何より相手も嬉しいはずでっす！			世界を繋げ、大繁盛の輪！							
何と言う？			何と言う？			世界を繋げ、大繁盛の輪！							
喜んで協力しよう			喜んで協力しよう			世界を繋げ、大繁盛の輪！							
旅のついでで良いなら……			旅のついでで良いなら……			世界を繋げ、大繁盛の輪！							
ありがとうございまっす！			ありがとうございまっす！			世界を繋げ、大繁盛の輪！							
夢に向かって一歩前進ですね！ちなみに、最初はどこへ試供品を届けてもらうんですか？			夢に向かって一歩前進ですね！ちなみに、最初はどこへ試供品を届けてもらうんですか？			世界を繋げ、大繁盛の輪！							
フッフッフ……。今回は、イルサバード派遣団に参加していた方の中から、とくにアピールしたい方々を選んでみまっした！			フッフッフ……。今回は、イルサバード派遣団に参加していた方の中から、とくにアピールしたい方々を選んでみまっした！			世界を繋げ、大繁盛の輪！							
まず、リムサ・ロミンサはシカルドさん！彼が率いる断罪党は、急速に海運業の業績を伸ばしている注目株。お互いにとって有意義な取引ができる可能性大でっす。			まず、リムサ・ロミンサはシカルドさん！彼が率いる断罪党は、急速に海運業の業績を伸ばしている注目株。お互いにとって有意義な取引ができる可能性大でっす。			世界を繋げ、大繁盛の輪！							
続いて、グリダニアのア・ルン・センナさん！角尊のおひとりというだけでなく、ア・ルンさん個人について、知る機会を作っていけたらと思ったのでっす。			続いて、グリダニアのア・ルン・センナさん！角尊のおひとりというだけでなく、ア・ルンさん個人について、知る機会を作っていけたらと思ったのでっす。			世界を繋げ、大繁盛の輪！							
立場上、黒衣森を出にくいかと思いますので……大繁盛商店の品が、派遣団での経験に続いて、外界を知る手段になれれば嬉しいでっす！			立場上、黒衣森を出にくいかと思いますので……大繁盛商店の品が、派遣団での経験に続いて、外界を知る手段になれれば嬉しいでっす！			世界を繋げ、大繁盛の輪！							
ご本人も、外界に興味があるようでしたので……大繁盛商店の品が、その一端を担えたら嬉しいでっす！			ご本人も、外界に興味があるようでしたので……大繁盛商店の品が、その一端を担えたら嬉しいでっす！			世界を繋げ、大繁盛の輪！							
そして、もうおひと方……ウルダハのピピンさん！これまでにもお世話になっている方でっすが、一流の武人であるだけでなく、さまざまな顔をお持ちでっす。			そして、もうおひと方……ウルダハのピピンさん！これまでにもお世話になっている方でっすが、一流の武人であるだけでなく、さまざまな顔をお持ちでっす。			世界を繋げ、大繁盛の輪！							
不滅隊の大闘聖であり、砂蠍衆の一員、もちろんコロセウムの経営も……何か、うちの商品が役立てる場があるかもしれません！			不滅隊の大闘聖であり、砂蠍衆の一員、もちろんコロセウムの経営も……何か、うちの商品が役立てる場があるかもしれません！			世界を繋げ、大繁盛の輪！							
さっそくでっすが、メジナさん、うちの自慢の装備をギュギュッと詰めた、試供品セットをForenameさんに！			さっそくでっすが、メジナさん、うちの自慢の装備をギュギュッと詰めた、試供品セットをForenameさんに！			世界を繋げ、大繁盛の輪！							
ちょっと重くて申し訳ありませんが、よろしくお願いしまっす！私も私で別口をあたりつつ、リンクパールで状況を伺わせていただきまっすね。			ちょっと重くて申し訳ありませんが、よろしくお願いしまっす！私も私で別口をあたりつつ、リンクパールで状況を伺わせていただきまっすね。			世界を繋げ、大繁盛の輪！							
それでは、まずはシカルドさんから！アスタリシア号の「ハストフワブ」さんにお声がけすれば、取り次いでもらえるはずでっす！			それでは、まずはシカルドさんから！アスタリシア号の「ハストフワブ」さんにお声がけすれば、取り次いでもらえるはずでっす！			世界を繋げ、大繁盛の輪！							
シカルドさんに、ア・ルン・センナさんに、ピピンさん……大繁盛商店のお客さんになってくれたら嬉しいです。ヴァルサルードと一緒に店番をしながら、結果を待ってます！			シカルドさんに、ア・ルン・センナさんに、ピピンさん……大繁盛商店のお客さんになってくれたら嬉しいです。ヴァルサルードと一緒に店番をしながら、結果を待ってます！			世界を繋げ、大繁盛の輪！							
これは、珍しい顔だな。我ら「断罪党」になにか用か？			これは、珍しい顔だな。我ら「断罪党」になにか用か？			世界を繋げ、大繁盛の輪！							
シカルドに折り入って話がある？……まぁいいだろう、呼んでくる。			シカルドに折り入って話がある？……まぁいいだろう、呼んでくる。			世界を繋げ、大繁盛の輪！							
よう、待たせたな！			よう、待たせたな！			世界を繋げ、大繁盛の輪！							
久しぶりじゃねぇか。わざわざこんなとこまでどうした？			久しぶりじゃねぇか。わざわざこんなとこまでどうした？			世界を繋げ、大繁盛の輪！							
何と言う？			何と言う？			世界を繋げ、大繁盛の輪！							
忙しそうだね			忙しそうだね			世界を繋げ、大繁盛の輪！							
いい装備に興味はない？			いい装備に興味はない？			世界を繋げ、大繁盛の輪！							
