ドマ町人地のコザクラは、仕事に励んでいるようだ。			ドマ町人地のコザクラは、仕事に励んでいるようだ。			君臣の義を以って							
コザクラとヒエンから、ドマ難民を故郷に返すために取り持ってほしいと頼まれた。モードゥナのレヴナンツトールにいる「スラフボーン」に「開拓団宛の書簡」を渡そう。			コザクラとヒエンから、ドマ難民を故郷に返すために取り持ってほしいと頼まれた。モードゥナのレヴナンツトールにいる「スラフボーン」に「開拓団宛の書簡」を渡そう。			君臣の義を以って							
スラフボーンに開拓団宛の書簡を渡した。レヴナンツトールの「ホウザン」と話そう。			スラフボーンに開拓団宛の書簡を渡した。レヴナンツトールの「ホウザン」と話そう。			君臣の義を以って							
ホウザンと話し、帰郷の意思を固めた。レヴナンツトールの「指定地点」で待機し、ドマの人々の相談役を務めよう。			ホウザンと話し、帰郷の意思を固めた。レヴナンツトールの「指定地点」で待機し、ドマの人々の相談役を務めよう。			君臣の義を以って							
ドマの人々に助言をした。ホウザンたちは、レヴナンツトールで多くの人と関わり、深く感謝をしているようだ。引き続き、彼らの帰郷を見守ろう。			ドマの人々に助言をした。ホウザンたちは、レヴナンツトールで多くの人と関わり、深く感謝をしているようだ。引き続き、彼らの帰郷を見守ろう。			君臣の義を以って							
レヴナンツトールのスラフボーンに開拓団宛の書簡を渡す			レヴナンツトールのスラフボーンに開拓団宛の書簡を渡す			君臣の義を以って							
ホウザンと話す			ホウザンと話す			君臣の義を以って							
指定地点で待機			指定地点で待機			君臣の義を以って							
なんと、Surname殿ではございませぬか！まさか、そちらからいらしてくださるとは……！			なんと、Surname殿ではございませぬか！まさか、そちらからいらしてくださるとは……！			君臣の義を以って							
あらためて、ご挨拶を……わたくし、「コザクラ」と申しまする。			あらためて、ご挨拶を……わたくし、「コザクラ」と申しまする。			君臣の義を以って							
ここ「ドマ町人地」の自治のために結成された、「車前会(しゃぜんかい)」という組織にて、出納の役を仰せつかっておりまする。			ここ「ドマ町人地」の自治のために結成された、「車前会(しゃぜんかい)」という組織にて、出納の役を仰せつかっておりまする。			君臣の義を以って							
目下、町人地の再建計画を取りまとめよと命ぜられ、不肖の身なれば、右往左往していた次第。つきましては、あなた様に折り入ってご相談が……ッ！			目下、町人地の再建計画を取りまとめよと命ぜられ、不肖の身なれば、右往左往していた次第。つきましては、あなた様に折り入ってご相談が……ッ！			君臣の義を以って							
し、失礼いたしました。きちんと順を追って、説明いたしまする。			し、失礼いたしました。きちんと順を追って、説明いたしまする。			君臣の義を以って							
ここ「ドマ町人地」は、ドマ有数の街でございましたが、カイエン様最期の戦の折、帝国軍によって破壊されました。			ここ「ドマ町人地」は、ドマ有数の街でございましたが、カイエン様最期の戦の折、帝国軍によって破壊されました。			君臣の義を以って							
以来、長らく修繕も許されずにおりましたが、めでたくも祖国解放と相成りましたので、再建を進めているのでございまする。			以来、長らく修繕も許されずにおりましたが、めでたくも祖国解放と相成りましたので、再建を進めているのでございまする。			君臣の義を以って							
いずれは、他国にも誇れるほどの、新たなドマの顔である都にしたい……そのためになら、皆、努力は惜しみませぬ！			いずれは、他国にも誇れるほどの、新たなドマの顔である都にしたい……そのためになら、皆、努力は惜しみませぬ！			君臣の義を以って							
……しかし、今はとにかく無い無いづくしでございまして。予算や、資材はもちろん……帰らぬ者も多いので、人手すらたりてはおりませぬ。			……しかし、今はとにかく無い無いづくしでございまして。予算や、資材はもちろん……帰らぬ者も多いので、人手すらたりてはおりませぬ。			君臣の義を以って							
そこで、お上に相談したところ、エオルゼアへ逃げのびていた同胞を、今こそ帰国させてはどうかと言うのです。			そこで、お上に相談したところ、エオルゼアへ逃げのびていた同胞を、今こそ帰国させてはどうかと言うのです。			君臣の義を以って							
聞けば彼らは、レヴナンツトールなる街の、「開拓団」に加わって働いているのだとか……まさに、渡りに船でございまする！			聞けば彼らは、レヴナンツトールなる街の、「開拓団」に加わって働いているのだとか……まさに、渡りに船でございまする！			君臣の義を以って							
Surname殿、あなた様はあちらの事情にもお詳しい。どうかどうか、この件について、開拓団との取り持ち役を、お願いできませぬか？			Surname殿、あなた様はあちらの事情にもお詳しい。どうかどうか、この件について、開拓団との取り持ち役を、お願いできませぬか？			君臣の義を以って							
(-？？？？-)……うん？Forename、先にこちらへ来ておったのか。			(-？？？？-)……うん？Forename、先にこちらへ来ておったのか。			君臣の義を以って							
(-？？？？-)ああ、Forename。そこにおったのか。			(-？？？？-)ああ、Forename。そこにおったのか。			君臣の義を以って							
ふむ、よい機会だ……。今の話について、わしからも補足させてくれ。			ふむ、よい機会だ……。今の話について、わしからも補足させてくれ。			君臣の義を以って							
ユウギリとともにエオルゼアへ逃げのびたドマの民を、そなたらや冒険者ギルドが迎え入れてくれたこと、まこと、感謝しておる。			ユウギリとともにエオルゼアへ逃げのびたドマの民を、そなたらや冒険者ギルドが迎え入れてくれたこと、まこと、感謝しておる。			君臣の義を以って							
この大恩を返さんと、当人たちも粉骨砕身しておろうが、民の受けた恩は、国の受けた恩だ。なれば、まずわしが誠意を返すのが道理というもの。			この大恩を返さんと、当人たちも粉骨砕身しておろうが、民の受けた恩は、国の受けた恩だ。なれば、まずわしが誠意を返すのが道理というもの。			君臣の義を以って							
コザクラ、例の書状をForenameに。			コザクラ、例の書状をForenameに。			君臣の義を以って							
は、はいッ！			は、はいッ！			君臣の義を以って							
及ばずながら、開拓団を仕切る冒険者ギルドに宛てて、いくらかの礼を用意させてもらった。そなたに預けたのが、その目録だ。			及ばずながら、開拓団を仕切る冒険者ギルドに宛てて、いくらかの礼を用意させてもらった。そなたに預けたのが、その目録だ。			君臣の義を以って							
それを持って開拓団の長を訪ね、我が同胞の帰還について、話を取り持ってやってはくれんか？			それを持って開拓団の長を訪ね、我が同胞の帰還について、話を取り持ってやってはくれんか？			君臣の義を以って							
