聖ロエル広場のフランセルは、演奏会の余韻に浸っている。			聖ロエル広場のフランセルは、演奏会の余韻に浸っている。			蒼天の下、笑顔で							
フランセルと話し、彼も観客もおおいに喜んでくれたことを確認した。そこへトメリンが急を要する来客を伝えたため、蒼天街の名も無き者たちの広場まで向かい、「フランセル」と話そう。			フランセルと話し、彼も観客もおおいに喜んでくれたことを確認した。そこへトメリンが急を要する来客を伝えたため、蒼天街の名も無き者たちの広場まで向かい、「フランセル」と話そう。			蒼天の下、笑顔で							
蒼天街にやってきたのは、なんとアイメリクだった。彼はフランセルと冒険者に、復興事業完遂について労いの言葉を述べにきたのだった。彼を見送り、名も無き者たちの広場に残っている「フランセル」と話そう。			蒼天街にやってきたのは、なんとアイメリクだった。彼はフランセルと冒険者に、復興事業完遂について労いの言葉を述べにきたのだった。彼を見送り、名も無き者たちの広場に残っている「フランセル」と話そう。			蒼天の下、笑顔で							
復興事業が完遂したフランセルは、立派に成長したようだ。今後も蒼天街の人々の暮らしは続いていく。これからも一人の職人として、この街を支えていこう。			復興事業が完遂したフランセルは、立派に成長したようだ。今後も蒼天街の人々の暮らしは続いていく。これからも一人の職人として、この街を支えていこう。			蒼天の下、笑顔で							
名も無き者たちの広場のフランセルと話す			名も無き者たちの広場のフランセルと話す			蒼天の下、笑顔で							
フランセルと話す			フランセルと話す			蒼天の下、笑顔で							
ほら、フランセル卿も、あなたと話したい様子でソワソワしてらっしゃいますよ！お声をかけてあげてください！			ほら、フランセル卿も、あなたと話したい様子でソワソワしてらっしゃいますよ！お声をかけてあげてください！			蒼天の下、笑顔で							
Forename！　ありがとう！演奏会、すごく楽しかったよ！			Forename！　ありがとう！演奏会、すごく楽しかったよ！			蒼天の下、笑顔で							
Surname様と坊ちゃんの晴れ姿、観客のひとりとして拝見しておりましたが……とても素敵な演奏会でございましたよ。			Surname様と坊ちゃんの晴れ姿、観客のひとりとして拝見しておりましたが……とても素敵な演奏会でございましたよ。			蒼天の下、笑顔で							
本当に……私の生きている間に、こんな時代がやってこようとは！			本当に……私の生きている間に、こんな時代がやってこようとは！			蒼天の下、笑顔で							
うん、まるで夢のような時間だったよ。あとで、みんなにもお礼を言わないとね。			うん、まるで夢のような時間だったよ。あとで、みんなにもお礼を言わないとね。			蒼天の下、笑顔で							
それにしても、キミまで僕に内緒で、こんな素敵な催しを計画していたなんて驚いたよ。			それにしても、キミまで僕に内緒で、こんな素敵な催しを計画していたなんて驚いたよ。			蒼天の下、笑顔で							
舞台の上から、楽しそうに演奏を聴いてくれている人たちを見て……この街を復興できて、本当に良かったと思ったんだ。			舞台の上から、楽しそうに演奏を聴いてくれている人たちを見て……この街を復興できて、本当に良かったと思ったんだ。			蒼天の下、笑顔で							
手伝ってくれたキミはもちろん、各国から多くの職人が参加してくれたおかげだよ。			手伝ってくれたキミはもちろん、各国から多くの職人が参加してくれたおかげだよ。			蒼天の下、笑顔で							
それで、キミに……最後に聞きたいことがあるんだ。			それで、キミに……最後に聞きたいことがあるんだ。			蒼天の下、笑顔で							
キミは、異端の容疑をかけられた僕を救ってくれた上に、追われる身でありながら、竜詩戦争を終結に導いてくれた。			キミは、異端の容疑をかけられた僕を救ってくれた上に、追われる身でありながら、竜詩戦争を終結に導いてくれた。			蒼天の下、笑顔で							
そして、大切な友人であるオルシュファンは……誰に対しても、分け隔てなく接し、いつでも友と人々の笑顔のために生きていた。			そして、大切な友人であるオルシュファンは……誰に対しても、分け隔てなく接し、いつでも友と人々の笑顔のために生きていた。			蒼天の下、笑顔で							
キミとオルシュファンは、僕にとって……友人でありつつ、ずっと憧れの存在でもあったんだ。キミたちのようにありたいと、ずっと思っていた。			キミとオルシュファンは、僕にとって……友人でありつつ、ずっと憧れの存在でもあったんだ。キミたちのようにありたいと、ずっと思っていた。			蒼天の下、笑顔で							
その、それで……僕はこの事業を通して、キミやオルシュファンのように、人々を笑顔にできただろうか？			その、それで……僕はこの事業を通して、キミやオルシュファンのように、人々を笑顔にできただろうか？			蒼天の下、笑顔で							
自分なりに頑張ってはきたけれど、その、あんまり自信がなくて。			自分なりに頑張ってはきたけれど、その、あんまり自信がなくて。			蒼天の下、笑顔で							
何と言う？			何と言う？			蒼天の下、笑顔で							
もちろん			もちろん			蒼天の下、笑顔で							
それなりかな			それなりかな			蒼天の下、笑顔で							
本当かい？それならすごく……すごく嬉しい……！ここまで頑張ってきて、本当に良かった……！			本当かい？それならすごく……すごく嬉しい……！ここまで頑張ってきて、本当に良かった……！			蒼天の下、笑顔で							
ふふ、手厳しいな。クロードバン兄様も、よくそうやってたしなめてくれたんだ。慢心せずに、もっと頑張らないとね。			ふふ、手厳しいな。クロードバン兄様も、よくそうやってたしなめてくれたんだ。慢心せずに、もっと頑張らないとね。			蒼天の下、笑顔で							
あと、もうひとつキミに伝えたいことがあってね。			あと、もうひとつキミに伝えたいことがあってね。			蒼天の下、笑顔で							
竜詩戦争に多くの犠牲を払ったこの国ではね、「いまを生きていられるのは、守ってくれた人がいたから」、という想いを抱いている人たちが多いんだ。			竜詩戦争に多くの犠牲を払ったこの国ではね、「いまを生きていられるのは、守ってくれた人がいたから」、という想いを抱いている人たちが多いんだ。			蒼天の下、笑顔で							
だからこれからは、幸せな日々を積み重ね、後世へ繋げていくことが、残された僕たちにできる、恩返しだと思っている。			だからこれからは、幸せな日々を積み重ね、後世へ繋げていくことが、残された僕たちにできる、恩返しだと思っている。			蒼天の下、笑顔で							
だから僕は、キミにも笑顔でいてほしい。			だから僕は、キミにも笑顔でいてほしい。			蒼天の下、笑顔で							
