蒼天街のフランセルは、気になる人物を見かけたようだ。			蒼天街のフランセルは、気になる人物を見かけたようだ。			お得意様デュランデル伯爵							
奇妙な服装の男性を探す			奇妙な服装の男性を探す			お得意様デュランデル伯爵							
モリレットと話す			モリレットと話す			お得意様デュランデル伯爵							
マエリと話す			マエリと話す			お得意様デュランデル伯爵							
マエリと再度話す			マエリと再度話す			お得意様デュランデル伯爵							
やあ、Forename！キミが変わらず蒼天街に足を運んでくれていること、嬉しく思うよ。			やあ、Forename！キミが変わらず蒼天街に足を運んでくれていること、嬉しく思うよ。			お得意様デュランデル伯爵							
そうだ、ちょうどキミに教えたいことがあってね。とある「奇妙な服装の男性」が、こっそり蒼天街にいらして、「ルーシュマンド記念病院」へ向かうのを見たんだ。			そうだ、ちょうどキミに教えたいことがあってね。とある「奇妙な服装の男性」が、こっそり蒼天街にいらして、「ルーシュマンド記念病院」へ向かうのを見たんだ。			お得意様デュランデル伯爵							
キミも知っている人物なんだけれど、服装が奇妙……というか不思議な雰囲気でね。もし興味があるなら、見に行ってみてはどうだろう？			キミも知っている人物なんだけれど、服装が奇妙……というか不思議な雰囲気でね。もし興味があるなら、見に行ってみてはどうだろう？			お得意様デュランデル伯爵							
とある「奇妙な服装の男性」が、こっそり蒼天街にいらして、「ルーシュマンド記念病院」へ向かうのを見たんだ。もし興味があるなら、見に行ってみてはどうだろう？			とある「奇妙な服装の男性」が、こっそり蒼天街にいらして、「ルーシュマンド記念病院」へ向かうのを見たんだ。もし興味があるなら、見に行ってみてはどうだろう？			お得意様デュランデル伯爵							
Forename殿ではないか……！			Forename殿ではないか……！			お得意様デュランデル伯爵							
あ、いや、知り合いではないぞ！英雄である貴殿の話は、この国ではどこでも耳にするからな！			あ、いや、知り合いではないぞ！英雄である貴殿の話は、この国ではどこでも耳にするからな！			お得意様デュランデル伯爵							
何と言う？			何と言う？			お得意様デュランデル伯爵							
そんな恰好で、なにを？			そんな恰好で、なにを？			お得意様デュランデル伯爵							
デュランデル伯爵？			デュランデル伯爵？			お得意様デュランデル伯爵							
(-デュランデル伯爵-)き、気づいていたのか……。正体を悟られぬよう、自分なりに装ってみたのだが、ひと目で見抜かれるとは……。			(-デュランデル伯爵-)き、気づいていたのか……。正体を悟られぬよう、自分なりに装ってみたのだが、ひと目で見抜かれるとは……。			お得意様デュランデル伯爵							
(-デュランデル伯爵-)仕方ない、白状するとしよう。			(-デュランデル伯爵-)仕方ない、白状するとしよう。			お得意様デュランデル伯爵							
(-デュランデル伯爵-)最近この病院で、「奉仕職員」の募集をし始めたのを知ってな。参加を打診すべくやってきたのだ。			(-デュランデル伯爵-)最近この病院で、「奉仕職員」の募集をし始めたのを知ってな。参加を打診すべくやってきたのだ。			お得意様デュランデル伯爵							
(-デュランデル伯爵-)奉仕職員とは、一種の有償ボランティアだ。治療師としての技術がなくとも、正規の治療師たちを支え、医薬品の備品管理や、患者の世話を担当するのだという。			(-デュランデル伯爵-)奉仕職員とは、一種の有償ボランティアだ。治療師としての技術がなくとも、正規の治療師たちを支え、医薬品の備品管理や、患者の世話を担当するのだという。			お得意様デュランデル伯爵							
(-デュランデル伯爵-)正規の給与を得ぬ代わり、治療師になるための勉学と、生活のための資金が保障される。まぁ、私には必要ないがな。			(-デュランデル伯爵-)正規の給与を得ぬ代わり、治療師になるための勉学と、生活のための資金が保障される。まぁ、私には必要ないがな。			お得意様デュランデル伯爵							
(-デュランデル伯爵-)……以前、我が家に仕えていた負傷兵と面し、彼らへ、十分に保障を行っていなかったことを思い知った。故にこうした形で、少しでも役に立てればと思ってな。			(-デュランデル伯爵-)……以前、我が家に仕えていた負傷兵と面し、彼らへ、十分に保障を行っていなかったことを思い知った。故にこうした形で、少しでも役に立てればと思ってな。			お得意様デュランデル伯爵							
(-デュランデル伯爵-)いや、正直に話すと打算もある。貴族の者たちに手本を見せるためでもあるのだ。			(-デュランデル伯爵-)いや、正直に話すと打算もある。貴族の者たちに手本を見せるためでもあるのだ。			お得意様デュランデル伯爵							
(-デュランデル伯爵-)十二騎士の子孫であったのは平民も同じ、と知っても……受け入れられず、平民に横柄な態度をとる貴族がまだ多い。だからこそ、私がな。			(-デュランデル伯爵-)十二騎士の子孫であったのは平民も同じ、と知っても……受け入れられず、平民に横柄な態度をとる貴族がまだ多い。だからこそ、私がな。			お得意様デュランデル伯爵							
(-デュランデル伯爵-)この病院は身分を問わずに働ける場と聞いた。なれば私でも、奉仕職員になれないかと訪ねたのだが……その、少々臆していたのだ。			(-デュランデル伯爵-)この病院は身分を問わずに働ける場と聞いた。なれば私でも、奉仕職員になれないかと訪ねたのだが……その、少々臆していたのだ。			お得意様デュランデル伯爵							
(-デュランデル伯爵-)Forename殿！　頼む！「ルーシュマンド記念病院」の看護長「モリレット」殿へ、気の利いたひとことでもかけておいてはくれまいか！			(-デュランデル伯爵-)Forename殿！　頼む！「ルーシュマンド記念病院」の看護長「モリレット」殿へ、気の利いたひとことでもかけておいてはくれまいか！			お得意様デュランデル伯爵							
英雄殿とモリレット殿が談笑しているところに、朗らかに挨拶して入っていけば……うむ、大丈夫であろう……。			英雄殿とモリレット殿が談笑しているところに、朗らかに挨拶して入っていけば……うむ、大丈夫であろう……。			お得意様デュランデル伯爵							
ルーシュマンド記念病院へようこそ！もしかして、入院患者さんへの面会にきてくれたのかしら？			ルーシュマンド記念病院へようこそ！もしかして、入院患者さんへの面会にきてくれたのかしら？			お得意様デュランデル伯爵							
なるほど、奉仕職員志望の方がきてくれるのね。どんな方か楽しみだわ！			なるほど、奉仕職員志望の方がきてくれるのね。どんな方か楽しみだわ！			お得意様デュランデル伯爵							
や、やあ、お邪魔するよ。この病院で奉仕職員を募集していると聞いたんだが……。			や、やあ、お邪魔するよ。この病院で奉仕職員を募集していると聞いたんだが……。			お得意様デュランデル伯爵							
あらまぁ、デュランデル伯爵さま……！？あの、寄付のお手続きでしたら、上の施設で……！			あらまぁ、デュランデル伯爵さま……！？あの、寄付のお手続きでしたら、上の施設で……！			お得意様デュランデル伯爵							
んなっ……！！ええい、なぜ誰もかれも、私だとすぐに気づいてしまうのだ！			んなっ……！！ええい、なぜ誰もかれも、私だとすぐに気づいてしまうのだ！			お得意様デュランデル伯爵							
いや、気にしないでくれ。寄付ももちろんだが、私はいち市民として奉仕職員を志望し、ここへやってきたのだ。			いや、気にしないでくれ。寄付ももちろんだが、私はいち市民として奉仕職員を志望し、ここへやってきたのだ。			お得意様デュランデル伯爵							
まぁ……。でも伯爵さまは公務も、きっとお忙しいのでしょう？その、本当に奉仕職員に……？			まぁ……。でも伯爵さまは公務も、きっとお忙しいのでしょう？その、本当に奉仕職員に……？			お得意様デュランデル伯爵							
無論だ。新入りの奉仕職員としてやってきた、ただのシャルルマン、と思ってくれ。			無論だ。新入りの奉仕職員としてやってきた、ただのシャルルマン、と思ってくれ。			お得意様デュランデル伯爵							
そこまでおっしゃるなら……。			そこまでおっしゃるなら……。			お得意様デュランデル伯爵							
実はもうひとり、奉仕職員の志願者がいるんです。マエリちゃんといって、まだ幼い戦災孤児です。			実はもうひとり、奉仕職員の志願者がいるんです。マエリちゃんといって、まだ幼い戦災孤児です。			お得意様デュランデル伯爵							
Forenameさんは、きっとご存じね。教皇庁から突き落とされた彼女を、白き竜が救ったとき、おそばにいたと聞いているわ。			Forenameさんは、きっとご存じね。教皇庁から突き落とされた彼女を、白き竜が救ったとき、おそばにいたと聞いているわ。			お得意様デュランデル伯爵							
奉仕職員になるには年が若すぎるのですが……。とても前向きで、熱心に病院に足を運んでくれるので、もう一度、本気なのか話を聞こうと考えていたんです。			奉仕職員になるには年が若すぎるのですが……。とても前向きで、熱心に病院に足を運んでくれるので、もう一度、本気なのか話を聞こうと考えていたんです。			お得意様デュランデル伯爵							
シャルルマンさんとマエリちゃん、ふたりのお話が聞きたいわ。「ロランベリー・フィールド」にいるマエリちゃんを、呼んできてもらえませんか？			シャルルマンさんとマエリちゃん、ふたりのお話が聞きたいわ。「ロランベリー・フィールド」にいるマエリちゃんを、呼んできてもらえませんか？			お得意様デュランデル伯爵							
ああ、無論だ。いますぐに彼女のもとへ向かうとしよう。			ああ、無論だ。いますぐに彼女のもとへ向かうとしよう。			お得意様デュランデル伯爵							
Forename殿、「マエリ」なる少女と知己であるならば、手数だが、紹介願えないだろうか？			Forename殿、「マエリ」なる少女と知己であるならば、手数だが、紹介願えないだろうか？			お得意様デュランデル伯爵							
もしや、この少女か？			もしや、この少女か？			お得意様デュランデル伯爵							
伯爵さまと一緒に、「ロランベリー・フィールド」にいる「マエリ」ちゃんを、呼んできてもらえませんか？			伯爵さまと一緒に、「ロランベリー・フィールド」にいる「マエリ」ちゃんを、呼んできてもらえませんか？			お得意様デュランデル伯爵							
あ、お姉ちゃんお兄ちゃん！どうしたの？　このおじさんと、お友だち？			あ、お姉ちゃんお兄ちゃん！どうしたの？　このおじさんと、お友だち？			お得意様デュランデル伯爵							
そなたがマエリ殿か……！よもや、こんなに幼き少女だったとは……！			そなたがマエリ殿か……！よもや、こんなに幼き少女だったとは……！			お得意様デュランデル伯爵							
いや、失礼。ルーシュマンド記念病院からの迎えで来たのだ。我らふたりに、奉仕職員に関する話があるらしい。			いや、失礼。ルーシュマンド記念病院からの迎えで来たのだ。我らふたりに、奉仕職員に関する話があるらしい。			お得意様デュランデル伯爵							
ほんとう！？じゃあマエリ、病院のお手伝いさせてもらえるのかな！？			ほんとう！？じゃあマエリ、病院のお手伝いさせてもらえるのかな！？			お得意様デュランデル伯爵							
おじさんも奉仕職員になりたいの？じゃあ早く「ルーシュマンド記念病院」に行こ！一緒にがんばろうね！			おじさんも奉仕職員になりたいの？じゃあ早く「ルーシュマンド記念病院」に行こ！一緒にがんばろうね！			お得意様デュランデル伯爵							
なんとも元気な、少女だな……。			なんとも元気な、少女だな……。			お得意様デュランデル伯爵							
Forenameさん、おかえりなさい。マエリちゃんを連れてきてくれて、ありがとう。			Forenameさん、おかえりなさい。マエリちゃんを連れてきてくれて、ありがとう。			お得意様デュランデル伯爵							
すみませーん！奉仕職員のおはなしを聞きにきましたー！			すみませーん！奉仕職員のおはなしを聞きにきましたー！			お得意様デュランデル伯爵							
ええ、よくきてくれたわ、マエリちゃん。			ええ、よくきてくれたわ、マエリちゃん。			お得意様デュランデル伯爵							
それに伯爵さ……じゃなかったわね。シャルルマンさんも、彼女を連れてきてくれてありがとう。			それに伯爵さ……じゃなかったわね。シャルルマンさんも、彼女を連れてきてくれてありがとう。			お得意様デュランデル伯爵							
ではさっそくなんだけど、ふたりにお話を聞かせてもらおうと思っているの。本当に奉仕職員になりたいかどうか、ね。			ではさっそくなんだけど、ふたりにお話を聞かせてもらおうと思っているの。本当に奉仕職員になりたいかどうか、ね。			お得意様デュランデル伯爵							
マエリ、病院のお手伝いしたいです！お姉ちゃんお兄ちゃんや白いドラゴンさんに助けてもらって……			マエリ、病院のお手伝いしたいです！お姉ちゃんお兄ちゃんや白いドラゴンさんに助けてもらって……			お得意様デュランデル伯爵							
私もだれかを助けられるような人になりたいって、ずっと考えてたの！			私もだれかを助けられるような人になりたいって、ずっと考えてたの！			お得意様デュランデル伯爵							
