トライヨラのボロガーは、冒険者に伝えたいことがあるようだ。			トライヨラのボロガーは、冒険者に伝えたいことがあるようだ。			トラル大陸のモブハント（リスキー）							
ソリューション・ナインのナピクエと話す			ソリューション・ナインのナピクエと話す			トラル大陸のモブハント（リスキー）							
トライヨラのボロガーと話す			トライヨラのボロガーと話す			トラル大陸のモブハント（リスキー）							
「トラル大陸のモブハント（リスキー）」は、「メインクエスト：黄金のレガシー」を、特定の状態まで完了することで、受注できるようになります。			「トラル大陸のモブハント（リスキー）」は、「メインクエスト：黄金のレガシー」を、特定の状態まで完了することで、受注できるようになります。			トラル大陸のモブハント（リスキー）							
これはForenameさん。聞きましたよ……ウクラマト様とともに、各地の困難を解決して回ったと。			これはForenameさん。聞きましたよ……ウクラマト様とともに、各地の困難を解決して回ったと。			トラル大陸のモブハント（リスキー）							
蘇りしヴァリガルマンダを打ち倒し、トライヨラ襲撃者のもたらした混乱をも解消した。その実力は、もはや疑うべくもありません。			蘇りしヴァリガルマンダを打ち倒し、トライヨラ襲撃者のもたらした混乱をも解消した。その実力は、もはや疑うべくもありません。			トラル大陸のモブハント（リスキー）							
貴方になら、我らの継いできた使命をお任せできる。ぜひとも「リスキーモブ」の対処に協力いただきたいのですが……お願いできますか？			貴方になら、我らの継いできた使命をお任せできる。ぜひとも「リスキーモブ」の対処に協力いただきたいのですが……お願いできますか？			トラル大陸のモブハント（リスキー）							
ありがとうございます。リスキーモブとはすなわち、人の暮らしを脅かす凶獣……ヴァイパーが古くから対峙してきた獣の、当世風の呼称です。			ありがとうございます。リスキーモブとはすなわち、人の暮らしを脅かす凶獣……ヴァイパーが古くから対峙してきた獣の、当世風の呼称です。			トラル大陸のモブハント（リスキー）							
そしてその最上級、神の如き力を持つ個体に冠される称号こそ、ヴァリガルマンダに代表される大地を掌握する者(トラルヴィドラール)。さすがにそこまでの存在は滅多に現れませんがね。			そしてその最上級、神の如き力を持つ個体に冠される称号こそ、ヴァリガルマンダに代表される大地を掌握する者(トラルヴィドラール)。さすがにそこまでの存在は滅多に現れませんがね。			トラル大陸のモブハント（リスキー）							
我々ヴァイパーは各地で情報を集め、そうした獣を狩っている。以前会っていただいたチャカトもそのひとりですので、ヤクテル樹海のリスキーモブ情報は、彼女に聞くといいでしょう。			我々ヴァイパーは各地で情報を集め、そうした獣を狩っている。以前会っていただいたチャカトもそのひとりですので、ヤクテル樹海のリスキーモブ情報は、彼女に聞くといいでしょう。			トラル大陸のモブハント（リスキー）							
本来はナピクエもその役目を負っていたのですが、ヤースラニ荒野の状況が一変し、彼女自身も引退したのなら……誰か後任がいるのかもしれません。			本来はナピクエもその役目を負っていたのですが、ヤースラニ荒野の状況が一変し、彼女自身も引退したのなら……誰か後任がいるのかもしれません。			トラル大陸のモブハント（リスキー）							
